time,Utah,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. C. Zeller (M. Williams gains possession),,,,Jump ball: R. Gobert vs. C. Zeller (M. Williams gains possession)
11:46.0,,,0-0,,Turnover by N. Batum (bad pass; steal by R. Gobert)
11:30.0,G. Hayward makes 3-pt shot from 25 ft (assist by T. Lyles),3,3-0,,
11:15.0,,,3-2,2,C. Zeller makes 2-pt shot at rim (assist by M. Williams)
10:59.0,R. Hood misses 3-pt shot from 24 ft,,3-2,,
10:58.0,,,3-2,,Defensive rebound by P. Hairston
10:36.0,,,3-4,2,K. Walker makes 2-pt shot from 16 ft
10:16.0,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward),2,5-4,,
9:57.0,,,5-4,,Shooting foul by T. Lyles (drawn by M. Williams)
9:57.0,,,5-5,1,M. Williams makes free throw 1 of 2
9:57.0,,,5-6,1,M. Williams makes free throw 2 of 2
9:41.0,R. Hood misses 3-pt shot from 25 ft,,5-6,,
9:40.0,,,5-6,,Defensive rebound by M. Williams
9:36.0,,,5-6,,Shooting foul by R. Neto (drawn by K. Walker)
9:36.0,,,5-6,,K. Walker misses free throw 1 of 2
9:36.0,,,5-6,,Offensive rebound by Team
9:36.0,,,5-7,1,K. Walker makes free throw 2 of 2
9:20.0,R. Neto misses 3-pt shot from 24 ft,,5-7,,
9:19.0,,,5-7,,Defensive rebound by P. Hairston
9:02.0,,,5-10,3,N. Batum makes 3-pt shot from 23 ft
8:43.0,G. Hayward makes 2-pt shot from 6 ft,2,7-10,,
8:27.0,Personal foul by G. Hayward (drawn by P. Hairston),,7-10,,
8:17.0,,,7-13,3,K. Walker makes 3-pt shot from 23 ft (assist by N. Batum)
7:59.0,T. Lyles misses 2-pt shot from 10 ft,,7-13,,
7:54.0,,,7-13,,Defensive rebound by N. Batum
7:49.0,,,7-13,,N. Batum misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by T. Lyles,,7-13,,
7:45.0,R. Gobert makes 2-pt shot at rim (assist by R. Neto),2,9-13,,
7:45.0,Shooting foul by P. Hairston (drawn by R. Gobert),,9-13,,
7:45.0,R. Gobert makes free throw 1 of 1,1,10-13,,
7:33.0,,,10-15,2,N. Batum makes 2-pt shot from 18 ft
7:11.0,G. Hayward makes 3-pt shot from 25 ft,3,13-15,,
6:53.0,,,13-18,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
6:39.0,G. Hayward makes 2-pt shot at rim (assist by T. Lyles),2,15-18,,
6:24.0,,,15-18,,C. Zeller misses 2-pt shot from 19 ft
6:24.0,,,15-18,,Offensive rebound by Team
6:24.0,Loose ball foul by R. Hood (drawn by M. Williams),,15-18,,
6:24.0,T. Burke enters the game for R. Neto,,15-18,,
6:12.0,,,15-21,3,K. Walker makes 3-pt shot from 24 ft
5:51.0,T. Burke misses 3-pt shot from 24 ft,,15-21,,
5:50.0,,,15-21,,Defensive rebound by K. Walker
5:38.0,,,15-21,,C. Zeller misses 2-pt shot from 1 ft
5:37.0,Defensive rebound by R. Gobert,,15-21,,
5:27.0,G. Hayward makes 2-pt shot from 18 ft,2,17-21,,
5:10.0,,,17-21,,K. Walker misses 2-pt shot from 15 ft
5:09.0,Defensive rebound by R. Hood,,17-21,,
4:54.0,R. Hood misses 3-pt shot from 24 ft,,17-21,,
4:53.0,,,17-21,,Defensive rebound by M. Williams
4:49.0,,,17-21,,Charlotte full timeout
4:49.0,,,17-21,,F. Kaminsky enters the game for P. Hairston
4:37.0,,,17-21,,C. Zeller misses 2-pt shot from 1 ft
4:36.0,Defensive rebound by T. Lyles,,17-21,,
4:18.0,T. Burke makes 3-pt shot from 25 ft (assist by R. Hood),3,20-21,,
3:58.0,,,20-21,,K. Walker misses 2-pt shot from 10 ft
3:57.0,Defensive rebound by R. Gobert,,20-21,,
3:49.0,Shooting foul by C. Zeller (drawn by R. Gobert),,20-21,,
3:49.0,R. Gobert makes free throw 1 of 2,1,21-21,,
3:49.0,C. Johnson enters the game for T. Lyles,,21-21,,
3:49.0,T. Booker enters the game for R. Hood,,21-21,,
3:49.0,,,21-21,,J. Lin enters the game for N. Batum
