time,Toronto,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. A. Horford (J. Teague gains possession),,,,Jump ball: B. Biyombo vs. A. Horford (J. Teague gains possession)
11:42.0,,,0-2,2,A. Horford makes 2-pt shot from 1 ft (assist by T. Sefolosha)
11:27.0,K. Lowry misses 2-pt shot from 21 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by P. Millsap
11:18.0,,,0-2,,K. Korver misses 2-pt shot from 17 ft
11:17.0,Defensive rebound by K. Lowry,,0-2,,
11:05.0,L. Scola makes 2-pt shot from 4 ft,2,2-2,,
10:54.0,,,2-2,,K. Korver misses 2-pt shot from 18 ft
10:51.0,Defensive rebound by L. Scola,,2-2,,
10:39.0,Turnover by D. Carroll (traveling),,2-2,,
10:27.0,,,2-2,,P. Millsap misses 2-pt shot at rim (block by B. Biyombo)
10:23.0,Defensive rebound by L. Scola,,2-2,,
10:13.0,L. Scola misses 3-pt shot from 24 ft,,2-2,,
10:11.0,,,2-2,,Defensive rebound by T. Sefolosha
10:03.0,,,2-2,,K. Korver misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by L. Scola,,2-2,,
9:42.0,D. DeRozan makes 3-pt shot from 22 ft,3,5-2,,
9:27.0,,,5-4,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by J. Teague)
9:19.0,Offensive foul by B. Biyombo,,5-4,,
9:19.0,Turnover by B. Biyombo (offensive foul),,5-4,,
9:04.0,,,5-6,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by P. Millsap)
8:56.0,,,5-6,,Personal foul by A. Horford (drawn by K. Lowry)
8:50.0,D. DeRozan misses 2-pt shot from 12 ft,,5-6,,
8:48.0,Offensive rebound by B. Biyombo,,5-6,,
8:47.0,B. Biyombo makes 2-pt shot at rim,2,7-6,,
8:35.0,,,7-6,,J. Teague misses 2-pt shot from 18 ft
8:33.0,,,7-6,,Offensive rebound by A. Horford
8:30.0,,,7-6,,K. Korver misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by L. Scola,,7-6,,
8:19.0,D. DeRozan makes 2-pt shot from 2 ft,2,9-6,,
8:07.0,,,9-6,,J. Teague misses 2-pt shot from 4 ft
8:04.0,Defensive rebound by D. DeRozan,,9-6,,
7:55.0,K. Lowry misses 3-pt shot from 24 ft,,9-6,,
7:54.0,,,9-6,,Defensive rebound by J. Teague
7:50.0,,,9-6,,Shooting foul by D. Carroll (drawn by A. Horford)
7:50.0,,,9-6,,A. Horford misses free throw 1 of 2
7:50.0,,,9-6,,Offensive rebound by Team
7:50.0,,,9-7,1,A. Horford makes free throw 2 of 2
7:38.0,L. Scola misses 2-pt shot from 19 ft,,9-7,,
7:36.0,,,9-7,,Defensive rebound by T. Sefolosha
7:32.0,Personal foul by L. Scola (drawn by P. Millsap),,9-7,,
7:25.0,,,9-7,,A. Horford misses 3-pt shot from 23 ft
7:24.0,,,9-7,,Offensive rebound by J. Teague
7:13.0,,,9-7,,A. Horford misses 2-pt shot from 5 ft
7:11.0,Defensive rebound by L. Scola,,9-7,,
6:54.0,D. DeRozan misses 2-pt shot from 15 ft,,9-7,,
6:52.0,Offensive rebound by B. Biyombo,,9-7,,
6:35.0,D. Carroll misses 3-pt shot from 24 ft,,9-7,,
6:33.0,,,9-7,,Defensive rebound by K. Korver
6:23.0,,,9-9,2,A. Horford makes 2-pt shot from 12 ft (assist by J. Teague)
5:58.0,Turnover by D. Carroll (lost ball; steal by P. Millsap),,9-9,,
5:52.0,,,9-11,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by J. Teague)
5:48.0,Toronto full timeout,,9-11,,
5:48.0,,,9-11,,M. Muscala enters the game for A. Horford
5:48.0,P. Patterson enters the game for L. Scola,,9-11,,
5:37.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,12-11,,
5:20.0,,,12-13,2,P. Millsap makes 2-pt shot from 17 ft (assist by J. Teague)
5:11.0,,,12-13,,Personal foul by M. Muscala (drawn by K. Lowry)
5:11.0,,,12-13,,K. Bazemore enters the game for K. Korver
5:11.0,C. Joseph enters the game for D. Carroll,,12-13,,
5:02.0,Turnover by D. DeRozan (lost ball),,12-13,,
4:49.0,,,12-13,,Turnover by J. Teague (lost ball; steal by C. Joseph)
4:32.0,D. DeRozan misses 2-pt shot from 1 ft (block by M. Muscala),,12-13,,
4:32.0,Offensive rebound by Team,,12-13,,
4:32.0,,,12-13,,D. Schroder enters the game for J. Teague
4:29.0,P. Patterson misses 2-pt shot from 17 ft,,12-13,,
4:27.0,,,12-13,,Defensive rebound by K. Bazemore
4:12.0,,,12-13,,D. Schroder misses 2-pt shot from 2 ft (block by B. Biyombo)
4:10.0,,,12-13,,Offensive rebound by D. Schroder
4:06.0,,,12-13,,P. Millsap misses 2-pt shot from 13 ft
4:05.0,Defensive rebound by B. Biyombo,,12-13,,
3:55.0,P. Patterson misses 3-pt shot from 23 ft,,12-13,,
3:53.0,,,12-13,,Defensive rebound by D. Schroder
3:47.0,,,12-13,,Turnover by D. Schroder (bad pass; steal by K. Lowry)
3:39.0,K. Lowry makes 2-pt shot at rim,2,14-13,,
3:25.0,,,14-13,,T. Sefolosha misses 2-pt shot from 17 ft (block by D. DeRozan)
3:25.0,,,14-13,,Offensive rebound by Team
3:25.0,L. Scola enters the game for B. Biyombo,,14-13,,
3:23.0,,,14-13,,Shooting foul by P. Patterson (drawn by P. Millsap)
3:23.0,,,14-14,1,P. Millsap makes free throw 1 of 2
3:23.0,,,14-15,1,P. Millsap makes free throw 2 of 2
3:05.0,K. Lowry misses 3-pt shot from 25 ft,,14-15,,
3:04.0,,,14-15,,Defensive rebound by M. Muscala
2:51.0,,,14-15,,D. Schroder misses 3-pt shot from 24 ft
2:50.0,,,14-15,,Offensive rebound by Team
2:50.0,Loose ball foul by D. DeRozan (drawn by T. Sefolosha),,14-15,,
2:50.0,,,14-15,,Atlanta full timeout
2:50.0,,,14-15,,L. Patterson enters the game for T. Sefolosha
2:50.0,T. Ross enters the game for K. Lowry,,14-15,,
2:45.0,Personal foul by T. Ross (drawn by K. Bazemore),,14-15,,
2:45.0,,,14-16,1,K. Bazemore makes free throw 1 of 2
2:45.0,,,14-16,,K. Bazemore misses free throw 2 of 2
2:44.0,Defensive rebound by L. Scola,,14-16,,
2:24.0,D. DeRozan makes 2-pt shot from 3 ft,2,16-16,,
2:00.0,,,16-16,,L. Patterson misses 3-pt shot from 23 ft
1:58.0,,,16-16,,Offensive rebound by M. Muscala
1:50.0,,,16-18,2,D. Schroder makes 2-pt shot from 15 ft
1:36.0,,,16-18,,Personal foul by M. Muscala (drawn by C. Joseph)
1:36.0,,,16-18,,A. Horford enters the game for P. Millsap
1:21.0,T. Ross misses 3-pt shot from 25 ft,,16-18,,
1:20.0,,,16-18,,Defensive rebound by A. Horford
0:59.0,,,16-18,,D. Schroder misses 2-pt shot from 3 ft (block by P. Patterson)
0:59.0,Jump ball: P. Patterson vs. D. Schroder (D. DeRozan gains possession),,,,Jump ball: P. Patterson vs. D. Schroder (D. DeRozan gains possession)
0:59.0,Offensive rebound by Team,,16-18,,
0:43.0,D. DeRozan misses 2-pt shot from 19 ft,,16-18,,
0:41.0,,,16-18,,Defensive rebound by A. Horford
0:23.0,,,16-18,,K. Bazemore misses 2-pt shot from 1 ft
0:21.0,Defensive rebound by L. Scola,,16-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,C. Joseph misses 2-pt shot from 19 ft (block by A. Horford),,16-18,,
11:36.0,,,16-18,,Defensive rebound by A. Horford
11:31.0,,,16-21,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
11:15.0,T. Ross misses 2-pt shot from 11 ft,,16-21,,
11:12.0,,,16-21,,Defensive rebound by M. Scott
11:05.0,,,16-23,2,D. Schroder makes 2-pt shot from 1 ft
10:42.0,Offensive foul by P. Patterson,,16-23,,
10:42.0,Turnover by P. Patterson (offensive foul),,16-23,,
10:42.0,B. Biyombo enters the game for P. Patterson,,16-23,,
10:42.0,,,16-23,,K. Korver enters the game for T. Sefolosha
10:27.0,,,16-23,,Turnover by M. Scott (lost ball; steal by L. Scola)
10:09.0,L. Scola makes 2-pt shot from 4 ft (assist by K. Lowry),2,18-23,,
9:46.0,,,18-26,3,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder)
9:17.0,Turnover by T. Ross (bad pass; steal by K. Bazemore),,18-26,,
9:10.0,,,18-26,,K. Bazemore misses 2-pt shot from 1 ft
9:08.0,,,18-26,,Offensive rebound by M. Scott
9:08.0,,,18-26,,M. Scott misses 2-pt shot at rim
9:04.0,Defensive rebound by L. Scola,,18-26,,
8:56.0,Turnover by L. Scola (lost ball; steal by D. Schroder),,18-26,,
8:52.0,,,18-28,2,A. Horford makes 2-pt shot from 1 ft (assist by D. Schroder)
8:46.0,Toronto full timeout,,18-28,,
8:37.0,Shooting foul by K. Bazemore (drawn by K. Lowry),,18-28,,
8:37.0,K. Lowry makes free throw 1 of 2,1,19-28,,
8:37.0,K. Lowry makes free throw 2 of 2,1,20-28,,
8:26.0,,,20-28,,D. Schroder misses 3-pt shot from 24 ft
8:24.0,,,20-28,,Offensive rebound by A. Horford
8:16.0,,,20-28,,K. Bazemore misses 2-pt shot from 13 ft
8:14.0,Defensive rebound by B. Biyombo,,20-28,,
8:00.0,Shooting foul by K. Bazemore (drawn by K. Lowry),,20-28,,
