time,Miami,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Stoudemire (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. A. Stoudemire (T. Gibson gains possession)
11:46.0,,,0-0,,Turnover by E. Moore (step out of bounds)
11:32.0,D. Wade misses 2-pt shot from 2 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by T. Gibson
11:11.0,,,0-2,2,T. Gibson makes 2-pt shot from 4 ft
10:53.0,L. Deng misses 2-pt shot from 16 ft,,0-2,,
10:52.0,,,0-2,,Defensive rebound by P. Gasol
10:43.0,,,0-2,,Turnover by T. Gibson (3 sec)
10:30.0,Turnover by J. Johnson (lost ball; steal by M. Dunleavy),,0-2,,
10:14.0,,,0-4,2,T. Gibson makes 2-pt shot from 2 ft
9:53.0,L. Deng misses 2-pt shot from 1 ft,,0-4,,
9:51.0,,,0-4,,Defensive rebound by T. Gibson
9:41.0,,,0-4,,E. Moore misses 2-pt shot from 10 ft (block by G. Dragic)
9:41.0,,,0-4,,Offensive rebound by Team
9:39.0,,,0-6,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol)
9:24.0,G. Dragic makes 2-pt shot from 18 ft,2,2-6,,
9:06.0,,,2-8,2,J. Holiday makes 2-pt shot from 9 ft (assist by T. Gibson)
8:50.0,D. Wade makes 2-pt shot from 6 ft (assist by G. Dragic),2,4-8,,
8:30.0,,,4-8,,J. Holiday misses 2-pt shot from 11 ft
8:30.0,,,4-8,,Offensive rebound by Team
8:24.0,,,4-8,,Turnover by J. Holiday (bad pass)
8:13.0,G. Dragic misses 2-pt shot from 9 ft,,4-8,,
8:12.0,,,4-8,,Defensive rebound by T. Gibson
8:05.0,,,4-10,2,J. Holiday makes 2-pt shot from 19 ft
7:38.0,G. Dragic misses 2-pt shot from 14 ft (block by P. Gasol),,4-10,,
7:36.0,,,4-10,,Defensive rebound by P. Gasol
7:26.0,,,4-10,,E. Moore misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by L. Deng,,4-10,,
7:21.0,D. Wade misses 2-pt shot at rim (block by J. Holiday),,4-10,,
7:21.0,Offensive rebound by Team,,4-10,,
7:07.0,D. Wade misses 2-pt shot from 1 ft (block by J. Holiday),,4-10,,
7:05.0,Offensive rebound by D. Wade,,4-10,,
7:04.0,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade),2,6-10,,
6:52.0,,,6-12,2,P. Gasol makes 2-pt shot from 1 ft (assist by M. Dunleavy)
6:33.0,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic),3,9-12,,
6:15.0,,,9-12,,P. Gasol misses 2-pt shot from 13 ft
6:12.0,Defensive rebound by L. Deng,,9-12,,
5:57.0,A. Stoudemire makes 2-pt shot from 1 ft,2,11-12,,
5:43.0,,,11-12,,T. Gibson misses 2-pt shot from 2 ft
5:42.0,Defensive rebound by L. Deng,,11-12,,
5:33.0,Shooting foul by M. Dunleavy (drawn by J. Johnson),,11-12,,
5:33.0,,,11-12,,Chicago full timeout
5:33.0,,,11-12,,D. McDermott enters the game for M. Dunleavy
5:33.0,,,11-12,,N. Mirotic enters the game for T. Gibson
5:33.0,J. Richardson enters the game for L. Deng,,11-12,,
5:33.0,J. Winslow enters the game for G. Dragic,,11-12,,
5:33.0,J. Johnson makes free throw 1 of 2,1,12-12,,
5:33.0,J. Johnson makes free throw 2 of 2,1,13-12,,
5:17.0,,,13-14,2,N. Mirotic makes 2-pt shot at rim (assist by P. Gasol)
4:56.0,Turnover by A. Stoudemire (lost ball; steal by D. McDermott),,13-14,,
4:51.0,,,13-14,,Shooting foul by J. Winslow (drawn by N. Mirotic)
4:51.0,,,13-15,1,N. Mirotic makes free throw 1 of 2
4:51.0,,,13-15,,A. Brooks enters the game for E. Moore
4:51.0,,,13-16,1,N. Mirotic makes free throw 2 of 2
4:43.0,Shooting foul by N. Mirotic (drawn by D. Wade),,13-16,,
4:43.0,D. Wade misses free throw 1 of 2,,13-16,,
4:43.0,Offensive rebound by Team,,13-16,,
4:43.0,D. Wade makes free throw 2 of 2,1,14-16,,
4:36.0,,,14-16,,Shooting foul by J. Johnson (drawn by N. Mirotic)
4:36.0,,,14-17,1,N. Mirotic makes free throw 1 of 2
4:36.0,,,14-18,1,N. Mirotic makes free throw 2 of 2
4:20.0,J. Richardson misses 3-pt shot from 24 ft,,14-18,,
4:19.0,,,14-18,,Defensive rebound by P. Gasol
3:55.0,,,14-21,3,D. McDermott makes 3-pt shot from 24 ft (assist by P. Gasol)
3:40.0,J. Winslow makes 2-pt shot from 21 ft (assist by J. Richardson),2,16-21,,
3:28.0,,,16-24,3,P. Gasol makes 3-pt shot from 24 ft (assist by A. Brooks)
3:21.0,Miami full timeout,,16-24,,
3:21.0,H. Whiteside enters the game for A. Stoudemire,,16-24,,
