time,Denver,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. N. Jokic (K. Faried gains possession),,,,Jump ball: D. Dedmon vs. N. Jokic (K. Faried gains possession)
11:47.0,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris),2,2-0,,
11:32.0,,,2-0,,V. Oladipo misses 2-pt shot from 21 ft
11:31.0,,,2-0,,Offensive rebound by B. Jennings
11:20.0,,,2-2,2,E. Fournier makes 2-pt shot from 7 ft
10:58.0,E. Mudiay misses 2-pt shot from 2 ft,,2-2,,
10:56.0,,,2-2,,Defensive rebound by A. Gordon
10:49.0,Personal foul by J. Sampson,,2-2,,
10:34.0,,,2-2,,D. Dedmon misses 2-pt shot from 11 ft
10:33.0,,,2-2,,Offensive rebound by A. Gordon
10:23.0,,,2-4,2,A. Gordon makes 2-pt shot from 18 ft
10:11.0,Turnover by G. Harris (lost ball),,2-4,,
10:03.0,,,2-4,,E. Fournier misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by E. Mudiay,,2-4,,
9:50.0,K. Faried makes 2-pt shot from 1 ft (assist by N. Jokic),2,4-4,,
9:32.0,,,4-7,3,A. Gordon makes 3-pt shot from 24 ft (assist by B. Jennings)
9:30.0,Denver full timeout,,4-7,,
9:13.0,Turnover by N. Jokic (lost ball; steal by D. Dedmon),,4-7,,
9:08.0,,,4-9,2,V. Oladipo makes 2-pt shot at rim
8:54.0,J. Sampson makes 2-pt shot at rim (assist by K. Faried),2,6-9,,
8:35.0,,,6-11,2,A. Gordon makes 2-pt shot from 16 ft (assist by B. Jennings)
8:18.0,G. Harris misses 2-pt shot from 2 ft,,6-11,,
8:16.0,Offensive rebound by N. Jokic,,6-11,,
8:16.0,N. Jokic makes 2-pt shot from 1 ft,2,8-11,,
7:58.0,,,8-13,2,A. Gordon makes 2-pt shot at rim (assist by V. Oladipo)
7:36.0,N. Jokic makes 3-pt shot from 24 ft (assist by E. Mudiay),3,11-13,,
7:22.0,,,11-13,,D. Dedmon misses 2-pt shot from 2 ft
7:21.0,Defensive rebound by K. Faried,,11-13,,
7:11.0,Turnover by J. Sampson (lost ball; steal by B. Jennings),,11-13,,
7:07.0,,,11-15,2,B. Jennings makes 2-pt shot from 1 ft
6:50.0,E. Mudiay misses 3-pt shot from 24 ft,,11-15,,
6:48.0,Offensive rebound by K. Faried,,11-15,,
6:46.0,K. Faried makes 2-pt shot from 2 ft,2,13-15,,
6:31.0,,,13-18,3,A. Gordon makes 3-pt shot from 23 ft (assist by E. Fournier)
6:17.0,J. Sampson misses 3-pt shot from 23 ft,,13-18,,
6:15.0,Offensive rebound by N. Jokic,,13-18,,
6:15.0,Shooting foul by D. Dedmon (drawn by K. Faried),,13-18,,
6:15.0,K. Faried misses free throw 1 of 2,,13-18,,
6:15.0,Offensive rebound by Team,,13-18,,
6:15.0,J. Lauvergne enters the game for N. Jokic,,13-18,,
6:15.0,A. Toupane enters the game for J. Sampson,,13-18,,
6:15.0,K. Faried makes free throw 2 of 2,1,14-18,,
6:06.0,D. Arthur enters the game for K. Faried,,14-18,,
5:59.0,,,14-21,3,E. Fournier makes 3-pt shot from 24 ft (assist by B. Jennings)
5:41.0,J. Lauvergne misses 2-pt shot from 7 ft,,14-21,,
5:40.0,,,14-21,,Defensive rebound by Team
5:40.0,,,14-21,,J. Smith enters the game for D. Dedmon
5:29.0,,,14-23,2,E. Fournier makes 2-pt shot from 2 ft (assist by V. Oladipo)
5:28.0,Denver full timeout,,14-23,,
5:28.0,D. Augustin enters the game for G. Harris,,14-23,,
5:28.0,W. Barton enters the game for E. Mudiay,,14-23,,
5:10.0,D. Arthur makes 2-pt shot from 17 ft (assist by D. Augustin),2,16-23,,
4:46.0,,,16-26,3,E. Fournier makes 3-pt shot from 24 ft
4:22.0,D. Augustin misses 2-pt shot from 2 ft (block by V. Oladipo),,16-26,,
4:19.0,,,16-26,,Defensive rebound by J. Smith
4:12.0,,,16-26,,B. Jennings misses 3-pt shot from 22 ft
4:11.0,Defensive rebound by A. Toupane,,16-26,,
3:56.0,A. Toupane makes 3-pt shot from 23 ft (assist by J. Lauvergne),3,19-26,,
3:39.0,,,19-28,2,J. Smith makes 2-pt shot from 19 ft (assist by V. Oladipo)
3:25.0,Turnover by D. Augustin (bad pass),,19-28,,
3:25.0,,,19-28,,E. Ilyasova enters the game for A. Gordon
3:25.0,,,19-28,,C. Watson enters the game for B. Jennings
3:11.0,,,19-28,,J. Smith misses 2-pt shot from 20 ft
3:10.0,Defensive rebound by D. Arthur,,19-28,,
3:00.0,J. Lauvergne makes 2-pt shot from 8 ft,2,21-28,,
2:39.0,,,21-28,,J. Smith misses 2-pt shot from 1 ft
2:38.0,Defensive rebound by J. Lauvergne,,21-28,,
2:36.0,,,21-28,,M. Hezonja enters the game for E. Fournier
2:26.0,J. Lauvergne makes 2-pt shot from 4 ft (assist by D. Augustin),2,23-28,,
2:05.0,,,23-30,2,J. Smith makes 2-pt shot from 10 ft (assist by M. Hezonja)
1:48.0,W. Barton makes 2-pt shot at rim (assist by D. Augustin),2,25-30,,
1:30.0,,,25-32,2,V. Oladipo makes 2-pt shot from 20 ft
1:15.0,A. Toupane misses 3-pt shot from 23 ft,,25-32,,
1:15.0,,,25-32,,Defensive rebound by Team
1:15.0,Loose ball foul by J. Lauvergne,,25-32,,
1:15.0,,,25-32,,Orlando full timeout
1:00.0,,,25-32,,M. Hezonja misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by D. Arthur,,25-32,,
0:51.0,A. Toupane misses 2-pt shot from 11 ft,,25-32,,
0:49.0,,,25-32,,Defensive rebound by E. Ilyasova
0:36.0,,,25-32,,J. Smith misses 2-pt shot from 13 ft
0:35.0,Defensive rebound by J. Lauvergne,,25-32,,
0:22.0,D. Augustin misses 2-pt shot from 1 ft,,25-32,,
0:20.0,,,25-32,,Defensive rebound by J. Smith
0:15.0,,,25-32,,V. Oladipo misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by D. Augustin,,25-32,,
0:12.0,,,25-32,,Personal take foul by C. Watson
0:00.0,W. Barton misses 2-pt shot from 21 ft,,25-32,,
0:00.0,Offensive rebound by Team,,25-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-34,2,J. Smith makes 2-pt shot from 11 ft (assist by M. Hezonja)
11:24.0,J. Lauvergne makes 2-pt shot from 7 ft (assist by D. Arthur),2,27-34,,
10:57.0,,,27-34,,C. Watson misses 3-pt shot from 23 ft
10:55.0,Defensive rebound by D. Arthur,,27-34,,
10:40.0,D. Arthur misses 3-pt shot from 24 ft,,27-34,,
10:38.0,,,27-34,,Defensive rebound by M. Hezonja
10:30.0,,,27-36,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by C. Watson)
10:16.0,A. Toupane misses 2-pt shot from 19 ft,,27-36,,
10:14.0,,,27-36,,Defensive rebound by J. Smith
9:59.0,,,27-36,,E. Fournier misses 2-pt shot from 7 ft
9:57.0,Defensive rebound by J. Lauvergne,,27-36,,
9:47.0,D. Arthur makes 2-pt shot from 1 ft (assist by D. Augustin),2,29-36,,
9:38.0,,,29-36,,C. Watson misses 2-pt shot from 16 ft
9:37.0,Defensive rebound by D. Augustin,,29-36,,
9:26.0,D. Arthur misses 2-pt shot from 16 ft,,29-36,,
9:24.0,Offensive rebound by W. Barton,,29-36,,
9:21.0,Shooting foul by J. Smith (drawn by W. Barton),,29-36,,
9:21.0,W. Barton makes free throw 1 of 2,1,30-36,,
9:21.0,W. Barton makes free throw 2 of 2,1,31-36,,
9:05.0,,,31-39,3,E. Fournier makes 3-pt shot from 22 ft (assist by C. Watson)
8:47.0,Shooting foul by J. Smith (drawn by W. Barton),,31-39,,
8:47.0,Official timeout,,31-39,,
8:47.0,,,31-39,,D. Dedmon enters the game for J. Smith
8:47.0,W. Barton makes free throw 1 of 2,1,32-39,,
8:47.0,W. Barton makes free throw 2 of 2,1,33-39,,
8:33.0,,,33-39,,Turnover by E. Fournier (lost ball)
8:17.0,J. Lauvergne makes 2-pt shot from 5 ft,2,35-39,,
7:51.0,,,35-41,2,C. Watson makes 2-pt shot from 1 ft (assist by M. Hezonja)
