time,Memphis,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Jokic (M. Conley gains possession),,,,Jump ball: M. Gasol vs. N. Jokic (M. Conley gains possession)
11:33.0,Z. Randolph makes 2-pt shot from 19 ft,2,2-0,,
11:08.0,,,2-2,2,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay)
10:52.0,Shooting foul by D. Gallinari (drawn by M. Conley),,2-2,,
10:52.0,M. Conley makes free throw 1 of 2,1,3-2,,
10:52.0,M. Conley makes free throw 2 of 2,1,4-2,,
10:46.0,Personal foul by M. Conley (drawn by E. Mudiay),,4-2,,
10:36.0,,,4-2,,G. Harris misses 2-pt shot from 16 ft
10:35.0,Defensive rebound by Z. Randolph,,4-2,,
10:17.0,M. Gasol makes 2-pt shot from 13 ft,2,6-2,,
10:05.0,,,6-2,,Shooting foul by M. Gasol (drawn by N. Jokic)
10:05.0,,,6-3,1,N. Jokic makes free throw 1 of 2
10:05.0,,,6-4,1,N. Jokic makes free throw 2 of 2
9:52.0,Turnover by M. Gasol (lost ball; steal by N. Jokic),,6-4,,
9:48.0,,,6-4,,Shooting foul by M. Barnes (drawn by N. Jokic)
9:48.0,,,6-5,1,N. Jokic makes free throw 1 of 2
9:48.0,,,6-6,1,N. Jokic makes free throw 2 of 2
9:36.0,,,6-6,,Personal foul by N. Jokic (drawn by M. Gasol)
9:27.0,M. Barnes makes 3-pt shot from 25 ft (assist by M. Conley),3,9-6,,
9:07.0,,,9-8,2,D. Gallinari makes 2-pt shot from 1 ft (assist by G. Harris)
8:46.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Barnes),3,12-8,,
8:35.0,,,12-8,,G. Harris misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by M. Conley,,12-8,,
8:16.0,Z. Randolph makes 2-pt shot at rim (assist by M. Barnes),2,14-8,,
8:02.0,,,14-11,3,D. Gallinari makes 3-pt shot from 26 ft (assist by N. Jokic)
