time,Philadelphia,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Noel (T. Young gains possession),,,,Jump ball: B. Lopez vs. N. Noel (T. Young gains possession)
11:43.0,,,0-0,,B. Lopez misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by I. Smith,,0-0,,
11:25.0,I. Smith makes 3-pt shot from 25 ft,3,3-0,,
11:06.0,,,3-0,,W. Ellington misses 2-pt shot from 19 ft
11:05.0,Defensive rebound by N. Noel,,3-0,,
10:54.0,Turnover by N. Noel (lost ball; steal by T. Young),,3-0,,
10:47.0,,,3-0,,T. Young misses 2-pt shot from 15 ft
10:46.0,,,3-0,,Offensive rebound by B. Bogdanovic
10:45.0,,,3-0,,Shooting foul by I. Smith (drawn by B. Bogdanovic)
10:45.0,,,3-1,1,B. Bogdanovic makes free throw 1 of 2
10:45.0,,,3-2,1,B. Bogdanovic makes free throw 2 of 2
10:35.0,N. Noel misses 2-pt shot from 2 ft,,3-2,,
10:32.0,,,3-2,,Defensive rebound by T. Young
10:23.0,,,3-4,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young)
10:10.0,I. Smith misses 2-pt shot from 1 ft (block by T. Young),,3-4,,
10:09.0,Offensive rebound by Team,,3-4,,
9:57.0,N. Noel misses 2-pt shot at rim,,3-4,,
9:56.0,,,3-4,,Defensive rebound by T. Young
9:35.0,,,3-4,,B. Lopez misses 2-pt shot from 8 ft
9:34.0,Defensive rebound by C. Landry,,3-4,,
9:23.0,I. Smith misses 2-pt shot from 9 ft,,3-4,,
9:18.0,Offensive rebound by Team,,3-4,,
9:14.0,I. Canaan misses 3-pt shot from 23 ft,,3-4,,
9:13.0,,,3-4,,Defensive rebound by B. Bogdanovic
9:09.0,,,3-4,,Shooting foul by H. Thompson (drawn by B. Bogdanovic)
9:09.0,,,3-6,2,B. Bogdanovic makes 2-pt shot from 2 ft
9:09.0,,,3-7,1,B. Bogdanovic makes free throw 1 of 1
9:00.0,H. Thompson makes 2-pt shot at rim (assist by N. Noel),2,5-7,,
8:43.0,,,5-9,2,B. Bogdanovic makes 2-pt shot from 4 ft
8:33.0,N. Noel misses 2-pt shot from 16 ft,,5-9,,
8:32.0,,,5-9,,Defensive rebound by W. Ellington
8:18.0,,,5-9,,Turnover by Team (5 sec)
8:05.0,C. Landry misses 2-pt shot from 19 ft,,5-9,,
8:04.0,,,5-9,,Defensive rebound by W. Ellington
7:51.0,,,5-12,3,W. Ellington makes 3-pt shot from 22 ft (assist by B. Bogdanovic)
