time,Brooklyn,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. B. Lopez (T. Young gains possession),,,,Jump ball: N. Jokic vs. B. Lopez (T. Young gains possession)
11:38.0,,,0-0,,Personal block foul by J. Sampson (drawn by D. Sloan)
11:26.0,B. Lopez misses 2-pt shot from 19 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by K. Faried
11:05.0,,,0-2,2,K. Faried makes 2-pt shot from 17 ft (assist by J. Sampson)
10:44.0,D. Sloan makes 2-pt shot from 1 ft (assist by B. Lopez),2,2-2,,
10:26.0,,,2-2,,E. Mudiay misses 2-pt shot from 6 ft
10:26.0,,,2-2,,Offensive rebound by N. Jokic
10:24.0,,,2-2,,N. Jokic misses 2-pt shot from 1 ft
10:23.0,,,2-2,,Offensive rebound by K. Faried
10:23.0,,,2-4,2,K. Faried makes 2-pt shot at rim
10:14.0,Turnover by D. Sloan (bad pass; steal by G. Harris),,2-4,,
10:10.0,,,2-6,2,G. Harris makes 2-pt shot at rim
9:50.0,Turnover by W. Ellington (bad pass; steal by N. Jokic),,2-6,,
9:44.0,,,2-8,2,E. Mudiay makes 2-pt shot at rim (assist by N. Jokic)
9:29.0,,,2-8,,Personal foul by E. Mudiay (drawn by D. Sloan)
9:23.0,Turnover by B. Bogdanovic (bad pass; steal by E. Mudiay),,2-8,,
9:18.0,,,2-10,2,G. Harris makes 2-pt shot at rim (assist by E. Mudiay)
9:18.0,Brooklyn full timeout,,2-10,,
9:00.0,W. Ellington makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,5-10,,
8:39.0,,,5-13,3,E. Mudiay makes 3-pt shot from 23 ft (assist by G. Harris)
8:19.0,Turnover by W. Ellington (bad pass),,5-13,,
8:08.0,Personal foul by W. Ellington (drawn by N. Jokic),,5-13,,
8:02.0,,,5-13,,Turnover by E. Mudiay (bad pass; steal by B. Lopez)
7:42.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by D. Sloan),3,8-13,,
7:24.0,,,8-13,,Turnover by N. Jokic (traveling)
7:09.0,B. Bogdanovic makes 2-pt shot from 11 ft (assist by T. Young),2,10-13,,
7:01.0,,,10-13,,Turnover by J. Sampson (traveling)
6:45.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by W. Ellington),3,13-13,,
6:45.0,,,13-13,,Denver full timeout
6:34.0,,,13-13,,Shooting foul by B. Lopez (drawn by K. Faried)
6:34.0,,,13-14,1,K. Faried makes free throw 1 of 2
6:34.0,,,13-15,1,K. Faried makes free throw 2 of 2
6:14.0,B. Lopez makes 2-pt shot from 2 ft,2,15-15,,
6:06.0,,,15-15,,N. Jokic misses 3-pt shot from 26 ft
6:03.0,,,15-15,,Offensive rebound by K. Faried
6:03.0,,,15-15,,K. Faried misses 2-pt shot from 1 ft
6:02.0,,,15-15,,Offensive rebound by K. Faried
6:02.0,,,15-15,,K. Faried misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by D. Sloan,,15-15,,
5:50.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Sloan),3,18-15,,
5:37.0,,,18-17,2,N. Jokic makes 2-pt shot from 5 ft (assist by E. Mudiay)
5:25.0,D. Sloan makes 2-pt shot from 19 ft,2,20-17,,
5:04.0,,,20-17,,E. Mudiay misses 2-pt shot from 19 ft (block by D. Sloan)
5:03.0,,,20-17,,Offensive rebound by E. Mudiay
5:01.0,,,20-17,,J. Sampson misses 3-pt shot from 23 ft
4:59.0,,,20-17,,Offensive rebound by N. Jokic
4:59.0,,,20-19,2,N. Jokic makes 2-pt shot at rim
4:48.0,D. Sloan misses 2-pt shot from 18 ft,,20-19,,
4:47.0,,,20-19,,Defensive rebound by G. Harris
4:29.0,,,20-19,,E. Mudiay misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by B. Lopez,,20-19,,
4:06.0,D. Sloan makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,23-19,,
3:43.0,,,23-19,,Turnover by N. Jokic (lost ball; steal by W. Ellington)
3:32.0,B. Bogdanovic misses 2-pt shot from 20 ft (block by E. Mudiay),,23-19,,
3:30.0,,,23-19,,Defensive rebound by E. Mudiay
3:25.0,,,23-21,2,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay)
3:04.0,B. Lopez makes 2-pt shot from 8 ft (assist by T. Young),2,25-21,,
2:44.0,,,25-21,,J. Sampson misses 3-pt shot from 24 ft
2:43.0,Defensive rebound by Team,,25-21,,
2:43.0,,,25-21,,W. Barton enters the game for N. Jokic
2:43.0,,,25-21,,J. Lauvergne enters the game for J. Sampson
2:23.0,D. Sloan misses 3-pt shot from 25 ft,,25-21,,
2:23.0,,,25-21,,Defensive rebound by K. Faried
2:19.0,,,25-23,2,E. Mudiay makes 2-pt shot at rim (assist by K. Faried)
