time,Denver,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Lauvergne vs. K. Towns (K. Faried gains possession),,,,Jump ball: J. Lauvergne vs. K. Towns (K. Faried gains possession)
11:36.0,D. Gallinari misses 2-pt shot from 21 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by K. Garnett
11:26.0,,,0-3,3,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio)
11:13.0,Turnover by D. Gallinari (traveling),,0-3,,
10:59.0,,,0-3,,A. Wiggins misses 2-pt shot from 17 ft
10:58.0,Defensive rebound by J. Lauvergne,,0-3,,
10:47.0,Offensive charge foul by J. Lauvergne,,0-3,,
10:47.0,Turnover by J. Lauvergne (offensive foul),,0-3,,
10:37.0,,,0-3,,Turnover by A. Wiggins (bad pass; steal by J. Nelson)
10:24.0,G. Harris makes 2-pt shot at rim,2,2-3,,
10:08.0,,,2-3,,A. Wiggins misses 2-pt shot from 2 ft
10:08.0,Defensive rebound by Team,,2-3,,
9:42.0,G. Harris makes 2-pt shot from 14 ft,2,4-3,,
9:30.0,,,4-3,,K. Towns misses 2-pt shot from 12 ft
9:28.0,Defensive rebound by J. Lauvergne,,4-3,,
9:15.0,J. Lauvergne misses 2-pt shot from 4 ft,,4-3,,
9:14.0,,,4-3,,Defensive rebound by K. Garnett
9:07.0,,,4-3,,Shooting foul by J. Nelson (drawn by R. Rubio)
9:07.0,,,4-4,1,R. Rubio makes free throw 1 of 2
9:07.0,,,4-5,1,R. Rubio makes free throw 2 of 2
8:49.0,,,4-5,,Personal foul by A. Wiggins (drawn by D. Gallinari)
8:42.0,J. Nelson misses 2-pt shot from 20 ft,,4-5,,
8:41.0,,,4-5,,Defensive rebound by K. Towns
8:35.0,,,4-5,,Minnesota full timeout
8:26.0,,,4-7,2,K. Garnett makes 2-pt shot from 13 ft (assist by K. Martin)
7:59.0,K. Faried makes 2-pt shot from 15 ft (assist by D. Gallinari),2,6-7,,
7:43.0,,,6-9,2,A. Wiggins makes 2-pt shot from 9 ft (assist by K. Towns)
7:29.0,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari),2,8-9,,
7:10.0,,,8-9,,K. Garnett misses 2-pt shot from 20 ft
7:09.0,Defensive rebound by J. Lauvergne,,8-9,,
7:04.0,,,8-9,,Personal foul by R. Rubio (drawn by J. Nelson)
6:56.0,K. Faried misses 2-pt shot from 12 ft,,8-9,,
6:55.0,,,8-9,,Defensive rebound by K. Garnett
6:45.0,,,8-11,2,K. Garnett makes 2-pt shot from 20 ft (assist by K. Martin)
6:32.0,K. Faried misses 2-pt shot from 3 ft (block by K. Towns),,8-11,,
6:30.0,Offensive rebound by K. Faried,,8-11,,
6:30.0,,,8-11,,Personal foul by K. Garnett (drawn by K. Faried)
6:25.0,Turnover by J. Nelson (bad pass; steal by K. Garnett),,8-11,,
6:21.0,,,8-11,,K. Martin misses 2-pt shot from 2 ft
6:20.0,Defensive rebound by G. Harris,,8-11,,
6:12.0,Shooting foul by K. Garnett (drawn by K. Faried),,8-11,,
6:12.0,K. Faried misses free throw 1 of 2,,8-11,,
6:12.0,Offensive rebound by Team,,8-11,,
6:12.0,K. Faried misses free throw 2 of 2,,8-11,,
6:11.0,Offensive rebound by J. Lauvergne,,8-11,,
6:11.0,J. Lauvergne makes 2-pt shot from 1 ft,2,10-11,,
5:58.0,,,10-11,,Shooting foul by J. Nelson (drawn by R. Rubio)
5:58.0,,,10-12,1,R. Rubio makes free throw 1 of 2
5:58.0,,,10-12,,R. Rubio misses free throw 2 of 2
5:57.0,Defensive rebound by K. Faried,,10-12,,
5:57.0,,,10-12,,Personal foul by K. Towns (drawn by K. Faried)
5:57.0,,,10-12,,Technical foul by K. Towns (drawn by K. Faried)
5:57.0,D. Gallinari makes technical free throw,1,11-12,,
5:57.0,K. Faried makes free throw 1 of 2,1,12-12,,
5:57.0,K. Faried misses free throw 2 of 2,,12-12,,
5:56.0,,,12-12,,Defensive rebound by R. Rubio
5:45.0,,,12-12,,K. Martin misses 2-pt shot from 9 ft
5:43.0,,,12-12,,Offensive rebound by K. Garnett
5:40.0,,,12-12,,K. Towns misses 2-pt shot at rim
5:39.0,Defensive rebound by K. Faried,,12-12,,
5:33.0,J. Lauvergne makes 3-pt shot from 24 ft (assist by J. Nelson),3,15-12,,
5:16.0,,,15-12,,A. Wiggins misses 2-pt shot from 2 ft
5:14.0,Defensive rebound by J. Nelson,,15-12,,
5:10.0,K. Faried makes 2-pt shot from 1 ft (assist by D. Gallinari),2,17-12,,
4:55.0,Personal foul by J. Lauvergne (drawn by K. Towns),,17-12,,
4:55.0,,,17-12,,N. Bjelica enters the game for K. Garnett
4:55.0,,,17-12,,G. Dieng enters the game for K. Towns
4:55.0,D. Arthur enters the game for J. Lauvergne,,17-12,,
4:47.0,,,17-15,3,R. Rubio makes 3-pt shot from 25 ft (assist by K. Martin)
4:30.0,Shooting foul by N. Bjelica (drawn by K. Faried),,17-15,,
4:30.0,K. Faried makes free throw 1 of 2,1,18-15,,
4:30.0,R. Foye enters the game for J. Nelson,,18-15,,
4:30.0,K. Faried makes free throw 2 of 2,1,19-15,,
4:23.0,,,19-15,,R. Rubio misses 2-pt shot from 1 ft (block by K. Faried)
4:21.0,Defensive rebound by D. Gallinari,,19-15,,
4:06.0,D. Arthur makes 2-pt shot from 1 ft (assist by K. Faried),2,21-15,,
3:52.0,,,21-17,2,K. Martin makes 2-pt shot from 20 ft (assist by R. Rubio)
3:34.0,G. Harris misses 3-pt shot from 23 ft,,21-17,,
3:33.0,Offensive rebound by K. Faried,,21-17,,
3:31.0,K. Faried misses 2-pt shot at rim,,21-17,,
3:30.0,Offensive rebound by G. Harris,,21-17,,
3:15.0,R. Foye misses 2-pt shot from 18 ft,,21-17,,
3:14.0,,,21-17,,Defensive rebound by G. Dieng
3:04.0,Personal foul by G. Harris (drawn by N. Bjelica),,21-17,,
3:04.0,,,21-17,,Z. LaVine enters the game for R. Rubio
3:04.0,,,21-17,,T. Prince enters the game for K. Martin
3:04.0,W. Barton enters the game for G. Harris,,21-17,,
2:54.0,,,21-17,,Turnover by A. Wiggins (lost ball; steal by R. Foye)
2:44.0,D. Arthur misses 2-pt shot from 19 ft,,21-17,,
2:43.0,,,21-17,,Defensive rebound by G. Dieng
2:35.0,,,21-17,,Turnover by Z. LaVine (bad pass; steal by D. Arthur)
2:22.0,W. Barton makes 2-pt shot from 1 ft,2,23-17,,
2:06.0,,,23-19,2,N. Bjelica makes 2-pt shot at rim (assist by Z. LaVine)
