time,New York,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. K. Towns (K. Porzingis gains possession),,,,Jump ball: R. Lopez vs. K. Towns (K. Porzingis gains possession)
11:44.0,J. Calderon makes 2-pt shot from 21 ft,2,2-0,,
11:22.0,,,2-0,,R. Rubio misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by J. Calderon,,2-0,,
11:03.0,K. Porzingis misses 2-pt shot from 14 ft,,2-0,,
11:02.0,Offensive rebound by R. Lopez,,2-0,,
10:59.0,R. Lopez makes 2-pt shot from 4 ft,2,4-0,,
10:36.0,,,4-0,,K. Towns misses 2-pt shot from 14 ft
10:35.0,,,4-0,,Offensive rebound by G. Dieng
10:29.0,,,4-0,,T. Prince misses 3-pt shot from 22 ft
10:27.0,Defensive rebound by J. Calderon,,4-0,,
10:06.0,R. Lopez makes 2-pt shot from 6 ft,2,6-0,,
9:48.0,,,6-0,,A. Wiggins misses 2-pt shot from 16 ft
9:45.0,Defensive rebound by J. Calderon,,6-0,,
9:43.0,,,6-0,,Personal foul by R. Rubio (drawn by J. Calderon)
9:37.0,Shooting foul by T. Prince (drawn by C. Anthony),,6-0,,
9:37.0,C. Anthony misses free throw 1 of 2,,6-0,,
9:37.0,Offensive rebound by Team,,6-0,,
9:37.0,C. Anthony makes free throw 2 of 2,1,7-0,,
9:19.0,,,7-0,,A. Wiggins misses 2-pt shot from 7 ft
9:18.0,Defensive rebound by A. Afflalo,,7-0,,
9:06.0,K. Porzingis misses 2-pt shot from 1 ft (block by K. Towns),,7-0,,
9:05.0,Offensive rebound by Team,,7-0,,
9:02.0,Shooting foul by K. Towns (drawn by K. Porzingis),,7-0,,
9:02.0,K. Porzingis makes free throw 1 of 2,1,8-0,,
9:02.0,K. Porzingis makes free throw 2 of 2,1,9-0,,
8:49.0,,,9-0,,G. Dieng misses 2-pt shot from 6 ft
8:48.0,,,9-0,,Offensive rebound by K. Towns
8:48.0,,,9-0,,K. Towns misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by R. Lopez,,9-0,,
8:35.0,Turnover by J. Calderon (bad pass; steal by K. Towns),,9-0,,
8:32.0,,,9-0,,Shooting foul by J. Calderon (drawn by A. Wiggins)
8:32.0,,,9-1,1,A. Wiggins makes free throw 1 of 2
8:32.0,,,9-1,,A. Wiggins misses free throw 2 of 2
8:31.0,Defensive rebound by R. Lopez,,9-1,,
8:11.0,R. Lopez makes 2-pt shot from 4 ft (assist by A. Afflalo),2,11-1,,
8:03.0,,,11-1,,Minnesota full timeout
7:49.0,,,11-1,,G. Dieng misses 2-pt shot from 19 ft
7:47.0,Defensive rebound by K. Porzingis,,11-1,,
7:37.0,J. Calderon makes 3-pt shot from 23 ft (assist by C. Anthony),3,14-1,,
7:17.0,,,14-3,2,K. Towns makes 2-pt shot from 15 ft (assist by R. Rubio)
7:02.0,,,14-3,,Violation by G. Dieng (def goaltending)
