time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. G. Monroe (M. Dunleavy gains possession),,,,Jump ball: P. Gasol vs. G. Monroe (M. Dunleavy gains possession)
11:45.0,E. Moore misses 2-pt shot at rim,,0-0,,
11:43.0,,,0-0,,Defensive rebound by R. Vaughn
11:26.0,,,0-0,,J. Parker misses 3-pt shot from 22 ft
11:24.0,Defensive rebound by P. Gasol,,0-0,,
11:13.0,M. Dunleavy makes 3-pt shot from 23 ft (assist by P. Gasol),3,3-0,,
11:01.0,,,3-2,2,G. Antetokounmpo makes 2-pt shot at rim
10:42.0,Shooting foul by J. Parker (drawn by M. Dunleavy),,3-2,,
10:42.0,M. Dunleavy misses free throw 1 of 2,,3-2,,
10:42.0,Offensive rebound by Team,,3-2,,
10:42.0,M. Dunleavy makes free throw 2 of 2,1,4-2,,
10:22.0,,,4-4,2,G. Antetokounmpo makes 2-pt shot from 4 ft (assist by G. Monroe)
10:05.0,M. Dunleavy misses 3-pt shot from 27 ft,,4-4,,
10:04.0,,,4-4,,Defensive rebound by J. Parker
9:58.0,Personal foul by J. Butler,,4-4,,
9:46.0,,,4-4,,Turnover by D. Inglis (lost ball; steal by E. Moore)
9:22.0,B. Portis makes 2-pt shot from 5 ft,2,6-4,,
9:05.0,,,6-4,,J. Parker misses 2-pt shot from 18 ft
9:04.0,Defensive rebound by E. Moore,,6-4,,
8:41.0,P. Gasol makes 3-pt shot from 25 ft (assist by B. Portis),3,9-4,,
8:27.0,,,9-6,2,G. Antetokounmpo makes 2-pt shot at rim
8:13.0,B. Portis makes 2-pt shot at rim (assist by J. Butler),2,11-6,,
8:12.0,Violation by Team (delay of game),,11-6,,
8:02.0,,,11-6,,J. Parker misses 2-pt shot from 1 ft (block by M. Dunleavy)
8:02.0,,,11-6,,Offensive rebound by Team
7:55.0,,,11-6,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:53.0,,,11-6,,Offensive rebound by G. Monroe
7:51.0,Personal foul by M. Dunleavy,,11-6,,
7:46.0,,,11-6,,G. Antetokounmpo misses 2-pt shot from 16 ft
7:44.0,Defensive rebound by B. Portis,,11-6,,
7:33.0,B. Portis misses 3-pt shot from 26 ft,,11-6,,
7:32.0,,,11-6,,Defensive rebound by R. Vaughn
7:25.0,,,11-6,,R. Vaughn misses 3-pt shot from 24 ft
7:24.0,,,11-6,,Offensive rebound by Team
7:19.0,,,11-8,2,J. Parker makes 2-pt shot at rim (assist by D. Inglis)
6:51.0,P. Gasol misses 3-pt shot from 27 ft,,11-8,,
6:50.0,,,11-8,,Defensive rebound by D. Inglis
6:43.0,,,11-8,,D. Inglis misses 2-pt shot at rim
6:41.0,Defensive rebound by E. Moore,,11-8,,
6:26.0,P. Gasol makes 2-pt shot from 3 ft (assist by J. Butler),2,13-8,,
6:10.0,,,13-8,,G. Monroe misses 2-pt shot from 16 ft
6:09.0,Defensive rebound by P. Gasol,,13-8,,
5:48.0,E. Moore makes 2-pt shot from 8 ft,2,15-8,,
5:34.0,,,15-8,,Milwaukee full timeout
5:34.0,,,15-8,,T. Ennis enters the game for D. Inglis
5:23.0,,,15-8,,G. Monroe misses 2-pt shot from 3 ft
5:20.0,,,15-8,,Offensive rebound by J. Parker
5:20.0,,,15-10,2,J. Parker makes 2-pt shot at rim
5:00.0,P. Gasol makes 2-pt shot at rim (assist by E. Moore),2,17-10,,
4:46.0,,,17-12,2,G. Antetokounmpo makes 2-pt shot from 21 ft (assist by T. Ennis)
4:32.0,E. Moore misses 3-pt shot from 25 ft,,17-12,,
4:31.0,,,17-12,,Defensive rebound by G. Monroe
4:09.0,,,17-12,,Turnover by G. Antetokounmpo (lost ball; steal by E. Moore)
4:03.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by E. Moore),3,20-12,,
3:42.0,,,20-12,,Shooting foul by M. Dunleavy (drawn by G. Antetokounmpo)
3:42.0,,,20-14,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
3:42.0,N. Mirotic enters the game for M. Dunleavy,,20-14,,
3:42.0,A. Brooks enters the game for B. Portis,,20-14,,
3:42.0,J. Holiday enters the game for E. Moore,,20-14,,
3:42.0,,,20-14,,G. Antetokounmpo misses free throw 1 of 1
3:40.0,Defensive rebound by P. Gasol,,20-14,,
3:15.0,P. Gasol misses 3-pt shot from 26 ft,,20-14,,
3:14.0,Offensive rebound by J. Butler,,20-14,,
3:11.0,J. Butler makes 2-pt shot from 12 ft,2,22-14,,
2:50.0,,,22-16,2,J. Parker makes 2-pt shot from 14 ft (assist by G. Antetokounmpo)
2:36.0,J. Butler makes 2-pt shot from 10 ft (assist by A. Brooks),2,24-16,,
2:20.0,,,24-18,2,G. Antetokounmpo makes 2-pt shot at rim
1:59.0,N. Mirotic misses 2-pt shot from 12 ft,,24-18,,
1:58.0,,,24-18,,Defensive rebound by R. Vaughn
1:49.0,,,24-18,,G. Monroe misses 2-pt shot from 4 ft
1:48.0,Defensive rebound by P. Gasol,,24-18,,
1:46.0,,,24-18,,Personal foul by G. Antetokounmpo
1:46.0,Chicago full timeout,,24-18,,
1:46.0,,,24-18,,M. Plumlee enters the game for G. Monroe
1:46.0,D. McDermott enters the game for P. Gasol,,24-18,,
1:46.0,C. Felicio enters the game for J. Butler,,24-18,,
1:33.0,Turnover by A. Brooks (lost ball; steal by T. Ennis),,24-18,,
1:29.0,,,24-20,2,J. Parker makes 2-pt shot at rim (assist by T. Ennis)
1:17.0,C. Felicio misses 2-pt shot from 2 ft,,24-20,,
1:15.0,,,24-20,,Defensive rebound by G. Antetokounmpo
1:12.0,,,24-22,2,G. Antetokounmpo makes 2-pt shot at rim
1:12.0,,,24-22,,Shooting foul by J. Holiday (drawn by G. Antetokounmpo)
1:12.0,,,24-23,1,G. Antetokounmpo makes free throw 1 of 1
0:49.0,C. Felicio misses 2-pt shot from 4 ft,,24-23,,
0:48.0,,,24-23,,Defensive rebound by G. Antetokounmpo
0:39.0,,,24-23,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:37.0,Defensive rebound by C. Felicio,,24-23,,
0:29.0,D. McDermott misses 3-pt shot from 24 ft,,24-23,,
0:27.0,,,24-23,,Defensive rebound by T. Ennis
0:24.0,,,24-23,,Shooting foul by D. McDermott (drawn by G. Antetokounmpo)
0:24.0,,,24-23,,G. Antetokounmpo misses free throw 1 of 2
0:24.0,,,24-23,,Offensive rebound by Team
0:24.0,,,24-24,1,G. Antetokounmpo makes free throw 2 of 2
0:00.0,N. Mirotic misses 3-pt shot from 24 ft,,24-24,,
0:00.0,Offensive rebound by Team,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-24,,T. Ennis misses 2-pt shot at rim
