time,Dallas,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. N. Vucevic (D. Nowitzki gains possession),,,,Jump ball: Z. Pachulia vs. N. Vucevic (D. Nowitzki gains possession)
11:46.0,D. Nowitzki misses 2-pt shot from 17 ft,,0-0,,
11:45.0,Offensive rebound by Z. Pachulia,,0-0,,
11:32.0,Z. Pachulia misses 2-pt shot from 2 ft (block by N. Vucevic),,0-0,,
11:31.0,Offensive rebound by Z. Pachulia,,0-0,,
11:31.0,Z. Pachulia misses 2-pt shot from 2 ft,,0-0,,
11:29.0,Offensive rebound by Z. Pachulia,,0-0,,
11:29.0,Z. Pachulia misses 2-pt shot from 1 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by E. Payton
11:16.0,,,0-0,,E. Fournier misses 2-pt shot from 7 ft
11:15.0,Defensive rebound by Z. Pachulia,,0-0,,
11:13.0,Turnover by Z. Pachulia (bad pass; steal by A. Gordon),,0-0,,
11:07.0,,,0-0,,N. Vucevic misses 2-pt shot from 1 ft
11:05.0,Defensive rebound by Z. Pachulia,,0-0,,
10:53.0,C. Parsons misses 2-pt shot from 2 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by N. Vucevic
10:45.0,,,0-2,2,V. Oladipo makes 2-pt shot from 1 ft (assist by A. Gordon)
10:25.0,Z. Pachulia misses 2-pt shot from 1 ft (block by E. Payton),,0-2,,
10:23.0,Offensive rebound by Z. Pachulia,,0-2,,
10:20.0,Turnover by Z. Pachulia (lost ball; steal by A. Gordon),,0-2,,
10:09.0,,,0-5,3,V. Oladipo makes 3-pt shot from 25 ft (assist by N. Vucevic)
9:50.0,Z. Pachulia misses 2-pt shot from 18 ft,,0-5,,
9:49.0,,,0-5,,Defensive rebound by N. Vucevic
9:37.0,,,0-5,,Turnover by E. Fournier (step out of bounds)
9:29.0,,,0-5,,Personal foul by A. Gordon (drawn by D. Nowitzki)
9:19.0,D. Nowitzki misses 2-pt shot from 9 ft,,0-5,,
9:17.0,,,0-5,,Defensive rebound by N. Vucevic
9:06.0,,,0-7,2,N. Vucevic makes 2-pt shot from 2 ft (assist by V. Oladipo)
9:06.0,Dallas full timeout,,0-7,,
8:49.0,D. Williams makes 2-pt shot from 15 ft (assist by W. Matthews),2,2-7,,
8:27.0,,,2-9,2,N. Vucevic makes 2-pt shot from 15 ft
8:17.0,Turnover by W. Matthews (lost ball; steal by V. Oladipo),,2-9,,
8:10.0,,,2-12,3,V. Oladipo makes 3-pt shot from 24 ft (assist by E. Payton)
7:51.0,D. Nowitzki misses 3-pt shot from 25 ft,,2-12,,
7:49.0,,,2-12,,Defensive rebound by E. Payton
7:37.0,,,2-12,,V. Oladipo misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by C. Parsons,,2-12,,
7:28.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by C. Parsons),3,5-12,,
7:13.0,,,5-15,3,A. Gordon makes 3-pt shot from 25 ft (assist by E. Fournier)
7:02.0,Shooting foul by V. Oladipo (drawn by Z. Pachulia),,5-15,,
7:02.0,Z. Pachulia makes free throw 1 of 2,1,6-15,,
7:02.0,R. Felton enters the game for D. Nowitzki,,6-15,,
7:02.0,Z. Pachulia makes free throw 2 of 2,1,7-15,,
6:51.0,,,7-17,2,E. Payton makes 2-pt shot from 2 ft
6:30.0,Turnover by C. Parsons (bad pass),,7-17,,
6:30.0,,,7-17,,Orlando full timeout
6:10.0,,,7-19,2,N. Vucevic makes 2-pt shot from 2 ft
6:10.0,,,7-19,,Shooting foul by Z. Pachulia (drawn by N. Vucevic)
6:10.0,S. Mejri enters the game for Z. Pachulia,,7-19,,
6:10.0,,,7-20,1,N. Vucevic makes free throw 1 of 1
5:47.0,W. Matthews misses 3-pt shot from 25 ft,,7-20,,
5:44.0,,,7-20,,Defensive rebound by V. Oladipo
5:37.0,,,7-22,2,N. Vucevic makes 2-pt shot from 7 ft (assist by V. Oladipo)
5:25.0,W. Matthews misses 3-pt shot from 24 ft,,7-22,,
5:24.0,,,7-22,,Defensive rebound by N. Vucevic
5:05.0,,,7-22,,Shooting foul by S. Mejri (drawn by N. Vucevic)
5:05.0,,,7-23,1,N. Vucevic makes free throw 1 of 2
