time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Kaminsky vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: F. Kaminsky vs. H. Whiteside (G. Dragic gains possession)
11:42.0,,,0-2,2,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic)
11:27.0,F. Kaminsky misses 2-pt shot from 20 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by H. Whiteside
11:07.0,,,0-4,2,L. Deng makes 2-pt shot from 20 ft (assist by G. Dragic)
10:52.0,A. Jefferson misses 2-pt shot from 3 ft,,0-4,,
10:51.0,,,0-4,,Defensive rebound by D. Wade
10:39.0,,,0-4,,J. Johnson misses 2-pt shot from 17 ft
10:38.0,,,0-4,,Offensive rebound by L. Deng
10:27.0,,,0-4,,G. Dragic misses 2-pt shot from 16 ft
10:26.0,Defensive rebound by F. Kaminsky,,0-4,,
10:13.0,K. Walker misses 2-pt shot from 1 ft,,0-4,,
10:12.0,,,0-4,,Defensive rebound by H. Whiteside
10:06.0,,,0-4,,L. Deng misses 2-pt shot from 20 ft
10:05.0,Defensive rebound by M. Williams,,0-4,,
9:56.0,C. Lee makes 2-pt shot from 16 ft,2,2-4,,
9:24.0,,,2-4,,H. Whiteside misses 2-pt shot from 12 ft
9:23.0,Defensive rebound by C. Lee,,2-4,,
9:05.0,F. Kaminsky misses 2-pt shot from 2 ft,,2-4,,
9:04.0,,,2-4,,Defensive rebound by D. Wade
8:41.0,,,2-4,,H. Whiteside misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by M. Williams,,2-4,,
8:28.0,A. Jefferson makes 2-pt shot from 12 ft (assist by C. Lee),2,4-4,,
8:18.0,,,4-4,,Shooting foul by A. Jefferson (drawn by G. Dragic)
8:18.0,,,4-4,,G. Dragic misses free throw 1 of 2
8:18.0,,,4-4,,Offensive rebound by Team
8:18.0,,,4-5,1,G. Dragic makes free throw 2 of 2
8:05.0,Turnover by K. Walker (lost ball),,4-5,,
7:43.0,,,4-7,2,J. Johnson makes 2-pt shot from 12 ft
7:22.0,F. Kaminsky misses 3-pt shot from 25 ft,,4-7,,
7:21.0,,,4-7,,Defensive rebound by D. Wade
7:01.0,,,4-7,,D. Wade misses 2-pt shot from 13 ft
7:00.0,,,4-7,,Offensive rebound by L. Deng
7:00.0,,,4-9,2,L. Deng makes 2-pt shot from 4 ft
7:00.0,,,4-9,,Shooting foul by F. Kaminsky (drawn by L. Deng)
7:00.0,,,4-10,1,L. Deng makes free throw 1 of 1
6:47.0,K. Walker makes 2-pt shot from 16 ft,2,6-10,,
6:26.0,,,6-13,3,G. Dragic makes 3-pt shot from 25 ft (assist by L. Deng)
6:05.0,A. Jefferson makes 2-pt shot from 8 ft,2,8-13,,
5:56.0,,,8-13,,G. Dragic misses 2-pt shot from 11 ft
5:55.0,,,8-13,,Offensive rebound by H. Whiteside
5:50.0,,,8-15,2,D. Wade makes 2-pt shot from 2 ft (assist by H. Whiteside)
5:44.0,Charlotte full timeout,,8-15,,
5:44.0,J. Lin enters the game for C. Lee,,8-15,,
5:44.0,,,8-15,,G. Green enters the game for J. Johnson
5:44.0,,,8-15,,J. Richardson enters the game for G. Dragic
5:35.0,F. Kaminsky makes 2-pt shot from 4 ft,2,10-15,,
5:23.0,,,10-17,2,D. Wade makes 2-pt shot from 9 ft
5:03.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker),3,13-17,,
4:39.0,,,13-19,2,H. Whiteside makes 2-pt shot at rim (assist by J. Richardson)
4:28.0,,,13-19,,Personal foul by G. Green
4:28.0,N. Batum enters the game for M. Williams,,13-19,,
