time,San Antonio,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,T. Parker misses 2-pt shot from 17 ft,,0-0,,
12:00.0,Jump ball: A. Drummond vs. T. Duncan (T. Parker gains possession),,,,Jump ball: A. Drummond vs. T. Duncan (T. Parker gains possession)
11:40.0,,,0-0,,Defensive rebound by E. Ilyasova
11:29.0,,,0-2,2,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson)
11:20.0,L. Aldridge makes 2-pt shot from 13 ft (assist by D. Green),2,2-2,,
11:04.0,,,2-4,2,R. Jackson makes 2-pt shot at rim
10:46.0,Turnover by T. Parker (bad pass; steal by K. Caldwell-Pope),,2-4,,
10:41.0,,,2-6,2,K. Caldwell-Pope makes 2-pt shot at rim
10:23.0,T. Duncan misses 2-pt shot from 9 ft,,2-6,,
10:22.0,Offensive rebound by L. Aldridge,,2-6,,
10:18.0,L. Aldridge makes 2-pt shot at rim,2,4-6,,
9:58.0,,,4-6,,A. Drummond misses 2-pt shot from 6 ft
9:57.0,Defensive rebound by T. Duncan,,4-6,,
9:47.0,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Green),2,6-6,,
9:32.0,,,6-6,,E. Ilyasova misses 2-pt shot from 17 ft
9:32.0,Defensive rebound by D. Green,,6-6,,
9:21.0,K. Leonard misses 2-pt shot from 6 ft,,6-6,,
9:19.0,Offensive rebound by L. Aldridge,,6-6,,
9:15.0,L. Aldridge misses 2-pt shot from 8 ft,,6-6,,
9:14.0,,,6-6,,Defensive rebound by E. Ilyasova
9:03.0,,,6-6,,E. Ilyasova misses 3-pt shot from 26 ft
9:03.0,,,6-6,,Offensive rebound by K. Caldwell-Pope
8:50.0,,,6-6,,Shooting foul by T. Parker (drawn by R. Jackson)
8:50.0,,,6-7,1,R. Jackson makes free throw 1 of 2
8:50.0,,,6-8,1,R. Jackson makes free throw 2 of 2
8:37.0,Offensive charge foul by L. Aldridge,,6-8,,
8:37.0,Turnover by L. Aldridge (offensive foul),,6-8,,
8:25.0,,,6-10,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
8:11.0,K. Leonard misses 2-pt shot from 4 ft,,6-10,,
8:11.0,,,6-10,,Defensive rebound by E. Ilyasova
8:01.0,,,6-10,,Turnover by R. Jackson (bad pass; steal by L. Aldridge)
7:45.0,Turnover by T. Duncan (lost ball; steal by K. Caldwell-Pope),,6-10,,
7:39.0,,,6-13,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by M. Morris)
7:39.0,San Antonio full timeout,,6-13,,
7:18.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,9-13,,
6:59.0,,,9-13,,M. Morris misses 2-pt shot from 12 ft
6:58.0,Defensive rebound by D. Green,,9-13,,
6:49.0,L. Aldridge misses 2-pt shot from 4 ft,,9-13,,
6:48.0,,,9-13,,Defensive rebound by A. Drummond
6:24.0,,,9-13,,R. Jackson misses 2-pt shot from 17 ft
6:23.0,Defensive rebound by D. Green,,9-13,,
6:07.0,T. Duncan misses 2-pt shot from 6 ft,,9-13,,
6:06.0,,,9-13,,Defensive rebound by R. Jackson
6:00.0,,,9-13,,Turnover by E. Ilyasova (dbl dribble)
5:49.0,,,9-13,,Personal foul by A. Drummond (drawn by T. Duncan)
5:49.0,M. Ginobili enters the game for D. Green,,9-13,,
5:49.0,B. Diaw enters the game for T. Duncan,,9-13,,
5:44.0,Turnover by T. Parker (bad pass; steal by R. Jackson),,9-13,,
5:37.0,,,9-15,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
5:25.0,Turnover by L. Aldridge (bad pass),,9-15,,
5:25.0,P. Mills enters the game for T. Parker,,9-15,,
5:05.0,,,9-15,,M. Morris misses 2-pt shot from 13 ft
5:04.0,Defensive rebound by M. Ginobili,,9-15,,
4:57.0,B. Diaw misses 2-pt shot from 17 ft,,9-15,,
4:56.0,,,9-15,,Defensive rebound by E. Ilyasova
4:50.0,,,9-15,,E. Ilyasova misses 3-pt shot from 26 ft
4:50.0,Defensive rebound by Team,,9-15,,
4:50.0,,,9-15,,Loose ball foul by A. Drummond (drawn by K. Leonard)
4:50.0,,,9-15,,A. Baynes enters the game for A. Drummond
4:33.0,B. Diaw misses 3-pt shot from 25 ft,,9-15,,
4:31.0,,,9-15,,Defensive rebound by K. Caldwell-Pope
4:23.0,,,9-17,2,E. Ilyasova makes 2-pt shot at rim (assist by K. Caldwell-Pope)
4:16.0,Offensive foul by K. Leonard,,9-17,,
4:16.0,Turnover by K. Leonard (offensive foul),,9-17,,
4:02.0,,,9-17,,A. Baynes misses 2-pt shot from 11 ft
4:02.0,Defensive rebound by P. Mills,,9-17,,
3:56.0,,,9-17,,Personal foul by E. Ilyasova (drawn by B. Diaw)
3:56.0,J. Simmons enters the game for K. Leonard,,9-17,,
3:44.0,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills),2,11-17,,
3:40.0,,,11-17,,Turnover by R. Jackson (traveling)
3:40.0,B. Marjanovic enters the game for L. Aldridge,,11-17,,
3:40.0,,,11-17,,S. Johnson enters the game for M. Morris
3:29.0,M. Ginobili misses 2-pt shot at rim,,11-17,,
3:28.0,,,11-17,,Defensive rebound by A. Baynes
3:18.0,,,11-19,2,A. Baynes makes 2-pt shot at rim (assist by R. Jackson)
2:55.0,B. Diaw makes 2-pt shot at rim,2,13-19,,
