time,Houston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. B. Lopez (T. Ariza gains possession),,,,Jump ball: D. Howard vs. B. Lopez (T. Ariza gains possession)
11:42.0,C. Capela misses 2-pt shot at rim,,0-0,,
11:41.0,Offensive rebound by D. Howard,,0-0,,
11:26.0,T. Ariza misses 3-pt shot from 23 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by B. Bogdanovic
11:20.0,,,0-2,2,B. Lopez makes 2-pt shot at rim (assist by T. Young)
11:13.0,Turnover by P. Beverley (bad pass),,0-2,,
10:57.0,,,0-2,,B. Lopez misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by C. Capela,,0-2,,
10:43.0,P. Beverley misses 3-pt shot from 23 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by B. Bogdanovic
10:38.0,,,0-2,,B. Bogdanovic misses 2-pt shot from 3 ft
10:37.0,Defensive rebound by D. Howard,,0-2,,
10:23.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,3-2,,
10:01.0,,,3-2,,T. Young misses 2-pt shot from 17 ft
10:00.0,,,3-2,,Offensive rebound by B. Lopez
9:59.0,,,3-4,2,B. Lopez makes 2-pt shot from 1 ft
9:30.0,J. Harden makes 2-pt shot from 18 ft,2,5-4,,
9:16.0,,,5-4,,B. Lopez misses 2-pt shot from 15 ft
9:15.0,Defensive rebound by C. Capela,,5-4,,
8:52.0,Turnover by D. Howard (offensive goaltending),,5-4,,
8:36.0,,,5-6,2,J. Jack makes 2-pt shot from 20 ft (assist by J. Johnson)
8:25.0,T. Ariza misses 2-pt shot from 3 ft (block by B. Lopez),,5-6,,
8:24.0,Offensive rebound by Team,,5-6,,
8:24.0,D. Motiejunas enters the game for D. Howard,,5-6,,
8:16.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,7-6,,
8:10.0,Personal foul by P. Beverley (drawn by T. Young),,7-6,,
8:10.0,Houston full timeout,,7-6,,
8:10.0,C. Brewer enters the game for T. Ariza,,7-6,,
8:00.0,,,7-6,,Turnover by T. Young (lost ball; steal by P. Beverley)
7:55.0,C. Brewer misses 2-pt shot from 1 ft,,7-6,,
7:54.0,,,7-6,,Defensive rebound by B. Lopez
7:46.0,,,7-6,,Turnover by T. Young (bad pass; steal by J. Harden)
7:41.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden),2,9-6,,
7:25.0,,,9-6,,B. Lopez misses 2-pt shot from 7 ft
7:24.0,,,9-6,,Offensive rebound by J. Jack
7:18.0,,,9-9,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack)
6:56.0,Turnover by P. Beverley (bad pass; steal by B. Bogdanovic),,9-9,,
6:51.0,,,9-11,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack)
6:34.0,Turnover by D. Motiejunas (lost ball; steal by J. Johnson),,9-11,,
6:19.0,,,9-11,,Turnover by J. Jack (bad pass)
6:07.0,C. Capela misses 2-pt shot at rim (block by B. Lopez),,9-11,,
6:05.0,,,9-11,,Defensive rebound by T. Young
5:56.0,,,9-11,,B. Bogdanovic misses 3-pt shot from 24 ft
5:54.0,,,9-11,,Offensive rebound by J. Johnson
5:37.0,,,9-13,2,T. Young makes 2-pt shot from 3 ft
5:24.0,Shooting foul by T. Young (drawn by C. Capela),,9-13,,
5:24.0,C. Capela misses free throw 1 of 2,,9-13,,
5:24.0,Offensive rebound by Team,,9-13,,
5:24.0,T. Lawson enters the game for P. Beverley,,9-13,,
5:24.0,,,9-13,,T. Robinson enters the game for B. Lopez
5:24.0,C. Capela misses free throw 2 of 2,,9-13,,
5:22.0,,,9-13,,Defensive rebound by T. Robinson
5:00.0,,,9-15,2,T. Young makes 2-pt shot from 8 ft
