time,Philadelphia,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Noel (T. Young gains possession),,,,Jump ball: B. Lopez vs. N. Noel (T. Young gains possession)
11:47.0,,,0-2,2,T. Young makes 2-pt shot from 2 ft (assist by J. Jack)
11:24.0,J. Okafor makes 2-pt shot from 4 ft,2,2-2,,
11:09.0,,,2-2,,T. Young misses 2-pt shot from 2 ft
11:08.0,Defensive rebound by N. Noel,,2-2,,
10:54.0,N. Noel misses 2-pt shot from 15 ft,,2-2,,
10:53.0,,,2-2,,Defensive rebound by J. Jack
10:44.0,,,2-2,,J. Johnson misses 3-pt shot from 23 ft
10:43.0,Defensive rebound by N. Noel,,2-2,,
10:37.0,Shooting foul by B. Lopez (drawn by T. Wroten),,2-2,,
10:37.0,T. Wroten makes free throw 1 of 2,1,3-2,,
10:37.0,T. Wroten misses free throw 2 of 2,,3-2,,
10:37.0,,,3-2,,Defensive rebound by Team
10:29.0,,,3-2,,Turnover by T. Young (bad pass; steal by R. Covington)
10:18.0,J. Okafor misses 2-pt shot from 16 ft,,3-2,,
10:17.0,,,3-2,,Defensive rebound by T. Young
10:11.0,,,3-4,2,B. Lopez makes 2-pt shot from 11 ft (assist by J. Jack)
9:48.0,I. Canaan misses 3-pt shot from 25 ft,,3-4,,
9:47.0,,,3-4,,Defensive rebound by T. Young
9:37.0,,,3-4,,Turnover by B. Bogdanovic (lost ball; steal by N. Noel)
9:26.0,J. Okafor misses 2-pt shot from 2 ft,,3-4,,
9:24.0,,,3-4,,Defensive rebound by T. Young
9:17.0,,,3-4,,T. Young misses 2-pt shot from 5 ft
9:16.0,Defensive rebound by J. Okafor,,3-4,,
9:06.0,T. Wroten makes 2-pt shot from 1 ft,2,5-4,,
8:54.0,,,5-4,,J. Jack misses 2-pt shot from 9 ft
8:53.0,,,5-4,,Offensive rebound by B. Lopez
8:32.0,,,5-7,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Lopez)
8:08.0,N. Noel makes 2-pt shot from 5 ft (assist by I. Canaan),2,7-7,,
7:50.0,,,7-9,2,B. Bogdanovic makes 2-pt shot from 19 ft (assist by J. Jack)
7:39.0,J. Okafor misses 2-pt shot at rim,,7-9,,
7:38.0,,,7-9,,Defensive rebound by T. Young
7:31.0,,,7-9,,Offensive foul by B. Lopez
7:31.0,,,7-9,,Turnover by B. Lopez (offensive foul)
7:31.0,T. McConnell enters the game for T. Wroten,,7-9,,
7:17.0,J. Okafor misses 2-pt shot from 13 ft,,7-9,,
