time,Philadelphia,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Noel (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. N. Noel (R. Jackson gains possession)
11:45.0,,,0-2,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by M. Morris)
11:17.0,J. Okafor makes 3-pt shot from 26 ft (assist by N. Stauskas),3,3-2,,
11:02.0,,,3-2,,K. Caldwell-Pope misses 2-pt shot from 14 ft
11:01.0,Defensive rebound by J. Okafor,,3-2,,
10:46.0,N. Stauskas makes 2-pt shot from 16 ft,2,5-2,,
10:32.0,,,5-4,2,R. Jackson makes 2-pt shot from 13 ft
10:09.0,Turnover by N. Stauskas (bad pass; steal by M. Morris),,5-4,,
9:57.0,,,5-6,2,M. Morris makes 2-pt shot from 1 ft (assist by T. Harris)
9:56.0,,,5-6,,Violation by Team (delay of game)
9:40.0,I. Smith misses 2-pt shot from 13 ft,,5-6,,
9:38.0,,,5-6,,Defensive rebound by A. Drummond
9:31.0,,,5-8,2,T. Harris makes 2-pt shot from 2 ft (assist by R. Jackson)
9:29.0,Philadelphia full timeout,,5-8,,
9:15.0,R. Covington misses 3-pt shot from 25 ft,,5-8,,
9:14.0,,,5-8,,Defensive rebound by T. Harris
8:56.0,,,5-11,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson)
8:31.0,N. Noel misses 2-pt shot from 6 ft,,5-11,,
8:29.0,,,5-11,,Defensive rebound by T. Harris
8:22.0,,,5-11,,Turnover by R. Jackson (bad pass)
8:11.0,I. Smith misses 2-pt shot at rim,,5-11,,
8:11.0,Offensive rebound by I. Smith,,5-11,,
8:10.0,I. Smith misses 2-pt shot at rim,,5-11,,
8:09.0,,,5-11,,Defensive rebound by A. Drummond
7:48.0,,,5-11,,M. Morris misses 2-pt shot from 8 ft
7:47.0,Defensive rebound by Team,,5-11,,
7:47.0,J. Grant enters the game for N. Noel,,5-11,,
7:34.0,R. Covington makes 3-pt shot from 25 ft (assist by J. Grant),3,8-11,,
7:14.0,,,8-11,,Shooting foul by J. Grant (drawn by A. Drummond)
7:14.0,,,8-12,1,A. Drummond makes free throw 1 of 2
7:14.0,,,8-12,,A. Drummond misses free throw 2 of 2
7:13.0,Defensive rebound by R. Covington,,8-12,,
6:51.0,J. Okafor misses 2-pt shot from 12 ft,,8-12,,
6:50.0,,,8-12,,Defensive rebound by T. Harris
6:33.0,,,8-14,2,A. Drummond makes 2-pt shot from 6 ft
6:18.0,J. Okafor misses 2-pt shot from 8 ft,,8-14,,
6:17.0,,,8-14,,Defensive rebound by T. Harris
6:03.0,,,8-14,,Shooting foul by J. Okafor (drawn by A. Drummond)
6:03.0,,,8-15,1,A. Drummond makes free throw 1 of 2
6:03.0,H. Thompson enters the game for N. Stauskas,,8-15,,
6:03.0,,,8-15,,A. Drummond misses free throw 2 of 2
5:46.0,,,8-15,,Offensive rebound by A. Drummond
5:37.0,,,8-18,3,T. Harris makes 3-pt shot from 25 ft
5:11.0,Turnover by Team (shot clock),,8-18,,
4:56.0,,,8-18,,M. Morris misses 2-pt shot from 18 ft
4:55.0,Defensive rebound by J. Okafor,,8-18,,
4:41.0,J. Grant makes 2-pt shot from 6 ft,2,10-18,,
4:35.0,,,10-18,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:35.0,,,10-18,,Offensive rebound by Team
4:35.0,Personal foul by J. Okafor (drawn by A. Drummond),,10-18,,
4:35.0,N. Noel enters the game for J. Okafor,,10-18,,
4:32.0,,,10-18,,R. Jackson misses 2-pt shot from 4 ft (block by N. Noel)
4:31.0,,,10-18,,Offensive rebound by Team
4:31.0,Personal foul by N. Noel (drawn by A. Drummond),,10-18,,
4:17.0,,,10-18,,A. Drummond misses 2-pt shot at rim
4:15.0,,,10-18,,Offensive rebound by A. Drummond
4:13.0,,,10-18,,A. Drummond misses 2-pt shot at rim
4:12.0,,,10-18,,Offensive rebound by A. Drummond
4:09.0,,,10-20,2,A. Drummond makes 2-pt shot at rim
4:02.0,I. Smith misses 2-pt shot at rim,,10-20,,
3:57.0,,,10-20,,Defensive rebound by A. Drummond
3:53.0,,,10-22,2,T. Harris makes 2-pt shot at rim (assist by M. Morris)
3:38.0,I. Smith misses 2-pt shot from 19 ft,,10-22,,
3:38.0,,,10-22,,Defensive rebound by A. Drummond
3:30.0,,,10-22,,M. Morris misses 3-pt shot from 22 ft
