time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (P. Beverley gains possession),,,,Jump ball: A. Bogut vs. D. Howard (P. Beverley gains possession)
11:38.0,,,0-0,,D. Howard misses 2-pt shot from 8 ft
11:37.0,Defensive rebound by A. Bogut,,0-0,,
11:18.0,H. Barnes makes 2-pt shot from 10 ft,2,2-0,,
11:10.0,,,2-0,,P. Beverley misses 2-pt shot from 2 ft (block by A. Bogut)
11:10.0,,,2-0,,Offensive rebound by Team
11:01.0,,,2-0,,D. Motiejunas misses 2-pt shot from 3 ft
11:00.0,Defensive rebound by D. Green,,2-0,,
10:54.0,D. Green misses 2-pt shot from 1 ft,,2-0,,
10:53.0,,,2-0,,Defensive rebound by T. Ariza
10:47.0,Personal foul by S. Livingston,,2-0,,
10:42.0,,,2-3,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
10:30.0,K. Thompson misses 3-pt shot from 25 ft,,2-3,,
10:28.0,,,2-3,,Defensive rebound by P. Beverley
10:24.0,,,2-3,,Shooting foul by A. Bogut (drawn by D. Howard)
10:24.0,,,2-4,1,D. Howard makes free throw 1 of 2
10:24.0,,,2-4,,D. Howard misses free throw 2 of 2
10:23.0,,,2-4,,Offensive rebound by D. Motiejunas
10:18.0,,,2-4,,D. Motiejunas misses 2-pt shot from 4 ft (block by A. Bogut)
10:15.0,,,2-4,,Offensive rebound by D. Motiejunas
10:15.0,,,2-6,2,D. Motiejunas makes 2-pt shot from 2 ft
9:59.0,D. Green misses 2-pt shot from 21 ft,,2-6,,
9:58.0,,,2-6,,Defensive rebound by J. Harden
9:50.0,,,2-6,,D. Motiejunas misses 2-pt shot from 5 ft
9:50.0,Defensive rebound by A. Bogut,,2-6,,
9:37.0,K. Thompson makes 2-pt shot at rim (assist by S. Livingston),2,4-6,,
9:17.0,,,4-6,,T. Ariza misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by D. Green,,4-6,,
9:11.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,6-6,,
8:56.0,,,6-6,,J. Harden misses 2-pt shot from 20 ft
8:53.0,,,6-6,,Offensive rebound by D. Howard
8:49.0,,,6-6,,P. Beverley misses 3-pt shot from 25 ft
8:49.0,,,6-6,,Offensive rebound by Team
8:49.0,Loose ball foul by A. Bogut,,6-6,,
8:49.0,F. Ezeli enters the game for A. Bogut,,6-6,,
8:40.0,,,6-8,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
8:32.0,Golden State full timeout,,6-8,,
8:25.0,Turnover by H. Barnes (lost ball; steal by T. Ariza),,6-8,,
8:22.0,,,6-8,,Shooting foul by F. Ezeli (drawn by J. Harden)
8:22.0,,,6-9,1,J. Harden makes free throw 1 of 2
8:22.0,,,6-10,1,J. Harden makes free throw 2 of 2
8:05.0,S. Livingston misses 2-pt shot from 13 ft,,6-10,,
8:04.0,Offensive rebound by F. Ezeli,,6-10,,
7:56.0,H. Barnes misses 2-pt shot from 20 ft,,6-10,,
7:55.0,,,6-10,,Defensive rebound by D. Motiejunas
7:50.0,,,6-10,,Turnover by J. Harden (lost ball)
7:40.0,Turnover by D. Green (lost ball; steal by D. Motiejunas),,6-10,,
7:34.0,,,6-12,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
7:20.0,H. Barnes makes 2-pt shot from 14 ft,2,8-12,,
7:03.0,,,8-15,3,P. Beverley makes 3-pt shot from 25 ft (assist by D. Motiejunas)
7:02.0,Golden State full timeout,,8-15,,
6:52.0,Shooting foul by P. Beverley (drawn by S. Livingston),,8-15,,
6:52.0,S. Livingston makes free throw 1 of 2,1,9-15,,
6:52.0,S. Livingston makes free throw 2 of 2,1,10-15,,
6:38.0,Personal foul by S. Livingston,,10-15,,
6:38.0,,,10-16,1,D. Motiejunas makes free throw 1 of 2
6:38.0,A. Iguodala enters the game for S. Livingston,,10-16,,
6:38.0,,,10-17,1,D. Motiejunas makes free throw 2 of 2
6:23.0,F. Ezeli misses 2-pt shot at rim,,10-17,,
6:23.0,,,10-17,,Defensive rebound by T. Ariza
6:19.0,,,10-17,,Offensive foul by D. Howard
6:19.0,,,10-17,,Turnover by D. Howard (offensive foul)
6:01.0,F. Ezeli misses 2-pt shot at rim (block by D. Howard),,10-17,,
6:00.0,,,10-17,,Defensive rebound by P. Beverley
5:52.0,,,10-17,,J. Harden misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by Team,,10-17,,
5:34.0,K. Thompson misses 2-pt shot from 15 ft,,10-17,,
5:33.0,Offensive rebound by F. Ezeli,,10-17,,
5:30.0,,,10-17,,Shooting block foul by D. Motiejunas (drawn by D. Green)
5:30.0,D. Green makes free throw 1 of 2,1,11-17,,
5:30.0,,,11-17,,J. Smith enters the game for D. Motiejunas
5:30.0,D. Green misses free throw 2 of 2,,11-17,,
5:28.0,Offensive rebound by Team,,11-17,,
5:11.0,F. Ezeli misses 2-pt shot from 7 ft,,11-17,,
5:10.0,Offensive rebound by F. Ezeli,,11-17,,
5:08.0,Turnover by F. Ezeli (bad pass),,11-17,,
4:51.0,,,11-19,2,J. Harden makes 2-pt shot from 1 ft
4:42.0,F. Ezeli makes 2-pt shot from 8 ft (assist by D. Green),2,13-19,,
4:24.0,,,13-19,,Shooting foul by F. Ezeli (drawn by J. Harden)
4:24.0,,,13-20,1,J. Harden makes free throw 1 of 2
4:24.0,L. Barbosa enters the game for H. Barnes,,13-20,,
4:24.0,J. McAdoo enters the game for F. Ezeli,,13-20,,
4:24.0,,,13-21,1,J. Harden makes free throw 2 of 2
4:05.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green),2,15-21,,
3:49.0,,,15-21,,P. Beverley misses 2-pt shot from 14 ft
3:49.0,Defensive rebound by J. McAdoo,,15-21,,
3:41.0,K. Thompson misses 2-pt shot from 17 ft (block by T. Ariza),,15-21,,
3:40.0,,,15-21,,Defensive rebound by J. Harden
3:35.0,,,15-21,,J. Harden misses 2-pt shot from 2 ft (block by J. McAdoo)
3:34.0,,,15-21,,Offensive rebound by J. Harden
3:31.0,,,15-24,3,J. Harden makes 3-pt shot from 24 ft
3:19.0,Turnover by D. Green (lost ball; steal by D. Howard),,15-24,,
3:15.0,,,15-26,2,T. Ariza makes 2-pt shot from 1 ft (assist by P. Beverley)
3:00.0,D. Green misses 3-pt shot from 26 ft,,15-26,,
3:00.0,,,15-26,,Defensive rebound by D. Howard
2:52.0,,,15-26,,Offensive charge foul by J. Harden
2:52.0,,,15-26,,Turnover by J. Harden (offensive foul)
2:52.0,,,15-26,,Houston full timeout
2:52.0,,,15-26,,C. Capela enters the game for D. Howard
2:52.0,,,15-26,,J. Terry enters the game for P. Beverley
2:35.0,A. Iguodala misses 3-pt shot from 24 ft,,15-26,,
2:35.0,,,15-26,,Defensive rebound by Team
2:21.0,,,15-26,,Shooting foul by D. Green (drawn by J. Harden)
2:21.0,,,15-26,,J. Harden misses free throw 1 of 2
2:21.0,,,15-26,,Offensive rebound by Team
2:21.0,,,15-27,1,J. Harden makes free throw 2 of 2
2:07.0,K. Thompson makes 2-pt shot from 2 ft,2,17-27,,
1:45.0,,,17-29,2,J. Harden makes 2-pt shot from 21 ft
