time,Washington,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (J. Wall gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (J. Wall gains possession)
11:41.0,Turnover by B. Beal (bad pass),,0-0,,
11:26.0,,,0-0,,N. Vucevic misses 2-pt shot from 15 ft
11:25.0,Defensive rebound by J. Wall,,0-0,,
11:14.0,Turnover by B. Beal (kicked ball),,0-0,,
10:58.0,,,0-2,2,T. Harris makes 2-pt shot from 19 ft (assist by E. Fournier)
10:48.0,Turnover by K. Humphries (bad pass),,0-2,,
10:34.0,,,0-2,,E. Fournier misses 2-pt shot from 18 ft
10:32.0,Defensive rebound by B. Beal,,0-2,,
10:22.0,B. Beal misses 2-pt shot from 18 ft,,0-2,,
10:21.0,Offensive rebound by B. Beal,,0-2,,
10:21.0,B. Beal misses 2-pt shot from 18 ft,,0-2,,
10:21.0,Offensive rebound by B. Beal,,0-2,,
10:10.0,K. Humphries misses 2-pt shot at rim (block by N. Vucevic),,0-2,,
10:08.0,,,0-2,,Defensive rebound by V. Oladipo
9:52.0,,,0-2,,E. Payton misses 2-pt shot from 21 ft
9:51.0,Defensive rebound by M. Gortat,,0-2,,
9:36.0,J. Wall makes 3-pt shot from 23 ft (assist by M. Gortat),3,3-2,,
9:15.0,,,3-2,,Shooting foul by M. Gortat (drawn by E. Fournier)
9:15.0,,,3-2,,E. Fournier misses free throw 1 of 2
9:15.0,,,3-2,,Offensive rebound by Team
9:15.0,,,3-3,1,E. Fournier makes free throw 2 of 2
8:51.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,6-3,,
8:31.0,,,6-3,,V. Oladipo misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by J. Wall,,6-3,,
8:22.0,J. Wall makes 2-pt shot from 16 ft,2,8-3,,
8:01.0,,,8-3,,Turnover by E. Payton (bad pass; steal by J. Wall)
7:58.0,Shooting foul by T. Harris (drawn by J. Wall),,8-3,,
7:58.0,J. Wall misses free throw 1 of 2,,8-3,,
7:58.0,Offensive rebound by Team,,8-3,,
7:58.0,J. Wall makes free throw 2 of 2,1,9-3,,
7:46.0,,,9-5,2,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic)
7:37.0,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter),2,11-5,,
7:24.0,,,11-7,2,N. Vucevic makes 2-pt shot from 18 ft (assist by V. Oladipo)
7:15.0,J. Wall makes 2-pt shot from 15 ft,2,13-7,,
6:55.0,,,13-7,,E. Payton misses 3-pt shot from 22 ft
6:55.0,Defensive rebound by K. Humphries,,13-7,,
6:47.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,16-7,,
6:41.0,,,16-7,,Orlando full timeout
6:41.0,,,16-7,,A. Gordon enters the game for T. Harris
6:41.0,,,16-7,,C. Watson enters the game for E. Payton
6:30.0,,,16-7,,N. Vucevic misses 2-pt shot from 8 ft
6:29.0,,,16-7,,Offensive rebound by V. Oladipo
6:29.0,,,16-9,2,V. Oladipo makes 2-pt shot from 1 ft
6:13.0,B. Beal misses 2-pt shot at rim,,16-9,,
6:12.0,Offensive rebound by B. Beal,,16-9,,
6:12.0,B. Beal makes 2-pt shot at rim (assist by O. Porter),2,18-9,,
5:58.0,,,18-9,,Turnover by E. Fournier (lost ball; steal by O. Porter)
5:46.0,O. Porter misses 2-pt shot at rim,,18-9,,
5:43.0,,,18-9,,Defensive rebound by N. Vucevic
5:36.0,,,18-11,2,N. Vucevic makes 2-pt shot at rim
5:21.0,J. Wall misses 2-pt shot from 10 ft,,18-11,,
5:20.0,,,18-11,,Defensive rebound by A. Gordon
5:11.0,,,18-13,2,N. Vucevic makes 2-pt shot from 8 ft
4:59.0,B. Beal misses 2-pt shot from 15 ft,,18-13,,
4:57.0,,,18-13,,Defensive rebound by A. Gordon
4:57.0,Personal foul by B. Beal (drawn by A. Gordon),,18-13,,
4:57.0,R. Sessions enters the game for K. Humphries,,18-13,,
4:57.0,D. Gooden enters the game for J. Wall,,18-13,,
4:57.0,,,18-13,,E. Payton enters the game for E. Fournier
4:57.0,,,18-13,,M. Hezonja enters the game for V. Oladipo
4:47.0,,,18-13,,C. Watson misses 2-pt shot from 1 ft
4:45.0,,,18-13,,Offensive rebound by A. Gordon
4:45.0,,,18-15,2,A. Gordon makes 2-pt shot at rim
4:38.0,B. Beal makes 2-pt shot at rim (assist by M. Gortat),2,20-15,,
4:33.0,,,20-18,3,M. Hezonja makes 3-pt shot from 27 ft (assist by E. Payton)
4:22.0,D. Gooden makes 3-pt shot from 24 ft (assist by R. Sessions),3,23-18,,
4:00.0,,,23-18,,M. Hezonja misses 2-pt shot from 17 ft
3:59.0,Defensive rebound by M. Gortat,,23-18,,
3:54.0,R. Sessions misses 2-pt shot at rim (block by N. Vucevic),,23-18,,
3:50.0,,,23-18,,Defensive rebound by E. Payton
3:47.0,,,23-20,2,M. Hezonja makes 2-pt shot from 6 ft (assist by E. Payton)
3:39.0,B. Beal makes 2-pt shot from 6 ft,2,25-20,,
3:39.0,Shooting foul by E. Payton (drawn by B. Beal),,25-20,,
3:39.0,,,25-20,,D. Dedmon enters the game for N. Vucevic
3:39.0,N. Hilario enters the game for M. Gortat,,25-20,,
3:39.0,B. Beal makes free throw 1 of 1,1,26-20,,
3:28.0,,,26-22,2,E. Payton makes 2-pt shot from 20 ft (assist by A. Gordon)
3:06.0,D. Gooden misses 3-pt shot from 24 ft,,26-22,,
3:05.0,,,26-22,,Defensive rebound by D. Dedmon
2:51.0,,,26-25,3,M. Hezonja makes 3-pt shot from 22 ft (assist by E. Payton)
2:33.0,B. Beal makes 2-pt shot from 20 ft (assist by R. Sessions),2,28-25,,
2:23.0,Personal foul by N. Hilario (drawn by A. Gordon),,28-25,,
2:23.0,Washington full timeout,,28-25,,
2:16.0,,,28-25,,Turnover by M. Hezonja (bad pass; steal by N. Hilario)
2:09.0,,,28-25,,Personal foul by M. Hezonja (drawn by R. Sessions)
2:05.0,,,28-25,,Personal foul by M. Hezonja (drawn by N. Hilario)
1:58.0,Shooting foul by D. Dedmon (drawn by N. Hilario),,28-25,,
1:58.0,N. Hilario misses free throw 1 of 2,,28-25,,
1:58.0,Offensive rebound by Team,,28-25,,
1:58.0,G. Neal enters the game for O. Porter,,28-25,,
1:58.0,N. Hilario makes free throw 2 of 2,1,29-25,,
1:43.0,,,29-25,,Turnover by M. Hezonja (bad pass; steal by R. Sessions)
1:31.0,N. Hilario misses 2-pt shot from 18 ft,,29-25,,
1:29.0,,,29-25,,Defensive rebound by A. Gordon
1:20.0,,,29-25,,A. Gordon misses 2-pt shot from 15 ft
1:17.0,Defensive rebound by D. Gooden,,29-25,,
1:10.0,Shooting foul by C. Watson (drawn by R. Sessions),,29-25,,
1:10.0,R. Sessions makes free throw 1 of 2,1,30-25,,
1:10.0,R. Sessions makes free throw 2 of 2,1,31-25,,
0:59.0,,,31-25,,A. Gordon misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by R. Sessions,,31-25,,
0:47.0,B. Beal misses 3-pt shot from 23 ft,,31-25,,
0:46.0,,,31-25,,Defensive rebound by M. Hezonja
0:33.0,,,31-27,2,C. Watson makes 2-pt shot from 17 ft (assist by E. Payton)
0:20.0,D. Gooden misses 2-pt shot from 4 ft (block by A. Gordon),,31-27,,
0:17.0,Offensive rebound by N. Hilario,,31-27,,
0:09.0,N. Hilario misses 2-pt shot from 19 ft (block by D. Dedmon),,31-27,,
0:07.0,,,31-27,,Defensive rebound by M. Hezonja
0:06.0,Personal take foul by R. Sessions (drawn by M. Hezonja),,31-27,,
0:06.0,,,31-27,,T. Harris enters the game for D. Dedmon
0:01.0,,,31-27,,E. Payton misses 2-pt shot from 1 ft
0:00.0,,,31-27,,Offensive rebound by A. Gordon
0:00.0,,,31-29,2,A. Gordon makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-29,,D. Dedmon misses 2-pt shot from 14 ft
11:41.0,,,31-29,,Offensive rebound by E. Payton
11:41.0,,,31-31,2,E. Payton makes 2-pt shot from 1 ft
11:24.0,G. Neal makes 2-pt shot from 16 ft (assist by N. Hilario),2,33-31,,
11:08.0,,,33-33,2,T. Harris makes 2-pt shot from 7 ft
10:56.0,R. Sessions misses 2-pt shot from 1 ft,,33-33,,
10:56.0,Offensive rebound by Team,,33-33,,
10:56.0,,,33-33,,Loose ball foul by E. Fournier (drawn by R. Sessions)
10:56.0,,,33-33,,V. Oladipo enters the game for C. Watson
10:39.0,N. Hilario misses 2-pt shot from 20 ft,,33-33,,
10:36.0,,,33-33,,Defensive rebound by V. Oladipo
10:28.0,,,33-35,2,E. Payton makes 2-pt shot from 18 ft (assist by V. Oladipo)
10:21.0,Turnover by J. Wall (bad pass; steal by V. Oladipo),,33-35,,
10:17.0,,,33-35,,V. Oladipo misses 2-pt shot from 1 ft (block by J. Wall)
10:14.0,,,33-35,,Offensive rebound by T. Harris
10:12.0,,,33-35,,D. Dedmon misses 2-pt shot from 8 ft
10:12.0,Defensive rebound by Team,,33-35,,
10:12.0,,,33-35,,Loose ball foul by D. Dedmon (drawn by N. Hilario)
9:53.0,J. Wall misses 2-pt shot from 16 ft,,33-35,,
9:52.0,,,33-35,,Defensive rebound by V. Oladipo
9:36.0,,,33-35,,D. Dedmon misses 2-pt shot at rim
9:32.0,,,33-35,,Offensive rebound by V. Oladipo
9:31.0,,,33-35,,V. Oladipo misses 3-pt shot from 23 ft
9:28.0,Defensive rebound by R. Sessions,,33-35,,
9:26.0,,,33-35,,Shooting block foul by T. Harris (drawn by R. Sessions)
9:26.0,R. Sessions makes free throw 1 of 2,1,34-35,,
9:26.0,M. Gortat enters the game for N. Hilario,,34-35,,
9:26.0,,,34-35,,C. Watson enters the game for E. Payton
9:26.0,,,34-35,,N. Vucevic enters the game for D. Dedmon
9:26.0,R. Sessions misses free throw 2 of 2,,34-35,,
9:25.0,,,34-35,,Defensive rebound by E. Fournier
9:15.0,,,34-37,2,V. Oladipo makes 2-pt shot at rim (assist by T. Harris)
9:01.0,G. Neal misses 2-pt shot from 20 ft,,34-37,,
8:59.0,,,34-37,,Defensive rebound by N. Vucevic
8:46.0,,,34-37,,V. Oladipo misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by D. Gooden,,34-37,,
8:40.0,J. Wall misses 2-pt shot from 2 ft,,34-37,,
8:38.0,,,34-37,,Defensive rebound by N. Vucevic
8:33.0,,,34-39,2,V. Oladipo makes 2-pt shot from 1 ft (assist by T. Harris)
8:27.0,Washington full timeout,,34-39,,
8:27.0,O. Porter enters the game for R. Sessions,,34-39,,
8:17.0,O. Porter misses 3-pt shot from 23 ft,,34-39,,
8:15.0,Offensive rebound by D. Gooden,,34-39,,
8:14.0,,,34-39,,Personal foul by N. Vucevic (drawn by J. Wall)
8:06.0,G. Neal makes 2-pt shot from 13 ft,2,36-39,,
7:48.0,,,36-39,,Offensive charge foul by N. Vucevic
7:48.0,,,36-39,,Turnover by N. Vucevic (offensive foul)
7:48.0,,,36-39,,J. Smith enters the game for N. Vucevic
7:34.0,D. Gooden misses 2-pt shot from 21 ft,,36-39,,
7:33.0,,,36-39,,Defensive rebound by E. Fournier
7:20.0,,,36-39,,J. Smith misses 2-pt shot from 20 ft
7:19.0,Defensive rebound by G. Neal,,36-39,,
7:10.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,38-39,,
