time,New York,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. R. Lopez (D. Sloan gains possession),,,,Jump ball: B. Lopez vs. R. Lopez (D. Sloan gains possession)
11:39.0,,,0-0,,B. Lopez misses 2-pt shot from 19 ft
11:38.0,Defensive rebound by J. Calderon,,0-0,,
11:23.0,R. Lopez makes 2-pt shot at rim (assist by C. Anthony),2,2-0,,
11:01.0,,,2-0,,B. Lopez misses 2-pt shot from 12 ft
10:59.0,Defensive rebound by K. Porzingis,,2-0,,
10:52.0,Turnover by K. Porzingis (lost ball; steal by T. Young),,2-0,,
10:49.0,,,2-2,2,T. Young makes 2-pt shot at rim
10:25.0,K. Porzingis misses 2-pt shot from 16 ft,,2-2,,
10:23.0,,,2-2,,Defensive rebound by D. Sloan
10:14.0,,,2-5,3,J. Johnson makes 3-pt shot from 24 ft (assist by B. Lopez)
9:57.0,K. Porzingis makes 2-pt shot from 19 ft,2,4-5,,
9:42.0,,,4-5,,T. Young misses 2-pt shot from 4 ft
9:41.0,Defensive rebound by K. Porzingis,,4-5,,
9:31.0,K. Porzingis misses 3-pt shot from 27 ft,,4-5,,
9:30.0,,,4-5,,Defensive rebound by Team
9:20.0,,,4-7,2,T. Young makes 2-pt shot from 2 ft (assist by D. Sloan)
9:02.0,A. Afflalo misses 2-pt shot from 19 ft,,4-7,,
9:01.0,,,4-7,,Defensive rebound by J. Johnson
8:54.0,,,4-7,,D. Sloan misses 2-pt shot from 3 ft
8:53.0,Defensive rebound by C. Anthony,,4-7,,
8:42.0,A. Afflalo misses 2-pt shot from 15 ft,,4-7,,
8:41.0,,,4-7,,Defensive rebound by J. Johnson
8:29.0,Personal foul by K. Porzingis,,4-7,,
8:19.0,,,4-7,,T. Young misses 2-pt shot from 3 ft (block by K. Porzingis)
8:18.0,,,4-7,,Offensive rebound by T. Young
8:17.0,,,4-7,,T. Young misses 2-pt shot from 8 ft
8:16.0,Defensive rebound by R. Lopez,,4-7,,
8:07.0,J. Calderon misses 2-pt shot from 20 ft,,4-7,,
8:06.0,,,4-7,,Defensive rebound by D. Sloan
7:53.0,,,4-7,,T. Young misses 2-pt shot from 4 ft (block by K. Porzingis)
7:50.0,Defensive rebound by K. Porzingis,,4-7,,
7:46.0,J. Calderon makes 3-pt shot from 25 ft (assist by C. Anthony),3,7-7,,
7:25.0,,,7-10,3,W. Ellington makes 3-pt shot from 24 ft (assist by T. Young)
7:14.0,,,7-10,,Personal foul by B. Lopez
7:14.0,R. Lopez makes free throw 1 of 2,1,8-10,,
7:14.0,R. Lopez makes free throw 2 of 2,1,9-10,,
7:02.0,,,9-12,2,B. Lopez makes 2-pt shot from 19 ft (assist by D. Sloan)
6:48.0,C. Anthony makes 3-pt shot from 24 ft,3,12-12,,
6:30.0,,,12-12,,B. Lopez misses 2-pt shot from 1 ft
6:29.0,Defensive rebound by R. Lopez,,12-12,,
6:19.0,J. Calderon makes 2-pt shot from 2 ft,2,14-12,,
6:05.0,,,14-14,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson)
5:47.0,J. Calderon misses 3-pt shot from 24 ft,,14-14,,
5:45.0,,,14-14,,Defensive rebound by B. Lopez
5:31.0,,,14-14,,T. Young misses 2-pt shot from 2 ft (block by K. Porzingis)
5:29.0,Defensive rebound by C. Anthony,,14-14,,
5:25.0,C. Anthony makes 2-pt shot from 23 ft,2,16-14,,
5:15.0,,,16-14,,Brooklyn full timeout
5:06.0,,,16-14,,J. Johnson misses 2-pt shot from 15 ft (block by C. Anthony)
5:04.0,,,16-14,,Offensive rebound by J. Johnson
4:59.0,,,16-16,2,D. Sloan makes 2-pt shot from 2 ft
4:34.0,C. Anthony makes 2-pt shot from 15 ft,2,18-16,,
4:17.0,,,18-16,,W. Ellington misses 3-pt shot from 23 ft
4:15.0,Defensive rebound by J. Calderon,,18-16,,
4:04.0,K. Porzingis makes 2-pt shot from 9 ft (assist by J. Calderon),2,20-16,,
3:53.0,,,20-16,,Turnover by D. Sloan (lost ball; steal by C. Anthony)
3:49.0,J. Calderon misses 2-pt shot from 2 ft (block by B. Lopez),,20-16,,
3:47.0,,,20-16,,Defensive rebound by W. Ellington
3:41.0,,,20-16,,J. Johnson misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by R. Lopez,,20-16,,
3:34.0,,,20-16,,Personal foul by T. Young
3:34.0,,,20-16,,B. Bogdanovic enters the game for W. Ellington
3:34.0,,,20-16,,S. Larkin enters the game for D. Sloan
3:34.0,,,20-16,,T. Robinson enters the game for B. Lopez
3:34.0,L. Galloway enters the game for J. Calderon,,20-16,,
3:34.0,K. Seraphin enters the game for R. Lopez,,20-16,,
3:23.0,Turnover by K. Porzingis (traveling),,20-16,,
3:09.0,,,20-16,,S. Larkin misses 3-pt shot from 23 ft
3:08.0,Defensive rebound by K. Seraphin,,20-16,,
2:58.0,C. Anthony misses 2-pt shot from 17 ft,,20-16,,
2:57.0,,,20-16,,Defensive rebound by T. Young
2:45.0,,,20-18,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Robinson)
2:25.0,K. Seraphin misses 2-pt shot from 11 ft,,20-18,,
2:23.0,,,20-18,,Defensive rebound by T. Robinson
2:11.0,,,20-18,,J. Johnson misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by L. Galloway,,20-18,,
2:02.0,K. Porzingis makes 3-pt shot from 28 ft (assist by L. Galloway),3,23-18,,
1:38.0,,,23-18,,Turnover by J. Johnson (lost ball; steal by C. Anthony)
1:35.0,New York full timeout,,23-18,,
1:35.0,,,23-18,,M. Brown enters the game for J. Johnson
1:35.0,D. Williams enters the game for K. Porzingis,,23-18,,
1:31.0,A. Afflalo makes 2-pt shot from 18 ft (assist by C. Anthony),2,25-18,,
1:09.0,,,25-18,,T. Young misses 2-pt shot from 3 ft
1:08.0,Defensive rebound by C. Anthony,,25-18,,
1:00.0,C. Anthony makes 2-pt shot from 19 ft,2,27-18,,
0:41.0,,,27-21,3,B. Bogdanovic makes 3-pt shot from 28 ft
0:31.0,D. Williams makes 3-pt shot from 25 ft (assist by L. Galloway),3,30-21,,
0:11.0,,,30-21,,S. Larkin misses 2-pt shot from 8 ft
0:09.0,,,30-21,,Offensive rebound by T. Robinson
0:07.0,,,30-23,2,T. Robinson makes 2-pt shot from 5 ft
0:00.0,C. Anthony makes 2-pt shot from 5 ft,2,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by J. Grant (lost ball; steal by M. Brown),,32-23,,
11:47.0,,,32-25,2,M. Brown makes 2-pt shot at rim
11:34.0,Turnover by K. Seraphin (lost ball; steal by T. Robinson),,32-25,,
11:26.0,,,32-28,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by T. Robinson)
11:10.0,,,32-28,,Def 3 sec tech foul by C. McCullough
11:10.0,L. Galloway misses technical free throw,,32-28,,
11:10.0,Offensive rebound by Team,,32-28,,
11:03.0,J. Grant makes 2-pt shot from 2 ft,2,34-28,,
10:36.0,,,34-28,,M. Brown misses 3-pt shot from 24 ft
10:35.0,Defensive rebound by D. Williams,,34-28,,
10:31.0,Turnover by D. Williams (lost ball; steal by B. Bogdanovic),,34-28,,
10:24.0,Loose ball foul by L. Galloway,,34-28,,
10:24.0,K. O'Quinn enters the game for K. Seraphin,,34-28,,
10:22.0,Personal foul by L. Thomas,,34-28,,
10:12.0,,,34-28,,T. Robinson misses 2-pt shot from 5 ft (block by K. O'Quinn)
10:10.0,Defensive rebound by K. O'Quinn,,34-28,,
10:07.0,D. Williams misses 2-pt shot from 1 ft,,34-28,,
10:06.0,Offensive rebound by L. Thomas,,34-28,,
10:05.0,L. Thomas misses 2-pt shot from 1 ft,,34-28,,
10:03.0,Offensive rebound by J. Grant,,34-28,,
9:43.0,D. Williams misses 2-pt shot from 15 ft,,34-28,,
9:42.0,,,34-28,,Defensive rebound by T. Robinson
9:37.0,,,34-31,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by S. Larkin)
9:18.0,Turnover by L. Thomas (lost ball; steal by C. McCullough),,34-31,,
9:14.0,,,34-33,2,T. Robinson makes 2-pt shot at rim (assist by B. Bogdanovic)
9:05.0,New York full timeout,,34-33,,
9:05.0,C. Anthony enters the game for D. Williams,,34-33,,
8:51.0,K. O'Quinn makes 2-pt shot from 1 ft,2,36-33,,
8:33.0,,,36-33,,C. McCullough misses 2-pt shot from 20 ft
8:32.0,Defensive rebound by J. Grant,,36-33,,
8:26.0,L. Galloway makes 3-pt shot from 23 ft (assist by J. Grant),3,39-33,,
8:12.0,,,39-33,,M. Brown misses 2-pt shot from 17 ft
8:11.0,Defensive rebound by L. Galloway,,39-33,,
8:05.0,L. Thomas misses 3-pt shot from 22 ft,,39-33,,
8:04.0,,,39-33,,Defensive rebound by S. Larkin
7:51.0,,,39-35,2,C. McCullough makes 2-pt shot from 18 ft (assist by S. Larkin)
7:35.0,L. Thomas misses 2-pt shot from 4 ft (block by T. Robinson),,39-35,,
7:34.0,Offensive rebound by Team,,39-35,,
7:34.0,,,39-35,,B. Lopez enters the game for T. Robinson
7:34.0,R. Lopez enters the game for K. O'Quinn,,39-35,,
7:31.0,R. Lopez misses 2-pt shot at rim (block by B. Lopez),,39-35,,
7:30.0,Offensive rebound by R. Lopez,,39-35,,
7:28.0,R. Lopez makes 2-pt shot at rim,2,41-35,,
7:06.0,,,41-35,,S. Larkin misses 2-pt shot from 2 ft
7:05.0,Defensive rebound by L. Galloway,,41-35,,
7:01.0,Turnover by L. Thomas (lost ball; steal by S. Larkin),,41-35,,
6:54.0,,,41-35,,C. McCullough misses 2-pt shot from 19 ft
6:53.0,Defensive rebound by J. Grant,,41-35,,
6:48.0,,,41-35,,Personal foul by B. Bogdanovic
6:48.0,,,41-35,,T. Young enters the game for C. McCullough
6:48.0,,,41-35,,J. Johnson enters the game for M. Brown
6:44.0,,,41-35,,Personal foul by J. Johnson
6:38.0,C. Anthony misses 2-pt shot from 19 ft,,41-35,,
6:36.0,,,41-35,,Defensive rebound by T. Young
6:15.0,,,41-35,,B. Bogdanovic misses 3-pt shot from 22 ft
6:14.0,Defensive rebound by L. Thomas,,41-35,,
6:04.0,L. Thomas misses 3-pt shot from 24 ft,,41-35,,
6:03.0,Offensive rebound by C. Anthony,,41-35,,
6:02.0,Shooting foul by B. Bogdanovic (drawn by C. Anthony),,41-35,,
6:02.0,C. Anthony makes free throw 1 of 2,1,42-35,,
6:02.0,A. Afflalo enters the game for L. Galloway,,42-35,,
6:02.0,J. Calderon enters the game for J. Grant,,42-35,,
6:02.0,,,42-35,,W. Ellington enters the game for B. Bogdanovic
6:02.0,C. Anthony makes free throw 2 of 2,1,43-35,,
5:49.0,,,43-37,2,B. Lopez makes 2-pt shot from 8 ft
5:49.0,,,43-37,,Shooting foul by R. Lopez (drawn by B. Lopez)
5:49.0,Official timeout,,43-37,,
5:49.0,K. Porzingis enters the game for L. Thomas,,43-37,,
5:49.0,,,43-38,1,B. Lopez makes free throw 1 of 1
5:35.0,R. Lopez makes 2-pt shot from 8 ft (assist by A. Afflalo),2,45-38,,
5:20.0,,,45-38,,T. Young misses 2-pt shot from 2 ft
5:19.0,,,45-38,,Offensive rebound by B. Lopez
5:18.0,,,45-40,2,B. Lopez makes 2-pt shot at rim
5:00.0,Turnover by C. Anthony (bad pass),,45-40,,
4:43.0,,,45-42,2,B. Lopez makes 2-pt shot from 15 ft
4:30.0,,,45-42,,Personal foul by T. Young
4:30.0,,,45-42,,D. Sloan enters the game for S. Larkin
4:14.0,R. Lopez misses 2-pt shot from 5 ft,,45-42,,
4:13.0,,,45-42,,Defensive rebound by D. Sloan
4:05.0,,,45-42,,B. Lopez misses 2-pt shot from 19 ft
4:04.0,Defensive rebound by J. Calderon,,45-42,,
3:55.0,J. Calderon misses 3-pt shot from 25 ft,,45-42,,
3:54.0,,,45-42,,Defensive rebound by T. Young
3:44.0,,,45-42,,W. Ellington misses 2-pt shot from 17 ft (block by J. Calderon)
3:43.0,Defensive rebound by R. Lopez,,45-42,,
3:29.0,K. Porzingis misses 3-pt shot from 26 ft,,45-42,,
3:28.0,,,45-42,,Defensive rebound by D. Sloan
3:19.0,Personal foul by A. Afflalo,,45-42,,
3:07.0,,,45-44,2,B. Lopez makes 2-pt shot from 10 ft (assist by W. Ellington)
2:38.0,C. Anthony misses 2-pt shot from 22 ft,,45-44,,
2:37.0,,,45-44,,Defensive rebound by B. Lopez
2:29.0,,,45-46,2,B. Lopez makes 2-pt shot from 10 ft (assist by T. Young)
2:13.0,Turnover by A. Afflalo (lost ball; steal by W. Ellington),,45-46,,
2:06.0,,,45-48,2,W. Ellington makes 2-pt shot from 2 ft (assist by T. Young)
2:05.0,New York full timeout,,45-48,,
2:05.0,,,45-48,,Brooklyn full timeout
1:39.0,K. Porzingis misses 2-pt shot from 14 ft,,45-48,,
1:38.0,Offensive rebound by R. Lopez,,45-48,,
1:37.0,R. Lopez makes 2-pt shot from 2 ft,2,47-48,,
1:20.0,,,47-50,2,B. Lopez makes 2-pt shot from 8 ft (assist by J. Johnson)
1:05.0,A. Afflalo makes 2-pt shot from 5 ft (assist by C. Anthony),2,49-50,,
0:49.0,,,49-50,,Turnover by J. Johnson (traveling)
0:49.0,,,49-50,,T. Robinson enters the game for T. Young
0:38.0,Turnover by J. Calderon (lost ball; steal by T. Robinson),,49-50,,
0:33.0,,,49-50,,D. Sloan misses 2-pt shot from 2 ft
0:32.0,Defensive rebound by C. Anthony,,49-50,,
0:24.0,A. Afflalo makes 3-pt shot from 24 ft (assist by K. Porzingis),3,52-50,,
0:02.0,,,52-50,,B. Lopez misses 2-pt shot from 20 ft
0:01.0,Defensive rebound by K. Porzingis,,52-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Porzingis makes 2-pt shot at rim (assist by J. Calderon),2,54-50,,
11:23.0,,,54-52,2,B. Lopez makes 2-pt shot from 4 ft
11:23.0,,,54-52,,Shooting foul by C. Anthony (drawn by B. Lopez)
11:23.0,,,54-53,1,B. Lopez makes free throw 1 of 1
11:10.0,C. Anthony makes 2-pt shot from 18 ft,2,56-53,,
10:56.0,,,56-53,,Shooting foul by K. Porzingis (drawn by T. Young)
10:56.0,,,56-53,,T. Young misses free throw 1 of 2
10:56.0,,,56-53,,Offensive rebound by Team
10:56.0,,,56-54,1,T. Young makes free throw 2 of 2
10:48.0,,,56-54,,Personal foul by J. Johnson
10:34.0,Shooting foul by T. Young (drawn by K. Porzingis),,56-54,,
10:34.0,K. Porzingis makes 2-pt shot from 8 ft (assist by C. Anthony),2,58-54,,
10:34.0,K. Porzingis makes free throw 1 of 1,1,59-54,,
10:21.0,,,59-54,,Shooting foul by C. Anthony (drawn by J. Johnson)
10:21.0,,,59-55,1,J. Johnson makes free throw 1 of 2
10:21.0,,,59-56,1,J. Johnson makes free throw 2 of 2
9:55.0,R. Lopez misses 3-pt shot from 22 ft,,59-56,,
9:54.0,,,59-56,,Defensive rebound by T. Young
9:45.0,,,59-58,2,T. Young makes 2-pt shot from 17 ft (assist by D. Sloan)
9:23.0,K. Porzingis misses 3-pt shot from 23 ft,,59-58,,
9:22.0,,,59-58,,Defensive rebound by B. Lopez
9:19.0,Personal foul by J. Calderon,,59-58,,
9:12.0,,,59-60,2,D. Sloan makes 2-pt shot from 18 ft
8:48.0,K. Porzingis misses 2-pt shot from 16 ft,,59-60,,
8:47.0,,,59-60,,Defensive rebound by J. Johnson
8:37.0,,,59-62,2,B. Lopez makes 2-pt shot from 2 ft
8:24.0,Turnover by C. Anthony (lost ball; steal by D. Sloan),,59-62,,
8:20.0,,,59-64,2,D. Sloan makes 2-pt shot from 2 ft (assist by T. Young)
8:20.0,New York full timeout,,59-64,,
8:01.0,J. Calderon misses 2-pt shot from 19 ft,,59-64,,
7:59.0,,,59-64,,Defensive rebound by T. Young
7:51.0,,,59-64,,W. Ellington misses 3-pt shot from 24 ft
7:50.0,,,59-64,,Offensive rebound by D. Sloan
7:42.0,,,59-64,,B. Lopez misses 2-pt shot from 19 ft
7:41.0,Defensive rebound by J. Calderon,,59-64,,
7:32.0,J. Calderon makes 2-pt shot from 19 ft,2,61-64,,
