time,Orlando,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. G. Monroe (J. Parker gains possession),,,,Jump ball: D. Dedmon vs. G. Monroe (J. Parker gains possession)
11:39.0,,,0-0,,Offensive foul by G. Antetokounmpo
11:39.0,,,0-0,,Turnover by G. Antetokounmpo (offensive foul)
11:30.0,Shooting foul by R. Vaughn (drawn by D. Dedmon),,0-0,,
11:30.0,D. Dedmon makes free throw 1 of 2,1,1-0,,
11:30.0,D. Dedmon makes free throw 2 of 2,1,2-0,,
11:21.0,,,2-0,,K. Middleton misses 3-pt shot from 23 ft
11:20.0,Defensive rebound by A. Gordon,,2-0,,
11:14.0,A. Gordon misses 2-pt shot from 3 ft,,2-0,,
11:13.0,,,2-0,,Defensive rebound by K. Middleton
11:07.0,,,2-2,2,K. Middleton makes 2-pt shot from 3 ft
10:51.0,A. Gordon misses 2-pt shot from 15 ft,,2-2,,
10:50.0,,,2-2,,Defensive rebound by K. Middleton
10:44.0,,,2-2,,K. Middleton misses 2-pt shot at rim
10:42.0,Defensive rebound by D. Dedmon,,2-2,,
10:35.0,Turnover by V. Oladipo (lost ball; steal by J. Parker),,2-2,,
10:21.0,,,2-4,2,G. Monroe makes 2-pt shot from 16 ft (assist by G. Antetokounmpo)
10:05.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,4-4,,
9:41.0,,,4-6,2,G. Monroe makes 2-pt shot from 1 ft
9:28.0,Turnover by E. Fournier (bad pass),,4-6,,
9:19.0,,,4-6,,Shooting foul by D. Dedmon (drawn by G. Monroe)
9:19.0,,,4-8,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:19.0,,,4-8,,G. Monroe misses free throw 1 of 1
9:18.0,Defensive rebound by D. Dedmon,,4-8,,
9:06.0,Turnover by V. Oladipo (lost ball; steal by K. Middleton),,4-8,,
9:00.0,,,4-8,,Shooting foul by A. Gordon (drawn by R. Vaughn)
9:00.0,,,4-10,2,R. Vaughn makes 2-pt shot from 1 ft (assist by K. Middleton)
9:00.0,,,4-10,,R. Vaughn misses free throw 1 of 1
8:57.0,Defensive rebound by D. Dedmon,,4-10,,
8:39.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,6-10,,
8:18.0,,,6-10,,Turnover by G. Monroe (lost ball; steal by A. Gordon)
8:13.0,V. Oladipo misses 2-pt shot at rim (block by G. Antetokounmpo),,6-10,,
8:11.0,Offensive rebound by Team,,6-10,,
8:01.0,V. Oladipo misses 2-pt shot from 10 ft (block by K. Middleton),,6-10,,
8:01.0,,,6-10,,Defensive rebound by Team
7:41.0,,,6-12,2,K. Middleton makes 2-pt shot from 12 ft
7:33.0,Turnover by E. Payton (lost ball; steal by R. Vaughn),,6-12,,
7:21.0,,,6-12,,Turnover by G. Antetokounmpo (lost ball; steal by E. Payton)
7:15.0,D. Dedmon makes 2-pt shot from 1 ft (assist by E. Payton),2,8-12,,
7:02.0,,,8-12,,Turnover by K. Middleton (lost ball; steal by V. Oladipo)
6:59.0,E. Fournier makes 2-pt shot at rim (assist by V. Oladipo),2,10-12,,
6:59.0,,,10-12,,Milwaukee full timeout
6:43.0,Violation by A. Gordon (def goaltending),,10-12,,
6:43.0,,,10-14,2,G. Monroe makes 2-pt shot from 2 ft
6:32.0,V. Oladipo makes 2-pt shot from 13 ft,2,12-14,,
6:10.0,,,12-16,2,G. Monroe makes 2-pt shot from 3 ft
5:56.0,V. Oladipo makes 2-pt shot from 15 ft (assist by E. Payton),2,14-16,,
5:45.0,,,14-18,2,G. Monroe makes 2-pt shot from 4 ft (assist by G. Antetokounmpo)
5:45.0,,,14-18,,Shooting foul by E. Payton (drawn by G. Monroe)
5:45.0,N. Vucevic enters the game for D. Dedmon,,14-18,,
5:45.0,,,14-18,,G. Monroe misses free throw 1 of 1
5:44.0,Defensive rebound by A. Gordon,,14-18,,
5:25.0,V. Oladipo misses 3-pt shot from 26 ft,,14-18,,
5:24.0,,,14-18,,Defensive rebound by J. Parker
5:17.0,,,14-20,2,G. Monroe makes 2-pt shot from 14 ft (assist by J. Parker)
5:01.0,Turnover by E. Fournier (lost ball; steal by G. Antetokounmpo),,14-20,,
4:58.0,,,14-22,2,G. Antetokounmpo makes 2-pt shot at rim
4:44.0,Turnover by E. Payton (lost ball; steal by G. Monroe),,14-22,,
4:36.0,,,14-22,,G. Antetokounmpo misses 2-pt shot from 1 ft
4:34.0,Defensive rebound by V. Oladipo,,14-22,,
4:22.0,E. Fournier misses 3-pt shot from 26 ft,,14-22,,
4:21.0,,,14-22,,Defensive rebound by K. Middleton
4:17.0,,,14-24,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
4:16.0,Orlando full timeout,,14-24,,
4:16.0,M. Hezonja enters the game for V. Oladipo,,14-24,,
4:16.0,B. Jennings enters the game for E. Payton,,14-24,,
4:01.0,M. Hezonja misses 2-pt shot from 8 ft,,14-24,,
4:00.0,,,14-24,,Defensive rebound by G. Antetokounmpo
3:51.0,,,14-24,,J. Parker misses 2-pt shot from 6 ft
3:49.0,Defensive rebound by E. Fournier,,14-24,,
3:37.0,A. Gordon makes 2-pt shot at rim (assist by M. Hezonja),2,16-24,,
3:20.0,,,16-24,,R. Vaughn misses 3-pt shot from 23 ft
3:19.0,Defensive rebound by M. Hezonja,,16-24,,
3:11.0,N. Vucevic misses 2-pt shot from 17 ft,,16-24,,
3:10.0,,,16-24,,Defensive rebound by K. Middleton
2:59.0,,,16-27,3,K. Middleton makes 3-pt shot from 24 ft (assist by G. Monroe)
2:34.0,E. Fournier misses 3-pt shot from 25 ft,,16-27,,
2:33.0,,,16-27,,Defensive rebound by G. Antetokounmpo
2:25.0,,,16-29,2,G. Antetokounmpo makes 2-pt shot from 1 ft
2:06.0,A. Gordon misses 3-pt shot from 24 ft,,16-29,,
2:05.0,,,16-29,,Defensive rebound by J. Parker
1:57.0,,,16-29,,Shooting foul by N. Vucevic (drawn by G. Antetokounmpo)
1:57.0,,,16-29,,G. Antetokounmpo misses free throw 1 of 2
1:57.0,,,16-29,,Offensive rebound by Team
