time,Milwaukee,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. G. Monroe (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. G. Monroe (K. Humphries gains possession)
11:33.0,,,0-0,,M. Gortat misses 2-pt shot from 20 ft
11:32.0,Defensive rebound by M. Carter-Williams,,0-0,,
11:07.0,M. Carter-Williams misses 2-pt shot from 11 ft,,0-0,,
11:06.0,Offensive rebound by Team,,0-0,,
11:00.0,K. Middleton makes 2-pt shot from 11 ft,2,2-0,,
10:49.0,,,2-2,2,J. Wall makes 2-pt shot at rim
10:36.0,Turnover by M. Carter-Williams (bad pass; steal by G. Temple),,2-2,,
10:24.0,,,2-5,3,O. Porter makes 3-pt shot from 24 ft (assist by G. Temple)
10:10.0,Turnover by M. Carter-Williams (bad pass; steal by O. Porter),,2-5,,
10:06.0,,,2-7,2,J. Wall makes 2-pt shot at rim (assist by O. Porter)
9:52.0,Offensive foul by K. Middleton,,2-7,,
9:52.0,Turnover by K. Middleton (offensive foul),,2-7,,
9:38.0,,,2-7,,O. Porter misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by J. Bayless,,2-7,,
9:28.0,Turnover by G. Antetokounmpo (turnover),,2-7,,
9:19.0,,,2-7,,Turnover by O. Porter (lost ball)
9:05.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Monroe),3,5-7,,
8:49.0,,,5-7,,J. Wall misses 3-pt shot from 30 ft
8:48.0,Defensive rebound by G. Antetokounmpo,,5-7,,
8:30.0,J. Bayless makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,8-7,,
8:24.0,,,8-7,,M. Gortat misses 2-pt shot from 1 ft (block by G. Monroe)
8:19.0,Defensive rebound by J. Bayless,,8-7,,
8:09.0,K. Middleton makes 2-pt shot from 17 ft (assist by G. Monroe),2,10-7,,
8:03.0,,,10-7,,O. Porter misses 2-pt shot from 19 ft
8:01.0,Defensive rebound by J. Bayless,,10-7,,
7:50.0,Shooting foul by J. Wall (drawn by G. Antetokounmpo),,10-7,,
7:50.0,G. Antetokounmpo makes free throw 1 of 2,1,11-7,,
7:50.0,G. Antetokounmpo makes free throw 2 of 2,1,12-7,,
7:37.0,,,12-7,,Turnover by J. Wall (traveling)
7:23.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,12-7,,
7:21.0,,,12-7,,Defensive rebound by M. Gortat
7:17.0,,,12-7,,Shooting foul by K. Middleton (drawn by O. Porter)
7:17.0,,,12-8,1,O. Porter makes free throw 1 of 2
7:17.0,R. Vaughn enters the game for K. Middleton,,12-8,,
7:17.0,,,12-9,1,O. Porter makes free throw 2 of 2
6:54.0,J. Bayless misses 2-pt shot from 17 ft,,12-9,,
6:53.0,,,12-9,,Defensive rebound by J. Wall
6:47.0,,,12-9,,G. Temple misses 2-pt shot from 2 ft
6:47.0,,,12-9,,Offensive rebound by K. Humphries
6:47.0,Personal foul by M. Carter-Williams (drawn by K. Humphries),,12-9,,
6:39.0,,,12-9,,Shooting foul by G. Monroe (drawn by M. Gortat)
6:39.0,,,12-10,1,M. Gortat makes free throw 1 of 2
6:39.0,,,12-11,1,M. Gortat makes free throw 2 of 2
6:22.0,M. Carter-Williams misses 2-pt shot from 17 ft,,12-11,,
6:21.0,,,12-11,,Defensive rebound by J. Wall
6:10.0,,,12-11,,G. Temple misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by G. Monroe,,12-11,,
6:02.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by K. Humphries),,12-11,,
6:01.0,Offensive rebound by G. Monroe,,12-11,,
5:58.0,G. Monroe misses 2-pt shot from 6 ft (block by O. Porter),,12-11,,
5:58.0,Offensive rebound by Team,,12-11,,
5:58.0,,,12-11,,Washington full timeout
5:58.0,J. O'Bryant enters the game for G. Antetokounmpo,,12-11,,
5:46.0,M. Carter-Williams misses 2-pt shot from 14 ft,,12-11,,
5:45.0,,,12-11,,Defensive rebound by Team
5:26.0,,,12-13,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
5:08.0,M. Carter-Williams misses 3-pt shot from 26 ft,,12-13,,
5:07.0,,,12-13,,Defensive rebound by M. Gortat
4:57.0,,,12-15,2,M. Gortat makes 2-pt shot at rim (assist by G. Temple)
4:43.0,Offensive foul by M. Carter-Williams,,12-15,,
4:43.0,Turnover by M. Carter-Williams (offensive foul),,12-15,,
4:43.0,G. Vasquez enters the game for M. Carter-Williams,,12-15,,
4:43.0,,,12-15,,R. Sessions enters the game for J. Wall
4:31.0,,,12-18,3,G. Temple makes 3-pt shot from 25 ft (assist by M. Gortat)
4:19.0,G. Monroe misses 2-pt shot from 18 ft,,12-18,,
4:17.0,,,12-18,,Defensive rebound by K. Humphries
4:06.0,,,12-18,,Turnover by R. Sessions (bad pass; steal by J. Bayless)
3:50.0,,,12-18,,G. Neal enters the game for O. Porter
3:50.0,J. Henson enters the game for G. Monroe,,12-18,,
3:46.0,J. Bayless makes 2-pt shot from 13 ft (assist by J. Henson),2,14-18,,
3:30.0,,,14-18,,M. Gortat misses 2-pt shot from 3 ft
3:29.0,Defensive rebound by J. Henson,,14-18,,
3:16.0,J. Henson makes 2-pt shot from 5 ft (assist by G. Vasquez),2,16-18,,
