time,Oklahoma City,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Valanciunas (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. J. Valanciunas (S. Ibaka gains possession)
11:43.0,K. Durant misses 2-pt shot from 14 ft,,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:35.0,S. Ibaka misses 3-pt shot from 25 ft,,0-0,,
11:35.0,Offensive rebound by K. Durant,,0-0,,
11:26.0,R. Westbrook misses 2-pt shot from 7 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by J. Valanciunas
11:04.0,,,0-0,,J. Valanciunas misses 2-pt shot from 1 ft (block by S. Ibaka)
11:04.0,,,0-0,,Offensive rebound by Team
11:02.0,,,0-0,,D. DeRozan misses 2-pt shot from 15 ft
11:01.0,Defensive rebound by R. Westbrook,,0-0,,
10:56.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,2-0,,
10:29.0,,,2-0,,L. Scola misses 2-pt shot from 2 ft
10:28.0,,,2-0,,Offensive rebound by L. Scola
10:27.0,,,2-0,,L. Scola misses 2-pt shot from 1 ft
10:26.0,,,2-0,,Offensive rebound by J. Valanciunas
10:24.0,,,2-0,,J. Valanciunas misses 2-pt shot from 2 ft
10:23.0,Defensive rebound by S. Adams,,2-0,,
10:18.0,K. Durant makes 3-pt shot from 25 ft,3,5-0,,
10:01.0,,,5-2,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
9:37.0,Shooting foul by L. Scola (drawn by S. Adams),,5-2,,
9:37.0,S. Adams misses free throw 1 of 2,,5-2,,
9:37.0,Offensive rebound by Team,,5-2,,
9:37.0,S. Adams makes free throw 2 of 2,1,6-2,,
9:13.0,,,6-2,,Turnover by Team (shot clock)
8:57.0,A. Roberson makes 3-pt shot from 23 ft (assist by K. Durant),3,9-2,,
8:37.0,,,9-2,,Turnover by L. Scola (lost ball; steal by K. Durant)
8:32.0,S. Ibaka makes 2-pt shot at rim (assist by K. Durant),2,11-2,,
8:25.0,,,11-2,,Toronto full timeout
8:08.0,,,11-2,,D. DeRozan misses 2-pt shot from 16 ft
8:07.0,Defensive rebound by R. Westbrook,,11-2,,
8:02.0,R. Westbrook makes 2-pt shot at rim,2,13-2,,
7:38.0,,,13-2,,Shooting foul by R. Westbrook (drawn by K. Lowry)
7:38.0,,,13-2,,K. Lowry misses free throw 1 of 2
7:38.0,,,13-2,,Offensive rebound by Team
7:38.0,,,13-3,1,K. Lowry makes free throw 2 of 2
7:24.0,K. Durant makes 2-pt shot from 18 ft (assist by R. Westbrook),2,15-3,,
7:10.0,,,15-3,,K. Lowry misses 3-pt shot from 26 ft
7:09.0,,,15-3,,Offensive rebound by N. Powell
7:01.0,,,15-5,2,D. DeRozan makes 2-pt shot from 2 ft (assist by L. Scola)
6:50.0,Turnover by R. Westbrook (lost ball; steal by L. Scola),,15-5,,
6:39.0,,,15-8,3,N. Powell makes 3-pt shot from 26 ft (assist by D. DeRozan)
6:24.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,17-8,,
6:14.0,,,17-10,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
5:55.0,S. Ibaka misses 2-pt shot from 17 ft,,17-10,,
5:54.0,,,17-10,,Defensive rebound by J. Valanciunas
5:44.0,,,17-10,,K. Lowry misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by S. Adams,,17-10,,
5:36.0,R. Westbrook misses 2-pt shot from 2 ft (block by L. Scola),,17-10,,
5:35.0,Offensive rebound by R. Westbrook,,17-10,,
