time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. J. Valanciunas (L. Allen gains possession),,,,Jump ball: I. Mahinmi vs. J. Valanciunas (L. Allen gains possession)
11:35.0,,,0-0,,P. George misses 2-pt shot from 22 ft
11:34.0,,,0-0,,Offensive rebound by Team
11:34.0,,,0-0,,Turnover by Team (shot clock)
11:09.0,K. Lowry misses 2-pt shot from 18 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by L. Allen
10:57.0,,,0-3,3,G. Hill makes 3-pt shot from 26 ft (assist by P. George)
10:42.0,,,0-3,,Personal foul by G. Hill
10:37.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,2-3,,
10:37.0,Shooting foul by P. George (drawn by D. DeRozan),,2-3,,
10:37.0,D. DeRozan makes free throw 1 of 1,1,3-3,,
10:26.0,,,3-3,,Shooting foul by J. Valanciunas (drawn by P. George)
10:26.0,,,3-4,1,P. George makes free throw 1 of 2
10:26.0,,,3-5,1,P. George makes free throw 2 of 2
10:15.0,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry),2,5-5,,
9:48.0,,,5-7,2,P. George makes 2-pt shot from 12 ft
9:33.0,D. Carroll makes 3-pt shot from 24 ft (assist by L. Scola),3,8-7,,
9:21.0,,,8-9,2,P. George makes 2-pt shot from 20 ft
9:02.0,D. Carroll misses 2-pt shot from 12 ft,,8-9,,
9:02.0,Offensive rebound by D. Carroll,,8-9,,
8:58.0,L. Scola misses 3-pt shot from 26 ft,,8-9,,
8:57.0,Offensive rebound by D. Carroll,,8-9,,
8:48.0,D. Carroll misses 3-pt shot from 27 ft,,8-9,,
8:47.0,,,8-9,,Defensive rebound by G. Hill
8:39.0,,,8-9,,Turnover by I. Mahinmi (bad pass)
8:21.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan),2,10-9,,
8:10.0,,,10-9,,L. Allen misses 2-pt shot from 20 ft
8:10.0,Defensive rebound by J. Valanciunas,,10-9,,
7:57.0,D. DeRozan makes 2-pt shot from 8 ft,2,12-9,,
7:42.0,,,12-9,,Turnover by M. Ellis (lost ball; steal by D. DeRozan)
7:37.0,D. Carroll makes 2-pt shot at rim (assist by K. Lowry),2,14-9,,
7:37.0,,,14-9,,Indiana full timeout
7:23.0,,,14-9,,P. George misses 3-pt shot from 26 ft
7:23.0,Defensive rebound by J. Valanciunas,,14-9,,
7:12.0,D. DeRozan misses 2-pt shot from 16 ft,,14-9,,
7:12.0,,,14-9,,Defensive rebound by Team
7:12.0,Loose ball foul by J. Valanciunas,,14-9,,
7:12.0,B. Biyombo enters the game for J. Valanciunas,,14-9,,
6:57.0,,,14-11,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
6:40.0,K. Lowry makes 3-pt shot from 27 ft,3,17-11,,
6:22.0,,,17-11,,I. Mahinmi misses 2-pt shot from 6 ft
6:21.0,Defensive rebound by B. Biyombo,,17-11,,
6:08.0,B. Biyombo misses 2-pt shot from 6 ft (block by I. Mahinmi),,17-11,,
6:07.0,,,17-11,,Defensive rebound by M. Ellis
6:02.0,,,17-11,,G. Hill misses 2-pt shot from 2 ft
6:01.0,Defensive rebound by D. Carroll,,17-11,,
5:52.0,K. Lowry misses 3-pt shot from 28 ft (block by L. Allen),,17-11,,
5:51.0,Offensive rebound by K. Lowry,,17-11,,
5:44.0,D. Carroll misses 3-pt shot from 27 ft,,17-11,,
5:41.0,Offensive rebound by K. Lowry,,17-11,,
5:34.0,Shooting foul by I. Mahinmi (drawn by D. DeRozan),,17-11,,
5:34.0,D. DeRozan misses free throw 1 of 2,,17-11,,
5:34.0,Offensive rebound by Team,,17-11,,
5:34.0,D. DeRozan misses free throw 2 of 2,,17-11,,
5:34.0,,,17-11,,Defensive rebound by I. Mahinmi
5:15.0,,,17-11,,Offensive charge foul by G. Hill
