time,Minnesota,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Lauvergne vs. K. Towns (K. Faried gains possession),,,,Jump ball: J. Lauvergne vs. K. Towns (K. Faried gains possession)
11:36.0,,,0-2,2,K. Faried makes 2-pt shot from 1 ft
11:20.0,A. Wiggins misses 2-pt shot from 22 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by K. Faried
11:12.0,,,0-5,3,G. Harris makes 3-pt shot from 25 ft (assist by E. Mudiay)
10:55.0,K. Towns makes 2-pt shot at rim (assist by K. Martin),2,2-5,,
10:40.0,,,2-7,2,J. Lauvergne makes 2-pt shot from 9 ft (assist by D. Gallinari)
10:31.0,,,2-7,,Personal foul by J. Lauvergne (drawn by K. Towns)
10:26.0,Shooting foul by E. Mudiay (drawn by R. Rubio),,2-7,,
10:26.0,R. Rubio makes free throw 1 of 2,1,3-7,,
10:26.0,R. Rubio makes free throw 2 of 2,1,4-7,,
10:01.0,,,4-7,,D. Gallinari misses 2-pt shot from 22 ft
10:00.0,Defensive rebound by K. Martin,,4-7,,
9:50.0,R. Rubio makes 2-pt shot from 1 ft (assist by K. Martin),2,6-7,,
9:29.0,,,6-7,,Shooting foul by A. Wiggins (drawn by K. Faried)
9:29.0,,,6-8,1,K. Faried makes free throw 1 of 2
9:29.0,,,6-9,1,K. Faried makes free throw 2 of 2
9:18.0,A. Wiggins misses 2-pt shot from 2 ft,,6-9,,
9:17.0,,,6-9,,Defensive rebound by J. Lauvergne
9:13.0,Personal foul by K. Garnett (drawn by K. Faried),,6-9,,
9:04.0,,,6-9,,E. Mudiay misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by K. Garnett,,6-9,,
8:56.0,R. Rubio misses 2-pt shot from 2 ft,,6-9,,
8:53.0,Offensive rebound by K. Garnett,,6-9,,
8:53.0,K. Garnett makes 2-pt shot from 1 ft,2,8-9,,
8:40.0,,,8-9,,Denver full timeout
8:34.0,,,8-9,,Shooting foul by K. Garnett (drawn by K. Faried)
8:34.0,,,8-10,1,K. Faried makes free throw 1 of 2
8:34.0,,,8-10,,K. Faried misses free throw 2 of 2
8:33.0,Defensive rebound by K. Garnett,,8-10,,
8:19.0,K. Martin makes 2-pt shot from 17 ft (assist by R. Rubio),2,10-10,,
8:06.0,,,10-10,,D. Gallinari misses 3-pt shot from 24 ft
8:05.0,,,10-10,,Offensive rebound by K. Faried
8:00.0,,,10-10,,K. Faried misses 2-pt shot from 1 ft
8:00.0,Defensive rebound by K. Garnett,,10-10,,
7:55.0,K. Martin misses 2-pt shot from 17 ft,,10-10,,
7:54.0,,,10-10,,Defensive rebound by E. Mudiay
7:47.0,,,10-10,,E. Mudiay misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by K. Garnett,,10-10,,
7:38.0,K. Martin makes 2-pt shot from 16 ft,2,12-10,,
7:30.0,,,12-10,,Shooting foul by A. Wiggins (drawn by D. Gallinari)
7:30.0,,,12-11,1,D. Gallinari makes free throw 1 of 2
7:30.0,T. Prince enters the game for A. Wiggins,,12-11,,
7:30.0,,,12-12,1,D. Gallinari makes free throw 2 of 2
7:19.0,K. Martin misses 3-pt shot from 25 ft,,12-12,,
7:18.0,,,12-12,,Defensive rebound by K. Faried
7:06.0,,,12-12,,Shooting foul by R. Rubio (drawn by K. Faried)
7:06.0,,,12-12,,K. Faried misses free throw 1 of 2
7:06.0,,,12-12,,Offensive rebound by Team
7:06.0,,,12-13,1,K. Faried makes free throw 2 of 2
6:48.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,14-13,,
6:37.0,,,14-13,,Turnover by E. Mudiay (traveling)
6:30.0,T. Prince misses 3-pt shot from 23 ft,,14-13,,
6:29.0,,,14-13,,Defensive rebound by J. Lauvergne
6:12.0,,,14-13,,G. Harris misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by K. Towns,,14-13,,
5:56.0,K. Martin misses 2-pt shot from 16 ft,,14-13,,
5:55.0,Offensive rebound by T. Prince,,14-13,,
5:51.0,K. Garnett misses 2-pt shot from 20 ft,,14-13,,
5:49.0,Offensive rebound by K. Towns,,14-13,,
5:49.0,K. Towns makes 2-pt shot from 1 ft,2,16-13,,
5:48.0,,,16-13,,Denver full timeout
5:48.0,,,16-13,,J. Nelson enters the game for J. Lauvergne
5:48.0,,,16-13,,N. Jokic enters the game for E. Mudiay
5:48.0,N. Bjelica enters the game for K. Garnett,,16-13,,
5:33.0,,,16-15,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
5:22.0,,,16-15,,Personal foul by N. Jokic (drawn by K. Towns)
5:22.0,,,16-15,,W. Barton enters the game for G. Harris
5:15.0,R. Rubio makes 3-pt shot from 23 ft (assist by N. Bjelica),3,19-15,,
4:46.0,,,19-15,,D. Gallinari misses 2-pt shot from 1 ft
4:45.0,Defensive rebound by R. Rubio,,19-15,,
4:38.0,N. Bjelica makes 3-pt shot from 24 ft (assist by R. Rubio),3,22-15,,
4:24.0,,,22-15,,Shooting foul by K. Towns (drawn by K. Faried)
4:24.0,,,22-15,,K. Faried misses free throw 1 of 2
4:24.0,,,22-15,,Offensive rebound by Team
4:24.0,,,22-15,,K. Faried misses free throw 2 of 2
4:22.0,,,22-15,,Offensive rebound by Team
4:22.0,Loose ball foul by K. Towns (drawn by N. Jokic),,22-15,,
4:22.0,,,22-15,,M. Miller enters the game for K. Faried
4:22.0,,,22-16,1,N. Jokic makes free throw 1 of 2
4:22.0,G. Dieng enters the game for K. Towns,,22-16,,
4:22.0,,,22-17,1,N. Jokic makes free throw 2 of 2
3:58.0,K. Martin makes 3-pt shot from 26 ft (assist by T. Prince),3,25-17,,
3:39.0,Z. LaVine enters the game for R. Rubio,,25-17,,
3:34.0,,,25-17,,W. Barton misses 3-pt shot from 26 ft
3:33.0,,,25-17,,Offensive rebound by D. Gallinari
3:25.0,,,25-19,2,N. Jokic makes 2-pt shot from 1 ft (assist by D. Gallinari)
3:04.0,,,25-19,,Personal foul by J. Nelson (drawn by N. Bjelica)
3:04.0,S. Muhammad enters the game for N. Bjelica,,25-19,,
3:00.0,Shooting foul by M. Miller (drawn by K. Martin),,25-19,,
3:00.0,K. Martin makes free throw 1 of 2,1,26-19,,
3:00.0,K. Martin makes free throw 2 of 2,1,27-19,,
2:41.0,,,27-19,,D. Gallinari misses 2-pt shot from 18 ft
2:40.0,Defensive rebound by K. Martin,,27-19,,
2:19.0,S. Muhammad misses 2-pt shot from 1 ft,,27-19,,
2:19.0,,,27-19,,Defensive rebound by W. Barton
2:10.0,,,27-19,,W. Barton misses 2-pt shot from 17 ft
