time,Portland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Towns (N. Vonleh gains possession),,,,Jump ball: M. Plumlee vs. K. Towns (N. Vonleh gains possession)
11:38.0,Turnover by A. Aminu (bad pass),,0-0,,
11:28.0,,,0-0,,K. Martin misses 2-pt shot from 11 ft
11:26.0,Defensive rebound by M. Plumlee,,0-0,,
11:13.0,A. Aminu makes 2-pt shot from 9 ft (assist by C. McCollum),2,2-0,,
10:58.0,,,2-2,2,A. Wiggins makes 2-pt shot at rim (assist by K. Martin)
10:48.0,Offensive foul by A. Aminu,,2-2,,
10:48.0,Turnover by A. Aminu (offensive foul),,2-2,,
10:38.0,,,2-4,2,A. Wiggins makes 2-pt shot from 17 ft (assist by R. Rubio)
10:18.0,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum),3,5-4,,
10:06.0,Personal foul by M. Plumlee (drawn by K. Towns),,5-4,,
9:59.0,,,5-4,,Shooting foul by D. Lillard (drawn by R. Rubio)
9:59.0,,,5-5,1,R. Rubio makes free throw 1 of 2
9:59.0,,,5-6,1,R. Rubio makes free throw 2 of 2
9:49.0,,,5-6,,Violation by K. Towns (def goaltending)
9:49.0,A. Aminu makes 2-pt shot from 7 ft,2,7-6,,
9:49.0,Shooting foul by A. Wiggins (drawn by A. Aminu),,7-6,,
9:49.0,A. Aminu makes free throw 1 of 1,1,8-6,,
9:35.0,,,8-8,2,K. Garnett makes 2-pt shot from 17 ft (assist by R. Rubio)
9:26.0,D. Lillard misses 2-pt shot from 1 ft,,8-8,,
9:25.0,,,8-8,,Defensive rebound by K. Towns
9:19.0,,,8-8,,Turnover by R. Rubio (bad pass)
9:01.0,,,8-8,,Violation by R. Rubio (kicked ball)
8:51.0,Turnover by N. Vonleh (3 sec),,8-8,,
8:36.0,,,8-10,2,A. Wiggins makes 2-pt shot from 1 ft
8:26.0,M. Plumlee misses 2-pt shot from 2 ft (block by K. Garnett),,8-10,,
8:25.0,Offensive rebound by Team,,8-10,,
8:10.0,M. Plumlee makes 2-pt shot from 8 ft,2,10-10,,
7:51.0,,,10-13,3,K. Martin makes 3-pt shot from 25 ft (assist by K. Garnett)
7:36.0,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard),3,13-13,,
7:24.0,,,13-13,,Shooting foul by M. Plumlee (drawn by A. Wiggins)
7:24.0,,,13-14,1,A. Wiggins makes free throw 1 of 2
7:24.0,E. Davis enters the game for M. Plumlee,,13-14,,
7:24.0,,,13-15,1,A. Wiggins makes free throw 2 of 2
7:07.0,E. Davis misses 2-pt shot from 5 ft (block by K. Towns),,13-15,,
7:03.0,,,13-15,,Defensive rebound by K. Martin
7:01.0,Personal foul by C. McCollum (drawn by A. Wiggins),,13-15,,
6:55.0,,,13-15,,K. Garnett misses 2-pt shot from 17 ft
6:54.0,,,13-15,,Offensive rebound by A. Wiggins
6:41.0,,,13-17,2,K. Towns makes 2-pt shot from 6 ft (assist by K. Garnett)
6:24.0,N. Vonleh misses 2-pt shot from 1 ft,,13-17,,
6:23.0,Offensive rebound by E. Davis,,13-17,,
6:22.0,E. Davis makes 2-pt shot from 1 ft,2,15-17,,
6:15.0,,,15-17,,Minnesota full timeout
6:15.0,M. Leonard enters the game for N. Vonleh,,15-17,,
6:15.0,,,15-17,,A. Payne enters the game for K. Garnett
6:09.0,,,15-17,,K. Towns misses 2-pt shot from 20 ft
6:08.0,Defensive rebound by A. Aminu,,15-17,,
5:58.0,D. Lillard misses 2-pt shot from 2 ft,,15-17,,
5:57.0,Offensive rebound by E. Davis,,15-17,,
5:57.0,E. Davis makes 2-pt shot from 1 ft,2,17-17,,
5:36.0,,,17-17,,K. Martin misses 2-pt shot from 9 ft
5:34.0,,,17-17,,Offensive rebound by K. Towns
5:24.0,,,17-19,2,K. Towns makes 2-pt shot from 7 ft
5:10.0,Offensive foul by A. Aminu,,17-19,,
5:10.0,Turnover by A. Aminu (offensive foul),,17-19,,
5:10.0,A. Crabbe enters the game for C. McCollum,,17-19,,
5:10.0,M. Harkless enters the game for A. Aminu,,17-19,,
4:53.0,,,17-19,,A. Payne misses 3-pt shot from 22 ft
4:52.0,,,17-19,,Offensive rebound by K. Towns
4:48.0,,,17-21,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
4:30.0,A. Crabbe misses 2-pt shot from 23 ft,,17-21,,
4:29.0,,,17-21,,Defensive rebound by A. Payne
4:22.0,,,17-21,,Shooting foul by M. Leonard (drawn by K. Martin)
4:22.0,,,17-22,1,K. Martin makes free throw 1 of 2
4:22.0,,,17-23,1,K. Martin makes free throw 2 of 2
4:07.0,Shooting foul by A. Payne (drawn by M. Harkless),,17-23,,
4:07.0,M. Harkless misses free throw 1 of 2,,17-23,,
4:07.0,Offensive rebound by Team,,17-23,,
4:07.0,M. Harkless misses free throw 2 of 2,,17-23,,
4:05.0,,,17-23,,Defensive rebound by R. Rubio
3:46.0,,,17-26,3,R. Rubio makes 3-pt shot from 25 ft
3:25.0,D. Lillard makes 2-pt shot from 1 ft,2,19-26,,
3:19.0,,,19-26,,R. Rubio misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by E. Davis,,19-26,,
3:08.0,D. Lillard misses 3-pt shot from 24 ft,,19-26,,
3:07.0,,,19-26,,Defensive rebound by A. Payne
2:57.0,,,19-26,,K. Martin misses 2-pt shot from 15 ft
2:55.0,Defensive rebound by M. Harkless,,19-26,,
2:49.0,A. Crabbe makes 2-pt shot at rim (assist by D. Lillard),2,21-26,,
2:35.0,,,21-28,2,A. Payne makes 2-pt shot at rim (assist by R. Rubio)
2:34.0,Portland full timeout,,21-28,,
2:34.0,,,21-28,,Z. LaVine enters the game for R. Rubio
2:34.0,,,21-28,,G. Dieng enters the game for K. Towns
2:17.0,D. Lillard misses 2-pt shot from 5 ft,,21-28,,
2:16.0,,,21-28,,Defensive rebound by A. Payne
1:55.0,,,21-30,2,A. Wiggins makes 2-pt shot from 18 ft
1:41.0,,,21-30,,S. Muhammad enters the game for K. Martin
1:34.0,D. Lillard misses 2-pt shot from 1 ft,,21-30,,
1:33.0,,,21-30,,Defensive rebound by A. Payne
1:28.0,,,21-30,,Shooting foul by M. Leonard (drawn by Z. LaVine)
1:28.0,,,21-31,1,Z. LaVine makes free throw 1 of 2
1:28.0,C. McCollum enters the game for D. Lillard,,21-31,,
1:28.0,,,21-32,1,Z. LaVine makes free throw 2 of 2
1:10.0,Turnover by C. McCollum (lost ball),,21-32,,
0:55.0,,,21-32,,Z. LaVine misses 2-pt shot from 17 ft
0:53.0,Defensive rebound by C. McCollum,,21-32,,
0:47.0,M. Leonard misses 3-pt shot from 23 ft,,21-32,,
