time,New York,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. D. Powell (J. Calderon gains possession),,,,Jump ball: R. Lopez vs. D. Powell (J. Calderon gains possession)
11:41.0,Turnover by D. Williams (traveling),,0-0,,
11:31.0,,,0-0,,Turnover by D. Powell (lost ball; steal by C. Anthony)
11:27.0,D. Williams makes 2-pt shot at rim,2,2-0,,
11:07.0,,,2-0,,D. Nowitzki misses 2-pt shot from 22 ft
11:06.0,Defensive rebound by C. Anthony,,2-0,,
10:52.0,J. Calderon misses 2-pt shot from 17 ft,,2-0,,
10:52.0,,,2-0,,Defensive rebound by J. Anderson
10:31.0,,,2-0,,W. Matthews misses 3-pt shot from 23 ft
10:30.0,Defensive rebound by C. Anthony,,2-0,,
10:19.0,C. Anthony makes 2-pt shot from 10 ft,2,4-0,,
10:02.0,,,4-0,,D. Nowitzki misses 2-pt shot from 12 ft
10:01.0,Defensive rebound by R. Lopez,,4-0,,
9:52.0,J. Calderon makes 2-pt shot from 17 ft,2,6-0,,
9:30.0,,,6-0,,R. Felton misses 2-pt shot from 9 ft
9:29.0,,,6-0,,Offensive rebound by Team
9:25.0,,,6-0,,D. Powell misses 2-pt shot from 1 ft
9:23.0,Defensive rebound by S. Vujacic,,6-0,,
9:19.0,D. Williams makes 2-pt shot at rim (assist by S. Vujacic),2,8-0,,
9:18.0,,,8-0,,Dallas full timeout
9:03.0,,,8-0,,Shooting foul by S. Vujacic (drawn by W. Matthews)
9:03.0,,,8-1,1,W. Matthews makes free throw 1 of 2
9:03.0,,,8-2,1,W. Matthews makes free throw 2 of 2
8:52.0,,,8-2,,Personal foul by J. Anderson
8:46.0,C. Anthony misses 2-pt shot from 14 ft,,8-2,,
8:45.0,Offensive rebound by Team,,8-2,,
8:41.0,C. Anthony makes 2-pt shot from 18 ft (assist by J. Calderon),2,10-2,,
8:19.0,,,10-2,,R. Felton misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by S. Vujacic,,10-2,,
8:08.0,D. Williams makes 2-pt shot from 2 ft,2,12-2,,
7:52.0,,,12-4,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by W. Matthews)
7:24.0,C. Anthony makes 2-pt shot from 17 ft (assist by R. Lopez),2,14-4,,
7:01.0,,,14-6,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by W. Matthews)
6:40.0,Turnover by J. Calderon (lost ball; steal by J. Anderson),,14-6,,
6:25.0,,,14-6,,D. Nowitzki misses 2-pt shot from 9 ft
6:24.0,Defensive rebound by J. Calderon,,14-6,,
6:20.0,Turnover by D. Williams (lost ball),,14-6,,
6:20.0,,,14-6,,D. Harris enters the game for J. Anderson
