time,Phoenix,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,D. Booker misses 2-pt shot from 1 ft,,0-0,,
12:00.0,Jump ball: L. Aldridge vs. A. Len (D. Booker gains possession),,,,Jump ball: L. Aldridge vs. A. Len (D. Booker gains possession)
11:41.0,,,0-0,,Defensive rebound by D. West
11:30.0,,,0-0,,Shooting foul by A. Len (drawn by L. Aldridge)
11:30.0,,,0-0,,L. Aldridge misses free throw 1 of 2
11:30.0,,,0-0,,Offensive rebound by Team
11:30.0,,,0-0,,L. Aldridge misses free throw 2 of 2
11:30.0,Defensive rebound by J. Leuer,,0-0,,
11:19.0,,,0-0,,Personal foul by T. Parker (drawn by B. Knight)
11:10.0,D. Booker makes 2-pt shot from 13 ft,2,2-0,,
10:47.0,,,2-2,2,T. Parker makes 2-pt shot at rim
10:47.0,,,2-2,,Shooting foul by A. Len (drawn by T. Parker)
10:47.0,T. Chandler enters the game for A. Len,,2-2,,
10:47.0,,,2-2,,T. Parker misses free throw 1 of 1
10:45.0,Defensive rebound by J. Leuer,,2-2,,
10:30.0,J. Leuer misses 2-pt shot from 15 ft,,2-2,,
10:29.0,,,2-2,,Defensive rebound by T. Parker
10:21.0,,,2-2,,D. West misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by D. Booker,,2-2,,
10:11.0,Turnover by J. Leuer (bad pass; steal by K. Leonard),,2-2,,
9:48.0,,,2-2,,D. Green misses 2-pt shot from 15 ft
9:45.0,Defensive rebound by T. Chandler,,2-2,,
9:40.0,B. Knight misses 2-pt shot from 19 ft,,2-2,,
9:37.0,,,2-2,,Defensive rebound by D. Green
9:27.0,,,2-2,,D. West misses 2-pt shot from 9 ft (block by T. Chandler)
9:25.0,Defensive rebound by J. Leuer,,2-2,,
9:18.0,Offensive foul by J. Leuer,,2-2,,
9:18.0,Turnover by J. Leuer (offensive foul),,2-2,,
9:05.0,,,2-4,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
8:52.0,Turnover by B. Knight (bad pass; steal by T. Parker),,2-4,,
8:41.0,Personal foul by J. Leuer (drawn by L. Aldridge),,2-4,,
8:41.0,M. Morris enters the game for J. Leuer,,2-4,,
8:27.0,,,2-4,,L. Aldridge misses 2-pt shot from 14 ft
8:26.0,Defensive rebound by D. Booker,,2-4,,
8:24.0,Turnover by D. Booker (bad pass; steal by T. Parker),,2-4,,
8:04.0,,,2-6,2,T. Parker makes 2-pt shot from 11 ft
8:04.0,Phoenix full timeout,,2-6,,
7:46.0,D. Booker misses 2-pt shot from 16 ft,,2-6,,
7:45.0,,,2-6,,Defensive rebound by D. West
7:36.0,,,2-6,,T. Parker misses 2-pt shot from 13 ft
7:33.0,Defensive rebound by T. Chandler,,2-6,,
7:25.0,B. Knight makes 2-pt shot from 9 ft (assist by M. Morris),2,4-6,,
7:09.0,,,4-6,,Shooting foul by M. Morris (drawn by L. Aldridge)
7:09.0,,,4-7,1,L. Aldridge makes free throw 1 of 2
7:09.0,S. Weems enters the game for D. Booker,,4-7,,
7:09.0,,,4-8,1,L. Aldridge makes free throw 2 of 2
6:53.0,M. Morris misses 3-pt shot from 24 ft,,4-8,,
6:52.0,,,4-8,,Defensive rebound by D. West
6:38.0,,,4-8,,L. Aldridge misses 2-pt shot from 6 ft (block by T. Chandler)
6:37.0,Defensive rebound by S. Weems,,4-8,,
6:28.0,P. Tucker misses 3-pt shot from 24 ft,,4-8,,
6:26.0,,,4-8,,Defensive rebound by L. Aldridge
6:16.0,,,4-10,2,D. West makes 2-pt shot from 13 ft (assist by T. Parker)
5:51.0,T. Chandler makes 2-pt shot at rim (assist by M. Morris),2,6-10,,
5:34.0,,,6-12,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
5:18.0,Turnover by M. Morris (bad pass; steal by K. Leonard),,6-12,,
5:12.0,,,6-14,2,D. Green makes 2-pt shot at rim (assist by K. Leonard)
4:53.0,S. Weems misses 3-pt shot from 25 ft,,6-14,,
4:52.0,,,6-14,,Defensive rebound by T. Parker
4:41.0,,,6-16,2,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker)
4:18.0,T. Chandler misses 2-pt shot at rim,,6-16,,
4:18.0,,,6-16,,Defensive rebound by Team
4:18.0,,,6-16,,San Antonio full timeout
4:18.0,,,6-16,,P. Mills enters the game for T. Parker
4:18.0,,,6-16,,B. Diaw enters the game for D. West
4:18.0,,,6-16,,M. Ginobili enters the game for D. Green
3:58.0,,,6-16,,Shooting foul by T. Chandler (drawn by B. Diaw)
3:58.0,,,6-16,,B. Diaw misses free throw 1 of 2
3:58.0,,,6-16,,Offensive rebound by Team
3:58.0,,,6-17,1,B. Diaw makes free throw 2 of 2
3:44.0,Turnover by M. Morris (lost ball; steal by B. Diaw),,6-17,,
3:30.0,,,6-17,,K. Leonard misses 2-pt shot from 12 ft
3:28.0,Defensive rebound by P. Tucker,,6-17,,
3:23.0,B. Knight makes 2-pt shot from 10 ft,2,8-17,,
3:05.0,,,8-17,,K. Leonard misses 2-pt shot from 10 ft
3:03.0,,,8-17,,Offensive rebound by L. Aldridge
2:58.0,,,8-20,3,K. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge)
2:51.0,M. Morris makes 2-pt shot from 6 ft (assist by B. Knight),2,10-20,,
2:38.0,,,10-22,2,B. Diaw makes 2-pt shot from 7 ft (assist by P. Mills)
2:28.0,B. Knight misses 2-pt shot from 13 ft,,10-22,,
2:26.0,,,10-22,,Defensive rebound by L. Aldridge
2:20.0,,,10-22,,Shooting foul by P. Tucker (drawn by K. Leonard)
2:20.0,,,10-23,1,K. Leonard makes free throw 1 of 2
2:20.0,T. Warren enters the game for P. Tucker,,10-23,,
2:20.0,B. Cotton enters the game for B. Knight,,10-23,,
2:20.0,A. Len enters the game for T. Chandler,,10-23,,
2:20.0,,,10-23,,B. Marjanovic enters the game for L. Aldridge
2:20.0,,,10-24,1,K. Leonard makes free throw 2 of 2
2:03.0,B. Cotton misses 3-pt shot from 25 ft,,10-24,,
2:02.0,,,10-24,,Defensive rebound by B. Marjanovic
1:44.0,,,10-24,,B. Diaw misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by T. Warren,,10-24,,
1:31.0,T. Warren makes 2-pt shot from 1 ft (assist by M. Morris),2,12-24,,
1:18.0,,,12-26,2,M. Ginobili makes 2-pt shot from 10 ft
1:00.0,Turnover by B. Cotton (lost ball; steal by P. Mills),,12-26,,
0:58.0,,,12-28,2,P. Mills makes 2-pt shot from 1 ft
0:41.0,Turnover by S. Weems (bad pass; steal by M. Ginobili),,12-28,,
0:33.0,Personal foul by A. Len (drawn by K. Leonard),,12-28,,
0:33.0,,,12-29,1,K. Leonard makes free throw 1 of 2
0:33.0,C. Jefferson enters the game for A. Len,,12-29,,
0:33.0,,,12-30,1,K. Leonard makes free throw 2 of 2
0:19.0,Turnover by B. Cotton (bad pass; steal by M. Ginobili),,12-30,,
0:04.0,,,12-32,2,M. Ginobili makes 2-pt shot from 14 ft
0:00.0,B. Cotton misses 2-pt shot from 7 ft,,12-32,,
0:00.0,,,12-32,,Defensive rebound by B. Marjanovic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,12-32,,B. Marjanovic misses 2-pt shot at rim
11:41.0,Defensive rebound by C. Jefferson,,12-32,,
11:25.0,M. Teletovic misses 3-pt shot from 24 ft,,12-32,,
11:24.0,,,12-32,,Defensive rebound by M. Ginobili
11:12.0,,,12-32,,P. Mills misses 2-pt shot from 15 ft
11:11.0,,,12-32,,Offensive rebound by B. Marjanovic
11:07.0,,,12-34,2,B. Marjanovic makes 2-pt shot from 8 ft
