time,Detroit,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Johnson (J. Sullinger gains possession),,,,Jump ball: A. Drummond vs. A. Johnson (J. Sullinger gains possession)
11:39.0,,,0-0,,J. Crowder misses 2-pt shot from 15 ft
11:38.0,,,0-0,,Offensive rebound by A. Johnson
11:31.0,,,0-0,,A. Bradley misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by A. Drummond,,0-0,,
11:12.0,R. Jackson misses 3-pt shot from 25 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by J. Sullinger
11:02.0,,,0-0,,J. Sullinger misses 2-pt shot from 21 ft
11:01.0,,,0-0,,Offensive rebound by Team
11:01.0,Loose ball foul by E. Ilyasova (drawn by A. Johnson),,0-0,,
10:53.0,,,0-0,,A. Johnson misses 2-pt shot from 10 ft
10:52.0,,,0-0,,Offensive rebound by Team
10:52.0,Loose ball foul by A. Drummond (drawn by J. Sullinger),,0-0,,
10:47.0,,,0-2,2,J. Sullinger makes 2-pt shot at rim (assist by I. Thomas)
10:34.0,,,0-2,,Personal foul by J. Crowder (drawn by M. Morris)
10:25.0,A. Drummond makes 2-pt shot from 9 ft (assist by R. Jackson),2,2-2,,
10:12.0,,,2-2,,J. Crowder misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by M. Morris,,2-2,,
10:08.0,Turnover by K. Caldwell-Pope (bad pass),,2-2,,
9:58.0,,,2-4,2,A. Johnson makes 2-pt shot from 6 ft (assist by I. Thomas)
9:38.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,4-4,,
9:25.0,,,4-6,2,A. Bradley makes 2-pt shot at rim (assist by J. Sullinger)
9:05.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,4-6,,
9:04.0,,,4-6,,Defensive rebound by A. Bradley
8:59.0,,,4-8,2,A. Johnson makes 2-pt shot at rim (assist by A. Bradley)
8:31.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,4-8,,
8:30.0,,,4-8,,Defensive rebound by A. Johnson
8:22.0,,,4-11,3,A. Bradley makes 3-pt shot from 25 ft (assist by J. Sullinger)
8:13.0,Detroit full timeout,,4-11,,
7:54.0,A. Drummond misses 2-pt shot from 11 ft,,4-11,,
7:53.0,,,4-11,,Defensive rebound by J. Sullinger
7:36.0,,,4-13,2,J. Sullinger makes 2-pt shot from 8 ft (assist by A. Bradley)
7:18.0,M. Morris misses 2-pt shot from 20 ft,,4-13,,
7:17.0,,,4-13,,Defensive rebound by I. Thomas
7:11.0,,,4-13,,I. Thomas misses 3-pt shot from 23 ft
7:10.0,Defensive rebound by Team,,4-13,,
6:58.0,Shooting foul by J. Sullinger (drawn by R. Jackson),,4-13,,
6:58.0,R. Jackson makes free throw 1 of 2,1,5-13,,
6:58.0,R. Jackson makes free throw 2 of 2,1,6-13,,
6:45.0,,,6-15,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger)
6:27.0,Turnover by R. Jackson (bad pass; steal by I. Thomas),,6-15,,
6:16.0,,,6-15,,A. Bradley misses 2-pt shot from 16 ft
6:15.0,Defensive rebound by A. Drummond,,6-15,,
5:59.0,E. Ilyasova misses 2-pt shot from 6 ft,,6-15,,
5:58.0,,,6-15,,Defensive rebound by A. Bradley
5:49.0,,,6-17,2,J. Sullinger makes 2-pt shot from 1 ft (assist by I. Thomas)
5:36.0,A. Drummond misses 2-pt shot at rim,,6-17,,
5:35.0,Offensive rebound by A. Drummond,,6-17,,
5:35.0,A. Drummond makes 2-pt shot at rim,2,8-17,,
5:20.0,,,8-17,,J. Sullinger misses 2-pt shot from 20 ft
5:19.0,Defensive rebound by E. Ilyasova,,8-17,,
5:10.0,A. Drummond makes 2-pt shot from 9 ft (assist by R. Jackson),2,10-17,,
4:58.0,Personal foul by K. Caldwell-Pope (drawn by I. Thomas),,10-17,,
4:58.0,,,10-17,,M. Smart enters the game for A. Bradley
4:58.0,,,10-17,,E. Turner enters the game for A. Johnson
4:48.0,,,10-17,,J. Sullinger misses 2-pt shot from 20 ft
4:47.0,Defensive rebound by M. Morris,,10-17,,
4:41.0,Shooting foul by E. Turner (drawn by M. Morris),,10-17,,
4:41.0,M. Morris makes free throw 1 of 2,1,11-17,,
4:41.0,M. Morris misses free throw 2 of 2,,11-17,,
4:41.0,,,11-17,,Defensive rebound by E. Turner
4:21.0,,,11-19,2,I. Thomas makes 2-pt shot at rim
4:04.0,M. Morris misses 3-pt shot from 25 ft,,11-19,,
4:03.0,,,11-19,,Defensive rebound by M. Smart
3:55.0,,,11-19,,M. Smart misses 2-pt shot from 1 ft
3:54.0,Defensive rebound by A. Drummond,,11-19,,
3:50.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by R. Jackson),2,13-19,,
3:32.0,,,13-19,,I. Thomas misses 2-pt shot from 15 ft
3:31.0,Defensive rebound by A. Drummond,,13-19,,
3:19.0,Turnover by E. Ilyasova (bad pass),,13-19,,
3:19.0,,,13-19,,K. Olynyk enters the game for J. Sullinger
3:19.0,S. Johnson enters the game for M. Morris,,13-19,,
3:06.0,,,13-19,,I. Thomas misses 2-pt shot from 13 ft
3:05.0,Defensive rebound by A. Drummond,,13-19,,
2:55.0,,,13-19,,Boston full timeout
2:55.0,,,13-19,,J. Jerebko enters the game for J. Crowder
2:55.0,B. Jennings enters the game for R. Jackson,,13-19,,
2:45.0,E. Ilyasova misses 2-pt shot from 15 ft,,13-19,,
2:44.0,,,13-19,,Defensive rebound by K. Olynyk
2:27.0,,,13-21,2,J. Jerebko makes 2-pt shot from 1 ft (assist by I. Thomas)
2:11.0,Shooting foul by J. Jerebko (drawn by E. Ilyasova),,13-21,,
2:11.0,E. Ilyasova makes free throw 1 of 2,1,14-21,,
2:11.0,E. Ilyasova misses free throw 2 of 2,,14-21,,
2:11.0,,,14-21,,Defensive rebound by J. Jerebko
2:01.0,,,14-21,,E. Turner misses 2-pt shot from 11 ft
2:00.0,Defensive rebound by A. Drummond,,14-21,,
1:48.0,Turnover by E. Ilyasova (bad pass),,14-21,,
1:23.0,,,14-21,,Turnover by E. Turner (bad pass; steal by K. Caldwell-Pope)
1:08.0,S. Johnson misses 3-pt shot from 23 ft,,14-21,,
1:08.0,,,14-21,,Defensive rebound by E. Turner
0:58.0,,,14-24,3,M. Smart makes 3-pt shot from 25 ft
0:40.0,B. Jennings misses 2-pt shot from 20 ft,,14-24,,
0:39.0,,,14-24,,Defensive rebound by J. Jerebko
0:29.0,,,14-24,,J. Jerebko misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by B. Jennings,,14-24,,
0:22.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Jennings),2,16-24,,
0:06.0,Personal foul by B. Jennings (drawn by I. Thomas),,16-24,,
0:02.0,,,16-27,3,M. Smart makes 3-pt shot from 26 ft (assist by E. Turner)
0:01.0,S. Johnson misses 3-pt shot from 40 ft,,16-27,,
0:00.0,Offensive rebound by Team,,16-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,M. Morris misses 2-pt shot from 9 ft,,16-27,,
11:48.0,,,16-27,,Defensive rebound by K. Olynyk
11:36.0,,,16-27,,K. Olynyk misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by S. Johnson,,16-27,,
11:20.0,Shooting foul by J. Jerebko (drawn by B. Jennings),,16-27,,
11:20.0,B. Jennings misses free throw 1 of 2,,16-27,,
11:20.0,Offensive rebound by Team,,16-27,,
11:20.0,B. Jennings makes free throw 2 of 2,1,17-27,,
11:08.0,,,17-27,,K. Olynyk misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by M. Morris,,17-27,,
11:01.0,S. Johnson misses 2-pt shot from 6 ft,,17-27,,
10:59.0,Offensive rebound by S. Johnson,,17-27,,
10:59.0,S. Johnson makes 2-pt shot at rim,2,19-27,,
10:44.0,,,19-29,2,A. Bradley makes 2-pt shot from 1 ft
10:30.0,B. Jennings makes 2-pt shot at rim,2,21-29,,
10:14.0,,,21-29,,K. Olynyk misses 2-pt shot from 8 ft
10:13.0,Defensive rebound by B. Jennings,,21-29,,
10:07.0,A. Tolliver misses 3-pt shot from 25 ft,,21-29,,
10:06.0,Offensive rebound by A. Baynes,,21-29,,
10:05.0,,,21-29,,Personal foul by K. Olynyk (drawn by A. Baynes)
10:05.0,,,21-29,,T. Zeller enters the game for J. Jerebko
9:50.0,S. Johnson misses 2-pt shot from 16 ft,,21-29,,
9:48.0,Offensive rebound by A. Tolliver,,21-29,,
9:42.0,A. Baynes misses 2-pt shot from 1 ft (block by E. Turner),,21-29,,
9:41.0,Offensive rebound by Team,,21-29,,
9:34.0,B. Jennings makes 2-pt shot from 17 ft,2,23-29,,
9:22.0,,,23-29,,A. Bradley misses 2-pt shot from 20 ft
9:21.0,Defensive rebound by M. Morris,,23-29,,
9:14.0,M. Morris misses 2-pt shot from 14 ft,,23-29,,
9:12.0,,,23-29,,Defensive rebound by E. Turner
9:06.0,,,23-32,3,M. Smart makes 3-pt shot from 26 ft (assist by E. Turner)
8:46.0,M. Morris misses 2-pt shot from 21 ft,,23-32,,
8:45.0,,,23-32,,Defensive rebound by M. Smart
8:39.0,,,23-32,,M. Smart misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by M. Morris,,23-32,,
8:29.0,B. Jennings misses 2-pt shot from 1 ft (block by T. Zeller),,23-32,,
8:28.0,,,23-32,,Defensive rebound by T. Zeller
8:25.0,,,23-32,,Shooting foul by S. Johnson (drawn by E. Turner)
8:25.0,Official timeout,,23-32,,
8:25.0,,,23-33,1,E. Turner makes free throw 1 of 2
8:25.0,,,23-34,1,E. Turner makes free throw 2 of 2
8:14.0,A. Baynes misses 2-pt shot from 14 ft,,23-34,,
8:13.0,,,23-34,,Defensive rebound by E. Turner
7:59.0,,,23-34,,A. Bradley misses 2-pt shot from 18 ft
7:58.0,Defensive rebound by A. Tolliver,,23-34,,
7:45.0,S. Johnson misses 3-pt shot from 25 ft,,23-34,,
7:44.0,,,23-34,,Defensive rebound by T. Zeller
7:31.0,,,23-34,,E. Turner misses 2-pt shot from 13 ft
7:30.0,Defensive rebound by S. Johnson,,23-34,,
7:16.0,M. Morris makes 2-pt shot from 13 ft (assist by B. Jennings),2,25-34,,
7:03.0,,,25-36,2,A. Bradley makes 2-pt shot at rim (assist by K. Olynyk)
6:49.0,,,25-36,,Personal foul by K. Olynyk (drawn by B. Jennings)
6:49.0,K. Caldwell-Pope enters the game for S. Johnson,,25-36,,
6:35.0,M. Morris misses 2-pt shot from 19 ft,,25-36,,
6:34.0,,,25-36,,Defensive rebound by K. Olynyk
6:24.0,,,25-36,,Turnover by M. Smart (bad pass; steal by A. Baynes)
6:14.0,A. Tolliver misses 3-pt shot from 23 ft,,25-36,,
6:13.0,,,25-36,,Defensive rebound by T. Zeller
6:11.0,,,25-38,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
6:04.0,Detroit full timeout,,25-38,,
6:04.0,,,25-38,,J. Crowder enters the game for M. Smart
6:04.0,R. Jackson enters the game for B. Jennings,,25-38,,
6:04.0,A. Drummond enters the game for A. Baynes,,25-38,,
5:52.0,,,25-38,,Personal foul by K. Olynyk (drawn by A. Drummond)
5:50.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by M. Morris),2,27-38,,
5:34.0,,,27-38,,K. Olynyk misses 3-pt shot from 23 ft
5:33.0,Defensive rebound by K. Caldwell-Pope,,27-38,,
5:22.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,27-38,,
5:21.0,Offensive rebound by K. Caldwell-Pope,,27-38,,
5:21.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,27-38,,
5:20.0,,,27-38,,Defensive rebound by K. Olynyk
5:11.0,,,27-40,2,E. Turner makes 2-pt shot at rim (assist by T. Zeller)
4:54.0,M. Morris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope),3,30-40,,
4:35.0,,,30-40,,J. Crowder misses 3-pt shot from 24 ft
4:34.0,,,30-40,,Offensive rebound by T. Zeller
4:27.0,Personal foul by M. Morris (drawn by E. Turner),,30-40,,
4:27.0,,,30-40,,A. Johnson enters the game for K. Olynyk
4:22.0,,,30-40,,Shooting foul by R. Jackson (drawn by E. Turner)
4:22.0,,,30-41,1,E. Turner makes free throw 1 of 2
4:22.0,,,30-42,1,E. Turner makes free throw 2 of 2
4:22.0,,,30-42,,Personal take foul by T. Zeller (drawn by A. Drummond)
4:22.0,A. Drummond misses free throw 1 of 2,,30-42,,
4:22.0,Offensive rebound by Team,,30-42,,
4:22.0,,,30-42,,I. Thomas enters the game for E. Turner
4:22.0,A. Drummond makes free throw 2 of 2,1,31-42,,
4:03.0,,,31-44,2,T. Zeller makes 2-pt shot at rim (assist by A. Johnson)
3:44.0,A. Tolliver makes 3-pt shot from 24 ft (assist by R. Jackson),3,34-44,,
3:29.0,,,34-46,2,J. Crowder makes 2-pt shot from 20 ft (assist by T. Zeller)
3:07.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Crowder),,34-46,,
3:00.0,Personal foul by R. Jackson (drawn by A. Bradley),,34-46,,
3:00.0,Detroit full timeout,,34-46,,
3:00.0,S. Johnson enters the game for K. Caldwell-Pope,,34-46,,
2:53.0,,,34-46,,T. Zeller misses 2-pt shot from 7 ft
2:52.0,Defensive rebound by A. Drummond,,34-46,,
2:40.0,S. Johnson misses 3-pt shot from 23 ft,,34-46,,
2:39.0,,,34-46,,Defensive rebound by T. Zeller
2:34.0,,,34-46,,Offensive charge foul by I. Thomas
2:34.0,,,34-46,,Turnover by I. Thomas (offensive foul)
2:34.0,,,34-46,,Boston full timeout
2:34.0,,,34-46,,M. Smart enters the game for A. Bradley
2:34.0,,,34-46,,J. Sullinger enters the game for T. Zeller
2:23.0,Turnover by S. Johnson (lost ball; steal by J. Crowder),,34-46,,
2:19.0,,,34-46,,Shooting foul by S. Johnson (drawn by J. Crowder)
2:19.0,,,34-46,,J. Crowder misses free throw 1 of 2
2:19.0,,,34-46,,Offensive rebound by Team
2:19.0,B. Jennings enters the game for R. Jackson,,34-46,,
2:19.0,,,34-47,1,J. Crowder makes free throw 2 of 2
2:08.0,M. Morris misses 3-pt shot from 24 ft,,34-47,,
2:04.0,,,34-47,,Defensive rebound by A. Johnson
1:58.0,,,34-49,2,I. Thomas makes 2-pt shot at rim
1:58.0,,,34-49,,Shooting foul by B. Jennings (drawn by I. Thomas)
1:58.0,,,34-49,,I. Thomas misses free throw 1 of 1
1:58.0,Defensive rebound by A. Drummond,,34-49,,
1:40.0,A. Drummond misses 2-pt shot from 1 ft,,34-49,,
1:39.0,,,34-49,,Defensive rebound by A. Johnson
1:38.0,,,34-49,,Turnover by A. Johnson (bad pass)
1:26.0,Turnover by A. Tolliver (bad pass; steal by J. Sullinger),,34-49,,
1:20.0,,,34-49,,Offensive foul by J. Sullinger
1:20.0,,,34-49,,Turnover by J. Sullinger (offensive foul)
1:08.0,Turnover by S. Johnson (lost ball; steal by J. Crowder),,34-49,,
1:03.0,,,34-51,2,J. Crowder makes 2-pt shot at rim (assist by M. Smart)
0:56.0,Shooting foul by J. Crowder (drawn by A. Drummond),,34-51,,
0:56.0,A. Drummond makes free throw 1 of 2,1,35-51,,
0:56.0,A. Drummond makes free throw 2 of 2,1,36-51,,
0:36.0,,,36-53,2,J. Sullinger makes 2-pt shot from 1 ft
0:27.0,B. Jennings misses 2-pt shot from 8 ft,,36-53,,
0:26.0,,,36-53,,Defensive rebound by J. Crowder
0:01.0,,,36-56,3,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson)
