time,Brooklyn,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:40.0,W. Ellington misses 3-pt shot from 24 ft,,0-0,,
12:00.0,Jump ball: I. Mahinmi vs. C. McCullough (S. Larkin gains possession),,,,Jump ball: I. Mahinmi vs. C. McCullough (S. Larkin gains possession)
11:39.0,,,0-0,,Defensive rebound by G. Hill
11:18.0,,,0-2,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by P. George)
10:59.0,S. Larkin misses 2-pt shot from 2 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by G. Hill
10:42.0,,,0-4,2,I. Mahinmi makes 2-pt shot from 4 ft (assist by G. Hill)
10:18.0,B. Bogdanovic misses 2-pt shot from 4 ft,,0-4,,
10:17.0,,,0-4,,Defensive rebound by L. Allen
10:05.0,,,0-4,,G. Hill misses 2-pt shot from 2 ft
10:04.0,Defensive rebound by S. Larkin,,0-4,,
9:59.0,B. Bogdanovic misses 2-pt shot from 2 ft,,0-4,,
9:58.0,Offensive rebound by T. Robinson,,0-4,,
9:58.0,T. Robinson makes 2-pt shot from 1 ft,2,2-4,,
9:50.0,,,2-6,2,P. George makes 2-pt shot from 3 ft
9:48.0,Brooklyn full timeout,,2-6,,
9:29.0,C. McCullough makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,5-6,,
9:03.0,,,5-8,2,P. George makes 2-pt shot from 20 ft
8:43.0,,,5-8,,Personal block foul by L. Allen
8:35.0,Turnover by W. Ellington (lost ball; steal by I. Mahinmi),,5-8,,
8:31.0,,,5-8,,Shooting foul by W. Ellington (drawn by P. George)
8:31.0,,,5-9,1,P. George makes free throw 1 of 2
8:31.0,,,5-10,1,P. George makes free throw 2 of 2
8:19.0,S. Larkin misses 2-pt shot from 4 ft,,5-10,,
8:18.0,,,5-10,,Defensive rebound by L. Allen
8:11.0,,,5-10,,Turnover by P. George (lost ball; steal by B. Bogdanovic)
8:09.0,Turnover by W. Ellington (lost ball; steal by P. George),,5-10,,
8:09.0,,,5-10,,Shooting foul by T. Robinson (drawn by G. Hill)
8:09.0,,,5-11,1,G. Hill makes free throw 1 of 2
8:09.0,,,5-12,1,G. Hill makes free throw 2 of 2
7:54.0,Turnover by T. Robinson (lost ball; steal by G. Hill),,5-12,,
7:49.0,,,5-14,2,G. Hill makes 2-pt shot from 1 ft
7:33.0,B. Bogdanovic misses 3-pt shot from 24 ft,,5-14,,
7:32.0,,,5-14,,Defensive rebound by I. Mahinmi
7:15.0,,,5-17,3,M. Ellis makes 3-pt shot from 26 ft (assist by G. Hill)
7:14.0,Brooklyn full timeout,,5-17,,
7:14.0,M. Brown enters the game for B. Bogdanovic,,5-17,,
