time,New York,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. R. Lopez (K. Faried gains possession),,,,Jump ball: N. Jokic vs. R. Lopez (K. Faried gains possession)
11:35.0,,,0-0,,K. Faried misses 2-pt shot from 2 ft (block by K. Porzingis)
11:34.0,Defensive rebound by R. Lopez,,0-0,,
11:15.0,K. Porzingis misses 2-pt shot from 13 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by E. Mudiay
11:00.0,,,0-2,2,N. Jokic makes 2-pt shot from 9 ft (assist by E. Mudiay)
10:38.0,C. Anthony misses 2-pt shot from 21 ft,,0-2,,
10:37.0,,,0-2,,Defensive rebound by E. Mudiay
10:34.0,,,0-2,,Shooting foul by J. Calderon (drawn by E. Mudiay)
10:34.0,,,0-3,1,E. Mudiay makes free throw 1 of 2
10:34.0,,,0-4,1,E. Mudiay makes free throw 2 of 2
10:21.0,A. Afflalo misses 2-pt shot from 17 ft,,0-4,,
10:19.0,,,0-4,,Defensive rebound by E. Mudiay
10:15.0,,,0-4,,G. Harris misses 2-pt shot from 2 ft
10:13.0,,,0-4,,Offensive rebound by K. Faried
10:13.0,,,0-6,2,K. Faried makes 2-pt shot from 3 ft
10:01.0,J. Calderon misses 3-pt shot from 25 ft,,0-6,,
10:00.0,,,0-6,,Defensive rebound by J. Sampson
9:47.0,,,0-8,2,E. Mudiay makes 2-pt shot from 20 ft
9:32.0,R. Lopez makes 2-pt shot from 6 ft,2,2-8,,
9:15.0,,,2-8,,G. Harris misses 2-pt shot from 2 ft
9:14.0,,,2-8,,Offensive rebound by K. Faried
9:05.0,,,2-8,,E. Mudiay misses 3-pt shot from 26 ft
9:03.0,,,2-8,,Offensive rebound by Team
8:56.0,,,2-8,,Turnover by E. Mudiay (lost ball; steal by K. Porzingis)
8:47.0,K. Porzingis misses 3-pt shot from 24 ft,,2-8,,
8:44.0,Offensive rebound by J. Calderon,,2-8,,
8:34.0,C. Anthony makes 2-pt shot from 12 ft (assist by K. Porzingis),2,4-8,,
8:08.0,,,4-8,,J. Sampson misses 3-pt shot from 25 ft
8:08.0,,,4-8,,Offensive rebound by Team
8:08.0,Loose ball foul by K. Porzingis,,4-8,,
8:03.0,,,4-8,,E. Mudiay misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by C. Anthony,,4-8,,
7:53.0,C. Anthony misses 3-pt shot from 24 ft,,4-8,,
7:52.0,,,4-8,,Defensive rebound by K. Faried
7:46.0,,,4-8,,J. Sampson misses 2-pt shot from 2 ft (block by C. Anthony)
7:44.0,Defensive rebound by A. Afflalo,,4-8,,
7:35.0,K. Porzingis makes 2-pt shot from 15 ft,2,6-8,,
7:20.0,,,6-8,,G. Harris misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by C. Anthony,,6-8,,
7:08.0,A. Afflalo makes 2-pt shot from 6 ft,2,8-8,,
6:53.0,,,8-10,2,N. Jokic makes 2-pt shot from 1 ft (assist by J. Sampson)
6:41.0,J. Calderon makes 2-pt shot from 14 ft (assist by R. Lopez),2,10-10,,
6:41.0,,,10-10,,Denver full timeout
6:21.0,,,10-12,2,N. Jokic makes 2-pt shot at rim
6:03.0,K. Porzingis misses 3-pt shot from 25 ft,,10-12,,
6:03.0,,,10-12,,Defensive rebound by N. Jokic
5:54.0,,,10-12,,Turnover by N. Jokic (bad pass)
5:34.0,Turnover by C. Anthony (step out of bounds),,10-12,,
5:34.0,D. Williams enters the game for K. Porzingis,,10-12,,
5:11.0,,,10-14,2,E. Mudiay makes 2-pt shot from 16 ft (assist by G. Harris)
4:49.0,Turnover by C. Anthony (lost ball; steal by J. Sampson),,10-14,,
4:43.0,,,10-16,2,G. Harris makes 2-pt shot from 1 ft
4:33.0,New York full timeout,,10-16,,
4:33.0,L. Galloway enters the game for R. Lopez,,10-16,,
4:33.0,K. O'Quinn enters the game for A. Afflalo,,10-16,,
4:30.0,,,10-16,,Personal foul by J. Sampson
4:22.0,K. O'Quinn makes 2-pt shot from 17 ft (assist by D. Williams),2,12-16,,
