time,Oklahoma City,pts.away,score,pts.home,Washington
6:06.0,,,111-83,,Offensive rebound by D. Blair
6:05.0,,,111-83,,D. Blair misses 2-pt shot from 2 ft
6:04.0,,,111-83,,Offensive rebound by J. Dudley
6:02.0,,,111-83,,J. Dudley misses 2-pt shot from 18 ft
6:02.0,Defensive rebound by S. Adams,,111-83,,
6:02.0,,,111-83,,Personal foul by D. Blair (drawn by S. Adams)
5:50.0,S. Ibaka misses 2-pt shot from 20 ft,,111-83,,
5:49.0,,,111-83,,Defensive rebound by J. Dudley
5:40.0,,,111-83,,K. Oubre misses 2-pt shot from 18 ft
5:39.0,Defensive rebound by D. Augustin,,111-83,,
5:29.0,S. Ibaka misses 2-pt shot from 12 ft,,111-83,,
5:28.0,Offensive rebound by S. Adams,,111-83,,
5:28.0,Shooting foul by D. Blair (drawn by S. Adams),,111-83,,
5:28.0,,,111-83,,Washington full timeout
5:28.0,N. Collison enters the game for S. Ibaka,,111-83,,
5:28.0,S. Adams misses free throw 1 of 2,,111-83,,
5:28.0,Offensive rebound by Team,,111-83,,
5:28.0,S. Adams misses free throw 2 of 2,,111-83,,
5:27.0,,,111-83,,Defensive rebound by D. Blair
5:14.0,,,111-85,2,D. Blair makes 2-pt shot from 2 ft
4:49.0,D. Augustin makes 2-pt shot from 17 ft (assist by D. Waiters),2,113-85,,
4:41.0,,,113-87,2,G. Temple makes 2-pt shot at rim
4:23.0,N. Collison misses 2-pt shot from 3 ft,,113-87,,
4:22.0,,,113-87,,Defensive rebound by K. Oubre
4:17.0,Personal foul by A. Morrow (drawn by D. Blair),,113-87,,
4:17.0,M. McGary enters the game for S. Adams,,113-87,,
4:01.0,,,113-89,2,R. Sessions makes 2-pt shot from 16 ft
3:48.0,A. Morrow misses 3-pt shot from 28 ft,,113-89,,
3:47.0,,,113-89,,Defensive rebound by D. Blair
3:35.0,Personal foul by D. Waiters (drawn by G. Temple),,113-89,,
3:35.0,,,113-90,1,G. Temple makes free throw 1 of 2
3:35.0,,,113-91,1,G. Temple makes free throw 2 of 2
3:22.0,Shooting foul by D. Blair (drawn by M. McGary),,113-91,,
3:22.0,,,113-91,,K. Humphries enters the game for D. Blair
3:22.0,K. Singler enters the game for D. Waiters,,113-91,,
3:22.0,C. Payne enters the game for D. Augustin,,113-91,,
3:22.0,M. McGary misses free throw 1 of 2,,113-91,,
3:22.0,Offensive rebound by Team,,113-91,,
3:22.0,M. McGary makes free throw 2 of 2,1,114-91,,
3:05.0,,,114-93,2,G. Temple makes 2-pt shot at rim
2:34.0,C. Payne makes 2-pt shot from 1 ft,2,116-93,,
2:29.0,,,116-95,2,R. Sessions makes 2-pt shot from 5 ft
2:29.0,,,116-95,,Shooting foul by C. Payne (drawn by R. Sessions)
2:29.0,Oklahoma City full timeout,,116-95,,
2:29.0,,,116-95,,R. Sessions misses free throw 1 of 1
2:28.0,Defensive rebound by M. McGary,,116-95,,
2:12.0,M. McGary makes 2-pt shot from 21 ft,2,118-95,,
1:57.0,,,118-95,,Shooting foul by K. Singler (drawn by K. Oubre)
1:57.0,,,118-95,,K. Oubre misses free throw 1 of 2
1:57.0,,,118-95,,Offensive rebound by Team
1:57.0,,,118-96,1,K. Oubre makes free throw 2 of 2
1:39.0,N. Collison makes 2-pt shot from 15 ft (assist by M. McGary),2,120-96,,
1:27.0,,,120-96,,G. Temple misses 3-pt shot from 28 ft
1:26.0,Defensive rebound by M. McGary,,120-96,,
1:07.0,C. Payne misses 3-pt shot from 26 ft,,120-96,,
1:06.0,,,120-96,,Defensive rebound by K. Oubre
1:00.0,,,120-96,,Turnover by K. Oubre (lost ball; steal by K. Singler)
0:55.0,C. Payne misses 2-pt shot from 11 ft (block by R. Sessions),,120-96,,
0:53.0,Offensive rebound by A. Morrow,,120-96,,
0:53.0,A. Morrow makes 2-pt shot from 2 ft,2,122-96,,
0:46.0,,,122-98,2,K. Humphries makes 2-pt shot from 12 ft
0:32.0,K. Singler makes 3-pt shot from 26 ft (assist by C. Payne),3,125-98,,
0:23.0,,,125-101,3,J. Dudley makes 3-pt shot from 25 ft (assist by R. Sessions)
0:00.0,End of 4th quarter,,,,End of 4th quarter
