time,Oklahoma City,pts.away,score,pts.home,Washington
6:44.0,S. Ibaka makes 2-pt shot from 1 ft,2,84-58,,
6:32.0,,,84-58,,G. Neal misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by R. Westbrook,,84-58,,
6:21.0,A. Roberson misses 3-pt shot from 25 ft,,84-58,,
6:20.0,,,84-58,,Defensive rebound by J. Wall
6:10.0,,,84-58,,D. Gooden misses 3-pt shot from 26 ft
6:08.0,Defensive rebound by R. Westbrook,,84-58,,
6:05.0,A. Roberson misses 2-pt shot at rim,,84-58,,
6:03.0,,,84-58,,Defensive rebound by G. Neal
5:57.0,,,84-60,2,G. Neal makes 2-pt shot from 1 ft
5:41.0,S. Ibaka misses 2-pt shot from 14 ft,,84-60,,
5:40.0,,,84-60,,Defensive rebound by D. Gooden
5:37.0,Personal foul by S. Ibaka (drawn by M. Gortat),,84-60,,
5:37.0,Oklahoma City full timeout,,84-60,,
5:37.0,,,84-60,,R. Sessions enters the game for J. Wall
5:37.0,,,84-60,,K. Oubre enters the game for D. Gooden
5:37.0,E. Kanter enters the game for S. Adams,,84-60,,
5:37.0,,,84-60,,M. Gortat misses free throw 1 of 2
5:37.0,,,84-60,,Offensive rebound by Team
5:37.0,,,84-61,1,M. Gortat makes free throw 2 of 2
5:20.0,Turnover by R. Westbrook (bad pass; steal by G. Neal),,84-61,,
5:16.0,,,84-61,,G. Neal misses 2-pt shot from 16 ft
5:14.0,Defensive rebound by E. Kanter,,84-61,,
4:56.0,R. Westbrook misses 2-pt shot from 15 ft,,84-61,,
4:55.0,,,84-61,,Defensive rebound by R. Sessions
4:50.0,,,84-63,2,R. Sessions makes 2-pt shot from 1 ft
4:31.0,S. Ibaka makes 2-pt shot from 9 ft (assist by R. Westbrook),2,86-63,,
4:12.0,,,86-65,2,M. Gortat makes 2-pt shot from 9 ft (assist by R. Sessions)
3:54.0,E. Kanter misses 2-pt shot from 11 ft,,86-65,,
