time,Houston,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hickson vs. D. Howard (E. Mudiay gains possession),,,,Jump ball: J. Hickson vs. D. Howard (E. Mudiay gains possession)
11:38.0,,,0-0,,E. Mudiay misses 2-pt shot from 10 ft
11:37.0,Defensive rebound by J. Harden,,0-0,,
11:32.0,T. Ariza misses 2-pt shot from 1 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by G. Harris
11:24.0,,,0-0,,J. Hickson misses 2-pt shot from 11 ft
11:23.0,Defensive rebound by D. Howard,,0-0,,
11:17.0,T. Lawson misses 2-pt shot from 1 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by K. Faried
11:09.0,,,0-0,,Turnover by E. Mudiay (lost ball)
10:58.0,Turnover by J. Harden (bad pass; steal by D. Gallinari),,0-0,,
10:48.0,,,0-2,2,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari)
10:32.0,D. Howard misses 2-pt shot from 1 ft (block by K. Faried),,0-2,,
10:31.0,Offensive rebound by D. Howard,,0-2,,
10:27.0,Turnover by D. Howard (bad pass; steal by J. Hickson),,0-2,,
10:21.0,,,0-4,2,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay)
10:08.0,Shooting foul by E. Mudiay (drawn by M. Harrell),,0-4,,
10:08.0,M. Harrell misses free throw 1 of 2,,0-4,,
10:08.0,Offensive rebound by Team,,0-4,,
10:08.0,M. Harrell makes free throw 2 of 2,1,1-4,,
9:49.0,,,1-7,3,D. Gallinari makes 3-pt shot from 24 ft (assist by E. Mudiay)
9:39.0,T. Ariza misses 2-pt shot from 1 ft,,1-7,,
9:37.0,,,1-7,,Defensive rebound by J. Hickson
9:32.0,,,1-7,,E. Mudiay misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by T. Ariza,,1-7,,
9:23.0,T. Lawson misses 3-pt shot from 24 ft,,1-7,,
9:22.0,Offensive rebound by D. Howard,,1-7,,
9:15.0,Turnover by T. Ariza (bad pass; steal by E. Mudiay),,1-7,,
9:09.0,,,1-9,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
8:54.0,J. Harden makes 2-pt shot from 1 ft,2,3-9,,
8:41.0,,,3-9,,J. Hickson misses 2-pt shot from 13 ft
8:38.0,Defensive rebound by J. Harden,,3-9,,
8:32.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,6-9,,
8:17.0,,,6-9,,Shooting foul by M. Harrell (drawn by D. Gallinari)
8:17.0,,,6-10,1,D. Gallinari makes free throw 1 of 2
8:17.0,,,6-11,1,D. Gallinari makes free throw 2 of 2
8:04.0,J. Harden misses 2-pt shot from 2 ft,,6-11,,
8:04.0,,,6-11,,Defensive rebound by Team
7:46.0,,,6-11,,D. Gallinari misses 2-pt shot from 18 ft
7:45.0,Defensive rebound by Team,,6-11,,
7:33.0,Shooting foul by D. Gallinari (drawn by T. Ariza),,6-11,,
7:33.0,T. Ariza makes free throw 1 of 2,1,7-11,,
7:33.0,T. Ariza makes free throw 2 of 2,1,8-11,,
7:19.0,,,8-11,,G. Harris misses 2-pt shot from 5 ft
7:17.0,,,8-11,,Offensive rebound by G. Harris
7:08.0,,,8-11,,K. Faried misses 2-pt shot from 2 ft (block by D. Howard)
7:07.0,,,8-11,,Offensive rebound by E. Mudiay
7:03.0,,,8-13,2,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay)
6:53.0,Shooting foul by G. Harris (drawn by J. Harden),,8-13,,
6:53.0,J. Harden makes free throw 1 of 3,1,9-13,,
6:53.0,J. Harden makes free throw 2 of 3,1,10-13,,
6:53.0,J. Harden makes free throw 3 of 3,1,11-13,,
6:36.0,,,11-13,,G. Harris misses 2-pt shot from 16 ft (block by J. Harden)
6:34.0,Defensive rebound by D. Howard,,11-13,,
6:24.0,T. Ariza misses 3-pt shot from 23 ft,,11-13,,
6:24.0,,,11-13,,Defensive rebound by K. Faried
6:19.0,Violation by M. Harrell (def goaltending),,11-13,,
6:19.0,,,11-15,2,J. Hickson makes 2-pt shot from 1 ft (assist by E. Mudiay)
5:57.0,Shooting foul by G. Harris (drawn by J. Harden),,11-15,,
5:57.0,,,11-15,,Denver full timeout
5:57.0,,,11-15,,R. Foye enters the game for G. Harris
5:57.0,J. Harden makes free throw 1 of 2,1,12-15,,
5:57.0,J. Harden makes free throw 2 of 2,1,13-15,,
5:42.0,,,13-15,,Shooting foul by M. Harrell (drawn by J. Hickson)
5:42.0,,,13-15,,J. Hickson misses free throw 1 of 2
5:42.0,,,13-15,,Offensive rebound by Team
