time,Indiana,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Turner (J. Hill gains possession),,,,Jump ball: B. Lopez vs. M. Turner (J. Hill gains possession)
11:41.0,P. George misses 2-pt shot from 16 ft,,0-0,,
11:40.0,Offensive rebound by P. George,,0-0,,
11:38.0,P. George misses 2-pt shot from 7 ft,,0-0,,
11:37.0,Offensive rebound by J. Hill,,0-0,,
11:36.0,J. Hill makes 2-pt shot from 1 ft,2,2-0,,
11:23.0,,,2-0,,B. Lopez misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by M. Ellis,,2-0,,
11:08.0,P. George misses 2-pt shot from 9 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by T. Young
10:55.0,,,2-3,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson)
10:51.0,Turnover by P. George (bad pass),,2-3,,
10:32.0,,,2-5,2,D. Sloan makes 2-pt shot from 23 ft (assist by J. Johnson)
10:08.0,P. George makes 3-pt shot from 24 ft,3,5-5,,
9:52.0,,,5-5,,Shooting foul by J. Hill (drawn by B. Lopez)
9:52.0,,,5-6,1,B. Lopez makes free throw 1 of 2
9:52.0,,,5-7,1,B. Lopez makes free throw 2 of 2
9:34.0,M. Ellis makes 3-pt shot from 25 ft (assist by J. Hill),3,8-7,,
9:24.0,,,8-7,,Turnover by T. Young (lost ball; steal by P. George)
9:19.0,M. Ellis makes 2-pt shot from 2 ft (assist by P. George),2,10-7,,
9:08.0,,,10-7,,Turnover by W. Ellington (bad pass; steal by P. George)
8:58.0,P. George misses 3-pt shot from 22 ft,,10-7,,
8:57.0,,,10-7,,Defensive rebound by D. Sloan
8:47.0,,,10-7,,T. Young misses 2-pt shot from 19 ft
8:46.0,Defensive rebound by M. Ellis,,10-7,,
8:39.0,M. Turner misses 2-pt shot from 12 ft,,10-7,,
8:38.0,,,10-7,,Defensive rebound by J. Johnson
8:32.0,,,10-9,2,T. Young makes 2-pt shot at rim (assist by J. Johnson)
8:14.0,P. George makes 2-pt shot from 18 ft,2,12-9,,
7:50.0,,,12-9,,Turnover by T. Young (lost ball; steal by M. Ellis)
7:46.0,P. George misses 2-pt shot from 1 ft,,12-9,,
7:45.0,Offensive rebound by G. Hill,,12-9,,
7:43.0,G. Hill misses 2-pt shot from 2 ft,,12-9,,
7:42.0,Offensive rebound by G. Hill,,12-9,,
7:39.0,G. Hill makes 2-pt shot at rim,2,14-9,,
7:25.0,,,14-9,,W. Ellington misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by P. George,,14-9,,
7:13.0,G. Hill makes 3-pt shot from 24 ft,3,17-9,,
7:13.0,,,17-9,,Brooklyn full timeout
6:58.0,,,17-9,,Shooting foul by M. Ellis (drawn by B. Lopez)
6:58.0,,,17-10,1,B. Lopez makes free throw 1 of 2
6:58.0,,,17-11,1,B. Lopez makes free throw 2 of 2
6:48.0,,,17-11,,Personal foul by J. Johnson (drawn by G. Hill)
6:40.0,Turnover by M. Ellis (bad pass),,17-11,,
6:26.0,,,17-13,2,J. Johnson makes 2-pt shot from 19 ft
6:13.0,P. George misses 2-pt shot from 3 ft,,17-13,,
6:12.0,,,17-13,,Defensive rebound by T. Young
6:04.0,,,17-15,2,J. Johnson makes 2-pt shot from 18 ft
6:03.0,Indiana full timeout,,17-15,,
5:46.0,M. Turner misses 2-pt shot from 18 ft,,17-15,,
5:45.0,,,17-15,,Defensive rebound by T. Young
5:25.0,,,17-17,2,B. Lopez makes 2-pt shot from 14 ft (assist by J. Johnson)
5:01.0,P. George makes 2-pt shot from 18 ft,2,19-17,,
4:33.0,,,19-17,,B. Lopez misses 2-pt shot from 16 ft
4:32.0,,,19-17,,Offensive rebound by T. Young
4:28.0,,,19-19,2,W. Ellington makes 2-pt shot from 3 ft (assist by T. Young)
4:19.0,Turnover by G. Hill (dbl dribble),,19-19,,
3:58.0,,,19-19,,J. Johnson misses 2-pt shot from 21 ft
3:57.0,,,19-19,,Offensive rebound by T. Young
3:54.0,,,19-19,,J. Johnson misses 2-pt shot from 9 ft
3:53.0,Defensive rebound by J. Hill,,19-19,,
3:36.0,J. Hill makes 2-pt shot from 18 ft (assist by M. Ellis),2,21-19,,
3:20.0,,,21-19,,D. Sloan misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by P. George,,21-19,,
3:11.0,G. Hill makes 2-pt shot from 2 ft,2,23-19,,
2:50.0,,,23-19,,T. Young misses 2-pt shot from 2 ft (block by M. Turner)
2:49.0,Defensive rebound by M. Ellis,,23-19,,
2:43.0,G. Hill misses 2-pt shot from 2 ft,,23-19,,
2:42.0,,,23-19,,Defensive rebound by W. Ellington
2:34.0,,,23-19,,Shooting foul by M. Turner (drawn by B. Lopez)
2:34.0,,,23-19,,B. Lopez misses free throw 1 of 2
2:34.0,,,23-19,,Offensive rebound by Team
2:34.0,,,23-19,,A. Bargnani enters the game for T. Young
2:34.0,,,23-19,,S. Larkin enters the game for D. Sloan
2:34.0,,,23-19,,B. Bogdanovic enters the game for J. Johnson
2:34.0,J. Young enters the game for G. Hill,,23-19,,
2:34.0,L. Allen enters the game for J. Hill,,23-19,,
2:34.0,,,23-19,,B. Lopez misses free throw 2 of 2
2:33.0,Defensive rebound by L. Allen,,23-19,,
2:17.0,J. Young makes 3-pt shot from 23 ft (assist by P. George),3,26-19,,
2:17.0,,,26-19,,Brooklyn full timeout
1:53.0,,,26-19,,W. Ellington misses 3-pt shot from 34 ft
1:52.0,,,26-19,,Offensive rebound by Team
1:52.0,,,26-19,,Turnover by Team (shot clock)
1:37.0,M. Turner misses 2-pt shot from 20 ft,,26-19,,
1:36.0,,,26-19,,Defensive rebound by A. Bargnani
1:30.0,,,26-19,,Turnover by W. Ellington (bad pass; steal by P. George)
1:25.0,Turnover by P. George (bad pass),,26-19,,
1:25.0,,,26-19,,M. Brown enters the game for W. Ellington
1:25.0,C. Miles enters the game for P. George,,26-19,,
1:07.0,,,26-21,2,B. Lopez makes 2-pt shot from 3 ft
0:52.0,L. Allen misses 2-pt shot from 7 ft,,26-21,,
0:50.0,,,26-21,,Defensive rebound by B. Lopez
0:35.0,,,26-23,2,M. Brown makes 2-pt shot from 15 ft (assist by B. Lopez)
0:19.0,M. Turner misses 2-pt shot from 17 ft,,26-23,,
0:18.0,,,26-23,,Defensive rebound by M. Brown
0:01.0,,,26-23,,S. Larkin misses 3-pt shot from 24 ft
0:00.0,,,26-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by C. Miles (drawn by B. Bogdanovic),,26-23,,
11:40.0,,,26-23,,S. Larkin misses 2-pt shot from 20 ft
11:39.0,,,26-23,,Offensive rebound by M. Brown
11:23.0,,,26-23,,B. Bogdanovic misses 2-pt shot from 15 ft
11:22.0,Defensive rebound by S. Hill,,26-23,,
11:18.0,,,26-23,,Personal foul by A. Bargnani (drawn by S. Hill)
11:18.0,S. Hill makes free throw 1 of 2,1,27-23,,
11:18.0,S. Hill makes free throw 2 of 2,1,28-23,,
11:07.0,,,28-23,,B. Bogdanovic misses 2-pt shot from 3 ft
11:06.0,Defensive rebound by L. Allen,,28-23,,
10:57.0,C. Miles misses 3-pt shot from 24 ft,,28-23,,
10:56.0,,,28-23,,Defensive rebound by Team
10:41.0,,,28-23,,M. Brown misses 2-pt shot from 18 ft
10:40.0,,,28-23,,Offensive rebound by T. Robinson
10:36.0,,,28-23,,T. Robinson misses 2-pt shot from 1 ft
10:35.0,,,28-23,,Offensive rebound by T. Robinson
10:34.0,,,28-23,,T. Robinson misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by L. Allen,,28-23,,
10:24.0,Turnover by J. Young (discontinued dribble),,28-23,,
10:11.0,,,28-23,,A. Bargnani misses 2-pt shot from 18 ft
10:10.0,Defensive rebound by S. Hill,,28-23,,
10:03.0,S. Hill misses 2-pt shot from 8 ft,,28-23,,
10:02.0,Offensive rebound by Team,,28-23,,
10:02.0,,,28-23,,Loose ball foul by M. Brown (drawn by G. Robinson)
9:54.0,J. Young misses 3-pt shot from 24 ft,,28-23,,
9:53.0,Offensive rebound by S. Hill,,28-23,,
9:44.0,L. Allen makes 2-pt shot at rim (assist by J. Young),2,30-23,,
9:23.0,,,30-23,,Turnover by B. Bogdanovic (lost ball; steal by G. Robinson)
9:20.0,Shooting foul by M. Brown (drawn by G. Robinson),,30-23,,
9:20.0,G. Robinson makes free throw 1 of 2,1,31-23,,
9:20.0,,,31-23,,T. Young enters the game for T. Robinson
9:20.0,G. Robinson makes free throw 2 of 2,1,32-23,,
9:07.0,,,32-23,,Turnover by S. Larkin (bad pass; steal by J. Young)
8:56.0,C. Miles makes 2-pt shot at rim (assist by G. Robinson),2,34-23,,
8:55.0,,,34-23,,Brooklyn full timeout
8:55.0,,,34-23,,B. Lopez enters the game for A. Bargnani
8:55.0,,,34-23,,J. Johnson enters the game for B. Bogdanovic
8:37.0,,,34-23,,M. Brown misses 3-pt shot from 22 ft
8:36.0,Defensive rebound by J. Young,,34-23,,
8:21.0,L. Allen makes 2-pt shot from 19 ft,2,36-23,,
8:13.0,,,36-23,,Shooting foul by J. Young (drawn by S. Larkin)
8:13.0,,,36-23,,S. Larkin misses free throw 1 of 2
8:13.0,,,36-23,,Offensive rebound by Team
8:13.0,,,36-23,,W. Ellington enters the game for M. Brown
8:13.0,,,36-24,1,S. Larkin makes free throw 2 of 2
8:02.0,S. Hill makes 2-pt shot from 1 ft (assist by G. Robinson),2,38-24,,
7:40.0,,,38-26,2,B. Lopez makes 2-pt shot from 10 ft
7:16.0,Turnover by S. Hill (step out of bounds),,38-26,,
7:16.0,,,38-26,,D. Sloan enters the game for S. Larkin
6:58.0,,,38-26,,B. Lopez misses 2-pt shot at rim (block by L. Allen)
6:56.0,Defensive rebound by C. Miles,,38-26,,
6:51.0,C. Miles makes 3-pt shot from 26 ft,3,41-26,,
6:33.0,,,41-26,,Shooting foul by G. Robinson (drawn by W. Ellington)
6:33.0,,,41-27,1,W. Ellington makes free throw 1 of 2
6:33.0,,,41-28,1,W. Ellington makes free throw 2 of 2
6:24.0,,,41-28,,Personal foul by D. Sloan
6:14.0,G. Robinson makes 2-pt shot from 2 ft,2,43-28,,
6:03.0,,,43-30,2,B. Lopez makes 2-pt shot at rim (assist by D. Sloan)
5:47.0,L. Allen misses 2-pt shot from 5 ft,,43-30,,
5:46.0,,,43-30,,Defensive rebound by J. Johnson
5:41.0,,,43-32,2,D. Sloan makes 2-pt shot at rim (assist by J. Johnson)
5:41.0,Indiana full timeout,,43-32,,
5:41.0,G. Hill enters the game for J. Young,,43-32,,
5:41.0,J. Hill enters the game for L. Allen,,43-32,,
5:21.0,C. Miles makes 2-pt shot from 17 ft,2,45-32,,
5:03.0,,,45-34,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
4:48.0,,,45-34,,Def 3 sec tech foul by B. Lopez
4:48.0,G. Hill makes technical free throw,1,46-34,,
4:48.0,P. George enters the game for G. Robinson,,46-34,,
4:33.0,C. Miles makes 3-pt shot from 24 ft (assist by J. Hill),3,49-34,,
4:20.0,,,49-36,2,J. Johnson makes 2-pt shot from 1 ft (assist by B. Lopez)
4:06.0,P. George makes 2-pt shot from 18 ft,2,51-36,,
4:06.0,Shooting foul by T. Young (drawn by P. George),,51-36,,
4:06.0,M. Turner enters the game for S. Hill,,51-36,,
4:06.0,M. Ellis enters the game for G. Hill,,51-36,,
4:06.0,P. George makes free throw 1 of 1,1,52-36,,
3:54.0,Personal foul by P. George (drawn by J. Johnson),,52-36,,
3:45.0,,,52-36,,D. Sloan misses 3-pt shot from 23 ft
3:44.0,,,52-36,,Offensive rebound by B. Lopez
3:42.0,,,52-36,,Shooting foul by J. Hill (drawn by B. Lopez)
3:42.0,,,52-37,1,B. Lopez makes free throw 1 of 2
3:42.0,,,52-38,1,B. Lopez makes free throw 2 of 2
3:24.0,C. Miles misses 2-pt shot from 23 ft,,52-38,,
3:23.0,,,52-38,,Defensive rebound by T. Young
3:19.0,,,52-38,,Offensive foul by B. Lopez
3:19.0,,,52-38,,Turnover by B. Lopez (offensive foul)
3:05.0,Turnover by P. George (lost ball),,52-38,,
2:51.0,,,52-40,2,B. Lopez makes 2-pt shot from 6 ft
2:33.0,C. Miles makes 3-pt shot from 25 ft (assist by M. Ellis),3,55-40,,
2:08.0,,,55-40,,T. Young misses 2-pt shot from 2 ft
