time,LA Lakers,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. A. Johnson (J. Crowder gains possession),,,,Jump ball: R. Hibbert vs. A. Johnson (J. Crowder gains possession)
11:44.0,,,0-2,2,A. Bradley makes 2-pt shot from 18 ft (assist by I. Thomas)
11:33.0,,,0-2,,Personal foul by J. Sullinger (drawn by L. Nance)
11:23.0,K. Bryant misses 2-pt shot from 13 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by A. Johnson
11:04.0,,,0-2,,J. Sullinger misses 2-pt shot from 13 ft
11:03.0,Defensive rebound by L. Williams,,0-2,,
10:50.0,Turnover by L. Williams (lost ball; steal by J. Crowder),,0-2,,
10:42.0,,,0-2,,Turnover by A. Johnson (lost ball; steal by L. Nance)
10:36.0,L. Nance makes 2-pt shot at rim (assist by K. Bryant),2,2-2,,
10:25.0,,,2-4,2,I. Thomas makes 2-pt shot from 5 ft
10:00.0,K. Bryant misses 2-pt shot from 17 ft,,2-4,,
9:59.0,,,2-4,,Defensive rebound by J. Sullinger
9:51.0,,,2-4,,Turnover by J. Crowder (lost ball)
9:32.0,J. Clarkson misses 2-pt shot from 5 ft,,2-4,,
9:31.0,,,2-4,,Defensive rebound by A. Johnson
9:25.0,Violation by L. Nance (kicked ball),,2-4,,
9:16.0,,,2-4,,A. Johnson misses 2-pt shot from 8 ft
9:15.0,Defensive rebound by K. Bryant,,2-4,,
8:57.0,L. Williams makes 3-pt shot from 24 ft,3,5-4,,
8:48.0,,,5-4,,I. Thomas misses 2-pt shot from 1 ft
8:48.0,Defensive rebound by K. Bryant,,5-4,,
8:41.0,K. Bryant misses 2-pt shot from 2 ft,,5-4,,
8:40.0,Offensive rebound by L. Nance,,5-4,,
8:32.0,J. Clarkson makes 2-pt shot from 8 ft (assist by R. Hibbert),2,7-4,,
8:17.0,,,7-4,,A. Bradley misses 2-pt shot from 19 ft
8:16.0,Defensive rebound by R. Hibbert,,7-4,,
8:03.0,R. Hibbert misses 2-pt shot from 4 ft,,7-4,,
8:02.0,,,7-4,,Defensive rebound by J. Crowder
7:49.0,,,7-6,2,J. Crowder makes 2-pt shot at rim (assist by J. Sullinger)
7:38.0,,,7-6,,Def 3 sec tech foul by A. Johnson
7:38.0,K. Bryant misses technical free throw,,7-6,,
7:38.0,Offensive rebound by Team,,7-6,,
7:24.0,L. Nance makes 2-pt shot from 16 ft (assist by J. Clarkson),2,9-6,,
7:06.0,,,9-6,,J. Crowder misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by J. Clarkson,,9-6,,
6:59.0,L. Williams misses 3-pt shot from 24 ft,,9-6,,
6:58.0,,,9-6,,Defensive rebound by J. Sullinger
6:52.0,,,9-6,,Shooting foul by K. Bryant (drawn by J. Crowder)
6:52.0,,,9-8,2,J. Crowder makes 2-pt shot from 9 ft (assist by I. Thomas)
6:52.0,,,9-8,,K. Olynyk enters the game for A. Johnson
6:52.0,,,9-9,1,J. Crowder makes free throw 1 of 1
6:37.0,Shooting foul by K. Olynyk (drawn by L. Williams),,9-9,,
6:37.0,L. Williams makes free throw 1 of 2,1,10-9,,
6:37.0,L. Williams makes free throw 2 of 2,1,11-9,,
6:27.0,,,11-9,,K. Olynyk misses 2-pt shot from 19 ft
6:26.0,Defensive rebound by K. Bryant,,11-9,,
6:16.0,K. Bryant misses 2-pt shot from 2 ft,,11-9,,
6:15.0,,,11-9,,Defensive rebound by J. Sullinger
6:04.0,,,11-9,,J. Crowder misses 2-pt shot from 18 ft
6:03.0,Defensive rebound by L. Williams,,11-9,,
5:54.0,J. Clarkson makes 2-pt shot at rim (assist by L. Williams),2,13-9,,
5:54.0,,,13-9,,Boston full timeout
5:54.0,D. Russell enters the game for L. Williams,,13-9,,
5:54.0,,,13-9,,J. Jerebko enters the game for A. Bradley
5:45.0,,,13-9,,Shooting foul by K. Bryant (drawn by J. Crowder)
5:45.0,,,13-10,1,J. Crowder makes free throw 1 of 2
5:45.0,,,13-11,1,J. Crowder makes free throw 2 of 2
5:24.0,R. Hibbert misses 2-pt shot from 5 ft,,13-11,,
5:23.0,Offensive rebound by L. Nance,,13-11,,
5:16.0,K. Bryant misses 3-pt shot from 24 ft,,13-11,,
5:16.0,Offensive rebound by K. Bryant,,13-11,,
5:14.0,Turnover by K. Bryant (bad pass),,13-11,,
5:07.0,Personal foul by J. Clarkson (drawn by I. Thomas),,13-11,,
5:00.0,,,13-11,,I. Thomas misses 2-pt shot from 11 ft
