time,Cleveland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Mozgov (K. Love gains possession),,,,Jump ball: B. Lopez vs. T. Mozgov (K. Love gains possession)
11:43.0,Turnover by K. Love (lost ball; steal by T. Young),,0-0,,
11:30.0,,,0-2,2,B. Lopez makes 2-pt shot from 17 ft (assist by D. Sloan)
11:04.0,J. Smith misses 2-pt shot from 14 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by T. Young
10:52.0,,,0-2,,B. Lopez misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by K. Love,,0-2,,
10:39.0,L. James misses 2-pt shot from 2 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by B. Lopez
10:21.0,,,0-2,,W. Ellington misses 2-pt shot from 16 ft
10:20.0,Defensive rebound by T. Mozgov,,0-2,,
10:01.0,T. Mozgov misses 2-pt shot from 14 ft,,0-2,,
10:00.0,,,0-2,,Defensive rebound by T. Young
9:52.0,,,0-2,,T. Young misses 2-pt shot from 9 ft
9:51.0,Defensive rebound by K. Love,,0-2,,
9:45.0,K. Irving misses 2-pt shot from 20 ft,,0-2,,
9:44.0,,,0-2,,Defensive rebound by Team
9:28.0,,,0-2,,Turnover by D. Sloan (bad pass; steal by K. Love)
9:25.0,L. James makes 2-pt shot from 1 ft,2,2-2,,
9:03.0,,,2-2,,B. Lopez misses 2-pt shot from 12 ft
9:02.0,Defensive rebound by K. Love,,2-2,,
8:47.0,Turnover by K. Love (offensive foul),,2-2,,
8:47.0,Offensive foul by K. Love,,2-2,,
8:36.0,,,2-4,2,T. Young makes 2-pt shot from 5 ft (assist by D. Sloan)
8:10.0,K. Love makes 2-pt shot from 15 ft (assist by L. James),2,4-4,,
7:54.0,,,4-6,2,T. Young makes 2-pt shot from 7 ft (assist by D. Sloan)
7:43.0,K. Irving makes 2-pt shot from 16 ft,2,6-6,,
7:30.0,,,6-8,2,B. Lopez makes 2-pt shot at rim (assist by D. Sloan)
7:15.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,8-8,,
6:54.0,,,8-8,,B. Lopez misses 2-pt shot from 3 ft
6:53.0,,,8-8,,Offensive rebound by B. Lopez
