time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. T. Zeller (D. Lee gains possession),,,,Jump ball: N. Noel vs. T. Zeller (D. Lee gains possession)
11:50.0,,,0-0,,Shooting foul by H. Thompson (drawn by J. Crowder)
11:50.0,,,0-1,1,J. Crowder makes free throw 1 of 2
11:50.0,,,0-2,1,J. Crowder makes free throw 2 of 2
11:27.0,H. Thompson misses 2-pt shot from 6 ft (block by T. Zeller),,0-2,,
11:26.0,Offensive rebound by Team,,0-2,,
11:26.0,Turnover by Team (shot clock),,0-2,,
11:10.0,,,0-2,,D. Lee misses 2-pt shot from 4 ft
11:09.0,Defensive rebound by J. Sampson,,0-2,,
10:58.0,J. Sampson makes 2-pt shot from 1 ft,2,2-2,,
10:52.0,,,2-4,2,T. Zeller makes 2-pt shot at rim (assist by M. Smart)
10:29.0,I. Canaan makes 3-pt shot from 25 ft,3,5-4,,
10:21.0,,,5-4,,Offensive foul by T. Zeller
10:21.0,,,5-4,,Turnover by T. Zeller (offensive foul)
10:00.0,J. Okafor makes 2-pt shot from 5 ft,2,7-4,,
9:53.0,,,7-4,,M. Smart misses 2-pt shot from 4 ft (block by J. Okafor)
9:51.0,,,7-4,,Offensive rebound by J. Crowder
9:48.0,,,7-4,,T. Zeller misses 2-pt shot from 17 ft
9:47.0,Defensive rebound by I. Canaan,,7-4,,
9:39.0,,,7-4,,Shooting block foul by D. Lee (drawn by J. Sampson)
9:39.0,J. Sampson makes free throw 1 of 2,1,8-4,,
9:39.0,J. Sampson makes free throw 2 of 2,1,9-4,,
9:27.0,,,9-4,,Turnover by J. Crowder (bad pass; steal by I. Canaan)
9:22.0,I. Canaan misses 2-pt shot from 1 ft (block by M. Smart),,9-4,,
9:20.0,Offensive rebound by J. Okafor,,9-4,,
9:17.0,J. Okafor makes 2-pt shot at rim,2,11-4,,
9:06.0,,,11-4,,D. Lee misses 2-pt shot from 2 ft (block by N. Noel)
9:05.0,Defensive rebound by N. Noel,,11-4,,
9:02.0,,,11-4,,Personal foul by M. Smart (drawn by N. Noel)
8:46.0,H. Thompson misses 2-pt shot from 19 ft,,11-4,,
8:45.0,,,11-4,,Defensive rebound by T. Zeller
8:42.0,,,11-4,,Shooting foul by J. Okafor (drawn by D. Lee)
8:42.0,,,11-5,1,D. Lee makes free throw 1 of 2
8:42.0,,,11-6,1,D. Lee makes free throw 2 of 2
