time,Philadelphia,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. N. Vucevic (J. Okafor gains possession),,,,Jump ball: N. Noel vs. N. Vucevic (J. Okafor gains possession)
11:50.0,R. Covington misses 3-pt shot from 26 ft,,0-0,,
11:49.0,,,0-0,,Defensive rebound by T. Harris
11:39.0,,,0-2,2,E. Payton makes 2-pt shot from 1 ft
11:33.0,Turnover by N. Noel (bad pass; steal by E. Payton),,0-2,,
11:16.0,,,0-2,,C. Frye misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by R. Covington,,0-2,,
10:56.0,J. Okafor makes 2-pt shot from 6 ft (assist by I. Smith),2,2-2,,
10:44.0,,,2-4,2,E. Payton makes 2-pt shot from 1 ft
10:33.0,Turnover by I. Smith (bad pass; steal by C. Frye),,2-4,,
10:24.0,,,2-6,2,N. Vucevic makes 2-pt shot from 4 ft (assist by C. Frye)
10:03.0,N. Noel makes 2-pt shot from 15 ft (assist by I. Smith),2,4-6,,
9:46.0,,,4-8,2,N. Vucevic makes 2-pt shot from 1 ft (assist by C. Frye)
9:32.0,Turnover by R. Covington (bad pass; steal by E. Fournier),,4-8,,
9:20.0,,,4-8,,Turnover by C. Frye (bad pass)
9:01.0,J. Sampson misses 2-pt shot from 8 ft,,4-8,,
9:00.0,,,4-8,,Defensive rebound by C. Frye
8:51.0,,,4-8,,Turnover by E. Fournier (lost ball; steal by R. Covington)
8:46.0,Shooting foul by C. Frye (drawn by R. Covington),,4-8,,
8:46.0,R. Covington makes free throw 1 of 2,1,5-8,,
8:46.0,R. Covington makes free throw 2 of 2,1,6-8,,
8:36.0,,,6-10,2,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic)
8:36.0,,,6-10,,Shooting foul by N. Noel (drawn by E. Payton)
8:36.0,,,6-10,,E. Payton misses free throw 1 of 1
8:36.0,Defensive rebound by R. Covington,,6-10,,
8:26.0,I. Smith misses 2-pt shot at rim,,6-10,,
