time,LA Clippers,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: P. Gasol vs. D. Jordan (B. Griffin gains possession)
11:44.0,J. Redick makes 2-pt shot from 21 ft (assist by L. Mbah a Moute),2,2-0,,
11:31.0,,,2-2,2,P. Gasol makes 2-pt shot from 20 ft (assist by T. Gibson)
11:11.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,4-2,,
10:56.0,,,4-2,,D. Rose misses 2-pt shot from 2 ft (block by D. Jordan)
10:54.0,Defensive rebound by B. Griffin,,4-2,,
10:48.0,B. Griffin makes 2-pt shot from 4 ft,2,6-2,,
10:34.0,,,6-4,2,J. Butler makes 2-pt shot from 21 ft
10:28.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,8-4,,
10:07.0,,,8-4,,T. Gibson misses 2-pt shot from 13 ft
10:06.0,Defensive rebound by D. Jordan,,8-4,,
9:55.0,C. Paul misses 2-pt shot from 19 ft,,8-4,,
9:54.0,,,8-4,,Defensive rebound by J. Butler
9:40.0,,,8-6,2,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler)
9:22.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,10-6,,
9:07.0,,,10-6,,Offensive charge foul by T. Snell
9:07.0,,,10-6,,Turnover by T. Snell (offensive foul)
8:53.0,B. Griffin misses 2-pt shot from 21 ft,,10-6,,
8:52.0,,,10-6,,Defensive rebound by T. Gibson
8:31.0,,,10-6,,J. Butler misses 2-pt shot from 11 ft
8:27.0,Defensive rebound by L. Mbah a Moute,,10-6,,
8:18.0,L. Mbah a Moute misses 2-pt shot from 14 ft,,10-6,,
8:17.0,,,10-6,,Defensive rebound by D. Rose
8:09.0,,,10-6,,P. Gasol misses 2-pt shot from 16 ft
8:08.0,Defensive rebound by D. Jordan,,10-6,,
7:56.0,B. Griffin misses 2-pt shot from 16 ft,,10-6,,
7:55.0,,,10-6,,Defensive rebound by P. Gasol
7:43.0,,,10-6,,P. Gasol misses 2-pt shot from 17 ft
7:42.0,Defensive rebound by B. Griffin,,10-6,,
7:31.0,C. Paul misses 2-pt shot from 17 ft,,10-6,,
7:30.0,,,10-6,,Defensive rebound by T. Snell
7:22.0,,,10-6,,T. Gibson misses 2-pt shot from 13 ft
7:21.0,Defensive rebound by D. Jordan,,10-6,,
7:16.0,LA Clippers full timeout,,10-6,,
7:06.0,J. Redick misses 2-pt shot from 19 ft,,10-6,,
7:04.0,Offensive rebound by D. Jordan,,10-6,,
7:04.0,D. Jordan misses 2-pt shot from 2 ft (block by J. Butler),,10-6,,
7:04.0,Offensive rebound by Team,,10-6,,
6:47.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by B. Griffin),3,13-6,,
6:30.0,,,13-8,2,T. Snell makes 2-pt shot at rim
6:11.0,J. Redick misses 2-pt shot from 20 ft,,13-8,,
6:10.0,,,13-8,,Defensive rebound by T. Gibson
6:03.0,,,13-8,,D. Rose misses 2-pt shot from 20 ft
6:01.0,Defensive rebound by B. Griffin,,13-8,,
5:48.0,J. Redick misses 2-pt shot from 21 ft,,13-8,,
5:47.0,,,13-8,,Defensive rebound by P. Gasol
5:39.0,,,13-8,,Shooting foul by D. Jordan (drawn by P. Gasol)
5:39.0,,,13-10,2,P. Gasol makes 2-pt shot from 6 ft
5:39.0,,,13-11,1,P. Gasol makes free throw 1 of 1
5:17.0,B. Griffin makes 2-pt shot from 6 ft,2,15-11,,
4:57.0,,,15-11,,J. Butler misses 3-pt shot from 25 ft
4:57.0,,,15-11,,Offensive rebound by Team
4:57.0,Loose ball foul by L. Mbah a Moute (drawn by T. Gibson),,15-11,,
4:57.0,J. Crawford enters the game for J. Redick,,15-11,,
4:57.0,,,15-11,,J. Noah enters the game for T. Gibson
4:57.0,,,15-11,,K. Hinrich enters the game for D. Rose
4:45.0,,,15-11,,P. Gasol misses 2-pt shot from 7 ft (block by B. Griffin)
4:43.0,Defensive rebound by B. Griffin,,15-11,,
4:19.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,15-11,,
4:18.0,Offensive rebound by L. Mbah a Moute,,15-11,,
4:01.0,C. Paul makes 2-pt shot from 19 ft,2,17-11,,
3:47.0,,,17-11,,J. Butler misses 2-pt shot from 17 ft
3:45.0,,,17-11,,Offensive rebound by J. Noah
3:43.0,,,17-11,,J. Noah misses 2-pt shot from 1 ft (block by B. Griffin)
3:41.0,Defensive rebound by B. Griffin,,17-11,,
3:31.0,C. Paul misses 2-pt shot from 10 ft,,17-11,,
3:28.0,Offensive rebound by L. Mbah a Moute,,17-11,,
3:28.0,L. Mbah a Moute makes 2-pt shot at rim,2,19-11,,
3:26.0,,,19-11,,Chicago full timeout
3:26.0,,,19-11,,D. McDermott enters the game for T. Snell
3:26.0,A. Rivers enters the game for C. Paul,,19-11,,
3:26.0,W. Johnson enters the game for L. Mbah a Moute,,19-11,,
3:12.0,,,19-13,2,J. Butler makes 2-pt shot from 16 ft (assist by J. Noah)
2:52.0,J. Crawford misses 2-pt shot from 11 ft (block by J. Butler),,19-13,,
2:51.0,,,19-13,,Defensive rebound by J. Noah
2:35.0,,,19-15,2,P. Gasol makes 2-pt shot from 11 ft (assist by J. Noah)
2:21.0,B. Griffin misses 2-pt shot from 19 ft,,19-15,,
2:20.0,,,19-15,,Defensive rebound by P. Gasol
2:05.0,,,19-15,,J. Butler misses 2-pt shot from 14 ft
2:04.0,Defensive rebound by D. Jordan,,19-15,,
1:52.0,Turnover by J. Crawford (bad pass; steal by P. Gasol),,19-15,,
1:44.0,,,19-18,3,K. Hinrich makes 3-pt shot from 23 ft (assist by J. Butler)
1:23.0,Turnover by A. Rivers (bad pass; steal by K. Hinrich),,19-18,,
1:11.0,,,19-18,,J. Noah misses 2-pt shot from 7 ft
1:10.0,Defensive rebound by D. Jordan,,19-18,,
0:58.0,W. Johnson makes 3-pt shot from 25 ft (assist by B. Griffin),3,22-18,,
0:43.0,,,22-18,,P. Gasol misses 2-pt shot from 19 ft
