time,Minnesota,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. K. Towns (K. Garnett gains possession),,,,Jump ball: I. Mahinmi vs. K. Towns (K. Garnett gains possession)
11:45.0,A. Wiggins misses 2-pt shot from 13 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by I. Mahinmi
11:26.0,,,0-0,,P. George misses 2-pt shot from 18 ft
11:25.0,Defensive rebound by T. Prince,,0-0,,
11:11.0,K. Towns misses 2-pt shot from 8 ft (block by C. Miles),,0-0,,
11:10.0,Offensive rebound by Z. LaVine,,0-0,,
10:57.0,T. Prince misses 2-pt shot from 15 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by I. Mahinmi
10:47.0,,,0-0,,C. Miles misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by K. Towns,,0-0,,
10:37.0,A. Wiggins makes 2-pt shot from 20 ft (assist by Z. LaVine),2,2-0,,
10:24.0,,,2-2,2,M. Ellis makes 2-pt shot at rim (assist by G. Hill)
9:58.0,K. Towns makes 2-pt shot from 10 ft,2,4-2,,
9:34.0,,,4-2,,Turnover by C. Miles (turnover)
9:26.0,Z. LaVine misses 3-pt shot from 24 ft,,4-2,,
9:25.0,,,4-2,,Defensive rebound by M. Ellis
9:12.0,,,4-4,2,C. Miles makes 2-pt shot from 2 ft
9:03.0,Turnover by A. Wiggins (lost ball; steal by P. George),,4-4,,
8:57.0,,,4-6,2,P. George makes 2-pt shot from 1 ft
8:30.0,Z. LaVine misses 2-pt shot from 9 ft,,4-6,,
8:29.0,,,4-6,,Defensive rebound by P. George
8:24.0,,,4-8,2,I. Mahinmi makes 2-pt shot from 3 ft (assist by P. George)
8:05.0,K. Towns misses 2-pt shot from 12 ft,,4-8,,
8:05.0,,,4-8,,Defensive rebound by M. Ellis
7:56.0,,,4-8,,M. Ellis misses 2-pt shot from 1 ft
7:55.0,,,4-8,,Offensive rebound by I. Mahinmi
7:54.0,,,4-8,,I. Mahinmi misses 2-pt shot from 1 ft
7:52.0,Defensive rebound by K. Garnett,,4-8,,
7:46.0,K. Towns makes 2-pt shot from 1 ft (assist by Z. LaVine),2,6-8,,
7:30.0,,,6-8,,C. Miles misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by K. Towns,,6-8,,
7:18.0,K. Towns makes 2-pt shot from 18 ft (assist by Z. LaVine),2,8-8,,
7:06.0,,,8-10,2,I. Mahinmi makes 2-pt shot from 5 ft
6:45.0,K. Towns misses 2-pt shot at rim (block by C. Miles),,8-10,,
6:44.0,,,8-10,,Defensive rebound by I. Mahinmi
6:37.0,,,8-10,,G. Hill misses 2-pt shot from 16 ft
6:37.0,Defensive rebound by K. Towns,,8-10,,
6:23.0,K. Garnett makes 2-pt shot from 7 ft (assist by K. Towns),2,10-10,,
5:57.0,,,10-10,,C. Miles misses 2-pt shot from 2 ft
5:57.0,Defensive rebound by K. Towns,,10-10,,
5:50.0,Z. LaVine makes 2-pt shot from 3 ft,2,12-10,,
5:50.0,,,12-10,,Indiana full timeout
5:50.0,N. Bjelica enters the game for K. Garnett,,12-10,,
5:39.0,,,12-10,,Turnover by M. Ellis (lost ball)
5:21.0,T. Prince makes 2-pt shot from 7 ft,2,14-10,,
5:08.0,,,14-10,,P. George misses 3-pt shot from 23 ft
5:08.0,Defensive rebound by K. Towns,,14-10,,
4:59.0,A. Wiggins makes 2-pt shot from 3 ft,2,16-10,,
4:46.0,,,16-13,3,P. George makes 3-pt shot from 25 ft (assist by C. Miles)
4:31.0,Z. LaVine makes 2-pt shot from 18 ft,2,18-13,,
4:10.0,,,18-13,,G. Hill misses 3-pt shot from 22 ft
4:09.0,Defensive rebound by K. Towns,,18-13,,
3:57.0,A. Wiggins makes 2-pt shot from 11 ft,2,20-13,,
3:40.0,,,20-16,3,C. Miles makes 3-pt shot from 25 ft (assist by M. Ellis)
3:31.0,Minnesota full timeout,,20-16,,
3:31.0,,,20-16,,L. Allen enters the game for C. Miles
3:31.0,,,20-16,,C. Budinger enters the game for I. Mahinmi
3:31.0,,,20-16,,J. Hill enters the game for G. Hill
3:31.0,G. Dieng enters the game for T. Prince,,20-16,,
3:31.0,K. Martin enters the game for K. Towns,,20-16,,
3:24.0,Turnover by A. Wiggins (lost ball),,20-16,,
3:09.0,,,20-18,2,M. Ellis makes 2-pt shot from 13 ft
2:51.0,K. Martin misses 2-pt shot from 22 ft,,20-18,,
2:51.0,,,20-18,,Defensive rebound by Team
2:33.0,,,20-20,2,J. Hill makes 2-pt shot from 1 ft (assist by C. Budinger)
2:12.0,Z. LaVine makes 3-pt shot from 25 ft,3,23-20,,
1:58.0,,,23-20,,C. Budinger misses 2-pt shot from 1 ft
1:57.0,,,23-20,,Offensive rebound by L. Allen
1:48.0,,,23-20,,L. Allen misses 2-pt shot at rim
1:47.0,Defensive rebound by G. Dieng,,23-20,,
1:36.0,Z. LaVine misses 2-pt shot from 16 ft,,23-20,,
1:35.0,Offensive rebound by G. Dieng,,23-20,,
1:19.0,Shooting foul by C. Budinger (drawn by K. Martin),,23-20,,
1:19.0,K. Martin makes free throw 1 of 2,1,24-20,,
1:19.0,A. Miller enters the game for A. Wiggins,,24-20,,
1:19.0,S. Muhammad enters the game for Z. LaVine,,24-20,,
1:19.0,K. Martin makes free throw 2 of 2,1,25-20,,
1:04.0,,,25-20,,Shooting foul by N. Bjelica (drawn by P. George)
1:04.0,,,25-21,1,P. George makes free throw 1 of 2
1:04.0,,,25-22,1,P. George makes free throw 2 of 2
0:54.0,K. Martin misses 2-pt shot from 13 ft,,25-22,,
0:53.0,,,25-22,,Defensive rebound by J. Hill
0:49.0,Violation by G. Dieng (def goaltending),,25-22,,
0:49.0,,,25-24,2,M. Ellis makes 2-pt shot from 2 ft (assist by C. Budinger)
0:25.0,N. Bjelica misses 3-pt shot from 24 ft,,25-24,,
0:24.0,Offensive rebound by S. Muhammad,,25-24,,
0:23.0,S. Muhammad makes 2-pt shot from 2 ft,2,27-24,,
0:05.0,,,27-24,,P. George misses 2-pt shot from 1 ft
0:04.0,Defensive rebound by K. Martin,,27-24,,
0:00.0,S. Muhammad misses 3-pt shot from 25 ft,,27-24,,
0:00.0,Offensive rebound by Team,,27-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,27-24,,Turnover by J. Hill (lost ball; steal by G. Dieng)
11:38.0,Turnover by K. Martin (lost ball; steal by G. Hill),,27-24,,
11:31.0,,,27-24,,J. Hill misses 2-pt shot from 1 ft
