time,San Antonio,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (T. Parker gains possession),,,,Jump ball: S. Adams vs. T. Duncan (T. Parker gains possession)
11:45.0,T. Parker makes 2-pt shot from 15 ft,2,2-0,,
11:31.0,,,2-3,3,S. Ibaka makes 3-pt shot from 23 ft (assist by S. Adams)
11:11.0,T. Duncan misses 2-pt shot from 4 ft (block by S. Adams),,2-3,,
11:11.0,Offensive rebound by Team,,2-3,,
11:06.0,Turnover by K. Leonard (lost ball; steal by R. Westbrook),,2-3,,
11:03.0,,,2-5,2,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson)
10:39.0,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker),2,4-5,,
10:23.0,,,4-5,,Turnover by K. Durant (lost ball; steal by D. Green)
10:18.0,K. Leonard makes 3-pt shot from 24 ft,3,7-5,,
10:00.0,,,7-7,2,K. Durant makes 2-pt shot from 13 ft
9:43.0,T. Parker misses 2-pt shot from 15 ft (block by S. Ibaka),,7-7,,
9:42.0,,,7-7,,Defensive rebound by S. Ibaka
9:32.0,,,7-7,,R. Westbrook misses 2-pt shot from 15 ft
9:32.0,Defensive rebound by T. Parker,,7-7,,
9:24.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,10-7,,
9:01.0,,,10-9,2,A. Roberson makes 2-pt shot at rim
8:36.0,L. Aldridge makes 2-pt shot from 16 ft,2,12-9,,
8:15.0,,,12-9,,R. Westbrook misses 3-pt shot from 25 ft
8:14.0,,,12-9,,Offensive rebound by Team
8:14.0,Loose ball foul by L. Aldridge,,12-9,,
7:54.0,,,12-9,,S. Ibaka misses 2-pt shot from 16 ft
7:53.0,Defensive rebound by T. Parker,,12-9,,
7:39.0,T. Parker misses 2-pt shot from 2 ft (block by A. Roberson),,12-9,,
7:38.0,,,12-9,,Defensive rebound by S. Adams
