time,Golden State,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Nowitzki (C. Parsons gains possession),,,,Jump ball: A. Bogut vs. D. Nowitzki (C. Parsons gains possession)
11:39.0,,,0-2,2,D. Williams makes 2-pt shot from 19 ft
11:18.0,A. Bogut misses 2-pt shot from 7 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by D. Williams
11:07.0,,,0-4,2,R. Felton makes 2-pt shot at rim
10:55.0,D. Green makes 2-pt shot from 1 ft,2,2-4,,
10:46.0,,,2-6,2,R. Felton makes 2-pt shot from 1 ft
10:32.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,5-6,,
10:17.0,,,5-8,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Felton)
10:00.0,D. Green misses 2-pt shot from 5 ft,,5-8,,
9:59.0,,,5-8,,Defensive rebound by D. Nowitzki
9:55.0,,,5-10,2,C. Parsons makes 2-pt shot at rim (assist by D. Williams)
9:47.0,K. Thompson misses 3-pt shot from 23 ft,,5-10,,
9:45.0,,,5-10,,Defensive rebound by W. Matthews
9:40.0,,,5-10,,C. Parsons misses 3-pt shot from 25 ft
9:39.0,,,5-10,,Offensive rebound by C. Parsons
9:36.0,,,5-10,,C. Parsons misses 2-pt shot from 18 ft
9:35.0,Defensive rebound by A. Bogut,,5-10,,
9:29.0,S. Curry makes 3-pt shot from 25 ft,3,8-10,,
9:15.0,,,8-10,,D. Williams misses 2-pt shot from 10 ft
9:14.0,Defensive rebound by S. Curry,,8-10,,
9:08.0,S. Curry makes 2-pt shot from 3 ft,2,10-10,,
9:01.0,Personal foul by S. Curry,,10-10,,
8:46.0,,,10-13,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Felton)
8:36.0,H. Barnes makes 2-pt shot at rim (assist by D. Green),2,12-13,,
8:16.0,,,12-16,3,R. Felton makes 3-pt shot from 25 ft (assist by D. Williams)
8:04.0,Turnover by A. Bogut (bad pass),,12-16,,
7:54.0,,,12-16,,D. Nowitzki misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by A. Bogut,,12-16,,
7:42.0,D. Green misses 2-pt shot from 3 ft,,12-16,,
7:40.0,,,12-16,,Defensive rebound by R. Felton
7:36.0,,,12-19,3,C. Parsons makes 3-pt shot from 23 ft (assist by R. Felton)
7:36.0,Technical foul by Team,,12-19,,
7:36.0,,,12-20,1,D. Nowitzki makes technical free throw
7:36.0,Golden State full timeout,,12-20,,
7:23.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,15-20,,
6:57.0,,,15-20,,W. Matthews misses 3-pt shot from 23 ft
6:56.0,,,15-20,,Offensive rebound by D. Nowitzki
6:56.0,,,15-20,,Shooting foul by D. Green (drawn by D. Nowitzki)
6:56.0,,,15-21,1,D. Nowitzki makes free throw 1 of 2
6:56.0,,,15-22,1,D. Nowitzki makes free throw 2 of 2
6:48.0,D. Green makes 2-pt shot from 5 ft,2,17-22,,
6:48.0,Shooting foul by D. Williams (drawn by D. Green),,17-22,,
6:48.0,,,17-22,,D. Lee enters the game for D. Nowitzki
6:48.0,D. Green makes free throw 1 of 1,1,18-22,,
6:27.0,,,18-22,,R. Felton misses 3-pt shot from 23 ft
6:26.0,,,18-22,,Offensive rebound by D. Lee
6:16.0,,,18-22,,D. Williams misses 2-pt shot from 20 ft
6:15.0,Defensive rebound by K. Thompson,,18-22,,
5:59.0,K. Thompson makes 2-pt shot from 2 ft,2,20-22,,
5:46.0,,,20-24,2,D. Lee makes 2-pt shot at rim (assist by D. Williams)
5:36.0,,,20-24,,Personal foul by D. Williams
5:36.0,,,20-24,,D. Harris enters the game for D. Williams
5:26.0,S. Curry misses 3-pt shot from 24 ft,,20-24,,
5:25.0,,,20-24,,Defensive rebound by W. Matthews
5:09.0,,,20-24,,R. Felton misses 2-pt shot from 5 ft
5:08.0,,,20-24,,Offensive rebound by D. Lee
5:08.0,,,20-26,2,D. Lee makes 2-pt shot at rim
4:55.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,23-26,,
4:42.0,,,23-26,,Turnover by W. Matthews (lost ball; steal by S. Curry)
4:38.0,L. Barbosa enters the game for K. Thompson,,23-26,,
4:38.0,M. Speights enters the game for A. Bogut,,23-26,,
4:25.0,L. Barbosa misses 3-pt shot from 23 ft,,23-26,,
4:24.0,Offensive rebound by H. Barnes,,23-26,,
4:19.0,M. Speights makes 2-pt shot from 15 ft (assist by L. Barbosa),2,25-26,,
4:05.0,,,25-28,2,D. Lee makes 2-pt shot at rim (assist by R. Felton)
3:56.0,S. Curry misses 2-pt shot from 2 ft,,25-28,,
3:55.0,,,25-28,,Defensive rebound by D. Lee
3:42.0,,,25-28,,D. Harris misses 2-pt shot from 20 ft
3:41.0,Defensive rebound by H. Barnes,,25-28,,
3:34.0,L. Barbosa misses 2-pt shot from 9 ft,,25-28,,
3:34.0,,,25-28,,Defensive rebound by D. Lee
3:29.0,,,25-28,,Shooting foul by L. Barbosa (drawn by D. Harris)
3:29.0,,,25-29,1,D. Harris makes free throw 1 of 2
3:29.0,S. Livingston enters the game for H. Barnes,,25-29,,
3:29.0,,,25-30,1,D. Harris makes free throw 2 of 2
3:16.0,,,25-30,,Personal foul by W. Matthews
3:09.0,M. Speights makes 2-pt shot from 19 ft (assist by S. Curry),2,27-30,,
3:07.0,,,27-30,,Dallas full timeout
2:51.0,,,27-30,,W. Matthews misses 2-pt shot from 18 ft
2:50.0,Defensive rebound by S. Curry,,27-30,,
2:40.0,,,27-30,,J. Anderson enters the game for W. Matthews
2:40.0,,,27-30,,J. Barea enters the game for C. Parsons
2:40.0,,,27-30,,D. Nowitzki enters the game for R. Felton
2:36.0,S. Curry misses 2-pt shot from 20 ft,,27-30,,
2:35.0,,,27-30,,Defensive rebound by D. Nowitzki
2:25.0,,,27-30,,Turnover by D. Harris (bad pass)
2:13.0,D. Green makes 3-pt shot from 23 ft (assist by S. Curry),3,30-30,,
1:56.0,,,30-32,2,J. Barea makes 2-pt shot from 17 ft
1:44.0,M. Speights makes 3-pt shot from 24 ft (assist by S. Curry),3,33-32,,
1:28.0,,,33-34,2,D. Lee makes 2-pt shot at rim (assist by J. Barea)
1:14.0,S. Curry misses 2-pt shot at rim,,33-34,,
1:13.0,,,33-34,,Defensive rebound by D. Nowitzki
1:13.0,Personal foul by M. Speights,,33-34,,
1:00.0,,,33-34,,J. Barea misses 2-pt shot from 3 ft
1:00.0,,,33-34,,Offensive rebound by Team
1:00.0,,,33-34,,Turnover by J. Barea (traveling)
0:40.0,S. Curry makes 3-pt shot from 24 ft (assist by L. Barbosa),3,36-34,,
0:32.0,,,36-36,2,D. Lee makes 2-pt shot at rim (assist by J. Barea)
0:16.0,L. Barbosa makes 3-pt shot from 23 ft (assist by S. Curry),3,39-36,,
0:02.0,,,39-36,,Turnover by J. Barea (lost ball; steal by S. Curry)
0:00.0,S. Curry makes 3-pt shot from 31 ft,3,42-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,42-36,,Technical foul by D. Nowitzki
12:00.0,S. Curry makes technical free throw,1,43-36,,
12:00.0,M. Speights enters the game for S. Curry,,43-36,,
11:46.0,S. Livingston misses 2-pt shot from 1 ft (block by J. Anderson),,43-36,,
11:43.0,,,43-36,,Defensive rebound by D. Lee
11:34.0,,,43-38,2,D. Harris makes 2-pt shot from 1 ft
11:26.0,S. Livingston misses 2-pt shot from 14 ft,,43-38,,
11:24.0,,,43-38,,Defensive rebound by D. Lee
11:09.0,,,43-40,2,D. Nowitzki makes 2-pt shot from 8 ft (assist by J. Barea)
