time,Chicago,pts.away,score,pts.home,Utah
1:09.0,,,25-23,,Defensive rebound by R. Gobert
0:57.0,,,25-23,,C. Johnson misses 3-pt shot from 24 ft
0:56.0,,,25-23,,Offensive rebound by T. Burke
0:38.0,,,25-26,3,T. Burke makes 3-pt shot from 24 ft (assist by T. Lyles)
0:22.0,K. Hinrich misses 2-pt shot from 18 ft,,25-26,,
0:21.0,Offensive rebound by Team,,25-26,,
0:21.0,,,25-26,,Personal foul by C. Johnson (drawn by P. Gasol)
0:21.0,P. Gasol makes free throw 1 of 2,1,26-26,,
0:21.0,T. Snell enters the game for A. Brooks,,26-26,,
0:21.0,P. Gasol misses free throw 2 of 2,,26-26,,
0:21.0,,,26-26,,Defensive rebound by R. Gobert
0:06.0,,,26-26,,T. Burke misses 2-pt shot from 20 ft
0:05.0,Defensive rebound by J. Butler,,26-26,,
0:00.0,B. Portis misses 3-pt shot from 24 ft,,26-26,,
0:00.0,Offensive rebound by Team,,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,26-26,,R. Hood misses 2-pt shot from 17 ft
11:39.0,Defensive rebound by K. Hinrich,,26-26,,
11:24.0,D. McDermott makes 2-pt shot from 1 ft (assist by T. Gibson),2,28-26,,
11:11.0,,,28-26,,R. Hood misses 2-pt shot from 3 ft
11:11.0,Defensive rebound by T. Snell,,28-26,,
11:02.0,T. Gibson misses 2-pt shot from 15 ft,,28-26,,
11:02.0,,,28-26,,Defensive rebound by T. Lyles
10:40.0,,,28-26,,T. Burke misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by B. Portis,,28-26,,
10:20.0,B. Portis misses 2-pt shot from 12 ft,,28-26,,
10:20.0,,,28-26,,Defensive rebound by R. Hood
10:15.0,,,28-26,,Offensive charge foul by R. Hood
10:15.0,,,28-26,,Turnover by R. Hood (offensive foul)
10:15.0,,,28-26,,T. Booker enters the game for T. Lyles
