time,Chicago,pts.away,score,pts.home,Utah
1:05.0,,,90-88,,Shooting foul by E. Moore (drawn by R. Hood)
1:05.0,,,90-89,1,R. Hood makes free throw 1 of 2
1:05.0,,,90-90,1,R. Hood makes free throw 2 of 2
0:41.0,D. Rose misses 3-pt shot from 24 ft,,90-90,,
0:40.0,,,90-90,,Defensive rebound by R. Hood
0:29.0,,,90-90,,Shooting foul by T. Gibson (drawn by R. Gobert)
0:29.0,,,90-90,,R. Gobert misses free throw 1 of 2
0:29.0,,,90-90,,Offensive rebound by Team
0:29.0,,,90-90,,C. Johnson enters the game for J. Ingles
0:29.0,,,90-90,,R. Gobert misses free throw 2 of 2
0:29.0,Defensive rebound by P. Gasol,,90-90,,
0:29.0,Chicago full timeout,,90-90,,
0:29.0,D. McDermott enters the game for T. Gibson,,90-90,,
0:19.0,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler),3,93-90,,
0:19.0,,,93-90,,Utah full timeout
0:19.0,T. Gibson enters the game for D. McDermott,,93-90,,
0:19.0,,,93-90,,J. Ingles enters the game for C. Johnson
0:13.0,,,93-90,,Shooting foul by J. Butler (drawn by G. Hayward)
0:13.0,,,93-91,1,G. Hayward makes free throw 1 of 2
0:13.0,,,93-91,,C. Johnson enters the game for J. Ingles
0:13.0,,,93-91,,G. Hayward misses free throw 2 of 2
0:13.0,,,93-91,,Offensive rebound by C. Johnson
0:09.0,,,93-91,,Utah full timeout
0:09.0,,,93-91,,J. Ingles enters the game for C. Johnson
0:09.0,,,93-91,,T. Burke enters the game for R. Gobert
0:09.0,,,93-91,,Utah full timeout
0:09.0,,,93-91,,T. Lyles enters the game for T. Burke
0:05.0,,,93-93,2,G. Hayward makes 2-pt shot from 2 ft
0:05.0,Chicago full timeout,,93-93,,
0:05.0,D. McDermott enters the game for T. Gibson,,93-93,,
0:05.0,,,93-93,,C. Johnson enters the game for J. Ingles
0:05.0,,,93-93,,R. Neto enters the game for T. Lyles
0:05.0,Turnover by D. Rose (bad pass),,93-93,,
0:05.0,,,93-93,,R. Gobert enters the game for D. Favors
0:04.0,,,93-93,,D. Favors enters the game for R. Gobert
0:04.0,,,93-93,,T. Burke enters the game for C. Johnson
0:04.0,T. Gibson enters the game for D. McDermott,,93-93,,
0:04.0,,,93-93,,J. Ingles enters the game for R. Neto
0:01.0,,,93-93,,G. Hayward misses 2-pt shot from 18 ft
0:00.0,,,93-93,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:45.0,,,93-95,2,D. Favors makes 2-pt shot from 9 ft (assist by G. Hayward)
4:20.0,E. Moore misses 2-pt shot from 19 ft,,93-95,,
4:19.0,Offensive rebound by T. Gibson,,93-95,,
4:19.0,Shooting foul by R. Hood (drawn by T. Gibson),,93-95,,
4:19.0,,,93-95,,J. Ingles enters the game for R. Hood
4:19.0,T. Gibson makes free throw 1 of 2,1,94-95,,
4:19.0,T. Gibson makes free throw 2 of 2,1,95-95,,
3:58.0,,,95-95,,Turnover by D. Favors (bad pass)
3:41.0,Turnover by P. Gasol (bad pass; steal by R. Neto),,95-95,,
3:35.0,,,95-97,2,G. Hayward makes 2-pt shot from 7 ft
3:14.0,Turnover by T. Gibson (dbl dribble),,95-97,,
2:56.0,,,95-97,,Shooting foul by P. Gasol (drawn by R. Neto)
2:56.0,,,95-97,,R. Neto misses free throw 1 of 2
2:56.0,,,95-97,,Offensive rebound by Team
2:56.0,,,95-97,,R. Neto misses free throw 2 of 2
2:55.0,Defensive rebound by P. Gasol,,95-97,,
2:47.0,Turnover by D. Rose (lost ball),,95-97,,
2:33.0,,,95-97,,D. Favors misses 2-pt shot from 14 ft
2:32.0,,,95-97,,Offensive rebound by R. Gobert
2:32.0,,,95-97,,R. Gobert misses 2-pt shot from 1 ft
2:31.0,Defensive rebound by D. Rose,,95-97,,
2:22.0,D. Rose misses 2-pt shot from 17 ft,,95-97,,
2:22.0,,,95-97,,Defensive rebound by G. Hayward
2:13.0,,,95-99,2,G. Hayward makes 2-pt shot from 15 ft
2:13.0,Chicago full timeout,,95-99,,
1:58.0,Shooting foul by R. Gobert (drawn by J. Butler),,95-99,,
1:58.0,J. Butler misses free throw 1 of 2,,95-99,,
1:58.0,Offensive rebound by Team,,95-99,,
1:58.0,J. Butler misses free throw 2 of 2,,95-99,,
1:57.0,,,95-99,,Defensive rebound by D. Favors
1:41.0,,,95-99,,Shooting foul by P. Gasol (drawn by D. Favors)
1:41.0,B. Portis enters the game for P. Gasol,,95-99,,
1:41.0,,,95-100,1,D. Favors makes free throw 1 of 2
1:41.0,,,95-100,,D. Favors misses free throw 2 of 2
1:41.0,Defensive rebound by E. Moore,,95-100,,
1:22.0,J. Butler misses 3-pt shot from 24 ft,,95-100,,
1:21.0,,,95-100,,Defensive rebound by D. Favors
1:00.0,,,95-102,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
1:00.0,Chicago full timeout,,95-102,,
1:00.0,D. McDermott enters the game for B. Portis,,95-102,,
1:00.0,,,95-102,,T. Booker enters the game for D. Favors
0:55.0,,,95-102,,Personal foul by J. Ingles (drawn by J. Butler)
0:55.0,J. Butler makes free throw 1 of 2,1,96-102,,
0:55.0,B. Portis enters the game for D. McDermott,,96-102,,
0:55.0,,,96-102,,D. Favors enters the game for T. Booker
0:55.0,J. Butler misses free throw 2 of 2,,96-102,,
0:55.0,,,96-102,,Defensive rebound by D. Favors
0:41.0,,,96-102,,Shooting foul by T. Gibson (drawn by R. Gobert)
0:41.0,,,96-102,,R. Gobert misses free throw 1 of 2
0:41.0,,,96-102,,Offensive rebound by Team
0:41.0,D. McDermott enters the game for B. Portis,,96-102,,
0:41.0,,,96-102,,C. Johnson enters the game for D. Favors
0:41.0,,,96-103,1,R. Gobert makes free throw 2 of 2
0:30.0,J. Butler misses 3-pt shot from 24 ft,,96-103,,
0:29.0,,,96-103,,Defensive rebound by G. Hayward
0:22.0,Personal foul by J. Butler (drawn by G. Hayward),,96-103,,
0:22.0,,,96-104,1,G. Hayward makes free throw 1 of 2
0:22.0,,,96-105,1,G. Hayward makes free throw 2 of 2
0:10.0,D. Rose misses 3-pt shot from 24 ft,,96-105,,
0:10.0,,,96-105,,Defensive rebound by R. Gobert
0:00.0,End of 1st overtime,,,,End of 1st overtime
