time,Philadelphia,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. N. Noel (J. Grant gains possession),,,,Jump ball: C. Felicio vs. N. Noel (J. Grant gains possession)
11:36.0,J. Grant misses 3-pt shot from 24 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by J. Butler
11:17.0,,,0-0,,T. Snell misses 2-pt shot at rim
11:16.0,Defensive rebound by J. Grant,,0-0,,
11:07.0,N. Noel misses 2-pt shot from 8 ft,,0-0,,
11:06.0,Offensive rebound by K. Marshall,,0-0,,
11:04.0,N. Noel makes 2-pt shot from 2 ft (assist by K. Marshall),2,2-0,,
10:50.0,,,2-0,,N. Mirotic misses 3-pt shot from 24 ft
10:48.0,,,2-0,,Offensive rebound by C. Felicio
10:48.0,,,2-0,,C. Felicio misses 2-pt shot at rim
10:46.0,Defensive rebound by R. Covington,,2-0,,
10:31.0,K. Marshall misses 2-pt shot from 18 ft,,2-0,,
10:29.0,Offensive rebound by J. Grant,,2-0,,
10:26.0,R. Covington makes 3-pt shot from 24 ft (assist by N. Noel),3,5-0,,
10:08.0,,,5-0,,J. Holiday misses 2-pt shot from 17 ft
10:07.0,,,5-0,,Offensive rebound by J. Butler
10:07.0,,,5-0,,J. Butler misses 2-pt shot from 1 ft
10:06.0,Defensive rebound by I. Smith,,5-0,,
9:57.0,K. Marshall misses 3-pt shot from 23 ft,,5-0,,
9:56.0,,,5-0,,Defensive rebound by T. Snell
9:43.0,,,5-3,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Butler)
9:30.0,,,5-3,,Violation by J. Holiday (kicked ball)
9:13.0,J. Grant makes 3-pt shot from 24 ft (assist by R. Covington),3,8-3,,
9:01.0,,,8-3,,J. Holiday misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by Team,,8-3,,
8:44.0,N. Noel misses 2-pt shot from 1 ft (block by N. Mirotic),,8-3,,
8:43.0,,,8-3,,Defensive rebound by T. Snell
8:34.0,,,8-3,,T. Snell misses 2-pt shot from 15 ft
8:32.0,,,8-3,,Offensive rebound by J. Butler
8:32.0,,,8-3,,J. Butler misses 2-pt shot at rim
8:31.0,Defensive rebound by J. Grant,,8-3,,
8:23.0,R. Covington misses 3-pt shot from 26 ft,,8-3,,
8:23.0,,,8-3,,Defensive rebound by J. Butler
8:10.0,,,8-3,,C. Felicio misses 2-pt shot from 18 ft
8:09.0,Defensive rebound by N. Noel,,8-3,,
7:59.0,Turnover by I. Smith (lost ball; steal by N. Mirotic),,8-3,,
7:57.0,,,8-3,,Shooting foul by J. Grant (drawn by N. Mirotic)
7:57.0,,,8-3,,N. Mirotic misses free throw 1 of 2
7:57.0,,,8-3,,Offensive rebound by Team
7:57.0,,,8-4,1,N. Mirotic makes free throw 2 of 2
