time,Orlando,pts.away,score,pts.home,Sacramento
5:02.0,,,97-85,,M. Belinelli misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by E. Fournier,,97-85,,
5:02.0,,,97-85,,Personal foul by R. Rondo
4:42.0,Turnover by J. Smith (offensive foul),,97-85,,
4:42.0,Offensive charge foul by J. Smith,,97-85,,
4:25.0,,,97-85,,Shooting foul by A. Gordon (drawn by R. Gay)
4:25.0,,,97-85,,R. Gay misses free throw 1 of 2
4:25.0,,,97-85,,Offensive rebound by Team
4:25.0,,,97-85,,O. Casspi enters the game for M. Belinelli
4:25.0,,,97-86,1,R. Gay makes free throw 2 of 2
4:03.0,E. Fournier misses 2-pt shot from 4 ft,,97-86,,
4:01.0,Offensive rebound by A. Gordon,,97-86,,
4:01.0,A. Gordon makes 2-pt shot from 1 ft,2,99-86,,
3:51.0,,,99-88,2,K. Koufos makes 2-pt shot from 1 ft (assist by R. Rondo)
3:35.0,Shooting foul by K. Koufos (drawn by A. Gordon),,99-88,,
3:35.0,A. Gordon makes free throw 1 of 2,1,100-88,,
3:35.0,A. Gordon makes free throw 2 of 2,1,101-88,,
3:27.0,,,101-88,,Shooting foul by J. Smith (drawn by R. Gay)
3:27.0,,,101-88,,R. Gay misses free throw 1 of 2
3:27.0,,,101-88,,Offensive rebound by Team
3:27.0,,,101-89,1,R. Gay makes free throw 2 of 2
3:16.0,V. Oladipo misses 2-pt shot from 3 ft (block by K. Koufos),,101-89,,
3:14.0,,,101-89,,Defensive rebound by R. Gay
3:05.0,,,101-91,2,K. Koufos makes 2-pt shot from 6 ft (assist by R. Rondo)
2:42.0,J. Smith makes 2-pt shot from 15 ft (assist by C. Watson),2,103-91,,
2:27.0,,,103-93,2,R. Gay makes 2-pt shot from 7 ft
2:27.0,Orlando full timeout,,103-93,,
2:10.0,J. Smith makes 2-pt shot from 17 ft (assist by E. Fournier),2,105-93,,
2:00.0,,,105-93,,Turnover by R. Rondo (lost ball; steal by A. Gordon)
1:40.0,E. Fournier misses 2-pt shot from 6 ft,,105-93,,
1:40.0,,,105-93,,Defensive rebound by R. Rondo
1:32.0,,,105-93,,D. Collison misses 3-pt shot from 22 ft
1:31.0,Defensive rebound by V. Oladipo,,105-93,,
1:24.0,Offensive foul by J. Smith,,105-93,,
1:24.0,Turnover by J. Smith (offensive foul),,105-93,,
1:24.0,,,105-93,,W. Cauley-Stein enters the game for K. Koufos
1:15.0,,,105-95,2,O. Casspi makes 2-pt shot from 8 ft
1:15.0,,,105-95,,Shooting foul by E. Fournier (drawn by O. Casspi)
1:15.0,,,105-96,1,O. Casspi makes free throw 1 of 1
0:52.0,Turnover by V. Oladipo (lost ball; steal by D. Collison),,105-96,,
0:50.0,,,105-96,,Shooting foul by E. Fournier (drawn by D. Collison)
0:50.0,,,105-98,2,D. Collison makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
0:50.0,,,105-98,,D. Collison misses free throw 1 of 1
0:48.0,Defensive rebound by A. Gordon,,105-98,,
0:43.0,,,105-98,,Personal foul by D. Collison
0:43.0,A. Gordon misses free throw 1 of 2,,105-98,,
0:43.0,Offensive rebound by Team,,105-98,,
0:43.0,A. Gordon misses free throw 2 of 2,,105-98,,
0:41.0,,,105-98,,Defensive rebound by W. Cauley-Stein
0:28.0,,,105-98,,O. Casspi misses 2-pt shot from 6 ft (block by J. Smith)
0:26.0,Defensive rebound by J. Smith,,105-98,,
0:26.0,,,105-98,,Personal foul by R. Gay
0:26.0,J. Smith makes free throw 1 of 2,1,106-98,,
0:26.0,J. Smith misses free throw 2 of 2,,106-98,,
0:25.0,,,106-98,,Defensive rebound by R. Rondo
0:18.0,,,106-100,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
0:09.0,,,106-100,,Personal foul by O. Casspi
0:09.0,V. Oladipo makes free throw 1 of 2,1,107-100,,
0:09.0,V. Oladipo misses free throw 2 of 2,,107-100,,
0:07.0,,,107-100,,Defensive rebound by R. Rondo
0:07.0,,,107-100,,Sacramento full timeout
0:01.0,,,107-100,,W. Cauley-Stein misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by V. Oladipo,,107-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
