time,Orlando,pts.away,score,pts.home,Sacramento
1:17.0,Turnover by J. Smith (lost ball; steal by R. Rondo),,25-14,,
1:14.0,,,25-16,2,R. Rondo makes 2-pt shot at rim
1:03.0,,,25-16,,Personal foul by M. Belinelli
1:03.0,M. Hezonja makes free throw 1 of 2,1,26-16,,
1:03.0,M. Hezonja makes free throw 2 of 2,1,27-16,,
0:51.0,,,27-16,,K. Koufos misses 2-pt shot from 3 ft
0:49.0,Defensive rebound by J. Smith,,27-16,,
0:48.0,Turnover by J. Smith (bad pass),,27-16,,
0:39.0,,,27-18,2,K. Koufos makes 2-pt shot from 9 ft (assist by R. Rondo)
0:28.0,J. Smith misses 2-pt shot from 3 ft (block by K. Koufos),,27-18,,
0:26.0,,,27-18,,Defensive rebound by M. Belinelli
0:08.0,,,27-21,3,S. Curry makes 3-pt shot from 23 ft (assist by R. Rondo)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,V. Oladipo makes 2-pt shot from 3 ft,2,29-21,,
11:32.0,Personal foul by E. Ilyasova,,29-21,,
11:24.0,,,29-21,,S. Curry misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by J. Smith,,29-21,,
11:14.0,V. Oladipo misses 2-pt shot from 20 ft,,29-21,,
11:13.0,,,29-21,,Defensive rebound by S. Curry
11:05.0,,,29-21,,S. Curry misses 2-pt shot from 9 ft
11:04.0,Defensive rebound by J. Smith,,29-21,,
10:53.0,Turnover by M. Hezonja (lost ball; steal by S. Curry),,29-21,,
10:47.0,,,29-21,,D. Collison misses 2-pt shot from 17 ft
10:47.0,Defensive rebound by M. Hezonja,,29-21,,
10:41.0,Turnover by M. Hezonja (lost ball; steal by D. Collison),,29-21,,
10:35.0,,,29-23,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Collison)
10:11.0,Turnover by B. Jennings (lost ball),,29-23,,
10:11.0,Loose ball foul by E. Ilyasova,,29-23,,
10:11.0,E. Fournier enters the game for M. Hezonja,,29-23,,
10:11.0,,,29-23,,R. Gay enters the game for O. Casspi
9:58.0,,,29-23,,Turnover by R. Gay (lost ball; steal by V. Oladipo)
9:46.0,J. Smith makes 2-pt shot from 18 ft (assist by V. Oladipo),2,31-23,,
9:36.0,,,31-23,,Shooting foul by B. Jennings (drawn by D. Collison)
9:36.0,,,31-24,1,D. Collison makes free throw 1 of 2
9:36.0,,,31-25,1,D. Collison makes free throw 2 of 2
9:20.0,Turnover by E. Ilyasova (3 sec),,31-25,,
9:00.0,,,31-27,2,D. Collison makes 2-pt shot from 19 ft
8:49.0,E. Fournier makes 2-pt shot from 6 ft,2,33-27,,
8:40.0,Personal foul by E. Fournier,,33-27,,
8:40.0,Official timeout,,33-27,,
8:27.0,,,33-27,,R. Gay misses 2-pt shot from 4 ft
8:26.0,,,33-27,,Offensive rebound by R. Gay
8:24.0,,,33-29,2,R. Gay makes 2-pt shot from 2 ft
8:03.0,J. Smith makes 2-pt shot from 2 ft (assist by E. Fournier),2,35-29,,
7:46.0,,,35-29,,Turnover by R. Gay (traveling)
7:46.0,,,35-29,,W. Cauley-Stein enters the game for K. Koufos
7:33.0,J. Smith misses 2-pt shot from 19 ft,,35-29,,
7:33.0,,,35-29,,Defensive rebound by M. Belinelli
7:22.0,,,35-29,,Shooting foul by J. Smith (drawn by R. Gay)
7:22.0,,,35-30,1,R. Gay makes free throw 1 of 2
7:22.0,D. Dedmon enters the game for J. Smith,,35-30,,
7:22.0,,,35-31,1,R. Gay makes free throw 2 of 2
7:06.0,B. Jennings makes 2-pt shot from 14 ft (assist by V. Oladipo),2,37-31,,
6:55.0,,,37-34,3,M. Belinelli makes 3-pt shot from 24 ft (assist by D. Collison)
6:31.0,B. Jennings misses 3-pt shot from 25 ft,,37-34,,
6:30.0,Offensive rebound by D. Dedmon,,37-34,,
6:28.0,D. Dedmon makes 2-pt shot from 2 ft,2,39-34,,
6:13.0,,,39-37,3,M. Belinelli makes 3-pt shot from 24 ft
5:59.0,E. Fournier makes 2-pt shot from 1 ft,2,41-37,,
5:45.0,,,41-37,,S. Curry misses 2-pt shot from 20 ft
5:45.0,Defensive rebound by D. Dedmon,,41-37,,
5:38.0,Shooting foul by M. Belinelli (drawn by V. Oladipo),,41-37,,
5:38.0,,,41-37,,Sacramento full timeout
5:38.0,A. Gordon enters the game for E. Ilyasova,,41-37,,
5:38.0,,,41-37,,R. Rondo enters the game for S. Curry
5:38.0,V. Oladipo misses free throw 1 of 2,,41-37,,
5:38.0,Offensive rebound by Team,,41-37,,
5:38.0,V. Oladipo makes free throw 2 of 2,1,42-37,,
5:27.0,Personal foul by A. Gordon,,42-37,,
5:27.0,,,42-38,1,R. Gay makes free throw 1 of 2
5:27.0,C. Watson enters the game for B. Jennings,,42-38,,
5:27.0,,,42-39,1,R. Gay makes free throw 2 of 2
5:14.0,E. Fournier misses 3-pt shot from 26 ft,,42-39,,
5:13.0,,,42-39,,Defensive rebound by R. Gay
