time,Denver,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Hickson (J. Randle gains possession),,,,Jump ball: R. Hibbert vs. J. Hickson (J. Randle gains possession)
11:44.0,,,0-0,,J. Randle misses 2-pt shot from 16 ft
11:44.0,Defensive rebound by D. Gallinari,,0-0,,
11:30.0,K. Faried makes 2-pt shot from 4 ft (assist by D. Gallinari),2,2-0,,
11:18.0,,,2-2,2,J. Randle makes 2-pt shot at rim (assist by K. Bryant)
11:18.0,,,2-2,,Shooting foul by E. Mudiay (drawn by J. Randle)
11:18.0,,,2-3,1,J. Randle makes free throw 1 of 1
11:08.0,E. Mudiay misses 2-pt shot from 2 ft,,2-3,,
11:04.0,Offensive rebound by K. Faried,,2-3,,
11:04.0,K. Faried makes 2-pt shot at rim,2,4-3,,
10:47.0,,,4-5,2,J. Randle makes 2-pt shot from 1 ft
10:34.0,Shooting foul by R. Hibbert (drawn by J. Hickson),,4-5,,
10:34.0,J. Hickson misses free throw 1 of 2,,4-5,,
10:34.0,Offensive rebound by Team,,4-5,,
10:34.0,J. Hickson misses free throw 2 of 2,,4-5,,
10:33.0,Offensive rebound by Team,,4-5,,
10:21.0,G. Harris misses 3-pt shot from 24 ft,,4-5,,
10:20.0,,,4-5,,Defensive rebound by D. Russell
10:06.0,,,4-8,3,K. Bryant makes 3-pt shot from 25 ft (assist by D. Russell)
9:45.0,D. Gallinari misses 2-pt shot from 13 ft,,4-8,,
9:44.0,,,4-8,,Defensive rebound by R. Hibbert
9:35.0,,,4-11,3,J. Clarkson makes 3-pt shot from 24 ft (assist by D. Russell)
9:35.0,Denver full timeout,,4-11,,
9:10.0,D. Gallinari misses 2-pt shot from 1 ft (block by J. Randle),,4-11,,
9:09.0,Offensive rebound by D. Gallinari,,4-11,,
9:09.0,Turnover by Team (shot clock),,4-11,,
9:01.0,,,4-11,,D. Russell misses 2-pt shot from 19 ft
9:00.0,Defensive rebound by J. Hickson,,4-11,,
8:47.0,J. Hickson makes 2-pt shot from 1 ft (assist by G. Harris),2,6-11,,
8:39.0,,,6-11,,Turnover by J. Randle (bad pass; steal by D. Gallinari)
8:26.0,E. Mudiay misses 2-pt shot from 3 ft,,6-11,,
8:25.0,Offensive rebound by E. Mudiay,,6-11,,
8:23.0,Turnover by E. Mudiay (bad pass; steal by K. Bryant),,6-11,,
8:21.0,Violation by D. Gallinari (kicked ball),,6-11,,
8:16.0,,,6-11,,Shooting foul by D. Gallinari (drawn by K. Bryant)
8:16.0,,,6-12,1,K. Bryant makes free throw 1 of 3
8:16.0,,,6-12,,K. Bryant misses free throw 2 of 3
8:16.0,,,6-12,,Offensive rebound by Team
8:16.0,,,6-13,1,K. Bryant makes free throw 3 of 3
8:02.0,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay),2,8-13,,
7:44.0,,,8-13,,D. Russell misses 3-pt shot from 22 ft
7:43.0,,,8-13,,Offensive rebound by R. Hibbert
7:42.0,,,8-13,,Shooting foul by J. Hickson (drawn by R. Hibbert)
7:42.0,,,8-14,1,R. Hibbert makes free throw 1 of 2
7:42.0,,,8-15,1,R. Hibbert makes free throw 2 of 2
7:30.0,J. Hickson makes 2-pt shot from 1 ft (assist by E. Mudiay),2,10-15,,
7:22.0,,,10-17,2,J. Clarkson makes 2-pt shot from 3 ft
7:11.0,E. Mudiay misses 3-pt shot from 24 ft,,10-17,,
7:10.0,,,10-17,,Defensive rebound by J. Randle
7:02.0,,,10-20,3,J. Clarkson makes 3-pt shot from 24 ft (assist by J. Randle)
6:49.0,K. Faried makes 2-pt shot at rim,2,12-20,,
6:36.0,,,12-20,,Turnover by J. Randle (lost ball; steal by G. Harris)
6:31.0,E. Mudiay misses 2-pt shot from 2 ft,,12-20,,
6:30.0,Offensive rebound by Team,,12-20,,
6:30.0,,,12-20,,B. Bass enters the game for R. Hibbert
6:24.0,Shooting foul by K. Bryant (drawn by D. Gallinari),,12-20,,
6:24.0,D. Gallinari makes free throw 1 of 2,1,13-20,,
6:24.0,D. Gallinari makes free throw 2 of 2,1,14-20,,
6:10.0,,,14-20,,J. Clarkson misses 2-pt shot from 19 ft
6:07.0,Defensive rebound by J. Hickson,,14-20,,
6:01.0,G. Harris makes 2-pt shot at rim,2,16-20,,
5:50.0,,,16-20,,D. Russell misses 2-pt shot from 12 ft
5:46.0,,,16-20,,Offensive rebound by B. Bass
5:46.0,,,16-20,,B. Bass misses 2-pt shot from 1 ft
5:43.0,,,16-20,,Offensive rebound by K. Bryant
5:35.0,,,16-20,,K. Bryant misses 2-pt shot from 18 ft
5:34.0,Defensive rebound by G. Harris,,16-20,,
5:22.0,D. Gallinari misses 2-pt shot from 1 ft,,16-20,,
5:22.0,Offensive rebound by D. Gallinari,,16-20,,
5:22.0,Shooting foul by J. Clarkson (drawn by D. Gallinari),,16-20,,
5:22.0,D. Gallinari makes free throw 1 of 2,1,17-20,,
5:22.0,D. Arthur enters the game for J. Hickson,,17-20,,
5:22.0,,,17-20,,L. Williams enters the game for D. Russell
5:22.0,D. Gallinari makes free throw 2 of 2,1,18-20,,
5:05.0,,,18-22,2,J. Randle makes 2-pt shot at rim
4:49.0,Turnover by K. Faried (bad pass; steal by J. Randle),,18-22,,
4:41.0,,,18-22,,K. Bryant misses 3-pt shot from 24 ft
4:41.0,,,18-22,,Offensive rebound by B. Bass
4:39.0,,,18-22,,Turnover by B. Bass (bad pass; steal by E. Mudiay)
4:34.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,20-22,,
4:12.0,,,20-24,2,J. Clarkson makes 2-pt shot from 20 ft
3:51.0,K. Faried makes 2-pt shot at rim (assist by D. Gallinari),2,22-24,,
3:36.0,,,22-26,2,K. Bryant makes 2-pt shot from 1 ft (assist by J. Clarkson)
3:31.0,,,22-26,,Personal foul by B. Bass (drawn by K. Faried)
3:31.0,,,22-26,,R. Kelly enters the game for J. Randle
3:31.0,,,22-26,,N. Young enters the game for K. Bryant
3:31.0,J. Nelson enters the game for G. Harris,,22-26,,
3:31.0,W. Barton enters the game for E. Mudiay,,22-26,,
3:31.0,M. Miller enters the game for K. Faried,,22-26,,
3:15.0,M. Miller makes 3-pt shot from 25 ft,3,25-26,,
3:03.0,,,25-26,,Shooting foul by D. Arthur (drawn by B. Bass)
3:03.0,,,25-27,1,B. Bass makes free throw 1 of 2
3:03.0,R. Foye enters the game for D. Gallinari,,25-27,,
3:03.0,,,25-28,1,B. Bass makes free throw 2 of 2
2:48.0,D. Arthur misses 2-pt shot from 9 ft,,25-28,,
2:47.0,,,25-28,,Defensive rebound by L. Williams
2:41.0,,,25-28,,Shooting foul by R. Foye (drawn by L. Williams)
2:41.0,,,25-28,,LA Lakers full timeout
2:41.0,,,25-29,1,L. Williams makes free throw 1 of 2
2:41.0,,,25-29,,L. Williams misses free throw 2 of 2
2:39.0,Defensive rebound by M. Miller,,25-29,,
2:25.0,R. Foye misses 3-pt shot from 25 ft (block by L. Williams),,25-29,,
2:25.0,,,25-29,,Defensive rebound by J. Clarkson
2:14.0,,,25-31,2,J. Clarkson makes 2-pt shot from 7 ft
1:56.0,W. Barton misses 2-pt shot from 4 ft,,25-31,,
1:55.0,,,25-31,,Defensive rebound by R. Kelly
1:46.0,,,25-31,,R. Kelly misses 3-pt shot from 24 ft
1:45.0,,,25-31,,Offensive rebound by B. Bass
1:40.0,,,25-33,2,R. Kelly makes 2-pt shot at rim
1:40.0,,,25-33,,Shooting foul by M. Miller (drawn by R. Kelly)
1:40.0,,,25-34,1,R. Kelly makes free throw 1 of 1
1:37.0,Denver full timeout,,25-34,,
1:26.0,D. Arthur misses 2-pt shot from 18 ft,,25-34,,
1:25.0,,,25-34,,Defensive rebound by N. Young
1:16.0,,,25-34,,Offensive foul by J. Clarkson
1:16.0,,,25-34,,Turnover by B. Bass (offensive foul)
1:03.0,M. Miller makes 3-pt shot from 22 ft (assist by J. Nelson),3,28-34,,
0:50.0,,,28-36,2,J. Clarkson makes 2-pt shot from 17 ft
0:38.0,W. Barton misses 3-pt shot from 24 ft,,28-36,,
0:37.0,,,28-36,,Defensive rebound by L. Williams
0:22.0,,,28-36,,N. Young misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by M. Miller,,28-36,,
0:01.0,J. Nelson makes 2-pt shot from 20 ft,2,30-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Nelson misses 2-pt shot from 20 ft,,30-36,,
11:43.0,,,30-36,,Defensive rebound by R. Kelly
11:29.0,,,30-36,,N. Young misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by D. Arthur,,30-36,,
11:19.0,,,30-36,,Personal foul by R. Kelly (drawn by D. Arthur)
11:08.0,Shooting foul by M. Huertas (drawn by J. Nelson),,30-36,,
11:08.0,J. Nelson makes free throw 1 of 2,1,31-36,,
11:08.0,J. Nelson makes free throw 2 of 2,1,32-36,,
10:55.0,,,32-36,,Turnover by Team (back court)
10:43.0,R. Foye makes 2-pt shot from 1 ft,2,34-36,,
10:18.0,,,34-36,,R. Kelly misses 2-pt shot from 9 ft
10:18.0,,,34-36,,Offensive rebound by B. Bass
10:18.0,Loose ball foul by J. Nelson (drawn by B. Bass),,34-36,,
10:12.0,,,34-36,,M. Huertas misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by D. Arthur,,34-36,,
10:04.0,Turnover by R. Foye (bad pass; steal by B. Bass),,34-36,,
9:58.0,,,34-36,,M. Huertas misses 2-pt shot from 1 ft (block by R. Foye)
9:56.0,,,34-36,,Offensive rebound by B. Bass
9:53.0,,,34-36,,B. Bass misses 2-pt shot at rim
9:52.0,Defensive rebound by D. Arthur,,34-36,,
9:39.0,M. Miller makes 3-pt shot from 25 ft (assist by J. Nelson),3,37-36,,
9:22.0,,,37-36,,L. Williams misses 2-pt shot from 2 ft (block by D. Arthur)
9:21.0,,,37-36,,Offensive rebound by B. Bass
9:18.0,,,37-36,,B. Bass misses 2-pt shot from 1 ft
9:17.0,Defensive rebound by J. Nelson,,37-36,,
9:11.0,J. Nelson misses 3-pt shot from 25 ft,,37-36,,
9:09.0,,,37-36,,Defensive rebound by M. Huertas
9:03.0,,,37-36,,J. Randle enters the game for B. Bass
9:03.0,K. Faried enters the game for D. Arthur,,37-36,,
8:52.0,,,37-36,,L. Williams misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by K. Faried,,37-36,,
8:32.0,Shooting foul by M. Huertas (drawn by W. Barton),,37-36,,
8:32.0,Official timeout,,37-36,,
8:32.0,W. Barton makes free throw 1 of 2,1,38-36,,
8:32.0,W. Barton makes free throw 2 of 2,1,39-36,,
8:19.0,,,39-36,,M. Huertas misses 3-pt shot from 22 ft
8:19.0,Defensive rebound by K. Faried,,39-36,,
8:06.0,Turnover by J. Nelson (bad pass; steal by L. Williams),,39-36,,
8:00.0,,,39-38,2,L. Williams makes 2-pt shot at rim
7:52.0,R. Foye misses 2-pt shot from 23 ft,,39-38,,
7:50.0,,,39-38,,Defensive rebound by N. Young
7:33.0,,,39-40,2,J. Randle makes 2-pt shot at rim (assist by M. Huertas)
7:18.0,M. Miller misses 3-pt shot from 25 ft,,39-40,,
7:17.0,Offensive rebound by K. Faried,,39-40,,
7:11.0,Shooting foul by J. Randle (drawn by K. Faried),,39-40,,
7:11.0,K. Faried makes free throw 1 of 2,1,40-40,,
7:11.0,,,40-40,,D. Russell enters the game for N. Young
7:11.0,,,40-40,,K. Bryant enters the game for M. Huertas
7:11.0,D. Gallinari enters the game for M. Miller,,40-40,,
7:11.0,K. Faried makes free throw 2 of 2,1,41-40,,
7:00.0,,,41-40,,L. Williams misses 2-pt shot from 13 ft
7:00.0,Defensive rebound by K. Faried,,41-40,,
6:49.0,J. Nelson misses 2-pt shot from 8 ft,,41-40,,
6:48.0,,,41-40,,Defensive rebound by L. Williams
6:36.0,Personal foul by J. Nelson (drawn by R. Kelly),,41-40,,
6:36.0,E. Mudiay enters the game for J. Nelson,,41-40,,
6:21.0,,,41-40,,J. Randle misses 2-pt shot from 1 ft (block by D. Gallinari)
6:20.0,Defensive rebound by W. Barton,,41-40,,
6:09.0,Shooting foul by D. Russell (drawn by E. Mudiay),,41-40,,
6:09.0,E. Mudiay makes free throw 1 of 2,1,42-40,,
6:09.0,G. Harris enters the game for R. Foye,,42-40,,
6:09.0,,,42-40,,T. Black enters the game for R. Kelly
6:09.0,E. Mudiay makes free throw 2 of 2,1,43-40,,
5:59.0,,,43-42,2,K. Bryant makes 2-pt shot from 16 ft (assist by D. Russell)
5:49.0,K. Faried misses 2-pt shot from 16 ft,,43-42,,
5:48.0,,,43-42,,Defensive rebound by L. Williams
5:41.0,,,43-42,,D. Russell misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by K. Faried,,43-42,,
5:30.0,D. Gallinari misses 2-pt shot at rim,,43-42,,
5:30.0,,,43-42,,Defensive rebound by L. Williams
5:24.0,,,43-44,2,J. Randle makes 2-pt shot at rim (assist by L. Williams)
4:57.0,Shooting foul by L. Williams (drawn by D. Gallinari),,43-44,,
4:57.0,,,43-44,,LA Lakers full timeout
4:57.0,,,43-44,,J. Clarkson enters the game for L. Williams
4:57.0,D. Gallinari misses free throw 1 of 2,,43-44,,
4:57.0,Offensive rebound by Team,,43-44,,
4:57.0,D. Gallinari makes free throw 2 of 2,1,44-44,,
4:40.0,,,44-44,,T. Black misses 2-pt shot from 8 ft
4:40.0,,,44-44,,Offensive rebound by K. Bryant
4:40.0,,,44-44,,K. Bryant misses 2-pt shot from 10 ft
4:40.0,Defensive rebound by K. Faried,,44-44,,
4:40.0,,,44-44,,Personal foul by K. Bryant (drawn by K. Faried)
4:40.0,K. Faried makes free throw 1 of 2,1,45-44,,
4:40.0,K. Faried makes free throw 2 of 2,1,46-44,,
4:29.0,,,46-46,2,D. Russell makes 2-pt shot from 18 ft
4:03.0,K. Faried makes 2-pt shot from 6 ft (assist by W. Barton),2,48-46,,
3:46.0,,,48-46,,J. Randle misses 2-pt shot from 2 ft
3:45.0,,,48-46,,Offensive rebound by T. Black
3:42.0,,,48-48,2,T. Black makes 2-pt shot at rim
3:38.0,,,48-48,,Personal foul by K. Bryant (drawn by W. Barton)
3:38.0,W. Barton makes free throw 1 of 2,1,49-48,,
3:38.0,,,49-48,,B. Bass enters the game for J. Randle
3:38.0,,,49-48,,L. Williams enters the game for K. Bryant
3:38.0,W. Barton makes free throw 2 of 2,1,50-48,,
3:16.0,,,50-48,,Shooting foul by K. Faried (drawn by T. Black)
3:16.0,,,50-48,,T. Black misses free throw 1 of 2
3:16.0,,,50-48,,Offensive rebound by Team
3:16.0,,,50-49,1,T. Black makes free throw 2 of 2
3:07.0,Turnover by E. Mudiay (bad pass),,50-49,,
2:54.0,Violation by D. Gallinari (kicked ball),,50-49,,
2:54.0,Denver full timeout,,50-49,,
2:46.0,,,50-51,2,L. Williams makes 2-pt shot from 1 ft
2:23.0,G. Harris misses 2-pt shot from 1 ft,,50-51,,
2:22.0,Offensive rebound by K. Faried,,50-51,,
2:22.0,Shooting foul by T. Black (drawn by K. Faried),,50-51,,
2:22.0,K. Faried makes free throw 1 of 2,1,51-51,,
2:22.0,K. Faried makes free throw 2 of 2,1,52-51,,
2:10.0,,,52-54,3,J. Clarkson makes 3-pt shot from 23 ft (assist by D. Russell)
2:00.0,Turnover by E. Mudiay (bad pass),,52-54,,
1:51.0,,,52-54,,D. Russell misses 2-pt shot from 14 ft
1:51.0,Defensive rebound by K. Faried,,52-54,,
1:34.0,G. Harris makes 2-pt shot from 2 ft (assist by E. Mudiay),2,54-54,,
1:34.0,Shooting foul by D. Russell (drawn by G. Harris),,54-54,,
1:34.0,G. Harris misses free throw 1 of 1,,54-54,,
1:33.0,,,54-54,,Defensive rebound by B. Bass
1:12.0,,,54-54,,Turnover by D. Russell (bad pass)
0:59.0,Shooting foul by T. Black (drawn by D. Gallinari),,54-54,,
0:59.0,D. Gallinari makes free throw 1 of 2,1,55-54,,
0:59.0,D. Gallinari makes free throw 2 of 2,1,56-54,,
0:48.0,,,56-57,3,J. Clarkson makes 3-pt shot from 26 ft (assist by D. Russell)
0:41.0,Shooting foul by B. Bass (drawn by K. Faried),,56-57,,
0:41.0,K. Faried makes free throw 1 of 2,1,57-57,,
0:41.0,K. Faried makes free throw 2 of 2,1,58-57,,
0:28.0,,,58-57,,J. Clarkson misses 3-pt shot from 27 ft
0:27.0,Defensive rebound by W. Barton,,58-57,,
0:04.0,E. Mudiay misses 2-pt shot from 17 ft,,58-57,,
0:03.0,Offensive rebound by W. Barton,,58-57,,
0:02.0,W. Barton makes 2-pt shot at rim,2,60-57,,
0:01.0,,,60-57,,D. Russell misses 3-pt shot from 55 ft (block by W. Barton)
0:00.0,,,60-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,D. Gallinari makes 2-pt shot from 14 ft (assist by J. Hickson),2,62-57,,
11:24.0,,,62-60,3,D. Russell makes 3-pt shot from 25 ft (assist by K. Bryant)
11:06.0,G. Harris misses 3-pt shot from 25 ft,,62-60,,
11:06.0,,,62-60,,Defensive rebound by J. Randle
10:56.0,,,62-62,2,K. Bryant makes 2-pt shot from 19 ft (assist by J. Randle)
10:39.0,G. Harris makes 2-pt shot at rim,2,64-62,,
10:28.0,,,64-64,2,J. Clarkson makes 2-pt shot from 1 ft
10:18.0,Turnover by E. Mudiay (bad pass; steal by K. Bryant),,64-64,,
10:13.0,,,64-66,2,D. Russell makes 2-pt shot from 1 ft (assist by K. Bryant)
9:56.0,K. Faried misses 2-pt shot from 1 ft,,64-66,,
9:55.0,,,64-66,,Defensive rebound by J. Randle
9:47.0,,,64-68,2,J. Randle makes 2-pt shot from 3 ft
9:47.0,Denver full timeout,,64-68,,
9:30.0,J. Hickson makes 2-pt shot from 16 ft (assist by E. Mudiay),2,66-68,,
9:06.0,,,66-68,,J. Randle misses 2-pt shot from 5 ft
9:05.0,Defensive rebound by D. Gallinari,,66-68,,
9:03.0,,,66-68,,Personal foul by J. Randle (drawn by K. Faried)
8:56.0,E. Mudiay misses 2-pt shot from 20 ft,,66-68,,
8:55.0,,,66-68,,Defensive rebound by K. Bryant
8:47.0,,,66-68,,Turnover by K. Bryant (bad pass; steal by G. Harris)
8:36.0,E. Mudiay misses 2-pt shot from 19 ft,,66-68,,
8:35.0,,,66-68,,Defensive rebound by D. Russell
8:31.0,Personal foul by J. Hickson (drawn by R. Hibbert),,66-68,,
8:18.0,,,66-70,2,J. Clarkson makes 2-pt shot from 17 ft
8:02.0,J. Hickson misses 2-pt shot from 8 ft,,66-70,,
8:01.0,,,66-70,,Defensive rebound by J. Randle
7:54.0,,,66-72,2,R. Hibbert makes 2-pt shot at rim (assist by D. Russell)
