time,Sacramento,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Drummond (T. Harris gains possession),,,,Jump ball: D. Cousins vs. A. Drummond (T. Harris gains possession)
11:50.0,,,0-2,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
11:50.0,,,0-2,,Shooting foul by D. Cousins (drawn by A. Drummond)
11:50.0,,,0-2,,A. Drummond misses free throw 1 of 1
11:49.0,Defensive rebound by Q. Acy,,0-2,,
11:38.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Rondo),2,2-2,,
11:23.0,,,2-2,,Turnover by R. Jackson (bad pass)
11:13.0,R. Rondo makes 2-pt shot from 6 ft,2,4-2,,
10:59.0,,,4-2,,K. Caldwell-Pope misses 2-pt shot from 18 ft
10:58.0,,,4-2,,Offensive rebound by K. Caldwell-Pope
10:56.0,,,4-2,,Offensive charge foul by K. Caldwell-Pope
10:56.0,,,4-2,,Turnover by K. Caldwell-Pope (offensive foul)
10:43.0,R. Gay misses 2-pt shot from 17 ft,,4-2,,
10:42.0,,,4-2,,Defensive rebound by R. Jackson
10:34.0,,,4-2,,R. Jackson misses 2-pt shot from 7 ft
10:32.0,,,4-2,,Offensive rebound by R. Jackson
10:14.0,,,4-5,3,M. Morris makes 3-pt shot from 26 ft (assist by T. Harris)
9:54.0,J. Anderson makes 2-pt shot at rim (assist by D. Cousins),2,6-5,,
9:35.0,,,6-5,,K. Caldwell-Pope misses 2-pt shot from 15 ft
9:34.0,,,6-5,,Offensive rebound by K. Caldwell-Pope
9:32.0,,,6-7,2,K. Caldwell-Pope makes 2-pt shot at rim
9:20.0,Turnover by D. Cousins (lost ball; steal by K. Caldwell-Pope),,6-7,,
9:16.0,,,6-9,2,K. Caldwell-Pope makes 2-pt shot at rim
9:03.0,R. Gay makes 2-pt shot at rim,2,8-9,,
8:44.0,,,8-9,,Shooting foul by J. Anderson (drawn by T. Harris)
8:44.0,,,8-11,2,T. Harris makes 2-pt shot at rim
8:44.0,,,8-12,1,T. Harris makes free throw 1 of 1
8:29.0,J. Anderson misses 2-pt shot from 8 ft,,8-12,,
8:27.0,,,8-12,,Defensive rebound by K. Caldwell-Pope
8:20.0,,,8-12,,R. Jackson misses 3-pt shot from 27 ft
8:17.0,,,8-12,,Offensive rebound by A. Drummond
8:12.0,,,8-14,2,R. Jackson makes 2-pt shot at rim (assist by A. Drummond)
7:56.0,Turnover by Q. Acy (traveling),,8-14,,
7:39.0,,,8-14,,T. Harris misses 2-pt shot from 12 ft
7:38.0,Defensive rebound by D. Cousins,,8-14,,
7:20.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,10-14,,
7:02.0,,,10-14,,R. Jackson misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by R. Rondo,,10-14,,
6:45.0,Turnover by R. Gay (lost ball; steal by A. Drummond),,10-14,,
6:40.0,,,10-16,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
6:32.0,Turnover by R. Rondo (bad pass),,10-16,,
6:32.0,Sacramento full timeout,,10-16,,
6:26.0,,,10-18,2,R. Jackson makes 2-pt shot at rim
6:26.0,,,10-18,,Shooting foul by J. Anderson (drawn by R. Jackson)
6:26.0,,,10-19,1,R. Jackson makes free throw 1 of 1
6:14.0,,,10-19,,Personal foul by T. Harris
6:14.0,D. Collison enters the game for J. Anderson,,10-19,,
6:00.0,Q. Acy misses 2-pt shot from 12 ft,,10-19,,
5:59.0,,,10-19,,Defensive rebound by R. Jackson
5:54.0,,,10-21,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:45.0,D. Cousins misses 2-pt shot from 1 ft (block by A. Drummond),,10-21,,
5:43.0,,,10-21,,Defensive rebound by A. Drummond
5:38.0,,,10-21,,R. Jackson misses 2-pt shot from 3 ft
5:37.0,Defensive rebound by R. Gay,,10-21,,
5:31.0,Turnover by R. Rondo (lost ball; steal by A. Drummond),,10-21,,
5:25.0,,,10-24,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
5:05.0,R. Rondo makes 2-pt shot at rim,2,12-24,,
4:55.0,Personal foul by Q. Acy,,12-24,,
4:55.0,M. Belinelli enters the game for R. Gay,,12-24,,
4:55.0,C. Butler enters the game for R. Rondo,,12-24,,
4:55.0,,,12-24,,S. Blake enters the game for R. Jackson
4:44.0,,,12-26,2,A. Drummond makes 2-pt shot from 6 ft (assist by M. Morris)
4:24.0,D. Cousins makes 2-pt shot at rim,2,14-26,,
4:08.0,,,14-29,3,M. Morris makes 3-pt shot from 26 ft (assist by S. Blake)
3:55.0,Turnover by D. Cousins (lost ball; steal by M. Morris),,14-29,,
3:48.0,,,14-29,,K. Caldwell-Pope misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by D. Cousins,,14-29,,
3:32.0,C. Butler misses 2-pt shot from 16 ft,,14-29,,
3:32.0,Offensive rebound by Q. Acy,,14-29,,
3:28.0,Q. Acy misses 2-pt shot at rim,,14-29,,
3:27.0,Offensive rebound by Q. Acy,,14-29,,
3:25.0,Shooting foul by A. Drummond (drawn by Q. Acy),,14-29,,
3:25.0,Q. Acy misses free throw 1 of 2,,14-29,,
3:25.0,Offensive rebound by Team,,14-29,,
3:25.0,,,14-29,,S. Johnson enters the game for M. Morris
3:25.0,Q. Acy misses free throw 2 of 2,,14-29,,
3:25.0,Offensive rebound by D. Cousins,,14-29,,
3:25.0,D. Cousins makes 2-pt shot at rim,2,16-29,,
3:12.0,,,16-32,3,T. Harris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
2:51.0,Shooting foul by K. Caldwell-Pope (drawn by Q. Acy),,16-32,,
2:51.0,,,16-32,,Detroit full timeout
2:51.0,,,16-32,,R. Bullock enters the game for K. Caldwell-Pope
2:51.0,Q. Acy makes free throw 1 of 2,1,17-32,,
2:51.0,Q. Acy makes free throw 2 of 2,1,18-32,,
2:27.0,,,18-32,,T. Harris misses 2-pt shot at rim
2:26.0,Defensive rebound by D. Cousins,,18-32,,
2:11.0,D. Cousins misses 2-pt shot from 4 ft,,18-32,,
2:10.0,,,18-32,,Defensive rebound by A. Drummond
2:09.0,,,18-32,,Turnover by A. Drummond (lost ball; steal by Q. Acy)
2:02.0,D. Cousins makes 2-pt shot at rim (assist by Q. Acy),2,20-32,,
1:51.0,,,20-32,,S. Johnson misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by C. Butler,,20-32,,
1:39.0,D. Collison misses 2-pt shot from 7 ft,,20-32,,
1:39.0,,,20-32,,Defensive rebound by A. Drummond
1:29.0,,,20-34,2,A. Drummond makes 2-pt shot at rim (assist by S. Blake)
1:04.0,M. Belinelli misses 3-pt shot from 24 ft,,20-34,,
1:03.0,,,20-34,,Defensive rebound by A. Drummond
0:57.0,,,20-34,,T. Harris misses 2-pt shot from 7 ft
0:55.0,,,20-34,,Offensive rebound by R. Bullock
0:55.0,K. Koufos enters the game for Q. Acy,,20-34,,
0:55.0,R. Gay enters the game for D. Cousins,,20-34,,
0:44.0,,,20-37,3,R. Bullock makes 3-pt shot from 26 ft (assist by S. Blake)
0:32.0,Shooting foul by S. Johnson (drawn by C. Butler),,20-37,,
0:32.0,C. Butler makes free throw 1 of 3,1,21-37,,
0:32.0,C. Butler makes free throw 2 of 3,1,22-37,,
0:32.0,C. Butler makes free throw 3 of 3,1,23-37,,
0:21.0,,,23-39,2,T. Harris makes 2-pt shot from 2 ft
0:02.0,D. Collison makes 2-pt shot from 15 ft,2,25-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,R. Gay makes 2-pt shot from 11 ft,2,27-39,,
11:21.0,,,27-39,,S. Johnson misses 2-pt shot from 13 ft
11:20.0,Defensive rebound by C. Butler,,27-39,,
11:13.0,Turnover by D. Collison (lost ball; steal by S. Johnson),,27-39,,
11:13.0,Personal foul by C. Butler,,27-39,,
11:02.0,,,27-41,2,A. Baynes makes 2-pt shot from 4 ft (assist by S. Blake)
10:43.0,R. Gay makes 2-pt shot from 16 ft (assist by C. Butler),2,29-41,,
10:26.0,,,29-41,,M. Morris misses 2-pt shot from 17 ft
10:25.0,Defensive rebound by K. Koufos,,29-41,,
10:10.0,M. Belinelli misses 3-pt shot from 24 ft,,29-41,,
10:10.0,Offensive rebound by R. Gay,,29-41,,
10:02.0,D. Collison makes 3-pt shot from 25 ft,3,32-41,,
9:55.0,,,32-41,,Detroit full timeout
9:44.0,,,32-43,2,M. Morris makes 2-pt shot from 18 ft
9:25.0,R. Gay misses 2-pt shot from 14 ft,,32-43,,
9:25.0,,,32-43,,Defensive rebound by R. Bullock
9:18.0,,,32-46,3,M. Morris makes 3-pt shot from 26 ft (assist by S. Blake)
8:52.0,C. Butler misses 2-pt shot from 8 ft,,32-46,,
8:50.0,,,32-46,,Defensive rebound by R. Bullock
8:42.0,R. Rondo enters the game for C. Butler,,32-46,,
8:30.0,,,32-46,,A. Baynes misses 2-pt shot at rim (block by K. Koufos)
8:29.0,,,32-46,,Offensive rebound by S. Johnson
8:23.0,,,32-46,,Turnover by Team (shot clock)
8:06.0,K. Koufos makes 2-pt shot from 3 ft (assist by D. Collison),2,34-46,,
7:47.0,,,34-46,,A. Baynes misses 2-pt shot from 17 ft
7:46.0,Defensive rebound by R. Gay,,34-46,,
7:25.0,D. Collison misses 2-pt shot at rim,,34-46,,
7:25.0,Offensive rebound by K. Koufos,,34-46,,
7:22.0,K. Koufos makes 2-pt shot at rim,2,36-46,,
7:10.0,,,36-46,,Turnover by S. Blake (bad pass)
7:10.0,,,36-46,,R. Jackson enters the game for S. Blake
7:10.0,D. Cousins enters the game for M. Belinelli,,36-46,,
6:44.0,R. Gay misses 2-pt shot from 14 ft,,36-46,,
6:44.0,,,36-46,,Defensive rebound by A. Baynes
6:32.0,,,36-48,2,A. Baynes makes 2-pt shot from 4 ft (assist by S. Johnson)
6:20.0,R. Rondo misses 3-pt shot from 24 ft,,36-48,,
6:19.0,,,36-48,,Defensive rebound by R. Bullock
6:12.0,,,36-51,3,R. Jackson makes 3-pt shot from 26 ft
6:04.0,Shooting foul by S. Johnson (drawn by K. Koufos),,36-51,,
6:04.0,K. Koufos makes free throw 1 of 2,1,37-51,,
6:04.0,,,37-51,,T. Harris enters the game for S. Johnson
6:04.0,,,37-51,,K. Caldwell-Pope enters the game for R. Bullock
6:04.0,K. Koufos misses free throw 2 of 2,,37-51,,
6:03.0,,,37-51,,Defensive rebound by M. Morris
5:51.0,,,37-54,3,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson)
5:46.0,Sacramento full timeout,,37-54,,
5:46.0,,,37-54,,A. Drummond enters the game for A. Baynes
5:31.0,D. Cousins makes 2-pt shot at rim,2,39-54,,
5:17.0,,,39-54,,T. Harris misses 3-pt shot from 23 ft
5:16.0,Defensive rebound by R. Rondo,,39-54,,
5:06.0,D. Cousins makes 2-pt shot at rim,2,41-54,,
5:06.0,Shooting foul by T. Harris (drawn by D. Cousins),,41-54,,
5:06.0,D. Cousins makes free throw 1 of 1,1,42-54,,
4:55.0,,,42-54,,R. Jackson misses 2-pt shot from 6 ft
4:55.0,Defensive rebound by D. Cousins,,42-54,,
4:48.0,K. Koufos misses 2-pt shot from 3 ft,,42-54,,
4:47.0,,,42-54,,Defensive rebound by T. Harris
4:29.0,,,42-54,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by K. Koufos,,42-54,,
4:09.0,D. Cousins misses 2-pt shot from 17 ft,,42-54,,
4:08.0,,,42-54,,Defensive rebound by R. Jackson
4:00.0,,,42-57,3,M. Morris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
3:38.0,Turnover by R. Gay (lost ball; steal by M. Morris),,42-57,,
3:35.0,,,42-57,,Turnover by M. Morris (bad pass)
3:35.0,J. Anderson enters the game for R. Gay,,42-57,,
3:35.0,S. Curry enters the game for D. Collison,,42-57,,
3:11.0,Turnover by R. Rondo (bad pass),,42-57,,
3:11.0,C. Butler enters the game for K. Koufos,,42-57,,
2:55.0,,,42-59,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
2:55.0,,,42-59,,Shooting foul by D. Cousins (drawn by T. Harris)
2:55.0,Official timeout,,42-59,,
2:55.0,,,42-60,1,T. Harris makes free throw 1 of 1
2:43.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,44-60,,
2:22.0,,,44-60,,K. Caldwell-Pope misses 2-pt shot from 9 ft
2:22.0,,,44-60,,Offensive rebound by K. Caldwell-Pope
2:19.0,,,44-62,2,K. Caldwell-Pope makes 2-pt shot at rim
1:58.0,S. Curry makes 2-pt shot at rim (assist by C. Butler),2,46-62,,
1:46.0,,,46-62,,Turnover by R. Jackson (bad pass)
1:46.0,,,46-62,,R. Bullock enters the game for K. Caldwell-Pope
1:46.0,,,46-62,,S. Johnson enters the game for T. Harris
1:36.0,Shooting foul by A. Drummond (drawn by D. Cousins),,46-62,,
1:36.0,D. Cousins makes free throw 1 of 2,1,47-62,,
1:36.0,,,47-62,,A. Baynes enters the game for A. Drummond
1:36.0,D. Cousins misses free throw 2 of 2,,47-62,,
1:35.0,,,47-62,,Defensive rebound by A. Baynes
1:21.0,,,47-62,,R. Jackson misses 2-pt shot from 7 ft
1:20.0,Defensive rebound by D. Cousins,,47-62,,
1:12.0,C. Butler makes 2-pt shot from 15 ft (assist by R. Rondo),2,49-62,,
0:55.0,,,49-62,,M. Morris misses 2-pt shot from 4 ft (block by D. Cousins)
0:53.0,Defensive rebound by D. Cousins,,49-62,,
0:46.0,J. Anderson misses 3-pt shot from 26 ft,,49-62,,
0:46.0,Offensive rebound by C. Butler,,49-62,,
0:46.0,,,49-62,,Loose ball foul by R. Jackson
0:46.0,C. Butler makes free throw 1 of 2,1,50-62,,
0:46.0,K. Koufos enters the game for D. Cousins,,50-62,,
0:46.0,C. Butler makes free throw 2 of 2,1,51-62,,
0:35.0,,,51-64,2,S. Johnson makes 2-pt shot from 8 ft
0:28.0,R. Rondo misses 2-pt shot at rim (block by A. Baynes),,51-64,,
0:27.0,,,51-64,,Defensive rebound by R. Bullock
0:09.0,,,51-67,3,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson)
0:02.0,J. Anderson makes 3-pt shot from 26 ft,3,54-67,,
0:01.0,,,54-67,,S. Johnson misses 3-pt shot from 68 ft
0:00.0,,,54-67,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Shooting foul by A. Drummond (drawn by D. Cousins),,54-67,,
11:46.0,D. Cousins makes free throw 1 of 2,1,55-67,,
11:46.0,D. Cousins makes free throw 2 of 2,1,56-67,,
11:29.0,,,56-67,,Turnover by R. Jackson (lost ball; steal by D. Cousins)
11:29.0,,,56-67,,Personal foul by R. Jackson
11:14.0,D. Cousins misses 3-pt shot from 25 ft,,56-67,,
11:14.0,,,56-67,,Defensive rebound by T. Harris
10:55.0,,,56-67,,M. Morris misses 2-pt shot from 20 ft
10:54.0,Defensive rebound by R. Rondo,,56-67,,
10:42.0,C. Butler makes 2-pt shot from 15 ft (assist by R. Rondo),2,58-67,,
10:29.0,,,58-69,2,A. Drummond makes 2-pt shot at rim (assist by T. Harris)
10:16.0,R. Gay makes 2-pt shot at rim,2,60-69,,
10:02.0,,,60-69,,T. Harris misses 2-pt shot from 5 ft
10:00.0,Defensive rebound by C. Butler,,60-69,,
9:51.0,Shooting foul by M. Morris (drawn by R. Gay),,60-69,,
