time,Minnesota,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Towns (K. Garnett gains possession),,,,Jump ball: A. Davis vs. K. Towns (K. Garnett gains possession)
11:40.0,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio),2,2-0,,
11:24.0,,,2-2,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Gordon)
11:10.0,K. Towns makes 3-pt shot from 24 ft (assist by K. Garnett),3,5-2,,
10:51.0,,,5-2,,E. Gordon misses 2-pt shot from 1 ft (block by K. Towns)
10:50.0,Defensive rebound by R. Rubio,,5-2,,
10:40.0,R. Rubio makes 2-pt shot from 20 ft,2,7-2,,
10:20.0,,,7-5,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans)
9:56.0,K. Towns misses 2-pt shot from 2 ft,,7-5,,
9:55.0,,,7-5,,Defensive rebound by O. Asik
9:53.0,Personal foul by K. Garnett (drawn by A. Davis),,7-5,,
9:45.0,,,7-5,,A. Davis misses 2-pt shot from 15 ft
9:44.0,Defensive rebound by K. Towns,,7-5,,
9:37.0,Shooting foul by T. Evans (drawn by R. Rubio),,7-5,,
9:37.0,R. Rubio makes free throw 1 of 2,1,8-5,,
9:37.0,R. Rubio makes free throw 2 of 2,1,9-5,,
9:29.0,,,9-5,,Turnover by T. Evans (bad pass; steal by R. Rubio)
9:13.0,K. Towns makes 2-pt shot from 7 ft (assist by K. Garnett),2,11-5,,
8:53.0,,,11-7,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
8:44.0,Shooting foul by D. Cunningham (drawn by A. Wiggins),,11-7,,
8:44.0,A. Wiggins makes free throw 1 of 2,1,12-7,,
8:44.0,A. Wiggins makes free throw 2 of 2,1,13-7,,
8:40.0,,,13-7,,New Orleans full timeout
8:28.0,,,13-9,2,T. Evans makes 2-pt shot from 2 ft
8:16.0,A. Wiggins makes 2-pt shot at rim,2,15-9,,
8:03.0,,,15-11,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Gordon)
7:49.0,Shooting foul by D. Cunningham (drawn by A. Wiggins),,15-11,,
7:49.0,A. Wiggins makes free throw 1 of 2,1,16-11,,
7:49.0,,,16-11,,A. Gee enters the game for D. Cunningham
7:49.0,A. Wiggins makes free throw 2 of 2,1,17-11,,
7:37.0,,,17-13,2,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans)
7:18.0,K. Towns makes 2-pt shot at rim (assist by K. Garnett),2,19-13,,
7:04.0,,,19-13,,T. Evans misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by K. Towns,,19-13,,
6:55.0,R. Rubio makes 2-pt shot from 15 ft,2,21-13,,
6:43.0,,,21-13,,E. Gordon misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by K. Towns,,21-13,,
6:34.0,Turnover by R. Rubio (lost ball; steal by A. Gee),,21-13,,
6:17.0,,,21-13,,T. Evans misses 2-pt shot at rim
6:14.0,Defensive rebound by K. Towns,,21-13,,
6:05.0,A. Wiggins misses 3-pt shot from 24 ft,,21-13,,
6:04.0,,,21-13,,Defensive rebound by O. Asik
5:58.0,,,21-13,,R. Anderson enters the game for O. Asik
5:58.0,A. Payne enters the game for K. Garnett,,21-13,,
5:51.0,,,21-13,,Turnover by E. Gordon (bad pass)
5:47.0,Minnesota full timeout,,21-13,,
5:36.0,K. Towns misses 2-pt shot from 7 ft,,21-13,,
5:34.0,,,21-13,,Defensive rebound by A. Gee
5:16.0,,,21-13,,A. Davis misses 2-pt shot from 6 ft
5:15.0,Defensive rebound by K. Towns,,21-13,,
5:05.0,,,21-13,,Personal foul by E. Gordon (drawn by R. Rubio)
5:05.0,S. Muhammad enters the game for T. Prince,,21-13,,
4:54.0,Shooting foul by R. Anderson (drawn by A. Payne),,21-13,,
4:54.0,A. Payne misses free throw 1 of 2,,21-13,,
4:54.0,Offensive rebound by Team,,21-13,,
4:54.0,A. Payne makes free throw 2 of 2,1,22-13,,
4:43.0,,,22-13,,T. Evans misses 2-pt shot at rim
4:41.0,,,22-13,,Offensive rebound by A. Davis
4:41.0,,,22-15,2,A. Davis makes 2-pt shot at rim
4:25.0,S. Muhammad makes 2-pt shot from 19 ft (assist by A. Payne),2,24-15,,
4:12.0,,,24-15,,R. Anderson misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by K. Towns,,24-15,,
3:58.0,A. Payne makes 2-pt shot from 22 ft (assist by R. Rubio),2,26-15,,
3:41.0,,,26-15,,Turnover by R. Anderson (traveling)
3:41.0,Z. LaVine enters the game for R. Rubio,,26-15,,
3:41.0,,,26-15,,J. Holiday enters the game for T. Evans
3:18.0,Shooting foul by A. Gee (drawn by K. Towns),,26-15,,
3:18.0,K. Towns makes free throw 1 of 2,1,27-15,,
3:18.0,K. Towns makes free throw 2 of 2,1,28-15,,
3:05.0,,,28-15,,J. Holiday misses 2-pt shot from 20 ft (block by Z. LaVine)
3:02.0,Defensive rebound by K. Towns,,28-15,,
3:01.0,S. Muhammad makes 2-pt shot from 2 ft,2,30-15,,
3:01.0,Shooting foul by E. Gordon (drawn by S. Muhammad),,30-15,,
3:01.0,,,30-15,,N. Cole enters the game for E. Gordon
3:01.0,S. Muhammad makes free throw 1 of 1,1,31-15,,
2:50.0,,,31-17,2,J. Holiday makes 2-pt shot from 2 ft
2:42.0,Shooting foul by A. Davis (drawn by A. Payne),,31-17,,
2:42.0,A. Payne misses free throw 1 of 2,,31-17,,
2:42.0,Offensive rebound by Team,,31-17,,
2:42.0,A. Payne makes free throw 2 of 2,1,32-17,,
2:29.0,,,32-19,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
2:04.0,A. Payne makes 2-pt shot from 21 ft (assist by A. Wiggins),2,34-19,,
1:52.0,,,34-21,2,N. Cole makes 2-pt shot from 19 ft
1:33.0,Z. LaVine makes 2-pt shot at rim (assist by K. Towns),2,36-21,,
1:23.0,,,36-21,,R. Anderson misses 2-pt shot from 18 ft
1:23.0,,,36-21,,Offensive rebound by Team
1:23.0,K. Martin enters the game for K. Towns,,36-21,,
1:23.0,G. Dieng enters the game for A. Wiggins,,36-21,,
1:23.0,N. Bjelica enters the game for A. Payne,,36-21,,
