time,Charlotte,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Jefferson (P. Hairston gains possession),,,,Jump ball: T. Duncan vs. A. Jefferson (P. Hairston gains possession)
11:45.0,P. Hairston misses 3-pt shot from 23 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by T. Duncan
11:29.0,,,0-0,,D. Green misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by A. Jefferson,,0-0,,
11:14.0,N. Batum misses 2-pt shot from 2 ft,,0-0,,
11:13.0,Offensive rebound by A. Jefferson,,0-0,,
11:09.0,M. Williams misses 3-pt shot from 24 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by T. Duncan
10:53.0,,,0-2,2,T. Parker makes 2-pt shot at rim (assist by T. Duncan)
10:42.0,Shooting foul by L. Aldridge (drawn by P. Hairston),,0-2,,
10:42.0,P. Hairston makes free throw 1 of 2,1,1-2,,
10:42.0,P. Hairston makes free throw 2 of 2,1,2-2,,
10:26.0,,,2-2,,Shooting foul by P. Hairston (drawn by T. Parker)
10:26.0,,,2-2,,T. Parker misses free throw 1 of 2
10:26.0,,,2-2,,Offensive rebound by Team
10:26.0,,,2-2,,T. Parker misses free throw 2 of 2
10:26.0,Defensive rebound by Team,,2-2,,
10:15.0,Turnover by K. Walker (lost ball),,2-2,,
9:59.0,,,2-4,2,L. Aldridge makes 2-pt shot from 1 ft
9:38.0,K. Walker misses 2-pt shot from 4 ft,,2-4,,
9:37.0,,,2-4,,Defensive rebound by D. Green
9:29.0,,,2-4,,T. Duncan misses 2-pt shot from 20 ft
9:28.0,Defensive rebound by M. Williams,,2-4,,
9:18.0,A. Jefferson makes 2-pt shot from 17 ft,2,4-4,,
8:53.0,,,4-6,2,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Green)
8:41.0,Turnover by N. Batum (lost ball; steal by K. Leonard),,4-6,,
8:36.0,,,4-8,2,T. Parker makes 2-pt shot from 1 ft (assist by D. Green)
8:21.0,K. Walker makes 2-pt shot from 19 ft,2,6-8,,
8:03.0,,,6-8,,Turnover by T. Parker (bad pass; steal by N. Batum)
7:49.0,P. Hairston misses 2-pt shot from 2 ft,,6-8,,
7:48.0,,,6-8,,Defensive rebound by L. Aldridge
7:39.0,,,6-8,,L. Aldridge misses 2-pt shot from 21 ft
7:38.0,Defensive rebound by P. Hairston,,6-8,,
7:34.0,,,6-8,,Personal block foul by L. Aldridge (drawn by K. Walker)
7:34.0,,,6-8,,D. West enters the game for L. Aldridge
7:23.0,K. Walker makes 2-pt shot from 18 ft,2,8-8,,
7:11.0,,,8-8,,Turnover by T. Duncan (bad pass; steal by M. Williams)
7:06.0,,,8-8,,Personal foul by D. Green (drawn by A. Jefferson)
6:59.0,K. Walker makes 2-pt shot at rim,2,10-8,,
6:43.0,,,10-8,,K. Leonard misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by A. Jefferson,,10-8,,
6:26.0,K. Walker makes 2-pt shot from 2 ft,2,12-8,,
6:26.0,,,12-8,,San Antonio full timeout
6:26.0,,,12-8,,M. Ginobili enters the game for D. Green
6:26.0,C. Zeller enters the game for M. Williams,,12-8,,
6:16.0,,,12-8,,Turnover by D. West (bad pass; steal by C. Zeller)
6:12.0,Shooting foul by K. Leonard (drawn by K. Walker),,12-8,,
6:12.0,K. Walker makes free throw 1 of 2,1,13-8,,
6:12.0,K. Walker makes free throw 2 of 2,1,14-8,,
6:01.0,,,14-10,2,D. West makes 2-pt shot from 18 ft (assist by T. Parker)
5:47.0,Turnover by K. Walker (bad pass; steal by T. Parker),,14-10,,
5:39.0,,,14-10,,Shooting foul by C. Zeller (drawn by T. Parker)
5:39.0,,,14-10,,T. Parker misses free throw 1 of 2
5:39.0,,,14-10,,Offensive rebound by Team
5:39.0,,,14-10,,B. Diaw enters the game for T. Duncan
5:39.0,,,14-11,1,T. Parker makes free throw 2 of 2
5:19.0,K. Walker misses 2-pt shot from 20 ft,,14-11,,
5:18.0,,,14-11,,Defensive rebound by D. West
5:01.0,,,14-11,,Turnover by M. Ginobili (bad pass; steal by N. Batum)
4:51.0,P. Hairston misses 3-pt shot from 22 ft,,14-11,,
4:50.0,Offensive rebound by C. Zeller,,14-11,,
4:50.0,,,14-11,,Loose ball foul by B. Diaw (drawn by C. Zeller)
4:50.0,C. Zeller makes free throw 1 of 2,1,15-11,,
4:50.0,C. Zeller misses free throw 2 of 2,,15-11,,
4:49.0,,,15-11,,Defensive rebound by K. Leonard
4:36.0,,,15-13,2,B. Diaw makes 2-pt shot from 2 ft (assist by T. Parker)
4:17.0,A. Jefferson misses 2-pt shot from 8 ft,,15-13,,
4:15.0,Offensive rebound by C. Zeller,,15-13,,
4:15.0,C. Zeller misses 2-pt shot from 1 ft,,15-13,,
4:14.0,,,15-13,,Defensive rebound by K. Leonard
