time,Miami,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. H. Whiteside (P. Millsap gains possession),,,,Jump ball: A. Horford vs. H. Whiteside (P. Millsap gains possession)
11:46.0,,,0-2,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
11:46.0,,,0-2,,Shooting foul by C. Bosh (drawn by K. Bazemore)
11:46.0,,,0-3,1,K. Bazemore makes free throw 1 of 1
11:22.0,Turnover by C. Bosh (bad pass),,0-3,,
11:08.0,,,0-5,2,A. Horford makes 2-pt shot from 18 ft (assist by K. Bazemore)
10:44.0,H. Whiteside misses 2-pt shot at rim,,0-5,,
10:41.0,Offensive rebound by H. Whiteside,,0-5,,
10:40.0,H. Whiteside misses 2-pt shot from 2 ft (block by A. Horford),,0-5,,
10:38.0,,,0-5,,Defensive rebound by A. Horford
10:29.0,,,0-5,,K. Bazemore misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by D. Wade,,0-5,,
10:21.0,C. Bosh makes 2-pt shot from 18 ft (assist by G. Dragic),2,2-5,,
10:04.0,,,2-5,,J. Teague misses 2-pt shot from 2 ft (block by G. Dragic)
10:04.0,,,2-5,,Offensive rebound by Team
10:01.0,,,2-7,2,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver)
9:46.0,L. Deng makes 2-pt shot from 2 ft,2,4-7,,
9:33.0,,,4-7,,K. Korver misses 2-pt shot at rim
9:31.0,Defensive rebound by C. Bosh,,4-7,,
9:28.0,,,4-7,,Personal foul by J. Teague (drawn by L. Deng)
9:15.0,Turnover by H. Whiteside (3 sec),,4-7,,
8:55.0,,,4-9,2,K. Bazemore makes 2-pt shot from 13 ft (assist by J. Teague)
8:30.0,H. Whiteside makes 2-pt shot at rim (assist by C. Bosh),2,6-9,,
8:20.0,,,6-11,2,P. Millsap makes 2-pt shot from 9 ft (assist by A. Horford)
8:06.0,D. Wade misses 2-pt shot from 19 ft,,6-11,,
8:04.0,Offensive rebound by H. Whiteside,,6-11,,
7:55.0,H. Whiteside misses 2-pt shot from 9 ft,,6-11,,
7:52.0,,,6-11,,Defensive rebound by K. Bazemore
7:45.0,,,6-11,,P. Millsap misses 2-pt shot from 1 ft (block by H. Whiteside)
7:43.0,Defensive rebound by G. Dragic,,6-11,,
7:40.0,G. Dragic makes 2-pt shot at rim,2,8-11,,
7:27.0,,,8-11,,K. Korver misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by C. Bosh,,8-11,,
7:10.0,L. Deng misses 2-pt shot from 13 ft,,8-11,,
7:09.0,Offensive rebound by H. Whiteside,,8-11,,
7:02.0,H. Whiteside misses 2-pt shot from 8 ft,,8-11,,
7:00.0,,,8-11,,Defensive rebound by K. Korver
6:48.0,,,8-11,,A. Horford misses 3-pt shot from 22 ft
6:47.0,Defensive rebound by H. Whiteside,,8-11,,
6:37.0,G. Dragic makes 2-pt shot from 2 ft,2,10-11,,
6:36.0,,,10-11,,Atlanta full timeout
6:36.0,,,10-11,,M. Muscala enters the game for A. Horford
6:36.0,J. Winslow enters the game for C. Bosh,,10-11,,
6:14.0,,,10-11,,J. Teague misses 2-pt shot from 2 ft (block by H. Whiteside)
6:10.0,,,10-11,,Offensive rebound by M. Muscala
6:09.0,,,10-11,,M. Muscala misses 2-pt shot at rim
6:08.0,Defensive rebound by L. Deng,,10-11,,
6:01.0,G. Dragic misses 3-pt shot from 24 ft,,10-11,,
6:00.0,,,10-11,,Defensive rebound by P. Millsap
5:51.0,,,10-11,,K. Korver misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by J. Winslow,,10-11,,
5:34.0,G. Dragic makes 2-pt shot at rim,2,12-11,,
5:30.0,,,12-11,,J. Teague misses 2-pt shot from 1 ft (block by G. Dragic)
5:30.0,,,12-11,,Offensive rebound by Team
5:30.0,,,12-11,,T. Sefolosha enters the game for K. Korver
5:23.0,,,12-11,,T. Sefolosha misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by L. Deng,,12-11,,
5:09.0,,,12-11,,Personal foul by K. Bazemore (drawn by H. Whiteside)
4:56.0,D. Wade misses 2-pt shot from 1 ft,,12-11,,
4:55.0,Offensive rebound by Team,,12-11,,
4:55.0,,,12-11,,D. Schroder enters the game for J. Teague
4:52.0,G. Dragic misses 2-pt shot from 13 ft,,12-11,,
4:50.0,,,12-11,,Defensive rebound by M. Muscala
4:43.0,,,12-11,,Shooting foul by L. Deng (drawn by P. Millsap)
4:43.0,,,12-12,1,P. Millsap makes free throw 1 of 2
4:43.0,,,12-13,1,P. Millsap makes free throw 2 of 2
4:34.0,Turnover by G. Dragic (offensive foul),,12-13,,
4:34.0,Offensive charge foul by G. Dragic,,12-13,,
4:34.0,G. Green enters the game for D. Wade,,12-13,,
4:20.0,,,12-13,,P. Millsap misses 2-pt shot from 6 ft
4:19.0,Defensive rebound by Team,,12-13,,
4:01.0,G. Dragic misses 2-pt shot from 1 ft,,12-13,,
4:00.0,Offensive rebound by H. Whiteside,,12-13,,
4:00.0,H. Whiteside makes 2-pt shot at rim,2,14-13,,
3:49.0,,,14-13,,Turnover by K. Bazemore (bad pass; steal by L. Deng)
3:44.0,L. Deng misses 2-pt shot at rim (block by K. Bazemore),,14-13,,
3:42.0,,,14-13,,Defensive rebound by P. Millsap
3:36.0,,,14-13,,T. Sefolosha misses 3-pt shot from 22 ft
3:34.0,Defensive rebound by G. Dragic,,14-13,,
3:30.0,Miami full timeout,,14-13,,
3:12.0,J. Winslow misses 3-pt shot from 22 ft,,14-13,,
3:10.0,,,14-13,,Defensive rebound by P. Millsap
2:56.0,,,14-13,,Turnover by T. Sefolosha (bad pass)
2:40.0,G. Green makes 3-pt shot from 23 ft,3,17-13,,
2:25.0,,,17-13,,Shooting foul by J. Winslow (drawn by P. Millsap)
2:25.0,,,17-14,1,P. Millsap makes free throw 1 of 2
2:25.0,C. Bosh enters the game for L. Deng,,17-14,,
2:25.0,,,17-15,1,P. Millsap makes free throw 2 of 2
2:10.0,Shooting foul by T. Sefolosha (drawn by C. Bosh),,17-15,,
2:10.0,C. Bosh makes free throw 1 of 2,1,18-15,,
2:10.0,,,18-15,,A. Horford enters the game for P. Millsap
2:10.0,C. Bosh makes free throw 2 of 2,1,19-15,,
2:01.0,,,19-17,2,D. Schroder makes 2-pt shot from 1 ft
1:47.0,G. Green misses 2-pt shot at rim,,19-17,,
1:46.0,Offensive rebound by C. Bosh,,19-17,,
1:43.0,C. Bosh makes 3-pt shot from 22 ft,3,22-17,,
1:35.0,,,22-17,,D. Schroder misses 2-pt shot from 20 ft
1:33.0,Defensive rebound by C. Bosh,,22-17,,
1:19.0,Turnover by G. Green (bad pass; steal by A. Horford),,22-17,,
1:14.0,,,22-17,,K. Bazemore misses 2-pt shot from 1 ft
1:12.0,Defensive rebound by J. Winslow,,22-17,,
1:12.0,Turnover by J. Winslow (bad pass),,22-17,,
1:12.0,,,22-17,,K. Korver enters the game for K. Bazemore
1:12.0,B. Udrih enters the game for G. Dragic,,22-17,,
0:58.0,,,22-19,2,A. Horford makes 2-pt shot from 13 ft
0:39.0,B. Udrih misses 2-pt shot from 14 ft,,22-19,,
0:37.0,,,22-19,,Defensive rebound by T. Sefolosha
0:30.0,,,22-19,,Shooting foul by B. Udrih (drawn by D. Schroder)
0:30.0,,,22-20,1,D. Schroder makes free throw 1 of 2
0:30.0,G. Dragic enters the game for H. Whiteside,,22-20,,
0:30.0,,,22-20,,K. Bazemore enters the game for M. Muscala
0:30.0,,,22-20,,D. Schroder misses free throw 2 of 2
0:29.0,Defensive rebound by J. Winslow,,22-20,,
0:04.0,J. Winslow misses 3-pt shot from 22 ft,,22-20,,
0:03.0,,,22-20,,Defensive rebound by K. Korver
0:00.0,,,22-20,,A. Horford misses 3-pt shot from 27 ft
0:00.0,,,22-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by J. Winslow (bad pass; steal by D. Schroder),,22-20,,
11:32.0,,,22-20,,D. Schroder misses 3-pt shot from 24 ft
11:31.0,,,22-20,,Offensive rebound by T. Splitter
11:24.0,,,22-20,,L. Patterson misses 2-pt shot at rim
11:22.0,Defensive rebound by U. Haslem,,22-20,,
11:02.0,G. Green makes 2-pt shot from 14 ft,2,24-20,,
