time,Golden State,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Hibbert (J. Clarkson gains possession),,,,Jump ball: A. Bogut vs. R. Hibbert (J. Clarkson gains possession)
11:45.0,,,0-0,,D. Russell misses 2-pt shot from 17 ft
11:42.0,Defensive rebound by A. Bogut,,0-0,,
11:29.0,H. Barnes misses 3-pt shot from 23 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by Team
11:08.0,,,0-0,,K. Bryant misses 2-pt shot from 20 ft
11:07.0,Defensive rebound by A. Bogut,,0-0,,
10:57.0,Turnover by H. Barnes (traveling),,0-0,,
10:45.0,,,0-0,,Turnover by K. Bryant (bad pass; steal by A. Bogut)
10:34.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Bogut),3,3-0,,
10:12.0,,,3-0,,K. Bryant misses 2-pt shot from 19 ft
10:10.0,,,3-0,,Offensive rebound by J. Clarkson
10:07.0,,,3-2,2,J. Clarkson makes 2-pt shot from 15 ft
10:00.0,S. Curry misses 3-pt shot from 25 ft,,3-2,,
9:58.0,,,3-2,,Defensive rebound by R. Hibbert
9:54.0,,,3-4,2,K. Bryant makes 2-pt shot from 1 ft (assist by D. Russell)
9:45.0,K. Thompson misses 3-pt shot from 24 ft,,3-4,,
9:44.0,,,3-4,,Defensive rebound by J. Randle
9:25.0,,,3-4,,J. Randle misses 2-pt shot from 4 ft
9:23.0,Defensive rebound by K. Thompson,,3-4,,
9:11.0,K. Thompson makes 2-pt shot from 2 ft (assist by A. Bogut),2,5-4,,
8:52.0,,,5-4,,J. Clarkson misses 2-pt shot from 17 ft
8:49.0,Defensive rebound by A. Bogut,,5-4,,
8:47.0,S. Curry makes 2-pt shot at rim (assist by A. Bogut),2,7-4,,
8:23.0,,,7-4,,K. Bryant misses 2-pt shot from 12 ft
8:21.0,Defensive rebound by D. Green,,7-4,,
8:19.0,Turnover by D. Green (bad pass; steal by D. Russell),,7-4,,
8:14.0,,,7-6,2,D. Russell makes 2-pt shot from 1 ft
8:00.0,K. Thompson misses 3-pt shot from 26 ft,,7-6,,
7:59.0,,,7-6,,Defensive rebound by R. Hibbert
7:47.0,,,7-6,,Shooting foul by S. Curry (drawn by D. Russell)
7:47.0,,,7-7,1,D. Russell makes free throw 1 of 2
7:47.0,,,7-8,1,D. Russell makes free throw 2 of 2
7:36.0,,,7-8,,Def 3 sec tech foul by R. Hibbert
7:36.0,S. Curry makes technical free throw,1,8-8,,
7:18.0,H. Barnes misses 3-pt shot from 24 ft,,8-8,,
7:17.0,,,8-8,,Defensive rebound by J. Clarkson
7:14.0,,,8-8,,D. Russell misses 2-pt shot at rim
7:14.0,Defensive rebound by Team,,8-8,,
7:05.0,S. Curry misses 3-pt shot from 26 ft,,8-8,,
7:05.0,,,8-8,,Defensive rebound by Team
6:52.0,,,8-8,,R. Hibbert misses 2-pt shot from 4 ft
6:49.0,Defensive rebound by K. Thompson,,8-8,,
6:46.0,D. Green misses 2-pt shot at rim (block by R. Hibbert),,8-8,,
6:41.0,,,8-8,,Defensive rebound by D. Russell
6:37.0,,,8-8,,J. Clarkson misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by H. Barnes,,8-8,,
6:26.0,K. Thompson makes 2-pt shot at rim (assist by A. Bogut),2,10-8,,
6:04.0,,,10-8,,J. Randle misses 2-pt shot from 17 ft
6:03.0,Defensive rebound by D. Green,,10-8,,
5:58.0,,,10-8,,Personal foul by K. Bryant (drawn by S. Curry)
5:58.0,,,10-8,,LA Lakers full timeout
5:58.0,,,10-8,,M. Huertas enters the game for D. Russell
5:58.0,B. Rush enters the game for H. Barnes,,10-8,,
5:53.0,K. Thompson misses 3-pt shot from 26 ft,,10-8,,
5:52.0,,,10-8,,Defensive rebound by J. Randle
5:35.0,,,10-8,,R. Hibbert misses 2-pt shot from 12 ft
5:33.0,Defensive rebound by D. Green,,10-8,,
5:27.0,B. Rush misses 3-pt shot from 26 ft,,10-8,,
5:23.0,,,10-8,,Defensive rebound by K. Bryant
5:15.0,,,10-10,2,R. Hibbert makes 2-pt shot from 21 ft (assist by K. Bryant)
5:03.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Bogut),2,12-10,,
4:47.0,,,12-10,,K. Bryant misses 3-pt shot from 26 ft
4:46.0,Defensive rebound by A. Bogut,,12-10,,
4:41.0,B. Rush makes 2-pt shot from 1 ft (assist by A. Bogut),2,14-10,,
4:27.0,Violation by A. Bogut (kicked ball),,14-10,,
4:27.0,,,14-10,,B. Bass enters the game for R. Hibbert
4:27.0,L. Barbosa enters the game for K. Thompson,,14-10,,
4:27.0,A. Varejao enters the game for A. Bogut,,14-10,,
4:21.0,,,14-10,,Shooting foul by L. Barbosa (drawn by M. Huertas)
4:21.0,,,14-12,2,M. Huertas makes 2-pt shot at rim (assist by K. Bryant)
4:21.0,,,14-13,1,M. Huertas makes free throw 1 of 1
4:14.0,,,14-13,,Personal foul by M. Huertas (drawn by S. Curry)
4:14.0,,,14-13,,N. Young enters the game for K. Bryant
4:08.0,S. Curry misses 2-pt shot from 3 ft,,14-13,,
4:04.0,Offensive rebound by A. Varejao,,14-13,,
4:04.0,A. Varejao makes 2-pt shot at rim,2,16-13,,
3:47.0,,,16-13,,J. Clarkson misses 2-pt shot from 17 ft
3:45.0,Defensive rebound by A. Varejao,,16-13,,
3:38.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,18-13,,
3:15.0,,,18-13,,J. Clarkson misses 2-pt shot from 2 ft
3:14.0,,,18-13,,Offensive rebound by B. Bass
3:14.0,,,18-13,,B. Bass misses 2-pt shot at rim
3:11.0,,,18-13,,Offensive rebound by B. Bass
3:09.0,,,18-16,3,J. Clarkson makes 3-pt shot from 26 ft (assist by N. Young)
2:58.0,S. Curry misses 3-pt shot from 24 ft,,18-16,,
2:57.0,,,18-16,,Defensive rebound by J. Randle
2:43.0,,,18-18,2,J. Clarkson makes 2-pt shot from 17 ft
2:27.0,L. Barbosa misses 2-pt shot from 7 ft (block by M. Huertas),,18-18,,
2:25.0,,,18-18,,Defensive rebound by J. Randle
2:24.0,Personal take foul by D. Green (drawn by J. Randle),,18-18,,
2:24.0,Golden State full timeout,,18-18,,
2:24.0,,,18-18,,L. Nance enters the game for J. Randle
2:06.0,,,18-18,,N. Young misses 3-pt shot from 24 ft
2:05.0,,,18-18,,Offensive rebound by B. Bass
2:04.0,,,18-20,2,B. Bass makes 2-pt shot at rim
1:51.0,,,18-20,,Personal foul by N. Young (drawn by S. Curry)
1:39.0,Shooting foul by B. Bass (drawn by B. Rush),,18-20,,
1:39.0,B. Rush misses free throw 1 of 2,,18-20,,
1:39.0,Offensive rebound by Team,,18-20,,
1:39.0,B. Rush makes free throw 2 of 2,1,19-20,,
1:27.0,Violation by D. Green (kicked ball),,19-20,,
1:20.0,,,19-20,,J. Clarkson misses 2-pt shot from 10 ft
1:19.0,Defensive rebound by B. Rush,,19-20,,
1:08.0,Shooting foul by N. Young (drawn by A. Varejao),,19-20,,
1:08.0,A. Varejao misses free throw 1 of 2,,19-20,,
1:08.0,Offensive rebound by Team,,19-20,,
