time,LA Clippers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. Z. Pachulia (P. Pierce gains possession),,,,Jump ball: D. Jordan vs. Z. Pachulia (P. Pierce gains possession)
11:44.0,J. Redick makes 3-pt shot from 24 ft (assist by J. Green),3,3-0,,
11:27.0,,,3-3,3,C. Parsons makes 3-pt shot from 23 ft (assist by D. Williams)
11:11.0,C. Paul makes 2-pt shot from 3 ft,2,5-3,,
10:54.0,,,5-3,,D. Nowitzki misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by C. Paul,,5-3,,
10:41.0,Turnover by J. Redick (lost ball; steal by D. Williams),,5-3,,
10:38.0,,,5-5,2,D. Williams makes 2-pt shot from 1 ft
10:17.0,J. Green misses 2-pt shot from 2 ft,,5-5,,
10:16.0,,,5-5,,Defensive rebound by Z. Pachulia
9:58.0,,,5-7,2,C. Parsons makes 2-pt shot from 17 ft
9:34.0,J. Redick makes 2-pt shot from 21 ft,2,7-7,,
9:22.0,,,7-7,,C. Parsons misses 3-pt shot from 24 ft
9:21.0,,,7-7,,Offensive rebound by Z. Pachulia
9:17.0,,,7-10,3,D. Williams makes 3-pt shot from 24 ft (assist by Z. Pachulia)
8:58.0,P. Pierce misses 3-pt shot from 24 ft,,7-10,,
8:57.0,,,7-10,,Defensive rebound by W. Matthews
8:48.0,,,7-10,,Turnover by C. Parsons (lost ball; steal by D. Jordan)
8:42.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,10-10,,
8:22.0,,,10-10,,Turnover by W. Matthews (lost ball; steal by D. Jordan)
8:17.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,12-10,,
7:54.0,,,12-10,,D. Williams misses 3-pt shot from 23 ft
7:53.0,,,12-10,,Offensive rebound by Z. Pachulia
7:47.0,,,12-10,,Turnover by Z. Pachulia (lost ball)
7:30.0,C. Paul misses 3-pt shot from 24 ft,,12-10,,
7:29.0,,,12-10,,Defensive rebound by D. Nowitzki
7:11.0,,,12-10,,W. Matthews misses 3-pt shot from 23 ft
7:08.0,,,12-10,,Offensive rebound by Z. Pachulia
7:05.0,,,12-10,,D. Nowitzki misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by P. Pierce,,12-10,,
6:50.0,J. Green misses 3-pt shot from 23 ft,,12-10,,
6:49.0,,,12-10,,Defensive rebound by W. Matthews
6:41.0,,,12-10,,Shooting foul by P. Pierce (drawn by W. Matthews)
6:41.0,,,12-11,1,W. Matthews makes free throw 1 of 2
6:41.0,,,12-11,,D. Lee enters the game for Z. Pachulia
6:41.0,,,12-11,,R. Felton enters the game for D. Nowitzki
6:41.0,W. Johnson enters the game for P. Pierce,,12-11,,
6:41.0,,,12-12,1,W. Matthews makes free throw 2 of 2
6:25.0,J. Redick makes 2-pt shot from 19 ft,2,14-12,,
6:02.0,,,14-12,,D. Lee misses 2-pt shot from 9 ft
6:01.0,Defensive rebound by J. Green,,14-12,,
5:50.0,C. Paul makes 2-pt shot from 11 ft,2,16-12,,
5:45.0,,,16-12,,Dallas full timeout
5:37.0,,,16-14,2,D. Lee makes 2-pt shot at rim (assist by D. Williams)
5:22.0,D. Jordan makes 2-pt shot at rim (assist by J. Green),2,18-14,,
