time,Dallas,pts.away,score,pts.home,Atlanta
5:51.0,D. Powell makes free throw 1 of 2,1,84-99,,
5:51.0,J. McGee enters the game for R. Felton,,84-99,,
5:51.0,D. Powell makes free throw 2 of 2,1,85-99,,
5:41.0,,,85-99,,K. Korver misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by Team,,85-99,,
5:25.0,J. Jenkins makes 2-pt shot from 20 ft,2,87-99,,
5:04.0,Personal foul by J. Jenkins (drawn by K. Bazemore),,87-99,,
4:54.0,Violation by J. McGee (def goaltending),,87-99,,
4:54.0,,,87-101,2,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague)
4:39.0,D. Powell misses 2-pt shot from 19 ft,,87-101,,
4:37.0,,,87-101,,Defensive rebound by K. Bazemore
4:32.0,,,87-103,2,J. Teague makes 2-pt shot from 2 ft
4:32.0,,,87-103,,Shooting foul by J. Jenkins (drawn by J. Teague)
4:32.0,,,87-103,,M. Scott enters the game for P. Millsap
4:32.0,,,87-103,,T. Hardaway enters the game for K. Korver
4:32.0,,,87-104,1,J. Teague makes free throw 1 of 1
4:23.0,J. Jenkins misses 2-pt shot from 18 ft,,87-104,,
4:21.0,,,87-104,,Defensive rebound by M. Scott
4:10.0,,,87-104,,S. Mack enters the game for J. Teague
4:03.0,,,87-104,,T. Hardaway misses 2-pt shot from 2 ft (block by J. Anderson)
4:00.0,Defensive rebound by D. Powell,,87-104,,
3:54.0,J. Jenkins misses 2-pt shot from 5 ft,,87-104,,
3:53.0,,,87-104,,Defensive rebound by A. Horford
3:32.0,,,87-104,,M. Scott misses 2-pt shot from 16 ft
3:30.0,Defensive rebound by J. Anderson,,87-104,,
3:21.0,J. Anderson misses 3-pt shot from 25 ft,,87-104,,
3:20.0,,,87-104,,Defensive rebound by A. Horford
3:17.0,,,87-104,,Atlanta full timeout
3:17.0,,,87-104,,E. Tavares enters the game for A. Horford
3:17.0,,,87-104,,L. Patterson enters the game for K. Bazemore
3:03.0,,,87-104,,Turnover by L. Patterson (bad pass)
2:53.0,J. McGee makes 2-pt shot from 19 ft (assist by J. Jenkins),2,89-104,,
2:33.0,,,89-104,,Turnover by S. Mack (lost ball; steal by J. McGee)
2:29.0,Shooting foul by L. Patterson (drawn by J. Anderson),,89-104,,
2:29.0,J. Anderson makes free throw 1 of 2,1,90-104,,
2:29.0,J. Evans enters the game for D. Powell,,90-104,,
2:29.0,J. Anderson makes free throw 2 of 2,1,91-104,,
2:14.0,,,91-104,,T. Hardaway misses 2-pt shot from 19 ft
2:13.0,Defensive rebound by Team,,91-104,,
2:13.0,,,91-104,,Loose ball foul by E. Tavares (drawn by J. McGee)
2:13.0,J. McGee makes free throw 1 of 2,1,92-104,,
2:13.0,J. McGee misses free throw 2 of 2,,92-104,,
2:12.0,,,92-104,,Defensive rebound by S. Mack
2:01.0,,,92-106,2,S. Mack makes 2-pt shot from 11 ft
1:49.0,J. Evans misses 3-pt shot from 23 ft,,92-106,,
1:48.0,,,92-106,,Defensive rebound by T. Hardaway
1:48.0,Personal foul by J. McGee (drawn by T. Hardaway),,92-106,,
1:48.0,,,92-107,1,T. Hardaway makes free throw 1 of 2
1:48.0,,,92-108,1,T. Hardaway makes free throw 2 of 2
1:37.0,J. Jenkins misses 2-pt shot from 22 ft,,92-108,,
1:35.0,,,92-108,,Defensive rebound by E. Tavares
1:25.0,,,92-108,,S. Mack misses 3-pt shot from 23 ft
1:24.0,Defensive rebound by J. Evans,,92-108,,
1:09.0,J. McGee misses 3-pt shot from 24 ft,,92-108,,
1:08.0,,,92-108,,Defensive rebound by S. Mack
0:58.0,,,92-110,2,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Scott)
0:52.0,J. Jenkins makes 2-pt shot from 16 ft,2,94-110,,
0:42.0,,,94-110,,S. Mack misses 2-pt shot at rim (block by J. McGee)
0:40.0,Defensive rebound by J. Anderson,,94-110,,
0:38.0,J. Jenkins makes 2-pt shot at rim (assist by J. Anderson),2,96-110,,
0:38.0,Shooting foul by L. Patterson (drawn by J. Jenkins),,96-110,,
0:38.0,J. Jenkins makes free throw 1 of 1,1,97-110,,
0:20.0,,,97-112,2,S. Mack makes 2-pt shot from 9 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
