time,Dallas,pts.away,score,pts.home,Atlanta
0:16.0,R. Felton makes free throw 2 of 2,1,15-25,,
0:00.0,,,15-27,2,D. Schroder makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Offensive charge foul by J. Barea,,15-27,,
11:50.0,Turnover by J. Barea (offensive foul),,15-27,,
11:34.0,,,15-27,,A. Horford misses 2-pt shot from 17 ft
11:33.0,,,15-27,,Offensive rebound by Team
11:23.0,,,15-27,,K. Bazemore misses 3-pt shot from 23 ft
11:22.0,Defensive rebound by Team,,15-27,,
11:09.0,Shooting foul by M. Scott (drawn by J. McGee),,15-27,,
11:09.0,J. McGee misses free throw 1 of 2,,15-27,,
11:09.0,Offensive rebound by Team,,15-27,,
11:09.0,J. McGee makes free throw 2 of 2,1,16-27,,
10:52.0,,,16-27,,D. Schroder misses 2-pt shot from 18 ft
10:50.0,Defensive rebound by C. Parsons,,16-27,,
10:44.0,,,16-27,,Personal foul by T. Hardaway
10:33.0,R. Felton misses 2-pt shot from 22 ft,,16-27,,
10:32.0,,,16-27,,Defensive rebound by K. Bazemore
10:25.0,,,16-30,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
10:09.0,J. Barea makes 2-pt shot from 1 ft,2,18-30,,
9:52.0,,,18-30,,Turnover by D. Schroder (bad pass)
9:52.0,D. Williams enters the game for R. Felton,,18-30,,
9:38.0,D. Nowitzki misses 3-pt shot from 22 ft,,18-30,,
9:36.0,,,18-30,,Defensive rebound by D. Schroder
9:31.0,,,18-30,,M. Scott misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by Team,,18-30,,
9:09.0,D. Nowitzki misses 2-pt shot from 15 ft,,18-30,,
9:08.0,Offensive rebound by J. McGee,,18-30,,
9:06.0,J. McGee makes 2-pt shot at rim,2,20-30,,
8:58.0,Violation by J. McGee (def goaltending),,20-30,,
8:58.0,,,20-32,2,D. Schroder makes 2-pt shot from 1 ft (assist by A. Horford)
8:44.0,J. Barea misses 2-pt shot from 11 ft,,20-32,,
8:43.0,Offensive rebound by J. McGee,,20-32,,
8:34.0,J. Barea misses 3-pt shot from 27 ft,,20-32,,
8:32.0,,,20-32,,Defensive rebound by D. Schroder
8:28.0,,,20-34,2,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder)
8:21.0,Dallas full timeout,,20-34,,
8:21.0,,,20-34,,P. Millsap enters the game for M. Scott
8:21.0,J. Jenkins enters the game for D. Williams,,20-34,,
8:01.0,J. Jenkins misses 2-pt shot from 16 ft,,20-34,,
7:58.0,,,20-34,,Defensive rebound by A. Horford
7:54.0,,,20-36,2,T. Hardaway makes 2-pt shot at rim (assist by A. Horford)
7:34.0,C. Parsons misses 2-pt shot from 1 ft (block by P. Millsap),,20-36,,
7:33.0,Offensive rebound by C. Parsons,,20-36,,
7:31.0,C. Parsons misses 2-pt shot at rim (block by A. Horford),,20-36,,
7:30.0,,,20-36,,Defensive rebound by K. Bazemore
7:29.0,Personal foul by D. Nowitzki (drawn by K. Bazemore),,20-36,,
7:29.0,W. Matthews enters the game for D. Nowitzki,,20-36,,
7:29.0,Z. Pachulia enters the game for J. McGee,,20-36,,
7:17.0,,,20-36,,P. Millsap misses 3-pt shot from 23 ft
7:15.0,Defensive rebound by J. Jenkins,,20-36,,
7:08.0,,,20-36,,J. Teague enters the game for D. Schroder
7:08.0,,,20-36,,M. Muscala enters the game for A. Horford
7:05.0,W. Matthews makes 2-pt shot from 1 ft (assist by J. Barea),2,22-36,,
6:44.0,,,22-36,,K. Bazemore misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by Z. Pachulia,,22-36,,
6:37.0,J. Barea makes 2-pt shot from 1 ft,2,24-36,,
6:37.0,Shooting foul by J. Teague (drawn by J. Barea),,24-36,,
6:37.0,J. Barea makes free throw 1 of 1,1,25-36,,
6:25.0,,,25-36,,P. Millsap misses 2-pt shot from 9 ft
6:22.0,Defensive rebound by Z. Pachulia,,25-36,,
6:15.0,J. Barea misses 2-pt shot from 16 ft,,25-36,,
6:13.0,,,25-36,,Defensive rebound by K. Bazemore
6:09.0,Personal foul by W. Matthews (drawn by M. Muscala),,25-36,,
6:09.0,R. Felton enters the game for J. Barea,,25-36,,
5:59.0,,,25-36,,T. Hardaway misses 3-pt shot from 24 ft
5:57.0,,,25-36,,Offensive rebound by M. Muscala
5:51.0,,,25-39,3,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Teague)
