time,Detroit,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. H. Whiteside (B. Udrih gains possession),,,,Jump ball: A. Drummond vs. H. Whiteside (B. Udrih gains possession)
11:44.0,,,0-2,2,H. Whiteside makes 2-pt shot from 8 ft (assist by C. Bosh)
11:27.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by H. Whiteside
11:18.0,,,0-4,2,H. Whiteside makes 2-pt shot at rim (assist by B. Udrih)
10:55.0,R. Jackson makes 2-pt shot from 2 ft,2,2-4,,
10:42.0,,,2-4,,D. Wade misses 2-pt shot from 1 ft
10:41.0,Defensive rebound by Team,,2-4,,
10:32.0,Turnover by R. Jackson (bad pass),,2-4,,
10:13.0,,,2-4,,Shooting foul by A. Drummond (drawn by H. Whiteside)
10:13.0,,,2-5,1,H. Whiteside makes free throw 1 of 2
10:13.0,,,2-6,1,H. Whiteside makes free throw 2 of 2
9:56.0,M. Morris misses 2-pt shot from 14 ft,,2-6,,
9:55.0,Offensive rebound by E. Ilyasova,,2-6,,
9:54.0,E. Ilyasova makes 2-pt shot from 1 ft,2,4-6,,
9:32.0,,,4-8,2,B. Udrih makes 2-pt shot from 11 ft
9:14.0,E. Ilyasova misses 2-pt shot from 18 ft,,4-8,,
9:13.0,,,4-8,,Defensive rebound by H. Whiteside
9:08.0,,,4-10,2,D. Wade makes 2-pt shot at rim
8:59.0,Detroit full timeout,,4-10,,
8:43.0,R. Jackson makes 2-pt shot from 16 ft,2,6-10,,
8:26.0,,,6-12,2,D. Wade makes 2-pt shot from 1 ft
8:06.0,R. Jackson makes 3-pt shot from 24 ft (assist by M. Morris),3,9-12,,
7:48.0,,,9-12,,C. Bosh misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by A. Drummond,,9-12,,
7:43.0,Turnover by R. Jackson (lost ball),,9-12,,
7:33.0,,,9-14,2,C. Bosh makes 2-pt shot from 15 ft (assist by B. Udrih)
7:16.0,Turnover by E. Ilyasova (bad pass; steal by L. Deng),,9-14,,
7:14.0,,,9-14,,Shooting foul by K. Caldwell-Pope (drawn by L. Deng)
7:14.0,,,9-14,,L. Deng misses free throw 1 of 2
7:14.0,,,9-14,,Offensive rebound by Team
7:14.0,,,9-15,1,L. Deng makes free throw 2 of 2
6:59.0,A. Drummond misses 2-pt shot from 5 ft (block by H. Whiteside),,9-15,,
6:58.0,Offensive rebound by Team,,9-15,,
6:48.0,R. Jackson misses 2-pt shot from 22 ft,,9-15,,
6:47.0,,,9-15,,Defensive rebound by D. Wade
6:41.0,,,9-15,,D. Wade misses 2-pt shot from 2 ft
6:40.0,,,9-15,,Offensive rebound by D. Wade
6:35.0,,,9-15,,B. Udrih misses 3-pt shot from 24 ft
6:34.0,,,9-15,,Offensive rebound by H. Whiteside
6:33.0,,,9-15,,H. Whiteside misses 2-pt shot from 3 ft
6:32.0,,,9-15,,Offensive rebound by H. Whiteside
6:31.0,,,9-17,2,H. Whiteside makes 2-pt shot at rim
6:14.0,,,9-17,,J. Winslow enters the game for C. Bosh
6:12.0,Turnover by M. Morris (bad pass; steal by L. Deng),,9-17,,
6:03.0,,,9-17,,L. Deng misses 2-pt shot from 2 ft (block by E. Ilyasova)
6:02.0,,,9-17,,Offensive rebound by H. Whiteside
6:00.0,,,9-17,,H. Whiteside misses 2-pt shot from 1 ft (block by A. Drummond)
5:59.0,,,9-17,,Offensive rebound by B. Udrih
