time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (L. James gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (L. James gains possession)
11:38.0,,,0-2,2,K. Love makes 2-pt shot from 10 ft
11:23.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by A. Drummond),2,2-2,,
11:09.0,Personal foul by T. Harris (drawn by K. Love),,2-2,,
10:59.0,,,2-4,2,K. Love makes 2-pt shot from 7 ft
10:40.0,T. Harris misses 2-pt shot at rim,,2-4,,
10:39.0,Offensive rebound by A. Drummond,,2-4,,
10:39.0,A. Drummond makes 2-pt shot at rim,2,4-4,,
10:28.0,,,4-4,,Shooting foul by A. Drummond (drawn by K. Love)
10:28.0,,,4-5,1,K. Love makes free throw 1 of 2
10:28.0,,,4-6,1,K. Love makes free throw 2 of 2
10:12.0,M. Morris misses 3-pt shot from 25 ft,,4-6,,
10:12.0,,,4-6,,Defensive rebound by T. Thompson
10:06.0,,,4-6,,L. James misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by A. Drummond,,4-6,,
9:55.0,M. Morris makes 2-pt shot from 19 ft (assist by R. Jackson),2,6-6,,
9:28.0,,,6-6,,T. Thompson misses 2-pt shot from 7 ft
9:27.0,Defensive rebound by A. Drummond,,6-6,,
9:14.0,R. Jackson makes 2-pt shot from 3 ft,2,8-6,,
9:02.0,,,8-8,2,K. Irving makes 2-pt shot from 11 ft
8:38.0,M. Morris misses 2-pt shot from 18 ft,,8-8,,
8:38.0,,,8-8,,Defensive rebound by L. James
8:28.0,,,8-10,2,L. James makes 2-pt shot at rim
8:07.0,R. Jackson makes 2-pt shot from 15 ft,2,10-10,,
7:54.0,,,10-12,2,K. Irving makes 2-pt shot from 18 ft
7:42.0,,,10-12,,Personal foul by K. Irving (drawn by R. Jackson)
7:29.0,A. Drummond misses 2-pt shot from 1 ft,,10-12,,
7:28.0,,,10-12,,Defensive rebound by L. James
7:20.0,,,10-12,,K. Love misses 3-pt shot from 25 ft
7:19.0,,,10-12,,Offensive rebound by J. Smith
7:13.0,,,10-14,2,K. Love makes 2-pt shot from 16 ft (assist by K. Irving)
7:05.0,Detroit full timeout,,10-14,,
6:57.0,Shooting foul by L. James (drawn by T. Harris),,10-14,,
6:57.0,T. Harris makes 2-pt shot at rim,2,12-14,,
6:57.0,T. Harris makes free throw 1 of 1,1,13-14,,
6:42.0,,,13-16,2,J. Smith makes 2-pt shot from 16 ft (assist by K. Love)
6:24.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by M. Morris),3,16-16,,
6:12.0,,,16-18,2,L. James makes 2-pt shot from 19 ft (assist by K. Irving)
5:55.0,A. Drummond misses 2-pt shot from 6 ft,,16-18,,
5:53.0,,,16-18,,Defensive rebound by K. Love
5:37.0,,,16-18,,Turnover by L. James (bad pass; steal by T. Harris)
5:32.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by M. Morris),2,18-18,,
5:15.0,,,18-18,,Turnover by T. Thompson (lost ball)
4:59.0,T. Harris misses 3-pt shot from 25 ft,,18-18,,
4:59.0,,,18-18,,Defensive rebound by K. Love
4:55.0,,,18-18,,Turnover by K. Love (bad pass; steal by R. Jackson)
4:47.0,M. Morris misses 3-pt shot from 22 ft,,18-18,,
4:47.0,Offensive rebound by A. Drummond,,18-18,,
