time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: T. Thompson vs. J. Valanciunas (K. Lowry gains possession)
11:42.0,,,0-0,,D. DeRozan misses 2-pt shot from 17 ft
11:42.0,Defensive rebound by L. James,,0-0,,
11:25.0,Turnover by L. James (bad pass; steal by D. DeRozan),,0-0,,
11:12.0,,,0-0,,D. DeRozan misses 2-pt shot from 7 ft
11:12.0,Defensive rebound by T. Thompson,,0-0,,
11:04.0,K. Irving makes 2-pt shot from 21 ft (assist by T. Thompson),2,2-0,,
10:37.0,,,2-0,,L. Scola misses 2-pt shot from 4 ft
10:37.0,Defensive rebound by T. Thompson,,2-0,,
10:27.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,5-0,,
10:12.0,,,5-0,,L. Scola misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by T. Thompson,,5-0,,
10:03.0,K. Love misses 2-pt shot from 17 ft,,5-0,,
10:02.0,Offensive rebound by K. Irving,,5-0,,
9:57.0,Turnover by L. James (traveling),,5-0,,
9:38.0,,,5-0,,L. Scola misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by J. Smith,,5-0,,
9:26.0,K. Love makes 2-pt shot from 2 ft,2,7-0,,
9:19.0,,,7-0,,Toronto full timeout
9:11.0,,,7-0,,Shooting foul by J. Smith (drawn by D. DeRozan)
9:11.0,,,7-1,1,D. DeRozan makes free throw 1 of 2
9:11.0,,,7-2,1,D. DeRozan makes free throw 2 of 2
9:00.0,T. Thompson misses 2-pt shot at rim,,7-2,,
8:59.0,,,7-2,,Defensive rebound by L. Scola
8:42.0,,,7-4,2,K. Lowry makes 2-pt shot from 4 ft
8:32.0,K. Love misses 2-pt shot from 7 ft,,7-4,,
8:32.0,,,7-4,,Defensive rebound by K. Lowry
8:27.0,,,7-4,,Offensive charge foul by K. Lowry
8:27.0,,,7-4,,Turnover by K. Lowry (offensive foul)
8:13.0,L. James makes 2-pt shot from 4 ft,2,9-4,,
7:49.0,,,9-4,,J. Johnson misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by T. Thompson,,9-4,,
7:38.0,J. Smith misses 3-pt shot from 26 ft,,9-4,,
7:38.0,,,9-4,,Defensive rebound by J. Johnson
7:22.0,,,9-4,,L. Scola misses 2-pt shot from 4 ft
7:22.0,Defensive rebound by K. Love,,9-4,,
6:59.0,,,9-4,,Personal foul by D. DeRozan (drawn by T. Thompson)
6:52.0,K. Love makes 2-pt shot from 5 ft (assist by T. Thompson),2,11-4,,
6:52.0,Shooting foul by L. Scola (drawn by K. Love),,11-4,,
6:52.0,,,11-4,,P. Patterson enters the game for L. Scola
6:52.0,K. Love misses free throw 1 of 1,,11-4,,
6:51.0,,,11-4,,Defensive rebound by P. Patterson
6:36.0,,,11-4,,Shooting foul by K. Love (drawn by K. Lowry)
6:36.0,,,11-5,1,K. Lowry makes free throw 1 of 2
6:36.0,,,11-6,1,K. Lowry makes free throw 2 of 2
6:23.0,L. James misses 2-pt shot from 11 ft,,11-6,,
6:22.0,Offensive rebound by T. Thompson,,11-6,,
6:20.0,T. Thompson makes 2-pt shot at rim,2,13-6,,
6:06.0,,,13-8,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
5:42.0,L. James makes 2-pt shot from 18 ft,2,15-8,,
5:30.0,,,15-10,2,K. Lowry makes 2-pt shot from 14 ft (assist by D. DeRozan)
5:10.0,K. Love misses 2-pt shot from 6 ft,,15-10,,
5:10.0,,,15-10,,Defensive rebound by D. DeRozan
5:00.0,,,15-10,,D. DeRozan misses 2-pt shot from 2 ft
5:00.0,,,15-10,,Offensive rebound by J. Valanciunas
4:58.0,,,15-12,2,J. Valanciunas makes 2-pt shot from 3 ft
4:42.0,L. James misses 2-pt shot from 3 ft,,15-12,,
4:41.0,,,15-12,,Defensive rebound by J. Johnson
4:31.0,,,15-15,3,K. Lowry makes 3-pt shot from 26 ft (assist by P. Patterson)
4:24.0,Cleveland full timeout,,15-15,,
