time,Detroit,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Jokic (M. Morris gains possession),,,,Jump ball: A. Drummond vs. N. Jokic (M. Morris gains possession)
11:39.0,A. Drummond makes 2-pt shot at rim (assist by E. Ilyasova),2,2-0,,
11:18.0,,,2-0,,Turnover by D. Gallinari (lost ball; steal by M. Morris)
11:12.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by R. Jackson),2,4-0,,
10:53.0,,,4-0,,D. Gallinari misses 2-pt shot from 16 ft
10:52.0,Defensive rebound by A. Drummond,,4-0,,
10:37.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by A. Drummond),2,6-0,,
10:20.0,,,6-0,,G. Harris misses 2-pt shot from 1 ft
10:19.0,Defensive rebound by A. Drummond,,6-0,,
10:08.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,9-0,,
9:45.0,,,9-0,,Shooting foul by A. Drummond (drawn by D. Gallinari)
9:45.0,,,9-1,1,D. Gallinari makes free throw 1 of 2
9:45.0,,,9-1,,D. Gallinari misses free throw 2 of 2
9:44.0,,,9-1,,Offensive rebound by N. Jokic
9:44.0,,,9-1,,Shooting foul by A. Drummond (drawn by D. Gallinari)
9:44.0,,,9-2,1,N. Jokic makes free throw 1 of 2
9:44.0,A. Baynes enters the game for A. Drummond,,9-2,,
9:44.0,,,9-3,1,N. Jokic makes free throw 2 of 2
9:26.0,Turnover by E. Ilyasova (bad pass; steal by D. Gallinari),,9-3,,
9:16.0,,,9-5,2,D. Gallinari makes 2-pt shot from 21 ft
8:59.0,Turnover by K. Caldwell-Pope (lost ball; steal by E. Mudiay),,9-5,,
8:55.0,,,9-5,,Turnover by E. Mudiay (lost ball; steal by R. Jackson)
8:42.0,E. Ilyasova makes 2-pt shot from 4 ft,2,11-5,,
8:29.0,Shooting block foul by E. Ilyasova (drawn by G. Harris),,11-5,,
8:29.0,,,11-6,1,G. Harris makes free throw 1 of 2
8:29.0,,,11-7,1,G. Harris makes free throw 2 of 2
8:14.0,K. Caldwell-Pope makes 2-pt shot from 21 ft,2,13-7,,
8:05.0,,,13-7,,Turnover by E. Mudiay (bad pass; steal by E. Ilyasova)
7:59.0,M. Morris misses 2-pt shot from 1 ft,,13-7,,
7:58.0,Offensive rebound by E. Ilyasova,,13-7,,
7:57.0,E. Ilyasova makes 2-pt shot from 1 ft,2,15-7,,
7:57.0,,,15-7,,Denver full timeout
7:44.0,,,15-7,,Shooting foul by M. Morris (drawn by D. Gallinari)
7:44.0,,,15-8,1,D. Gallinari makes free throw 1 of 2
7:44.0,,,15-9,1,D. Gallinari makes free throw 2 of 2
7:26.0,R. Jackson misses 3-pt shot from 25 ft,,15-9,,
7:26.0,Offensive rebound by Team,,15-9,,
7:26.0,,,15-9,,Loose ball foul by N. Jokic (drawn by A. Baynes)
7:19.0,R. Jackson misses 2-pt shot from 1 ft,,15-9,,
7:18.0,,,15-9,,Defensive rebound by E. Mudiay
7:07.0,,,15-11,2,E. Mudiay makes 2-pt shot from 13 ft
6:54.0,E. Ilyasova misses 3-pt shot from 24 ft,,15-11,,
6:52.0,,,15-11,,Defensive rebound by Team
6:41.0,,,15-11,,E. Mudiay misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by R. Jackson,,15-11,,
6:33.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,15-11,,
6:31.0,,,15-11,,Defensive rebound by D. Arthur
6:26.0,,,15-11,,G. Harris misses 2-pt shot from 1 ft
6:25.0,Defensive rebound by K. Caldwell-Pope,,15-11,,
6:24.0,Turnover by K. Caldwell-Pope (lost ball; steal by G. Harris),,15-11,,
6:19.0,,,15-13,2,G. Harris makes 2-pt shot at rim
6:08.0,Turnover by R. Jackson (bad pass; steal by D. Arthur),,15-13,,
6:02.0,,,15-15,2,D. Arthur makes 2-pt shot from 1 ft (assist by G. Harris)
5:56.0,Detroit full timeout,,15-15,,
5:48.0,R. Jackson misses 2-pt shot from 20 ft,,15-15,,
5:48.0,,,15-15,,Defensive rebound by Team
5:29.0,,,15-15,,D. Gallinari misses 2-pt shot from 1 ft
5:28.0,Defensive rebound by A. Baynes,,15-15,,
5:18.0,A. Baynes makes 2-pt shot from 16 ft (assist by R. Jackson),2,17-15,,
5:02.0,,,17-17,2,D. Gallinari makes 2-pt shot from 3 ft (assist by D. Arthur)
5:02.0,,,17-17,,Shooting foul by M. Morris (drawn by D. Gallinari)
5:02.0,S. Johnson enters the game for M. Morris,,17-17,,
5:02.0,,,17-18,1,D. Gallinari makes free throw 1 of 1
4:48.0,R. Jackson makes 2-pt shot at rim,2,19-18,,
4:30.0,,,19-20,2,D. Arthur makes 2-pt shot from 7 ft
4:19.0,Turnover by A. Baynes (bad pass; steal by D. Arthur),,19-20,,
4:08.0,,,19-22,2,D. Gallinari makes 2-pt shot at rim
3:52.0,R. Jackson misses 2-pt shot from 1 ft (block by N. Jokic),,19-22,,
3:51.0,,,19-22,,Defensive rebound by G. Harris
3:48.0,,,19-22,,G. Harris misses 2-pt shot from 2 ft (block by K. Caldwell-Pope)
3:47.0,,,19-22,,Offensive rebound by Team
3:36.0,,,19-22,,D. Gallinari misses 2-pt shot from 6 ft
3:35.0,Defensive rebound by E. Ilyasova,,19-22,,
3:25.0,R. Jackson misses 3-pt shot from 24 ft,,19-22,,
3:22.0,Offensive rebound by A. Baynes,,19-22,,
3:20.0,Turnover by A. Baynes (lost ball; steal by G. Harris),,19-22,,
3:12.0,,,19-22,,Shooting foul by A. Baynes (drawn by D. Gallinari)
3:12.0,,,19-23,1,D. Gallinari makes free throw 1 of 2
3:12.0,,,19-23,,W. Barton enters the game for D. Arthur
3:12.0,,,19-24,1,D. Gallinari makes free throw 2 of 2
2:42.0,A. Baynes makes 2-pt shot from 11 ft,2,21-24,,
2:37.0,,,21-24,,E. Mudiay misses 2-pt shot from 1 ft
2:37.0,Defensive rebound by A. Baynes,,21-24,,
2:28.0,E. Ilyasova makes 2-pt shot from 16 ft,2,23-24,,
2:10.0,,,23-24,,E. Mudiay misses 2-pt shot from 7 ft
2:09.0,Defensive rebound by A. Baynes,,23-24,,
1:55.0,R. Jackson makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,26-24,,
1:40.0,,,26-24,,N. Jokic misses 2-pt shot from 1 ft
1:38.0,Defensive rebound by S. Johnson,,26-24,,
1:37.0,,,26-24,,Violation by W. Barton (def goaltending)
1:37.0,S. Johnson makes 2-pt shot from 1 ft,2,28-24,,
1:37.0,,,28-24,,Denver full timeout
1:37.0,B. Jennings enters the game for R. Jackson,,28-24,,
1:37.0,,,28-24,,J. Lauvergne enters the game for E. Mudiay
1:37.0,,,28-24,,R. Foye enters the game for N. Jokic
1:22.0,,,28-24,,W. Barton misses 2-pt shot from 4 ft
1:19.0,Defensive rebound by B. Jennings,,28-24,,
1:15.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Jennings),2,30-24,,
0:55.0,,,30-24,,Shooting foul by S. Johnson (drawn by D. Gallinari)
0:55.0,,,30-25,1,D. Gallinari makes free throw 1 of 2
0:55.0,,,30-26,1,D. Gallinari makes free throw 2 of 2
0:44.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,32-26,,
0:27.0,,,32-26,,R. Foye misses 2-pt shot from 2 ft
0:26.0,Defensive rebound by K. Caldwell-Pope,,32-26,,
0:08.0,,,32-26,,Personal take foul by G. Harris (drawn by B. Jennings)
0:08.0,,,32-26,,S. Kilpatrick enters the game for D. Gallinari
