time,Atlanta,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Horford,,,,Jump ball: T. Chandler vs. A. Horford
12:00.0,,,0-0,,Violation by Team (jump ball)
11:50.0,,,0-0,,Violation by T. Chandler (kicked ball)
11:42.0,K. Bazemore misses 2-pt shot from 18 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by T. Chandler
11:21.0,,,0-0,,D. Booker misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by J. Teague,,0-0,,
11:09.0,J. Teague misses 3-pt shot from 25 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by T. Chandler
10:51.0,,,0-2,2,P. Tucker makes 2-pt shot at rim (assist by A. Len)
10:41.0,A. Horford makes 2-pt shot from 13 ft (assist by T. Splitter),2,2-2,,
10:29.0,,,2-4,2,A. Len makes 2-pt shot from 17 ft (assist by T. Chandler)
10:14.0,A. Horford makes 2-pt shot from 13 ft,2,4-4,,
9:59.0,,,4-4,,T. Chandler misses 2-pt shot from 3 ft (block by K. Korver)
9:58.0,Defensive rebound by A. Horford,,4-4,,
9:46.0,A. Horford misses 2-pt shot from 12 ft,,4-4,,
9:44.0,,,4-4,,Defensive rebound by T. Chandler
9:36.0,,,4-4,,D. Booker misses 2-pt shot at rim (block by A. Horford)
9:34.0,Defensive rebound by K. Bazemore,,4-4,,
9:24.0,Turnover by T. Splitter (bad pass; steal by A. Goodwin),,4-4,,
9:17.0,,,4-6,2,A. Goodwin makes 2-pt shot from 11 ft
9:03.0,J. Teague makes 2-pt shot from 14 ft,2,6-6,,
8:49.0,,,6-6,,D. Booker misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by K. Bazemore,,6-6,,
8:37.0,K. Korver misses 3-pt shot from 23 ft,,6-6,,
8:35.0,,,6-6,,Defensive rebound by D. Booker
8:20.0,Violation by K. Korver (kicked ball),,6-6,,
