time,Sacramento,pts.away,score,pts.home,LA Lakers
3:23.0,,,26-9,1,L. Williams makes free throw 2 of 2
3:11.0,,,26-9,,Personal foul by T. Black
3:11.0,W. Cauley-Stein makes free throw 1 of 2,1,27-9,,
3:11.0,,,27-9,,R. Sacre enters the game for T. Black
3:11.0,W. Cauley-Stein makes free throw 2 of 2,1,28-9,,
2:57.0,,,28-11,2,L. Williams makes 2-pt shot from 8 ft
2:44.0,Sacramento full timeout,,28-11,,
2:44.0,Q. Acy enters the game for W. Cauley-Stein,,28-11,,
2:37.0,D. Cousins misses 2-pt shot from 1 ft,,28-11,,
2:36.0,,,28-11,,Defensive rebound by L. Nance
2:23.0,,,28-11,,L. Williams misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by R. Rondo,,28-11,,
2:12.0,O. Casspi makes 2-pt shot from 3 ft (assist by D. Cousins),2,30-11,,
2:04.0,,,30-11,,Shooting foul by S. Curry (drawn by L. Williams)
2:04.0,,,30-12,1,L. Williams makes free throw 1 of 3
2:04.0,,,30-13,1,L. Williams makes free throw 2 of 3
2:04.0,,,30-13,,L. Williams misses free throw 3 of 3
1:52.0,Defensive rebound by O. Casspi,,30-13,,
1:42.0,O. Casspi misses 3-pt shot from 25 ft,,30-13,,
1:41.0,,,30-13,,Defensive rebound by L. Williams
1:32.0,,,30-13,,R. Kelly misses 2-pt shot from 2 ft (block by O. Casspi)
1:29.0,,,30-13,,Offensive rebound by R. Sacre
1:28.0,,,30-15,2,R. Sacre makes 2-pt shot from 13 ft
1:14.0,O. Casspi makes 2-pt shot at rim (assist by R. Rondo),2,32-15,,
0:58.0,,,32-15,,Turnover by L. Williams (lost ball; steal by R. Rondo)
0:50.0,Offensive charge foul by D. Cousins,,32-15,,
0:50.0,Turnover by D. Cousins (offensive foul),,32-15,,
0:50.0,K. Koufos enters the game for D. Cousins,,32-15,,
0:33.0,,,32-15,,R. Kelly misses 2-pt shot from 8 ft
0:32.0,Defensive rebound by Q. Acy,,32-15,,
0:28.0,S. Curry misses 3-pt shot from 25 ft,,32-15,,
0:24.0,,,32-15,,Defensive rebound by R. Sacre
0:05.0,,,32-15,,L. Nance misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by R. Rondo,,32-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-15,,L. Williams misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by K. Koufos,,32-15,,
11:33.0,S. Curry misses 3-pt shot from 25 ft,,32-15,,
11:31.0,,,32-15,,Defensive rebound by R. Kelly
11:13.0,,,32-15,,Turnover by L. Nance (bad pass)
10:55.0,Q. Acy misses 3-pt shot from 25 ft,,32-15,,
10:54.0,,,32-15,,Defensive rebound by R. Sacre
10:47.0,,,32-15,,M. Huertas misses 2-pt shot from 6 ft (block by S. Curry)
10:47.0,,,32-15,,Offensive rebound by Team
10:39.0,,,32-17,2,L. Nance makes 2-pt shot at rim (assist by M. Huertas)
10:22.0,Turnover by D. Collison (lost ball; steal by L. Nance),,32-17,,
10:17.0,,,32-19,2,L. Nance makes 2-pt shot from 1 ft
10:06.0,Shooting foul by R. Sacre (drawn by Q. Acy),,32-19,,
10:06.0,Q. Acy makes free throw 1 of 2,1,33-19,,
10:06.0,Q. Acy misses free throw 2 of 2,,33-19,,
10:04.0,Offensive rebound by K. Koufos,,33-19,,
9:58.0,K. Koufos makes 2-pt shot from 7 ft,2,35-19,,
9:41.0,,,35-21,2,R. Sacre makes 2-pt shot from 2 ft (assist by M. Huertas)
9:24.0,K. Koufos misses 2-pt shot from 5 ft,,35-21,,
9:21.0,,,35-21,,Defensive rebound by L. Williams
9:18.0,,,35-23,2,M. Huertas makes 2-pt shot from 2 ft (assist by L. Williams)
9:16.0,Sacramento full timeout,,35-23,,
9:16.0,M. Belinelli enters the game for S. Curry,,35-23,,
9:16.0,R. Gay enters the game for Q. Acy,,35-23,,
8:54.0,R. Gay makes 2-pt shot at rim,2,37-23,,
8:44.0,,,37-23,,Shooting foul by O. Casspi (drawn by L. Williams)
8:44.0,,,37-24,1,L. Williams makes free throw 1 of 2
8:44.0,,,37-25,1,L. Williams makes free throw 2 of 2
8:36.0,O. Casspi misses 2-pt shot from 7 ft,,37-25,,
8:35.0,Offensive rebound by K. Koufos,,37-25,,
8:35.0,K. Koufos makes 2-pt shot at rim,2,39-25,,
8:35.0,Shooting foul by R. Sacre (drawn by K. Koufos),,39-25,,
8:35.0,,,39-25,,J. Clarkson enters the game for M. Huertas
8:35.0,K. Koufos misses free throw 1 of 1,,39-25,,
8:35.0,,,39-25,,Defensive rebound by R. Kelly
8:10.0,,,39-25,,R. Kelly misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by K. Koufos,,39-25,,
7:52.0,O. Casspi misses 3-pt shot from 24 ft,,39-25,,
7:49.0,,,39-25,,Defensive rebound by L. Nance
7:44.0,R. Rondo enters the game for O. Casspi,,39-25,,
7:44.0,,,39-25,,J. Randle enters the game for R. Kelly
7:27.0,,,39-27,2,J. Clarkson makes 2-pt shot from 1 ft
7:15.0,M. Belinelli misses 2-pt shot from 16 ft,,39-27,,
7:11.0,,,39-27,,Defensive rebound by R. Sacre
7:01.0,,,39-29,2,R. Sacre makes 2-pt shot from 17 ft (assist by J. Randle)
6:46.0,D. Collison misses 2-pt shot from 12 ft,,39-29,,
6:43.0,,,39-29,,Defensive rebound by L. Williams
6:29.0,,,39-29,,Turnover by L. Williams (lost ball; steal by R. Rondo)
6:17.0,,,39-29,,D. Russell enters the game for L. Williams
6:17.0,,,39-29,,R. Hibbert enters the game for R. Sacre
6:17.0,D. Cousins enters the game for K. Koufos,,39-29,,
6:07.0,Turnover by D. Collison (lost ball; steal by D. Russell),,39-29,,
6:03.0,,,39-29,,Turnover by J. Clarkson (bad pass)
5:49.0,M. Belinelli misses 3-pt shot from 25 ft,,39-29,,
5:47.0,Offensive rebound by R. Rondo,,39-29,,
5:44.0,Official timeout,,39-29,,
5:44.0,,,39-29,,M. World Peace enters the game for L. Nance
5:41.0,R. Gay misses 2-pt shot from 17 ft,,39-29,,
5:36.0,,,39-29,,Defensive rebound by M. World Peace
5:26.0,,,39-29,,J. Clarkson misses 2-pt shot from 1 ft (block by D. Cousins)
5:24.0,Defensive rebound by M. Belinelli,,39-29,,
5:14.0,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Gay),3,42-29,,
4:56.0,,,42-32,3,D. Russell makes 3-pt shot from 24 ft
4:46.0,W. Cauley-Stein enters the game for M. Belinelli,,42-32,,
4:31.0,Turnover by Team (shot clock),,42-32,,
4:17.0,,,42-32,,J. Randle misses 2-pt shot from 2 ft
4:17.0,,,42-32,,Offensive rebound by R. Hibbert
4:17.0,,,42-32,,Shooting foul by W. Cauley-Stein (drawn by R. Hibbert)
4:17.0,,,42-33,1,R. Hibbert makes free throw 1 of 2
4:17.0,,,42-33,,R. Hibbert misses free throw 2 of 2
4:16.0,Defensive rebound by D. Cousins,,42-33,,
3:58.0,D. Cousins misses 2-pt shot from 3 ft (block by R. Hibbert),,42-33,,
3:56.0,,,42-33,,Defensive rebound by J. Randle
3:54.0,,,42-33,,Turnover by J. Randle (lost ball; steal by R. Rondo)
3:49.0,R. Gay makes 2-pt shot from 6 ft (assist by R. Rondo),2,44-33,,
3:35.0,,,44-33,,M. World Peace misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by W. Cauley-Stein,,44-33,,
3:29.0,D. Collison makes 2-pt shot from 1 ft,2,46-33,,
3:12.0,,,46-33,,J. Clarkson misses 2-pt shot from 10 ft
3:09.0,Defensive rebound by W. Cauley-Stein,,46-33,,
3:06.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,48-33,,
3:06.0,,,48-33,,LA Lakers full timeout
2:57.0,,,48-33,,Turnover by D. Russell (lost ball; steal by R. Gay)
2:56.0,,,48-33,,Violation by D. Russell (def goaltending)
2:56.0,D. Collison makes 2-pt shot at rim (assist by R. Gay),2,50-33,,
2:45.0,,,50-33,,J. Clarkson misses 2-pt shot from 5 ft
2:44.0,Defensive rebound by R. Gay,,50-33,,
2:44.0,Turnover by R. Gay (lost ball; steal by J. Clarkson),,50-33,,
2:31.0,,,50-33,,J. Clarkson misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by W. Cauley-Stein,,50-33,,
2:20.0,Turnover by R. Rondo (bad pass),,50-33,,
2:03.0,,,50-35,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
1:37.0,D. Cousins misses 2-pt shot from 20 ft,,50-35,,
1:36.0,,,50-35,,Defensive rebound by D. Russell
1:30.0,,,50-35,,J. Clarkson misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by W. Cauley-Stein,,50-35,,
1:28.0,,,50-35,,Personal foul by D. Russell
1:20.0,Shooting foul by R. Hibbert (drawn by D. Cousins),,50-35,,
1:20.0,D. Cousins makes free throw 1 of 2,1,51-35,,
1:20.0,,,51-35,,R. Sacre enters the game for R. Hibbert
1:20.0,D. Cousins makes free throw 2 of 2,1,52-35,,
1:04.0,,,52-37,2,J. Randle makes 2-pt shot from 2 ft (assist by M. World Peace)
0:43.0,R. Rondo makes 3-pt shot from 27 ft,3,55-37,,
0:27.0,,,55-37,,D. Russell misses 2-pt shot from 2 ft
0:26.0,,,55-37,,Offensive rebound by J. Randle
0:26.0,,,55-37,,J. Randle misses 2-pt shot at rim
0:26.0,,,55-37,,Offensive rebound by J. Randle
0:25.0,,,55-39,2,J. Randle makes 2-pt shot from 1 ft
0:02.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,57-39,,
0:00.0,,,57-41,2,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,57-41,,D. Russell misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by D. Cousins,,57-41,,
11:27.0,Turnover by R. Rondo (lost ball; steal by D. Russell),,57-41,,
11:23.0,,,57-43,2,D. Russell makes 2-pt shot at rim
11:02.0,R. Gay misses 2-pt shot from 20 ft,,57-43,,
10:59.0,,,57-43,,Defensive rebound by J. Clarkson
10:57.0,,,57-45,2,J. Clarkson makes 2-pt shot from 1 ft
10:37.0,D. Collison misses 2-pt shot from 2 ft,,57-45,,
10:34.0,,,57-45,,Defensive rebound by J. Randle
10:32.0,,,57-45,,Shooting foul by R. Gay (drawn by J. Randle)
10:32.0,,,57-45,,J. Randle misses free throw 1 of 2
10:32.0,,,57-45,,Offensive rebound by Team
10:32.0,,,57-46,1,J. Randle makes free throw 2 of 2
10:31.0,,,57-46,,Personal foul by J. Randle
10:19.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,59-46,,
9:55.0,,,59-46,,J. Clarkson misses 3-pt shot from 26 ft
9:54.0,Defensive rebound by R. Gay,,59-46,,
9:42.0,D. Collison makes 2-pt shot from 11 ft,2,61-46,,
9:26.0,,,61-46,,M. World Peace misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by D. Cousins,,61-46,,
9:07.0,Shooting foul by R. Hibbert (drawn by D. Cousins),,61-46,,
9:07.0,D. Cousins makes free throw 1 of 2,1,62-46,,
9:07.0,D. Cousins misses free throw 2 of 2,,62-46,,
9:06.0,,,62-46,,Defensive rebound by J. Randle
8:50.0,,,62-48,2,R. Hibbert makes 2-pt shot from 17 ft (assist by D. Russell)
8:32.0,R. Gay misses 3-pt shot from 25 ft,,62-48,,
8:30.0,,,62-48,,Defensive rebound by D. Russell
8:26.0,,,62-48,,Turnover by M. World Peace (bad pass)
8:05.0,R. Gay makes 2-pt shot from 5 ft,2,64-48,,
7:42.0,,,64-48,,J. Clarkson misses 2-pt shot at rim (block by D. Cousins)
7:41.0,,,64-48,,Offensive rebound by R. Hibbert
7:38.0,,,64-48,,Turnover by R. Hibbert (lost ball; steal by W. Cauley-Stein)
7:32.0,D. Collison makes 3-pt shot from 23 ft (assist by R. Rondo),3,67-48,,
7:19.0,,,67-48,,Turnover by D. Russell (lost ball; steal by D. Cousins)
7:15.0,Shooting foul by M. World Peace (drawn by R. Rondo),,67-48,,
7:15.0,R. Rondo makes free throw 1 of 2,1,68-48,,
7:15.0,,,68-48,,T. Black enters the game for R. Hibbert
7:15.0,,,68-48,,L. Williams enters the game for D. Russell
7:15.0,,,68-48,,R. Kelly enters the game for M. World Peace
7:15.0,R. Rondo makes free throw 2 of 2,1,69-48,,
7:14.0,,,69-48,,Turnover by J. Randle (bad pass)
7:08.0,D. Collison makes 2-pt shot from 15 ft,2,71-48,,
6:41.0,,,71-51,3,L. Williams makes 3-pt shot from 24 ft (assist by T. Black)
6:33.0,Turnover by R. Rondo (bad pass),,71-51,,
6:14.0,,,71-51,,J. Clarkson misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by Team,,71-51,,
6:14.0,,,71-51,,Loose ball foul by J. Randle
5:58.0,Turnover by R. Rondo (lost ball; steal by R. Kelly),,71-51,,
5:46.0,,,71-53,2,J. Randle makes 2-pt shot from 3 ft
5:30.0,Shooting foul by R. Kelly (drawn by D. Cousins),,71-53,,
5:30.0,,,71-53,,LA Lakers full timeout
5:30.0,D. Cousins makes free throw 1 of 2,1,72-53,,
5:30.0,D. Cousins makes free throw 2 of 2,1,73-53,,
5:18.0,,,73-53,,L. Williams misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by R. Rondo,,73-53,,
5:12.0,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo),2,75-53,,
4:53.0,,,75-55,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
4:37.0,O. Casspi enters the game for W. Cauley-Stein,,75-55,,
4:37.0,,,75-55,,M. Huertas enters the game for J. Clarkson
4:28.0,R. Rondo misses 3-pt shot from 25 ft,,75-55,,
4:27.0,,,75-55,,Defensive rebound by M. Huertas
4:09.0,,,75-57,2,T. Black makes 2-pt shot at rim (assist by M. Huertas)
3:48.0,R. Rondo makes 2-pt shot from 17 ft,2,77-57,,
3:34.0,,,77-57,,J. Randle misses 2-pt shot from 2 ft (block by R. Gay)
3:34.0,,,77-57,,Offensive rebound by J. Randle
3:32.0,,,77-57,,J. Randle misses 2-pt shot from 1 ft
3:31.0,,,77-57,,Offensive rebound by Team
3:31.0,M. Belinelli enters the game for D. Collison,,77-57,,
3:23.0,,,77-57,,Shooting foul by R. Rondo (drawn by L. Williams)
3:23.0,,,77-58,1,L. Williams makes free throw 1 of 2
3:23.0,,,77-58,,L. Nance enters the game for J. Randle
3:23.0,,,77-59,1,L. Williams makes free throw 2 of 2
3:11.0,,,77-59,,Personal foul by T. Black
3:11.0,D. Cousins makes free throw 1 of 2,1,78-59,,
3:11.0,D. Cousins makes free throw 2 of 2,1,79-59,,
2:57.0,,,79-59,,L. Williams misses 2-pt shot from 1 ft
2:54.0,Defensive rebound by O. Casspi,,79-59,,
2:53.0,Turnover by R. Rondo (traveling),,79-59,,
2:53.0,Sacramento full timeout,,79-59,,
2:40.0,,,79-59,,M. Huertas misses 3-pt shot from 25 ft
2:38.0,,,79-59,,Offensive rebound by L. Williams
2:30.0,,,79-61,2,L. Nance makes 2-pt shot from 1 ft (assist by L. Williams)
2:17.0,M. Belinelli misses 2-pt shot from 1 ft,,79-61,,
2:07.0,,,79-61,,Defensive rebound by T. Black
2:07.0,,,79-61,,Turnover by M. Huertas (discontinued dribble)
2:07.0,W. Cauley-Stein enters the game for R. Gay,,79-61,,
1:49.0,D. Cousins misses 2-pt shot from 2 ft (block by T. Black),,79-61,,
1:49.0,Offensive rebound by Team,,79-61,,
1:37.0,R. Rondo misses 2-pt shot from 19 ft,,79-61,,
1:36.0,,,79-61,,Defensive rebound by R. Kelly
1:21.0,,,79-63,2,M. Huertas makes 2-pt shot from 9 ft
1:04.0,R. Rondo misses 3-pt shot from 25 ft,,79-63,,
1:03.0,,,79-63,,Defensive rebound by M. Huertas
1:00.0,Personal foul by R. Rondo,,79-63,,
0:55.0,,,79-65,2,M. Huertas makes 2-pt shot from 7 ft
0:40.0,M. Belinelli misses 2-pt shot from 17 ft,,79-65,,
0:38.0,,,79-65,,Defensive rebound by L. Nance
0:34.0,,,79-67,2,L. Nance makes 2-pt shot from 1 ft (assist by M. Huertas)
0:31.0,R. Rondo misses 2-pt shot from 20 ft,,79-67,,
0:26.0,,,79-67,,Defensive rebound by M. Huertas
0:10.0,,,79-67,,M. Huertas misses 2-pt shot from 5 ft (block by D. Cousins)
0:08.0,,,79-67,,Offensive rebound by M. Huertas
0:05.0,,,79-67,,Turnover by T. Black (lost ball; steal by R. Rondo)
0:01.0,Shooting foul by R. Kelly (drawn by O. Casspi),,79-67,,
0:01.0,O. Casspi misses free throw 1 of 2,,79-67,,
0:01.0,Offensive rebound by Team,,79-67,,
0:01.0,O. Casspi misses free throw 2 of 2,,79-67,,
0:01.0,,,79-67,,Defensive rebound by T. Black
0:01.0,,,79-67,,LA Lakers full timeout
0:01.0,,,79-67,,J. Clarkson enters the game for T. Black
0:00.0,,,79-67,,M. Huertas misses 3-pt shot from 51 ft
0:00.0,,,79-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Belinelli makes 2-pt shot from 3 ft (assist by D. Collison),2,81-67,,
11:32.0,,,81-67,,R. Kelly misses 2-pt shot from 1 ft
11:28.0,Defensive rebound by O. Casspi,,81-67,,
