time,Toronto,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: J. Valanciunas vs. N. Vucevic (C. Frye gains possession)
11:39.0,,,0-3,3,V. Oladipo makes 3-pt shot from 24 ft
11:10.0,Turnover by Team (shot clock),,0-3,,
11:00.0,,,0-3,,Turnover by N. Vucevic (lost ball; steal by J. Johnson)
10:57.0,L. Scola misses 2-pt shot from 1 ft (block by C. Frye),,0-3,,
10:53.0,,,0-3,,Defensive rebound by T. Harris
10:46.0,,,0-3,,Turnover by T. Harris (bad pass; steal by J. Valanciunas)
10:37.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry),2,2-3,,
10:37.0,Shooting foul by N. Vucevic (drawn by J. Valanciunas),,2-3,,
10:37.0,J. Valanciunas misses free throw 1 of 1,,2-3,,
10:35.0,,,2-3,,Defensive rebound by N. Vucevic
10:19.0,,,2-5,2,N. Vucevic makes 2-pt shot from 17 ft
9:59.0,J. Johnson misses 2-pt shot from 16 ft,,2-5,,
9:54.0,,,2-5,,Defensive rebound by C. Frye
9:45.0,,,2-5,,Turnover by E. Fournier (bad pass; steal by L. Scola)
9:41.0,J. Johnson makes 2-pt shot at rim,2,4-5,,
9:24.0,,,4-5,,V. Oladipo misses 2-pt shot at rim
9:22.0,Defensive rebound by J. Valanciunas,,4-5,,
9:18.0,Shooting foul by V. Oladipo (drawn by K. Lowry),,4-5,,
9:18.0,K. Lowry makes free throw 1 of 2,1,5-5,,
9:18.0,K. Lowry makes free throw 2 of 2,1,6-5,,
9:07.0,,,6-7,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Fournier)
8:50.0,Turnover by D. DeRozan (traveling),,6-7,,
8:37.0,,,6-7,,T. Harris misses 2-pt shot from 2 ft
8:35.0,Defensive rebound by K. Lowry,,6-7,,
8:26.0,Shooting foul by E. Fournier (drawn by D. DeRozan),,6-7,,
8:26.0,D. DeRozan makes free throw 1 of 2,1,7-7,,
8:26.0,D. DeRozan misses free throw 2 of 2,,7-7,,
8:25.0,,,7-7,,Defensive rebound by T. Harris
8:13.0,,,7-9,2,T. Harris makes 2-pt shot from 3 ft (assist by V. Oladipo)
7:49.0,J. Valanciunas misses 2-pt shot from 6 ft,,7-9,,
7:47.0,,,7-9,,Defensive rebound by T. Harris
7:41.0,,,7-9,,V. Oladipo misses 2-pt shot from 20 ft
7:40.0,Defensive rebound by D. DeRozan,,7-9,,
7:35.0,,,7-9,,Personal foul by E. Fournier (drawn by D. DeRozan)
7:35.0,,,7-9,,E. Payton enters the game for E. Fournier
7:21.0,D. DeRozan misses 2-pt shot from 2 ft,,7-9,,
7:20.0,,,7-9,,Defensive rebound by V. Oladipo
7:16.0,,,7-9,,T. Harris misses 2-pt shot from 1 ft (block by K. Lowry)
7:16.0,,,7-9,,Offensive rebound by Team
7:07.0,,,7-9,,N. Vucevic misses 2-pt shot from 8 ft
7:06.0,Defensive rebound by D. DeRozan,,7-9,,
6:58.0,D. DeRozan misses 2-pt shot from 4 ft (block by N. Vucevic),,7-9,,
6:56.0,Offensive rebound by D. DeRozan,,7-9,,
6:52.0,L. Scola misses 2-pt shot from 20 ft,,7-9,,
6:51.0,,,7-9,,Defensive rebound by C. Frye
6:43.0,,,7-11,2,V. Oladipo makes 2-pt shot from 2 ft (assist by N. Vucevic)
6:41.0,Toronto full timeout,,7-11,,
6:41.0,C. Joseph enters the game for J. Johnson,,7-11,,
6:41.0,B. Biyombo enters the game for J. Valanciunas,,7-11,,
6:26.0,K. Lowry misses 2-pt shot from 19 ft,,7-11,,
6:24.0,Offensive rebound by L. Scola,,7-11,,
6:20.0,K. Lowry misses 3-pt shot from 25 ft,,7-11,,
6:20.0,,,7-11,,Defensive rebound by N. Vucevic
6:04.0,,,7-11,,N. Vucevic misses 2-pt shot from 20 ft
6:03.0,Defensive rebound by K. Lowry,,7-11,,
5:56.0,D. DeRozan misses 2-pt shot from 2 ft (block by C. Frye),,7-11,,
5:51.0,,,7-11,,Defensive rebound by C. Frye
5:44.0,,,7-11,,E. Payton misses 2-pt shot from 1 ft (block by L. Scola)
5:44.0,,,7-11,,Offensive rebound by Team
5:42.0,,,7-11,,Turnover by C. Frye (lost ball; steal by L. Scola)
5:31.0,L. Scola misses 2-pt shot from 20 ft,,7-11,,
5:30.0,,,7-11,,Defensive rebound by E. Payton
5:22.0,,,7-11,,Turnover by E. Payton (step out of bounds)
5:07.0,L. Scola makes 3-pt shot from 23 ft (assist by K. Lowry),3,10-11,,
4:53.0,Personal foul by B. Biyombo (drawn by N. Vucevic),,10-11,,
4:44.0,,,10-13,2,N. Vucevic makes 2-pt shot from 16 ft (assist by T. Harris)
4:30.0,K. Lowry makes 2-pt shot from 1 ft,2,12-13,,
4:14.0,,,12-16,3,T. Harris makes 3-pt shot from 25 ft (assist by N. Vucevic)
3:55.0,,,12-16,,Personal foul by T. Harris (drawn by K. Lowry)
3:55.0,K. Lowry misses free throw 1 of 2,,12-16,,
3:55.0,Offensive rebound by Team,,12-16,,
3:55.0,,,12-16,,A. Nicholson enters the game for C. Frye
3:55.0,P. Patterson enters the game for L. Scola,,12-16,,
3:55.0,K. Lowry makes free throw 2 of 2,1,13-16,,
3:39.0,,,13-16,,A. Nicholson misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by B. Biyombo,,13-16,,
3:27.0,C. Joseph misses 2-pt shot from 11 ft,,13-16,,
3:24.0,Offensive rebound by C. Joseph,,13-16,,
3:23.0,C. Joseph makes 2-pt shot from 1 ft,2,15-16,,
3:06.0,,,15-16,,Shooting foul by K. Lowry (drawn by V. Oladipo)
3:06.0,,,15-17,1,V. Oladipo makes free throw 1 of 2
3:06.0,T. Ross enters the game for K. Lowry,,15-17,,
3:06.0,,,15-18,1,V. Oladipo makes free throw 2 of 2
2:47.0,C. Joseph makes 2-pt shot from 1 ft,2,17-18,,
2:33.0,,,17-18,,A. Nicholson misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by D. DeRozan,,17-18,,
2:25.0,D. DeRozan makes 2-pt shot from 5 ft,2,19-18,,
2:17.0,,,19-18,,Orlando full timeout
2:17.0,,,19-18,,A. Gordon enters the game for T. Harris
2:02.0,,,19-18,,N. Vucevic misses 2-pt shot from 9 ft
2:01.0,Defensive rebound by P. Patterson,,19-18,,
1:54.0,Shooting foul by V. Oladipo (drawn by B. Biyombo),,19-18,,
1:54.0,B. Biyombo makes free throw 1 of 2,1,20-18,,
1:54.0,,,20-18,,M. Hezonja enters the game for V. Oladipo
1:54.0,B. Biyombo makes free throw 2 of 2,1,21-18,,
1:42.0,,,21-18,,Turnover by E. Payton (step out of bounds)
1:42.0,,,21-18,,J. Smith enters the game for N. Vucevic
1:30.0,D. DeRozan misses 2-pt shot from 6 ft,,21-18,,
1:28.0,Offensive rebound by B. Biyombo,,21-18,,
1:24.0,B. Biyombo makes 2-pt shot from 5 ft,2,23-18,,
1:16.0,Personal foul by T. Ross (drawn by A. Gordon),,23-18,,
1:07.0,,,23-18,,J. Smith misses 2-pt shot from 18 ft
1:07.0,Defensive rebound by Team,,23-18,,
1:07.0,,,23-18,,Loose ball foul by A. Nicholson (drawn by B. Biyombo)
1:07.0,B. Biyombo makes free throw 1 of 2,1,24-18,,
1:07.0,B. Biyombo makes free throw 2 of 2,1,25-18,,
0:52.0,,,25-18,,E. Payton misses 3-pt shot from 23 ft
0:50.0,Defensive rebound by D. DeRozan,,25-18,,
0:49.0,,,25-18,,Personal foul by A. Nicholson (drawn by D. DeRozan)
0:49.0,D. DeRozan makes free throw 1 of 2,1,26-18,,
0:49.0,,,26-18,,T. Harris enters the game for A. Nicholson
0:49.0,D. DeRozan makes free throw 2 of 2,1,27-18,,
0:43.0,,,27-18,,E. Payton misses 2-pt shot from 18 ft
0:40.0,Defensive rebound by C. Joseph,,27-18,,
0:35.0,C. Joseph makes 2-pt shot from 19 ft,2,29-18,,
0:19.0,,,29-18,,M. Hezonja misses 2-pt shot from 1 ft
0:18.0,Defensive rebound by Team,,29-18,,
0:01.0,D. DeRozan makes 2-pt shot at rim (assist by B. Biyombo),2,31-18,,
0:00.0,,,31-18,,M. Hezonja misses 3-pt shot from 65 ft (block by T. Ross)
0:00.0,,,31-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by C. Joseph (bad pass),,31-18,,
11:28.0,,,31-21,3,V. Oladipo makes 3-pt shot from 25 ft (assist by J. Smith)
11:05.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by P. Patterson),2,33-21,,
10:50.0,,,33-23,2,T. Harris makes 2-pt shot from 4 ft
10:31.0,C. Joseph makes 2-pt shot at rim,2,35-23,,
10:16.0,,,35-25,2,J. Smith makes 2-pt shot from 20 ft (assist by V. Oladipo)
10:04.0,K. Lowry misses 3-pt shot from 25 ft,,35-25,,
10:03.0,Offensive rebound by J. Valanciunas,,35-25,,
9:56.0,C. Joseph makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,37-25,,
9:44.0,,,37-25,,Turnover by V. Oladipo (lost ball; steal by C. Joseph)
9:39.0,T. Ross makes 2-pt shot at rim (assist by K. Lowry),2,39-25,,
9:22.0,,,39-27,2,J. Smith makes 2-pt shot from 19 ft (assist by T. Harris)
9:07.0,T. Ross misses 2-pt shot from 19 ft,,39-27,,
9:06.0,,,39-27,,Defensive rebound by A. Gordon
8:51.0,,,39-29,2,J. Smith makes 2-pt shot from 20 ft (assist by V. Oladipo)
8:34.0,Turnover by T. Ross (bad pass; steal by T. Harris),,39-29,,
