time,Golden State,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. N. Noel (J. Grant gains possession),,,,Jump ball: A. Bogut vs. N. Noel (J. Grant gains possession)
11:41.0,,,0-0,,N. Noel misses 2-pt shot from 3 ft (block by A. Bogut)
11:39.0,Defensive rebound by S. Curry,,0-0,,
11:35.0,S. Curry misses 2-pt shot from 10 ft (block by R. Covington),,0-0,,
11:32.0,Offensive rebound by H. Barnes,,0-0,,
11:30.0,K. Thompson makes 3-pt shot from 26 ft (assist by H. Barnes),3,3-0,,
11:15.0,,,3-2,2,J. Grant makes 2-pt shot from 18 ft (assist by R. Covington)
11:04.0,Turnover by S. Curry (bad pass; steal by J. Grant),,3-2,,
11:03.0,Personal foul by S. Curry (drawn by J. Grant),,3-2,,
10:53.0,,,3-2,,J. Grant misses 2-pt shot from 3 ft (block by D. Green)
10:51.0,Defensive rebound by A. Bogut,,3-2,,
10:39.0,K. Thompson misses 2-pt shot from 10 ft,,3-2,,
10:38.0,,,3-2,,Defensive rebound by I. Smith
10:33.0,,,3-2,,Shooting foul by K. Thompson (drawn by I. Smith)
10:33.0,,,3-3,1,I. Smith makes free throw 1 of 2
10:33.0,,,3-3,,I. Smith misses free throw 2 of 2
10:32.0,Defensive rebound by D. Green,,3-3,,
10:15.0,H. Barnes makes 3-pt shot from 25 ft (assist by K. Thompson),3,6-3,,
9:55.0,,,6-3,,N. Noel misses 2-pt shot from 7 ft
9:54.0,Defensive rebound by D. Green,,6-3,,
9:40.0,K. Thompson misses 3-pt shot from 24 ft,,6-3,,
9:39.0,,,6-3,,Defensive rebound by R. Covington
9:33.0,,,6-5,2,J. Grant makes 2-pt shot from 1 ft (assist by I. Smith)
9:18.0,S. Curry misses 3-pt shot from 24 ft,,6-5,,
9:17.0,,,6-5,,Defensive rebound by I. Smith
9:06.0,,,6-5,,I. Smith misses 2-pt shot from 14 ft
9:04.0,Defensive rebound by A. Bogut,,6-5,,
8:56.0,H. Barnes misses 2-pt shot from 1 ft (block by N. Noel),,6-5,,
8:54.0,,,6-5,,Defensive rebound by R. Covington
8:45.0,,,6-8,3,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith)
8:31.0,S. Curry misses 3-pt shot from 23 ft,,6-8,,
8:29.0,,,6-8,,Defensive rebound by N. Noel
8:20.0,Violation by A. Bogut (kicked ball),,6-8,,
8:12.0,,,6-10,2,N. Stauskas makes 2-pt shot from 7 ft (assist by J. Grant)
7:58.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,8-10,,
7:50.0,,,8-12,2,I. Smith makes 2-pt shot at rim
7:45.0,Golden State full timeout,,8-12,,
7:39.0,Turnover by S. Curry (traveling),,8-12,,
7:23.0,,,8-12,,I. Smith misses 2-pt shot from 20 ft
7:21.0,Defensive rebound by D. Green,,8-12,,
7:12.0,Turnover by K. Thompson (bad pass),,8-12,,
6:58.0,,,8-14,2,N. Stauskas makes 2-pt shot from 20 ft (assist by J. Grant)
6:52.0,H. Barnes makes 2-pt shot from 20 ft (assist by S. Curry),2,10-14,,
6:35.0,,,10-17,3,N. Stauskas makes 3-pt shot from 25 ft
6:13.0,K. Thompson misses 2-pt shot from 3 ft,,10-17,,
6:11.0,Offensive rebound by A. Bogut,,10-17,,
6:08.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,13-17,,
5:57.0,,,13-17,,N. Stauskas misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by D. Green,,13-17,,
5:51.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,15-17,,
5:44.0,,,15-17,,Philadelphia full timeout
5:44.0,,,15-17,,H. Thompson enters the game for R. Covington
5:26.0,,,15-17,,N. Noel misses 2-pt shot from 15 ft
5:25.0,Defensive rebound by D. Green,,15-17,,
5:06.0,D. Green misses 2-pt shot from 2 ft,,15-17,,
5:02.0,Offensive rebound by A. Bogut,,15-17,,
5:02.0,A. Bogut makes 2-pt shot from 1 ft,2,17-17,,
4:58.0,,,17-17,,Turnover by I. Smith (bad pass; steal by S. Curry)
4:51.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,20-17,,
4:40.0,,,20-17,,Turnover by J. Grant (lost ball; steal by D. Green)
4:36.0,Turnover by D. Green (lost ball; steal by N. Noel),,20-17,,
